"Nation","National anthem","Date adopted","Lyricist","Composer","Audio","Ref."
"Nigeria","""Arise, O Compatriots""","1978","P. O. Aderibighe","Nigerian Police Band","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"North Macedonia","""Denes nad Makedonija"" (""Today Over Macedonia"")","1992","Vlado Maleski","Todor Skalovski","""Denes nad Makedonija""","[161]"
"Norway","""Ja, vi elsker dette landet"" (""Yes, We Love This Country"")[l]","2019","Bjørnstjerne Bjørnson","Rikard Nordraak","""Ja, vi elsker dette landet""","[162][163]"
"Oman","""Nashid as-Salaam as-Sultani"" (""Sultanic Salute"")","1932","Rashid bin Uzayyiz Al Khusaidi","James Frederick Mills","""Nashid as-Salaam as-Sultani""","[164]"
"Pakistan","""Qaumī Tarāna"" (""National Anthem"")","1954","Hafeez Jullundhri","Ahmed Ghulamali Chagla","""Qaumī Tarāna""","[165]"
"Palau","""Belau rekid"" (""Our Palau"")","1980","multiple","Ymesei O. Ezekiel","""Belau rekid""","[166]"
"Panama","""Fida'i"" (""My Country"")","1925","Jeronimo de la Ossa","Santos Jorge","""Fida'i""","[167]"
"Papua New Guinea","""O Arise, All You Sons""[b]","1975","Tom Shacklady","Tom Shacklady","""O Arise, All You Sons""","[169]"
"Paraguay","""Himno Nacional Paraguayo"" (""Paraguayan National Anthem"")","1933","Francisco Acuña de Figueroa","Francisco José Debali","""Paraguayos, República o Muerte""","[170]"
"Peru","""Himno Nacional del Perú"" (""National Anthem of Peru"")","1821","José de la Torre Ugarte y Alarcón","Jose Bernardo Alcedo","""Himno Nacional del Perú""","[171]"
"Philippines","""Lupang Hinirang"" (""Chosen Land"")","1898","José Palma","Julián Felipe","""Lupang Hinirang""","[172]"
"Poland","""Mazurek Dąbrowskiego"" (""Poland Is Not Yet Lost"")[n]","1926","Józef Wybicki","unknown","""Mazurek Dąbrowskiego""","[173]"
"Portugal","""A Portuguesa"" (""The Portuguese"")","1911","Henrique Lopes de Mendonça","Alfredo Keil","""A Portuguesa""","[174]"
"Qatar","""As Salam al Amiri"" (""Peace to the Amir"")","1996","Sheikh Mubarak bin Saïf al-Thani","Abdul Aziz Nasser Obaidan","""As Salam Al Amiri""","[175]"
"Romania","""Deșteaptă-te, române!"" (""Awaken Thee, Romanian!"")","1990","Andrei Mureşanu","Anton Pann","""Deșteaptă-te, române!""","[176]"
"Romania","""Deșteaptă-te, române!"" (""Awaken Thee, Romanian!"")","1990","Andrei Mureşanu","Gheorghe Ucenescu","""Deșteaptă-te, române!""","[176]"
"Russia","""Gosudarstvenny Gimn Rossiyskoy Federatsii"" (""State Hymn of the Russian Federation"")","2000","Sergey Mikhalkov","Alexander Vasilyevich Alexandrov","""Gosudarstvenny Gimn Rossiyskoy Federatsii""","[177]"
"Rwanda","""Rwanda Nziza"" (""Beautiful Rwanda"")","2002","Faustin Murigo","Jean-Bosco Hashakimana","""Rwanda Nziza""","[178]"
"Saint Kitts and Nevis","""O Land of Beauty!""[b]","1983","Kenrick Georges","Kenrick Georges","""O Land of Beauty!""","[179]"
"Saint Lucia","""Sons and Daughters of Saint Lucia""","1979","Charles Jesse","Leton Felix Thomas","""Sons and Daughters of Saint Lucia""","[180]"
"Saint Vincent and the Grenadines","""Saint Vincent, Land so beautiful""","1979","Phyllis Punnett","Joel Bertram Miguel","""Saint Vincent, Land so Beautiful""","[181][182]"
"Samoa","""The Banner of Freedom""","1962","Sauni Iiga Kuresa","Sauni Iiga Kuresa","","[183]"
"San Marino","""Inno Nazionale della Repubblica"" (""The National Anthem of the Republic"")","1894","No official lyrics","Federico Consolo","""Inno Nazionale della Repubblica""","[184]"
"São Tomé and Príncipe","""Independência total"" (""Total Independence"")","1975","Alda Neves da Graça do Espírito Santo","Manuel dos Santos Barreto de Sousa e Almeida","""Independência total""","[185]"
"Saudi Arabia","""As-Salam Al Malaki"" (""The Royal Salute"")","1950","Ibrahim Khafaji","Abdul Rahman Al-Khateeb","""As-Salam Al Malaki""","[186]"
"Senegal","""Pincez Tous vos Koras, Frappez les Balafons"" (""Strum your Koras, Strike the Balafons"")","1960","Léopold Sédar Senghor","Herbert Pepper [fr]","""Pincez Tous vos Koras, Frappez les Balafons""","[187]"
"Serbia","""Bože pravde"" (""God of Justice"")","2006","Jovan Đorđević","Davorin Jenko","""Bože pravde""","[188]"
"Seychelles","""Koste Seselwa"" (""Join together all Seychellois"")","1996","David François Marc André","David François Marc André","""Koste Seselwa""","[189]"
"Seychelles","""Koste Seselwa"" (""Join together all Seychellois"")","1996","George Charles Robert Payet","David François Marc André","""Koste Seselwa""","[189]"
"Seychelles","""Koste Seselwa"" (""Join together all Seychellois"")","1996","David François Marc André","George Charles Robert Payet","""Koste Seselwa""","[189]"
"Seychelles","""Koste Seselwa"" (""Join together all Seychellois"")","1996","George Charles Robert Payet","George Charles Robert Payet","""Koste Seselwa""","[189]"
"Sierra Leone","""High We Exalt Thee, Realm of the Free""","1961","Clifford Nelson Fyle","John Akar","""High We Exalt Thee, Realm of the Free""","[190]"
"Singapore","""Majulah Singapura"" (""Onward Singapore"")","1965","Zubir Said","Zubir Said","""Majulah Singapura""","[191]"
"Slovakia","""Nad Tatrou sa blýska"" (""Lightning Over the Tatras"")[g]","1918","Janko Matúška","folk tune","""Nad Tatrou sa blýska""","[192][193]"
"Slovenia","""Zdravljica"" (""A Toast"")[o]","1989","France Prešeren","Stanko Premrl","""Zdravljica""","[194]"
"Solomon Islands","""God Save Our Solomon Islands""[b]","1978","Panapasa Balekana","Panapasa Balekana","","[195]"
"Solomon Islands","""God Save Our Solomon Islands""[b]","1978","Matila Balekana","Panapasa Balekana","","[195]"
"Somalia","""Qolobaa Calankeed"" (""Praise to the Flag"")","2012","Abdullahi Qarshe","Abdullahi Qarshe","""Qolobaa Calankeed""","[196]"
"South Africa","""National anthem of South Africa""[p]","1997","Enoch Sontonga","Enoch Sontonga","""National Anthem of South Africa""","[197]"
"South Africa","""National anthem of South Africa""[p]","1997","C. J. Langenhoven","Enoch Sontonga","""National Anthem of South Africa""","[197]"
"South Africa","""National anthem of South Africa""[p]","1997","Enoch Sontonga","Marthinus Lourens de Villiers","""National Anthem of South Africa""","[197]"
"South Africa","""National anthem of South Africa""[p]","1997","C. J. Langenhoven","Marthinus Lourens de Villiers","""National Anthem of South Africa""","[197]"
"South Sudan","""South Sudan Oyee!""","2011","Students and teachers of Juba University, 2011","Students and teachers of Juba University, 2011","""South Sudan Oyee!""","[199]"
"Spain","""La Marcha Real"" (""The Royal March"")","1770","none","unknown","""La Marcha Real""","[200]"
"Spain","""La Marcha Real"" (""The Royal March"")","1939","none","unknown","""La Marcha Real""","[200]"
"Sri Lanka","""Sri Lanka Matha"" (""Mother Sri Lanka"")","1951","Ananda Samarakoon","Ananda Samarakoon","""Sri Lanka Matha""","[201]"
"Sudan","""Nahnu Jund Allah Jund Al-watan"" (""We Are the Army of God and of Our Land"")","1956","Sayyed Ahmed Mohammed Salih","Ahmad Murjan","""Nahnu Jund Allah Jund Al-watan""","[202]"
"Suriname","""God zij met ons Suriname"" (""God Be With Our Suriname"")","1959","Cornelis Atses Hoekstra","Johannes Corstianus de Puy","""God zij met ons Suriname""","[203]"
"Suriname","""God zij met ons Suriname"" (""God Be With Our Suriname"")","1959","Henry de Ziel","Johannes Corstianus de Puy","""God zij met ons Suriname""","[203]"
"Sweden","""Du gamla, Du fria"" (""Thou Ancient, Thou Free"")[r]","","Richard Dybeck","folk tune","""Du gamla, Du fria""","[204]"
"Switzerland","""Schweizerpsalm"" (""Swiss Psalm"")","1981","Leonhard Widmer","Alberich Zwyssig","""Schweizerpsalm""","[205]"
"Switzerland","""Schweizerpsalm"" (""Swiss Psalm"")","1981","Charles Chatelanat","Alberich Zwyssig","""Schweizerpsalm""","[205]"
"Switzerland","""Schweizerpsalm"" (""Swiss Psalm"")","1981","Camillo Valsangiacomo","Alberich Zwyssig","""Schweizerpsalm""","[205]"
"Switzerland","""Schweizerpsalm"" (""Swiss Psalm"")","1981","Flurin Camathias","Alberich Zwyssig","""Schweizerpsalm""","[205]"
"Syria","""Humāt ad-Diyār"" (""Guardians of the Homeland"")","1936","Khalil Mardam Bey","Mohammed Flayfel","""Humāt ad-Diyār""","[206]"
"Syria","""Humāt ad-Diyār"" (""Guardians of the Homeland"")","1936","Khalil Mardam Bey","Ahmad Salim Flayfel","""Humāt ad-Diyār""","[206]"
"Tajikistan","""Surudi Milli"" (""National Anthem"")","1991","Gulnazar Keldi","Suleiman Yudakov","""Surudi Milli""","[207]"
"Tanzania","""Mungu ibariki Afrika"" (""God Bless Africa"")","1961","collectively","Enoch Sontonga","""Mungu ibariki Afrika""","[208]"
"Thailand","""Phleng Chat"" (""National Song"")[s]","1939","Luang Saranupraphan","Peter Feit","""Phleng Chat""","[209]"
"Togo","""Salut à toi, pays de nos aïeux"" (""Hail to Thee, Land of our Forefathers"")","1960","Alex Casimir-Dosseh","Alex Casimir-Dosseh","""Salut à toi, pays de nos aïeux""","[210]"
"Tonga","""Ko e fasi ʻo e tuʻi ʻo e ʻOtu Tonga"" (""Song of the King of the Tonga Islands"")","1875","Uelingatoni Ngū Tupoumalohi","Carl Gustav Schmitt","""Ko e fasi ʻo e tuʻi ʻo e ʻOtu Tonga""","[211][212]"
"Trinidad and Tobago","""Forged from the Love of Liberty""","1962","Patrick Castagne","Patrick Castagne","""Forged from the Love of Liberty""","[213]"
"Tunisia","""Humat al-Hima"" (""Defenders of the Homeland"")","1987","Mustafa Sadiq Al-Rafi'i","Mohammed Abdel Wahab","""Humat al-Hima""","[214]"
"Tunisia","""Humat al-Hima"" (""Defenders of the Homeland"")","1987","Aboul-Qacem Echebbi","Mohammed Abdel Wahab","""Humat al-Hima""","[214]"
"Turkey","""İstiklâl Marşı"" (""The March of Independence"")","1921","Mehmet Akif Ersoy","Osman Zeki Üngör","""İstiklâl Marşı""","[215]"
"Turkmenistan","""Garaşsyz, Bitarap Türkmenistanyň Döwlet Gimni"" (""The State Anthem of Independent and Neutral Turkmenistan"")","2008","collectively","Veli Mukhatov","""Türkmenbaşyň guran beýik binasy""","[216]"
"Tuvalu","""Tuvalu mo te Atua"" (""Tuvalu for the Almighty"")[b]","1978","Afaese Manoa","Afaese Manoa","","[217]"
"Uganda","""Oh Uganda, Land of Beauty""","1962","George Wilberforce Kakoma","George Wilberforce Kakoma","""Oh Uganda, Land of Beauty""","[218]"
"Ukraine","""Shche ne vmerla Ukraina"" (""Ukraine's Glory Has Not Perished"")","1917","Pavlo Chubynsky","Mykhaylo Verbytsky","""Shche ne vmerla Ukrainy""","[219]"
"United Arab Emirates","""Ishy Biladi"" (""Long Live my Homeland"")","1971","Arif Al Sheikh Abdullah Al Hassan","Saad Abdel Wahab","""Ishy Biladi""","[220][221]"
"United Kingdom","""God Save the Queen""[t]","","Henry Carey","unknown","""God Save the Queen""","[222][223]"
"United States","""The Star-Spangled Banner""","1931","Francis Scott Key","John Stafford Smith","""The Star-Spangled Banner""","[224]"
"Uruguay","""Himno Nacional"" (""National Anthem"")","1848","Francisco Acuña de Figueroa","Francisco José Debali","""Himno Nacional""","[225]"
"Uzbekistan","""O`zbekiston Respublikasining Davlat Madhiyasi"" (""National Anthem of the Republic of Uzbekistan"")","1991","Abdulla Aripov","Mutal Burhanov","""O`zbekiston Respublikasining Davlat Madhiyasi""","[226]"
"Vanuatu","""Yumi, Yumi, Yumi"" (""We, We, We"")","1980","François Vincent Ayssav","François Vincent Ayssav","""Yumi, Yumi, Yumi""","[227]"
"Vatican City","""Marche Pontificale"" (""Pontifical Anthem and March"")","1949","Antonio Allegra","Charles Gounod","""Marche Pontificale""","[228]"
"Venezuela","""Gloria al Bravo Pueblo"" (""Glory to the Brave People"")","1881","Vicente Salias","Juan José Landaeta","""Gloria al Bravo Pueblo""","[229]"
"Vietnam","""Tiến Quân Ca"" (""Marching Song"")","1945","Văn Cao","Văn Cao","","[230]"
"Yemen","""National anthem of Yemen""","1990","Abdallah Abdulwahab Noman","Ayoob Tarish","""National anthem of Yemen""","[231][232]"
"Zambia","""Stand and Sing of Zambia, Proud and Free""","1964","collectively","Enoch Sontonga","""National anthem of Zambia""","[233][234]"
"Zimbabwe","""Simudzai Mureza WeZimbabwe"" (""O Lift High the Banner of Zimbabwe"")","1994","Solomon Mutswairo","Fred Changundega","""Blessed be the land of Zimbabwe""","[235]"
