"band","startYear","label","labelFounder","occupation"
"Twenty One Pilots","2009","Atlantic Records","Ahmet Ertegün","Songwriter"
"Twenty One Pilots","2009","Atlantic Records","Ahmet Ertegun","Songwriter"
"These Kids Wear Crowns","2009","Capitol Records","Johnny Mercer","Songwriter"
"Twenty One Pilots","2009","Atlantic Records","Ahmet Ertegün","Composer"
"Twenty One Pilots","2009","Atlantic Records","Ahmet Ertegun","Composer"
"Sandaime J Soul Brothers","2010","Rhythm Zone","Max Matsuura","Songwriter"
"The Sketchbook","2011","Avex Group","Max Matsuura","Songwriter"
"Summer Cannibals","2012","Kill Rock Stars","Slim Moon","Musician"
"Rabbit","2012","Avex Group","Max Matsuura","Songwriter"
"Generations from Exile Tribe","2012","Rhythm Zone","Max Matsuura","Songwriter"
"N.Flying","2013","Virgin Records","Tom Newman","Musician"
