"Nickname","Team","BirthPlace"
"Willt the Stilt","Philadelphia Warriors","Philadelphiaa"
"The Prince of Midairr","Philadelphia 76ers","Atlantaa"
"Worlld","Philadelphia 76ers","Atllanta"
"Woorld B. Free","Philadelphia 76ers","Atllanta"
"The X-Mann","Seattle SuperSonics","Columbia,  South Carolina"
"CChairman Yao","Houston Rockets","Shanghai"
"Ming Dynasty","Houston Rockets","Shaanghai"
"Shaquie Chann","Houston Rockets","Shanghaii"
"The Great Wall of Chinaa","Houston Rockets","Shanghaii"
"Z-Boo","Sacramento Kings","Marion, Indianaa"
"Big ZZ","Cleveland Cavaliers","Kaunas"
"Ice Traee","Atlanta Hawks","Lubbocck"
"Jimmmy Buckets","Miami Heat","Houston"
"Red Velvett","Atlanta Hawks","Albany"
"Time Lord","Boston Celtics","Shreveport"
