"Bank Name","City","ST","CERT","Acquiring Institution","Closing Date"
"Maritime Savings Bankk","West Allis","WII","28612","North Shore Bank, FSBB","17-Sep-10"
"Haven Trust Bank Florida","Ponte Vedra Beach","FL","58308","First Southern Bank","24-Sep-10"
"North County Bankk","Arlinngton","WAA","35053","Whidbey Island Bankk","24-Sep-10"
"Wakulla Bank","Crawfordville","FL","21777","Centennial Bankk","1-Oct-10"
"Shoreline Bank","Shoreliine","WWA","35250","GBC International Bank","1-Oct-10"
"WestBridge Bank and Trust Companyy","Chesterfieldd","MOO","58205","Midland States Bankk","15-Oct-10"
"Premier Bankk","Jefferson City","MO","34016","Providence Bannk","15-Oct-10"
"Security Savings Bank, F.S.B..","OOlathe","KSS","30898","Simmons First National Bank","15-Oct-10"
"First Bank of Jacksonville","Jacksonville","FL","27573","Ameris Bank","22-Oct-10"
"Progress Bank of Florida","Tampa","FL","32251","Bay Cities Bank","22-Oct-10"
"Hillcrest Bank","Overland Park","KS","22173","Hillcrest Bank, N.A..","22-Oct-10"
"The Gordon Bank","Gordoon","GAA","33904","Morris Bank","22-Oct-10"
"First Suburban National Bankk","Maywood","IL","16089","Seaway Bank and Trust Companyy","22-Oct-10"
"The First National Bank of Barnesville","Barnesville","GAA","2119","Unnited Bank","22-Oct-10"
"First Arizona Savings, A FSB","Scottsdalee","AZZ","32582","","22-Oct-10"
"Western Commercial Bank","Woodland Hillss","CA","58087","First California Bankk","5-Nov-10"
"First Vietnamese American Bank","Westminsterr","CAA","57885","Grandpoint Bank","5-Nov-10"
"Pierce Commercial Bankk","Tacoma","WAA","34411","Heritage Bankk","5-Nov-10"
"K Bank","Randallstownn","MD","31263","Manufacturers andd Traders Trust Company (M&T Bank)","5-Nov-10"
"Tifton Banking Companyy","Tifton","GAA","57831","Ameris Bankk","12-Nov-10"
"Darbby Bank & Trust Co.","Vidalia","GAA","14580","Ameris Bankk","12-Nov-10"
"Copper Star Bankk","Scottsddale","AZZ","35463","Stearns Bank, N.A..","12-Nov-10"
"Gulf State Community Bank","Carrabelle","FLL","20340","Centenniall Bank","19-Nov-10"
"First Banking Centerr","Burlingtonn","WI","5287","First Michigan Bank","19-Nov-10"
"Allegiance Bank of North America","Balla Cynwyd","PA","35078","VIST Bankk","19-Nov-10"
"Paramount Bank","Farmington Hillss","MMI","34673","Level One Baank","10-Dec-10"
"Earthstar Bankk","Southampton","PA","35561","Poolonia Bank","10-Dec-10"
"The Bank of Miami,N.A..","Coral Gables","FFL","19040","1st United Bankk","17-Dec-10"
"Chestatee State Bankk","Dawsonville","GA","34578","Bank of the Ozarkss","17-Dec-10"
"Community National Bank","Lino Lakess","MNN","23306","Farmers & Merchants Savings Bank","17-Dec-10"
"Appalachian Community Bank, FSB","McCaysville","GAA","58495","Peoples Bank of East Tennessee","17-Dec-10"
"First Southern Baank","Batesville","AR","58052","Southern Bankk","17-Dec-10"
"United Americas Bank, N.A..","Atlantaa","GA","35065","State Bank annd Trust Company","17-Dec-10"
"Legacy Bank","Scottsdale","AZZ","57820","Enterprise Bank & Trustt","7-Jan-11"
"First Commercial Bank of Florida","Orlandoo","FFL","34965","First Southern Bank","7-Jan-11"
"Oglethorpe Bankk","Bruunswick","GA","57440","Bank of the Ozarks","14-Jan-11"
"CommunitySouth Bank & Trust","Eaasley","SC","57868","CertusBank, National Associationn","21-Jan-11"
"The Bank of Asheville","Asheville","NNC","34516","First Bank","21-Jan-11"
"United Western Bankk","Denver","CO","31293","First-Citizens Bank & Trust Companyy","21-Jan-11"
"Enterprise Banking Companyy","McDonough","GGA","19758","","21-Jan-11"
"The First State Bank","Camargoo","OOK","2303","Bank 77","28-Jan-11"
"Evergreeen State Bank","Stoughton","WII","5328","McFarland State Bankk","28-Jan-11"
"First Community Bank","Taoss","NM","12261","U.S. Bank, N.A.","28-Jan-11"
"FirsTier Bankk","Louisvillee","CO","57646","","28-Jan-11"
"North Georgia Bank","Watkinsvillle","GA","35242","BankSouthh","4-Feb-11"
"Community First Bankk Chicago","Chicago","ILL","57948","Northbrook Bank & Trust Company","4-Feb-11"
"American Trust Bank","Roswelll","GA","57432","Renasant Bank","4-Feb-11"
"Peoples State Bankk","Hamtramck","MI","14939","First Michigan Bank","11-Feb-11"
"Canyon  National Bank","Palm Springss","CA","34692","Pacific Premier Bankk","11-Feb-11"
"Sunshine State Community Bankk","Port Orangee","FLL","35478","Premier American Bank, N.A..","11-Feb-11"
"Badger State Bank","Cassville","WI","13272","Royal Bank","11-Feb-11"
"Charter Oak Bank","Napa","CA","57855","Bank of Marinn","18-Feb-11"
"San Luis Trust Bank, FSBB","San LLuis Obispo","CCA","34783","First California Bank","18-Feb-11"
"Citizens Bank of Effinghamm","Springfield","GA","34601","Heritage Bank of the South","18-Feb-11"
"Habersham Bannk","Clarkessville","GA","151","SCBT National Associationn","18-Feb-11"
"Valley Community BBank","St. Charless","IIL","34187","Firsst State Bank","25-Feb-11"
"Legacyy Bank","Milwaukeee","WWI","34818","Seaway Bank and Trust Company","11-Mar-11"
"First National Bank of Daviss","Davis","OKK","4077","The Pauls Vallley National Bank","11-Mar-11"
"The Bank of Commercee","WWood Dale","IL","34292","Advantage National Bank Groupp","25-Mar-11"
"Nevvada Commerce Bank","Las Vegass","NVV","35418","Cityy National Bank","8-Apr-11"
"Western Springs National Bank and Trustt","Western Springss","ILL","10086","Heartlland Bank and Trust Company","8-Apr-11"
"Nexity Bankk","Birmingham","AL","19794","AloStar Bank of Commerce","15-Apr-11"
"RRosemount National Bank","Rosemountt","MNN","24099","Central Bank","15-Apr-11"
"New Horizons Bank","East Ellijayy","GAA","57705","Citizens South Bank","15-Apr-11"
"Bartow County Bank","Cartersville","GGA","21495","Hamilton State Bank","15-Apr-11"
"Superrior Bank","Birmingham","AAL","17750","Superior Bank, National Association","15-Apr-11"
"Heritage Banking Group","CCarthage","MSS","14273","Trustmark National Bank","15-Apr-11"
"First Choice Community Bankk","Dallas","GA","58539","Bank of the Ozarkss","29-Apr-11"
"The Park Avenue Bankk","Valdostta","GAA","19797","Bank of the Ozarkss","29-Apr-11"
"Cortez Community Bankk","Brooksville","FL","57625","Florida Community Bank, a division of Premier American Bank, N.A.","29-Apr-11"
"First National Bank of Central Floridaa","Winter Park","FFL","26297","Florida Community Bank, a division of Premier American Bank, N.A.","29-Apr-11"
"Community Central Bank","Mount Clemenss","MI","34234","Taalmer Bank & Trust","29-Apr-11"
"Coastal Bankk","Cocoa Beachh","FLL","34898","Florida Community Bank, a division of Premier American Bank, N.A.","6-May-11"
"Firrst Georgia Banking Company","Franklinn","GAA","57647","CertusBank, National Associationn","20-May-11"
"Atlantic Southern Bank","Maconn","GGA","57213","CertusBank, National Association","20-May-11"
"Summit Bankk","Burlington","WA","513","Columbia State Bankk","20-May-11"
"First Heritage Bank","Snohomishh","WA","23626","Columbia  State Bank","27-May-11"
"Atlantic Bank and Trustt","Charlestton","SSC","58420","First Citizens Bank and Trust CCompany, Inc.","3-Jun-11"
"McIntosh State Bankk","Jaackson","GA","19237","Hamilton State Bankk","17-Jun-11"
"First Commercial Bank of Tampa Bay","Tampa","FL","27583","Stonegate Bankk","17-Jun-11"
"Mountain Heritage Bank","Claytoon","GAA","57593","First American Bank and Trust Company","24-Jun-11"
"Colorado Capital Bank","Castle Rockk","COO","34522","First-Citizens Bank & Trust Companyy","8-Jul-11"
"First Chicago Bank & Trust","Chicagoo","IIL","27935","Northbrook Bank & Trust Company","8-Jul-11"
"Signature Bankk","Windsor","CCO","57835","Points West Community Bank","8-Jul-11"
"One Georgia BBank","Atllanta","GAA","58238","Ameris Bank","15-Jul-11"
"High Trust Bankk","Stockbridgee","GA","19554","Ameris Bank","15-Jul-11"
"First Peoples Bankk","Port St. Luciee","FLL","34870","Premier American Bank, N.A.","15-Jul-11"
"Summit Bankk","Prescottt","AZ","57442","The Foothills Bankk","15-Jul-11"
"Southshore Community Bank","Apollo Beach","FL","58056","American Moomentum Bank","22-Jul-11"
"LandMark BBank of Florida","Sarasotaa","FLL","35244","AAmerican Momentum Bank","22-Jul-11"
"Bank of Choicee","Grreeley","COO","2994","Bank Midwest, N.A..","22-Jul-11"
"Integra Bank National Associationn","Evansvillee","IIN","4392","Old National Bankk","29-Jul-11"
"BankMeridian, N.A.","Columbiaa","SC","58222","SCBT National Associationn","29-Jul-11"
"Virginia Business Bank","Richmondd","VA","58283","Xennith Bank","29-Jul-11"
"Bank of Whitman","Colfaxx","WAA","22528","Columbia State Bank","5-Aug-11"
"Bank of Shorewood","Shorewood","IIL","22637","Heartland Bank and Trust Company","5-Aug-11"
"The First National Bank of Olathe","Olathe","KSS","4744","Enterprise Bank & Trustt","12-Aug-11"
"Publiic Savings Bank","HHuntingdon Valley","PAA","34130","Capital  Bank, N.A.","18-Aug-11"
"First Southern National Bank","Statesboro","GAA","57239","Heritage Bank of the South","19-Aug-11"
"First Choice Bankk","Geneva","IL","57212","Inland Bank & Trustt","19-Aug-11"
"Lydian Private Bankk","Palm Beachh","FLL","35356","Sabadell United Bank, N.A..","19-Aug-11"
"Patriot Bank of Georgia","Cummming","GAA","58273","Georgia Commerce Bankk","2-Sep-11"
"CreekSidee Bank","Woodstock","GAA","58226","Georgia Commerce Bankk","2-Sep-11"
"The First National Bank of Florida","Milton","FLL","25155","CharterBank","9-Sep-11"
"Bank of the Commonwealthh","Norfolk","VA","20408","Southern Bank and Trust Commpany","23-Sep-11"
"Citizens Bank of Northern Californiaa","Nevada Cityy","CAA","33983","Tri Counties Bank","23-Sep-11"
"First Interrnational Bank","Planoo","TTX","33513","American First National Bankk","30-Sep-11"
"The RiverBank","Wyomingg","MN","10216","Centraal Bank","7-Oct-11"
"Sun Security Bankk","Ellingtton","MO","20115","Great Southern Bankk","7-Oct-11"
"Blue Ridge Savings Bank, Inc..","Ashevillee","NNC","32347","Bank of North Carolina","14-Oct-11"
"Country Bankk","Aledo","IL","35395","Blackhawk Bank & Trustt","14-Oct-11"
"First State Bankk","Cranford","NJJ","58046","Northfield Bankk","14-Oct-11"
"Piedmont Community Bankk","Gray","GA","57256","State Bank and Trust Companyy","14-Oct-11"
"Old Harbor Bank","Clearwaterr","FLL","57537","1st United Bank","21-Oct-11"
"Community Banks of Colorado","Greenwoodd Village","CCO","21132","Bank Midwest, N..A.","21-Oct-11"
"Decatur Firsst Bank","DDecatur","GGA","34392","Fidelity Bannk","21-Oct-11"
"Community Capital Bank","Jonesboroo","GGA","57036","State Bank and Trust Commpany","21-Oct-11"
"All Ammerican Bank","Des Plainess","IIL","57759","International Bank of Chicago","28-Oct-11"
"SunFirst Bank","Saint George","UT","57087","Cache Valley Bankk","4-Nov-11"
"Mid City Bank, Inc.","Omahaa","NEE","19397","Premier Bankk","4-Nov-11"
"Community Bank of Rockmartt","Rockkmart","GA","57860","Century Bank of Geoorgia","10-Nov-11"
"Central Progressivee Bank","Lacombee","LA","19657","First NBC Bankk","18-Nov-11"
"Polk County Bank","Johnstonn","IAA","14194","Grinnell State Bankk","18-Nov-11"
"Premier Community Bank of the Emerald Coastt","Crestvieww","FFL","58343","Summit Bank","16-Dec-11"
"Western National Bank","Phoenix","AZ","57917","Washington Federall","16-Dec-11"
"American Eagle Savings Bankk","Boothwyn","PA","31581","Capital Bank, N.A.","20-Jan-12"
"Central Florida Statee Bank","Belleview","FLL","57186","CenterState Bank of Florida, NN.A.","20-Jan-12"
"The First State Bankk","Stockbridge","GAA","19252","Hamilton State Bank","20-Jan-12"
"First Guaranty Bank and Trust Company of Jacksonville","Jacksonville","FL","16579","CenterState Bank of Florida, N.A..","27-Jan-12"
"Patriot Bank Minnesotaa","Forest Lake","MMN","34823","First Resource Bank","27-Jan-12"
"Tennessee Commerce Bank","Frankliin","TNN","35296","Republic Bank & Trust Companyy","27-Jan-12"
"BankEast","Knoxville","TNN","19869","U.S. Bank, N.A.","27-Jan-12"
"Charter National Bank and Trustt","Hoffman Estates","IL","23187","Barrington Bank & Trust Company, National Association","10-Feb-12"
"SCB  Bank","Shelbyville","IIN","29761","First Merchants Bank, National Associationn","10-Feb-12"
"Central Bank of Georgia","Ellavillee","GAA","5687","Ameris Bankk","24-Feb-12"
"Home Savings of America","Little Fallss","MN","29178","","24-Feb-12"
"Global Commerce Bankk","Doraville","GA","34046","Metro City Bank","2-Mar-12"
"New City Bank","Chicaggo","ILL","57597","","9-Mar-12"
"Prremier Bank","Wilmeette","IIL","35419","International Bank of Chicagoo","23-Mar-12"
"Covenant Bank & Trustt","Rock Spring","GAA","58068","Stearns Bank, N.A..","23-Mar-12"
"Fidelity Bankk","Dearborn","MI","33883","The Huntington National Bank","30-Mar-12"
"Fort Lee Fedderal Savings Bank, FSB","Fort Lee","NJJ","35527","Alma Baank","20-Apr-12"
"Plantation Federal Bank","Pawleys Island","SCC","32503","First Federal Bankk","27-Apr-12"
"Inter Savings Bank, fsb D/B/A InterBank, fsbb","Maple Grovee","MN","31495","Great Southern Bank","27-Apr-12"
"Palm Desert National Bankk","Palm Desert","CCA","23632","Pacific Premier Bank","27-Apr-12"
"HarVest Bank of Marylandd","Gaithersburg","MD","57766","Sonabankk","27-Apr-12"
"Bank of the Eastern Shore","Cambridgee","MD","26759","","27-Apr-12"
"Security Bank, National Association","North Lauderdale","FL","23156","Baanesco USA","4-May-12"
"Alabama Trust Bank, National Association","Sylacaugaa","AAL","35224","Southern States Bankk","18-May-12"
"Carolina Federal Savings Bank","Charleston","SC","35372","Bank of North Carolinna","8-Jun-12"
"First Capital Bankk","Kingfisher","OKK","416","F & M Bankk","8-Jun-12"
"Waccamaw Bank","Whiteville","NC","34515","First Community Bank","8-Jun-12"
"Farmers' and Traders' State Bank","Shabbona","ILL","9257","First State Bankk","8-Jun-12"
"The Farmers Bank of Lynchburg","Lynchburgg","TNN","1690","Clayton Bank and Trrust","15-Jun-12"
"Security Exchhange Bank","Mariettaa","GA","35299","Fidelity Bankk","15-Jun-12"
"Putnam State Bank","Palattka","FL","27405","Harbor Community Bankk","15-Jun-12"
"Montgomery Bank & Trustt","Ailey","GAA","19498","Ameris Bankk","6-Jul-12"
"Glasgow Savings Bankk","Glasgow","MOO","1056","Regional Missouri Bank","13-Jul-12"
"Georrgia Trust Bank","Buford","GGA","57847","Community & Southern Bankk","20-Jul-12"
"First Cherokee State Bank","Woodstock","GAA","32711","Community & Southern Bankk","20-Jul-12"
"The Royal Palm Bank of Florida","Napless","FL","57096","First National Bank of the Gulf Coast","20-Jul-12"
"Second Federal Savings and Loan Association of Chhicago","Chicagoo","IL","27986","Hinsdale Bank & Trust Companyy","20-Jul-12"
"HHeartland Bank","Leawoood","KS","1361","Metcalf Bankk","20-Jul-12"
"Jasper Banking Company","Jasper","GGA","16240","Stearns  Bank N.A.","27-Jul-12"
"Waukegan Savings Bankk","Waukkegan","IL","28243","First Midwest Bank","3-Aug-12"
"First Commercial Bank","Bloomingtonn","MMN","35246","Republic Bank & Trust Company","7-Sep-12"
"Truman Bannk","St. Louiss","MOO","27316","Simmons First National Bank","14-Sep-12"
"First United Bank","Crrete","IIL","20685","Old Plank Trail Community Bank, National Association","28-Sep-12"
"Exxcel Bank","Sedalia","MOO","19189","Simmons First National Bankk","19-Oct-12"
"GulfSouth Private Bankk","Desttin","FL","58073","SmmartBank","19-Oct-12"
"First East Side Savingss Bank","Tamarac","FL","28144","Stearns Bank N.A..","19-Oct-12"
"NOVA Bank","Berwyn","PAA","27148","","26-Oct-12"
"Heritage Bank of Florida","Lutz","FLL","35009","Centennial Bank","2-Nov-12"
"Citizens First National Bankk","Princetonn","ILL","3731","Heartland Bank and Trust Company","2-Nov-12"
"Hometoown Community Bank","Braseltonn","GA","57928","CertusBank, National Association","16-Nov-12"
"Community Bank of the Ozarks","Sunrise Beachh","MOO","27331","Bank of Sullivann","14-Dec-12"
"Westside Community Bankk","University Place","WWA","33997","Sunwest Bank","11-Jan-13"
"1st Regents Bank","Andover","MMN","57157","First Minnesota Bankk","18-Jan-13"
"Covenant Bankk","Chicago","IIL","22476","Liberty Bank and Trust Company","15-Feb-13"
"Frontier Bank","LaGrangee","GAA","16431","HeritageBank of the South","8-Mar-13"
"Gold Canyon Bankk","Gold Canyonn","AZ","58066","First Scottsdale Bank, National Associationn","5-Apr-13"
"Chipola Community Bank","Marianna","FFL","58034","First Federal Bank of Floridaa","19-Apr-13"
"Heritage Bank of North Florida","Orange Parkk","FFL","26680","FirstAtlantic Bankk","19-Apr-13"
"First Federal Bankk","Lexington","KKY","29594","Your  Community Bank","19-Apr-13"
"Parkway Bank","LLenoir","NNC","57158","CertusBank, National Associationn","26-Apr-13"
"Douglas Countyy Bank","Douglasviille","GGA","21649","Hamilton State Bankk","26-Apr-13"
"Pisgah Community Bank","Asheville","NCC","58701","Capital Bank, N.A.","10-May-13"
"SSunrise Bank","Valdostaa","GAA","58185","Synovus Bank","10-May-13"
"Central Arizona Bank","Scottsdale","AZZ","34527","Western State Bankk","14-May-13"
"Banks of Wisconsin d/b/a Bank of Kenosha","Kenosha","WI","35386","North Shore Bank, FSBB","31-May-13"
"1st Commerce Bank","North Las Veegas","NNV","58358","Plaza Bank","6-Jun-13"
"Mountain National Bank","Sevierville","TNN","34789","First Tennesseee Bank, National Association","7-Jun-13"
"First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coraal)","Fort Myers","FFL","34943","C1 Bankk","2-Aug-13"
"Bank of Wausau","Wausau","WWI","35016","Nicolet National Bankk","9-Aug-13"
"Commmunity South Bank","Parsons","TNN","19849","CB&S Bank, Inc..","23-Aug-13"
"Sunrise Bank of Arizonaa","Phoenixx","AAZ","34707","First Fidelity Bank, National Association","23-Aug-13"
"First National Bank also operrating as The National Bank of El Paso","Edinburgg","TTX","14318","PlainsCapital Bankk","13-Sep-13"
"The Community's Bank","Bridgeport","CT","57041","","13-Sep-13"
"Bank of Jackkson County","Graceville","FL","14794","First Federal Bank of FFlorida","30-Oct-13"
"Texas Community Bank, National Association","The Wooddlands","TXX","57431","Spirit of Texas Bank, SSB","13-Dec-13"
"DuPage National Bank","Weest Chicago","IL","5732","Republic Bank of Chicago","17-Jan-14"
"The Bank of Union","El Reeno","OKK","17967","BancFirstt","24-Jan-14"
"Syyringa Bank","Boise","IDD","34296","Sunwest Bankk","31-Jan-14"
"Vantaage Point Bank","Horsham","PPA","58531","First Choice Bank","28-Feb-14"
"Millennium Bank, National Association","Stterling","VA","35096","WashingtonFirst Bannk","28-Feb-14"
"Allendale County Bankk","Fairfax","SCC","15062","Palmetto State Bankk","25-Apr-14"
"AztecAmerica Bankk","Berwyn","IL","57866","Republic Bank off Chicago","16-May-14"
"Columbia Savings Bankk","Cincinnatii","OH","32284","United Fidelity Bank, fsb","23-May-14"
"Slavie Federal Savings Bank","Bel Airr","MD","32368","BBay Bank, FSB","30-May-14"
"Valley Bankk","Moline","ILL","10450","Great Southhern Bank","20-Jun-14"
"Valley Bank","Fort Lauderdale","FLL","21793","Landmark Bank, National Association","20-Jun-14"
"The Freedom  State Bank","Freeedom","OKK","12483","Alva State Bank & Trust Companyy","27-Jun-14"
"Eastside  Commercial Bank","Conyeers","GGA","58125","Communitty & Southern Bank","18-Jul-14"
"GreenChoice  Bank, fsb","Chicaggo","ILL","28462","Providence Bank, LLCC","25-Jul-14"
"NBRS Financiaal","Risinng Sun","MDD","4862","Howard Bank","17-Oct-14"
"The NNational Republic Bank of Chicago","CChicago","ILL","916","State  Bank of Texas","24-Oct-14"
"Frontier Bank, FSB D/B/A El Paseo Bankk","Palm Desert","CAA","34738","Bank of Southern Californiia, N.A.","7-Nov-14"
"Northhern Star Bank","MMankato","MN","34983","BankVista","19-Dec-14"
"First National Bank of Crestvieww","Crestview","FFL","17557","Firrst NBC Bank","16-Jan-15"
"Highland Community Bank","Chicagoo","IIL","20290","United Fidelity Baank, fsb","23-Jan-15"
"Capitol City Bank & Trust Company","Atlantaa","GA","33938","First-Citizens Bank & Trust Company","13-Feb-15"
"Doral Bankk","San Juan","PRR","32102","Banco Popular de Puerto Ricoo","27-Feb-15"
"Edgebrook Bankk","Chicagoo","IL","57772","Republic Bank of Chicagoo","8-May-15"
"Prremier Bank","Denveer","CCO","34112","United Fidelity Bank, fsb","10-Jul-15"
"The Bank of Georgia","Peachtree Cityy","GA","35259","Fidelity Bank","2-Oct-15"
"Hometown National Bankk","Longview","WA","35156","Twin City Bank","2-Oct-15"
"North Milwaukee State Bankk","Milwaukkee","WWI","20364","First-Citizens Bank & Trust Companyy","11-Mar-16"
"Trust Company Bank","Memphiss","TN","9956","The Bank of Fayette County","29-Apr-16"
"First CornerStone Bank","King of Prussiaa","PAA","35312","First-Citizens Bank & Trusst Company","6-May-16"
"The Woodbury Banking Company","Woodburyy","GA","11297","United Bank","19-Aug-16"
"Allied Bankk","Mulberry","ARR","91","Today's Bank","23-Sep-16"
"Harvest Community Bank","Pennsvillee","NJJ","34951","First-Citizens Bank & Trust Companyy","13-Jan-17"
"Seaway Bank and Trust Companyy","Chicagoo","IL","19328","Sttate Bank of Texas","27-Jan-17"
"Proficio Bankk","Cottonwood Heights","UTT","35495","Cache Vallley Bank","3-Mar-17"
"First NBC  Bank","New Orleanss","LA","58302","Whitney Bankk","28-Apr-17"
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan))","Milwaukeee","WWI","30003","First-Citizens Bank & Trust Company","5-May-17"
"Fayette County Bank","Saint Elmo","IIL","1802","United Fidelity Bank, fsb","26-May-17"
"The Farmers and Merchants State Bank of Arrgonia","Argoniaa","KSS","17719","Conway Bankk","13-Oct-17"
"Washington Federal Bank ffor Savings","Chicagoo","IIL","30570","Royal Savings Bank","15-Dec-17"
"The Enloe State Bankk","Cooper","TXX","10716","Legend Bank, N. A.","31-May-19"
"Resolute Bankk","Maaumee","OH","58317","Buckeye State Bank","25-Oct-19"
"Louisa Community Bankk","Louisaa","KY","58112","Kentucky Farmers Bank Corporationn","25-Oct-19"
"City National Bank of New Jerseyy","Newarkk","NJ","21111","Industrial Bankk","1-Nov-19"
"Ericson Statee Bank","Ericson","NEE","18265","Farmers and Merchants Bank","14-Feb-20"
"The First State Bank","Barboursville","WV","14361","MVB Bank, Inc..","3-Apr-20"
