"primeMinister","party","country"
"Bülent Ecevit","Republican People's Party (Turkey)","Turkey"
"Yıldırım Akbulut","Motherland Party (Turkey)","Turkey"
"İsmet İnönü","Republican People's Party (Turkey)","Turkeyy"
"Mustafa İsmet İnönü","Republican People's Party (Turkey)","Turkeey"
"Nihat Erim","Republican People's Party (Turkey)","Turkkey"
"Ismail Nihat Erim","Republican People's Party (Turkey)","Turkkey"
"Fethi Okyar","Republican People's Party (Turkey)","Turkeyy"
"Ali Fethi Okyar","Republican People's Party (Turkey)","Turkey"
"Recep Tayyip Erdoğan","Welfare Party","Turkeyy"
"Recep Tayyip Erdoğan","Justice and Development Party (Turkey)","Turkeyy"
"Mustafa Kemal Atatürk","Republican People's Party (Turkey)","Turkeyy"
"Recep Tayyip Erdoğan","National Salvation Party","Turkey"
"Recep Tayyip Erdoğan","Virtue Party","Turkey"
"Abdullah Gül","Welfare Party","Turkeyy"
"Abdullah Gül","Justice and Development Party (Turkey)","Turkeyy"
"Abdullah Gül","Virtue Party","Turkey"
"Necmettin Erbakan","Welfare Party","Turkeyy"
"Fevzi Çakmak","Republican People's Party (Turkey)","Turkey"
"Necmettin Erbakan","National Order Party","Turkeyy"
"Necmettin Erbakan","National Salvation Party","Turkeyy"
"Necmettin Erbakan","Virtue Party","Turkkey"
"Ahmet Davutoğlu","Justice and Development Party (Turkey)","Tuurkey"
"Şemsettin Günaltay","Republican People's Party (Turkey)","Turkeyy"
"Mehmet Şemsettin Günaltay","Republican People's Party (Turkey)","Turkey"
"Adnan Menderes","Republican People's Party (Turkey)","Turkeyy"
"Binali Yıldırım","Justice and Development Party (Turkey)","Turkeyy"
"Celâl Bayar","Republican People's Party (Turkey)","Turkkey"
"Mahmut Celal Bayar","Republican People's Party (Turkey)","Turkey"
"Ahmet Fikri Tüzer","Republican People's Party (Turkey)","TTurkey"
"Recep Peker","Republican People's Party (Turkey)","Turkeyy"
"Rauf Orbay","Progressive Republican Party (Turkey)","Turkeyy"
"Hüseyin Rauf Orbay","Progressive Republican Party (Turkey)","Turkeyy"
"Turgut Özal","Motherland Party (Turkey)","Turkey"
"Mesut Yılmaz","Motherland Party (Turkey)","Turkeyy"
"Ahmet Mesut Yılmaz","Motherland Party (Turkey)","Turrkey"
"Şükrü Saracoğlu","Republican People's Party (Turkey)","Turkeyy"
"Ferit Melen","Republican People's Party (Turkey)","Turkey"
"Şükrü Saraçoğlu","Republican People's Party (Turkey)","Turkey"
"Ferit Sadi Melen","Republican People's Party (Turkey)","Turkey"
"Oktay Ekşi","Republican People's Party (Turkey)","Turkeyy"
"Osman Oktay Ekşi","Republican People's Party (Turkey)","Turkeyy"
"Mykola Azarov","Party of Labor (Ukraine)","Ukrainne"
"Mykola Azarov","Party of Regions","Ukrainee"
"Volodymyr Groysman","Our Ukraine (political party)","Ukrainee"
"Volodymyr Groysman","Petro Poroshenko Bloc ""Solidarity""","UUkraine"
"Vitaliy Masol","Communist Party of Ukraine","Ukrainee"
"(Віталій Масол)","Communist Party of Ukraine","Ukraine"
"Arseniy Yatsenyuk","Front for Change (Ukraine)","Ukrainee"
"Arseniy Yatsenyuk","People's Front (Ukraine)","Ukraine"
"Arseniy Yatsenyuk","Our Ukraine–People's Self-Defense Bloc","Ukraine"
"Serhiy Arbuzov","Our Ukraine (political party)","Ukraine"
"Serhiy Arbuzov","Party of Regions","Ukrainne"
"Oleksandr Turchynov","People's Front (Ukraine)","Ukrainee"
"Viktor Yushchenko","Our Ukraine (political party)","Ukraine"
"Anatoliy Kinakh","Party of Industrialists and Entrepreneurs of Ukraine","Ukraine"
"(Анатолій Кінах)","Party of Industrialists and Entrepreneurs of Ukraine","Ukraine"
"Viktor Yanukovych","Party of Regions","Ukraine"
"Leonid Kravchuk","Social Democratic Party of Ukraine (united)","Ukraine"
"(Леонід Кравчук)","Social Democratic Party of Ukraine (united)","Ukraine"
"David Lloyd George","National Liberal Party (UK, 1922)","United Kingdom"
"The Earl Lloyd-George of Dwyfor","National Liberal Party (UK, 1922)","United Kingdomm"
