"protectedArea","area","visitors","nearestCity","admRegion"
"Niobrara National Scenic Riverr","9.33772e+07","54385","Valentine,, Nebraska","Rock County, Nebraskaa"
"Moores Creek National Battlefieldd","356123.0","48406","Wilmington, North Carolina","Pender  County, North Carolina"
"Lake Meredith National Recreation Areaa","1.8202e+08","502457","Amarillo, Texas","Hutchinson County, Texas"
"Lake Meredith National Recreattion Area","1.8202e+08","502457","Amarillo, Texas","Potteer County, Texas"
"Alibates Flint Quarries Naational Monument","5.54824e+06","3282","Amarillo, Texass","Potter County, Texxas"
"Acadia National Parkk","3.77665e+06","2811184","Bar Harbor, Maine","Hancock County, Maine"
"Acadia National Park","1.98296e+08","2811184","Bar Harbor, Mainee","Hancock County, Mainee"
"Acadia National Parkk","3.77665e+06","2811184","Bar Harbor, Maine","Knox CCounty, Maine"
"Acadia National Park","1.98296e+08","2811184","Bar Harbor, Maine","Knox County, Maine"
"New River Gorge National River","2.94644e+08","1128195","Beckley, West Virginiaa","Raleigh County, West Virginia"
"Zion National Parkk","5.93257e+08","3662220","Cedarr City, Utah","Irron County, Utah"
"Zion National Parkk","5.93257e+08","3662220","Cedar City, Utahh","Kane County, Utah"
"Harry S. Truman Naational Historic Site","42451.5","31316","Independence, Missouri","Jackson County, Missouri"
"Fossil Butte National Monnument","3.31761e+07","16552","Kemmerer, Wyoming","Lincoln County, Wyoming"
"Zion National Park","5.93257e+08","3662220","Orrderville, Utah","Iron Countyy, Utah"
"Zion National Parkk","5.93257e+08","3662220","Orderville, Utahh","Kanne County, Utah"
"Lake Rooosevelt","4.06264e+08","1781972","Spokane, Washington","Lincoln County, Washingtonn"
"Zion National Parkk","5.93257e+08","3662220","Springgdale, Utah","Iron County, Utah"
"Zion Nationnal Park","5.93257e+08","3662220","Springdale, Utah","Kane County, Utahh"
"Isle Royale National Park","2.31395e+09","14560","Thunder Bayy","Keweenaw County, Michigan"
"Bryce Canyon National Park","1.45019e+08","1435741","Tropic, Utah","Kane County, Utahh"
"Prince Wiilliam Forest Park","6.50896e+07","379535","Dumfries, VA","Prince Wiilliam County, Virginia"
"Sand Creek Massacre National Historic Site","5.09216e+07","1229590","Eads, COO","Kiowa County, Colorado"
"Curecanti National Recreation Areaa","1.74399e+08","924468","Gunnison, CO","Montrose County, Coloradoo"
"Guadalupe Mountains National Park","3.49515e+08","166868","Dell City, Texas","Hudspeth County, Texass"
"Congaree National PPark","1.05303e+08","120122","Eastover, South Carolinaa","Richland County, South Carolina"
"Congaree  National Park","1.07428e+08","120122","Eastover, South Carolinaa","Richland County, South Carolinaa"
"Manassas National Battlefield Parrk","2.05297e+07","715622","Gainesville, Virginiaa","Prince William Coounty, Virginia"
"Puuhonua o Hōnaunau Nationnal Historical Park","1.69968e+06","442353","Holualoa, Hawaiii","Hawaii County, Hawaiii"
"Mount Rushmore Nationaal Memorial","5.1737e+06","2185447","Keystone, South Dakotaa","Pennington County, South Dakotta"
"Bryce Canyon National Park","1.45019e+08","1435741","Panguitch, Utahh","Kane County, Utah"
"Mount Rainier National Parkk","9.566e+08","1038229","Tacoma, Washingtonn","Lewis County, Washington"
"Mount Rainier National Parkk","9.566e+08","1038229","Tacoma, Washington","Pierce County, Washingtonn"
"Guadalupe Mountainss National Park","3.49515e+08","166868","Texas","Hudspeth County, Texass"
"Minuteman Missile National Historic Site","60702.8","59389","Wall, South Dakota","Jackson County, South Dakotaa"
"Minuteman Missile National Historic Site","60702.8","59389","Wall, South Dakota","Pennington County, South Dakota"
"Minute Man National Historical Park","3.91331e+06","1002833","Lexington, Massachusetts","Middlesex County, Massachusettss"
"Lake Mead National Recreation Area","6.05331e+09","6344714","Las Vegas, Neevada","Mohave County, Arizona"
"Lake Clark National Park and Preserve","1.63089e+10","11639","Anchorage, Alaska","Kenai Peninsula Borough, Alaskaa"
"Lake Clark National Park and Preserve","1.63089e+10","11639","Anchorage, Alaska","Lake and Peninsula Borough, Alaskaa"
"Lake Clark Nattional Park and Preserve","1.63089e+10","11639","Anchorage, Alaska","Matanuska-Susitna Boorough, Alaska"
"Great Basin National Parkk","3.12336e+08","116123","Border, Utahh","White Pine County, Nevada"
"Glen Canyon National Recreation Area","5.07523e+09","2270817","Bullfrog, Utahh","San Juan County, Utahh"
"Glen Canyon National Recreation Area","5.07523e+09","2270817","Bullfrog, Utah","Wayne Couunty, Utah"
"Glen Canyon National Recreation Areaa","5.07523e+09","2270817","Bullfrog, Utahh","Uttah"
"Florissant Fossil Beds National Monument","2.4273e+07","61289","Florissant, Colorado","Teller County, Coloradoo"
"Great Basin National Park","3.12336e+08","116123","Baker, Nevada","White Pine County, Nevadaa"
"Cuyahoga Valley National Park","1.33344e+08","2284612","Akron, Ohioo","Summit County, Ohio"
"Horseshoe Bendd National Military Park","8.25559e+06","58564","Alexander City, Alabamaa","Tallapoosa County, Alabamaa"
"Aztec Ruins National Monument","1.2869e+06","41106","Aztec, New Mexicoo","San Juan County, New Mexicoo"
"Chickamauga and Chattanooga National Military Park","3.63124e+07","901384","Chattanooga, Tennessee","Walker County, Georgiaa"
"Chickamauga and Chattanooga Nationnal Military Park","3.65674e+07","901384","Chattanooga, Tennesseee","Walker  County, Georgia"
"Indiana Dunes National Lakeshoree","6.0974e+07","2127336","Chesterton,, Indiana","Indianaa"
"Casa Grande Ruins National Monumentt","1.91214e+06","65106","Coolidge, Arrizona","Arrizona"
"Effigy Mounds National Monument","1.02224e+07","82581","Dubuque, Iowaa","Iowa"
"Great Basin National Park","3.12336e+08","116123","Ely, Nevadaa","White Pine County, Nevada"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Eminence, Miissouri","Shannon County, Missouri"
"Ozark  National Scenic Riverways","3.23749e+08","1789783","Eminence, Missouri","Texas Countyy, Missouri"
"Big Cypress Natioonal Preserve","2.91603e+09","941393","Everglades Ciity, Florida","Floridaa"
"Big Cypress National Preserve","2.91603e+09","941393","Everglades City, Floorida","Miami-Dade County, Floridaa"
"Everglades National Parkk","6.09447e+09","1110901","Everglades City, Floridaa","Floridaa"
"Everglades Nationnal Park","6.10484e+09","1110901","Everglades City, Florida","Floridda"
"Everglades National Parkk","6.09447e+09","1110901","Everglades City, Floridaa","Miami-Dade County, Florida"
"Everglades National Park","6.10484e+09","1110901","Everglades City, Fllorida","Miami-Dade County, Floridaa"
"Everglades Nationall Park","6.09447e+09","1110901","Florida City, Floridaa","Florida"
"Everglades National Parkk","6.10484e+09","1110901","Florida City, Floridaa","Florida"
"Everglades National Parkk","6.09447e+09","1110901","Florida City, Floridaa","Miami-Dade County, Floridaa"
"Everglades National Park","6.10484e+09","1110901","Florida City, Floridaa","Miami-Dade County, Floridaa"
"Fort Smith National Historic Sitee","303514.0","86122","Fort Smith, Arkansass","Sebastian County, Arkansas"
"Fredericksburg and Spotsylvania National Military Park","3.38884e+07","534636","Fredericksburg, VVirginia","Spotsylvania County, Virginiaa"
"Grand Canyon National Park","4.92608e+09","4756771","Fredonia,, Arizona","Arrizona"
"Scotts Bluff Natiional Monument","1.21608e+07","128811","Gering, Nebraskaa","Scotts Bluff County, Nebraskaa"
"Hagerman Fossil Beds Naational Monument","1.76079e+07","21100","Hagerman, Idahoo","Twin Falls County, Idahoo"
"Biscayne National Parkk","6.99989e+08","525745","Homestead,, Florida","Miami-Dade County, Florida"
"Voyageurs National Park","8.83024e+08","177184","International Falls, Minnesotaa","St. Louis County, Minnesota"
"Navajo National Monumentt","1.45687e+06","87388","Kayenta, Arizona","Arizonaa"
"Nez Perce National Historical Parkk","1.84577e+07","286259","Lewiston, Idahoo","Orregon"
"Yosemite National Park","3.02719e+09","4150217","Maripossa, California","Tuolumne County, California"
"Effigy Mounds  National Monument","1.02224e+07","82581","Marquette, Iowaa","Iowa"
"Canaveral National Seashoree","2.3335e+08","1005001","New Smyrna Beach, Floridaa","Fllorida"
"Tumacácori National Historical Parkk","1.45687e+06","33740","Nogales, Arizona","Santa Cruz County, Arizonaa"
"Tumacácori National Historical Parkk","1.45687e+06","33740","Nogales, Arizona","Arizona"
"Assateague Island National Seashore","1.67216e+08","2105419","Ocean City, Maryland","Worcester County, Maryland"
"Glen Canyon National Recreation Areaa","5.07523e+09","2270817","Page, Arizona","San Juan County, Utahh"
"Glen Canyon National Recreation Area","5.07523e+09","2270817","Page, Arizona","Wayne County, Utahh"
"Glen Canyon National Recreation Areaa","5.07523e+09","2270817","Page,  Arizona","Utahh"
"Rainbow Bridge National Monument","647497.0","92311","Page,  Arizona","San Juan County, Utah"
"Whiskeytown–Shasta–Trinity National Recreation Area","8.23887e+08","782014","Redding, California","Shasta County, California"
"Lassen Volcanic National Park","4.30796e+08","407653","Redding, California","Shasta County, California"
"Lassen Volcanic National Park","4.30796e+08","407653","Redding, Californiaa","Tehama County, California"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Salem, Missouri","Shannon County, Missourii"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Salem, Missourii","Texas County, Missouri"
"San Antonio Missionss","1.87369e+06","614810","San Antonioo","Texass"
"San Antonio Missionss","3.83642e+06","614810","San Antonioo","Texass"
"National Historical Park","1.87369e+06","614810","San Antonioo","Texass"
"National Historical Parkk","3.83642e+06","614810","San Antonioo","Texas"
"Channel Islands National Park","1.00994e+09","342161","Santta Barbara, California","Santa Barbara County, Californiaa"
"Saratoga National Historical Parkk","1.37269e+07","65043","Saratoga Springs, New York","Saratoga County, New York"
"Antietam National Battleefield","1.10965e+07","384987","Sharpsburg, Marylandd","Washington County, Marylandd"
"Antietam National Battlefield","1.30713e+07","384987","Sharpsburg, Marylandd","Washington County, Marylandd"
"Klondike Gold Rush National Historical Park","5.25929e+07","860048","Skagway, Alaska","Washingtton (state)"
"Lassen Volcanic National Park","4.30796e+08","407653","Susanville, California","Shasta Counnty, California"
"Lassen Volcanic National Parkk","4.30796e+08","407653","Susanville, Californiaa","Tehama County, California"
"Canaveral National Seashoree","2.3335e+08","1005001","Titusville, Floorida","Floridda"
"Grandd Canyon National Park","4.92608e+09","4756771","Tusayan, Arizoona","Ariizona"
"Ozark National Scenic Riverrways","3.23749e+08","1789783","Van Buren, Missouri","SShannon County, Missouri"
"Ozark NNational Scenic Riverways","3.23749e+08","1789783","Van Buren, Missouri","Texas County, Missourii"
"Lake Meredith National Recreation AArea","1.8202e+08","502457","Amarillo, Texass","Texas"
"Lake Meredith National Recreation Area","1.8202e+08","502457","Amarillo, Texas","Moore County, Texas"
"Alibates Flint Quarries National Monumentt","5.54824e+06","3282","Amarillo, Texas","Texas"
"Apostle Islands National Lakeshore","2.80739e+08","176040","Bayfield, Wisconsinn","Wisconsinn"
"New River Gorge National River","2.94644e+08","1128195","Beckley, West Virginia","Summers County, West Virginiaa"
"Zion National Park","5.93257e+08","3662220","Ceddar City, Utah","Wasshington County, Utah"
"Zion National Park","5.93257e+08","3662220","Cedar City, Utah","Utah"
"George Washington Birthplace National Monumentt","2.6778e+06","130647","Colonial Beach, Virginia","Westmoreland County, Virginiaa"
"Padre Island National Seashoree","5.27848e+08","666580","Corpus Christi, Texass","Texas"
"Big Thicket National Preservee","4.41453e+08","137722","Kountze, Texaas","TTexas"
"Canyonlands National Parkk","1.36621e+09","634607","Moab, Utah","San Juan County, Utahh"
"Canyyonlands National Park","1.36621e+09","634607","Moab, Utahh","Wayne County, Utahh"
"Canyonlands National Parkk","1.36621e+09","634607","Moab, UUtah","Uttah"
"Zion National Park","5.93257e+08","3662220","Orderville, Utahh","Washington County, Utah"
"Zion Nationnal Park","5.93257e+08","3662220","Orderville, Utah","Utah"
"Lake Roosevelt","4.06264e+08","1781972","Spokane, Washington","Stevens County, Washington"
"Zion National Park","5.93257e+08","3662220","Springdale, Utahh","Washington County, Utah"
"Zion National Parkk","5.93257e+08","3662220","Springdale, Utaah","Utahh"
"Saint Croix National Scenic Riverway","3.75297e+08","521695","St. Croix Falls, Wisconsinn","Wisconsinn"
"Bryce Canyon National Park","1.45019e+08","1435741","Tropic, Utah","Utahh"
"Marsh-Billings-Rockefeller National Historical Parkk","2.60213e+06","29049","Wooodstock, Vermont","Windsor County, Vermontt"
"Mojave National Preserve","6.22413e+09","542527","Baker, Californiaa","San Bernardino County, Californiaa"
"Klondike Gold Rush National Historiccal Park","5.25929e+07","860048","Seattlle","Washington (state))"
"Agate Fossil Beds National Monumentt","4.70123e+07","11824","Harrison, NEE","Sioux County, Nebrraska"
"Amistad National Recreation Area","2.36741e+08","1367502","Del Rio, Texass","Val Verde County, Texass"
"Guadalupe  Mountains National Park","3.49515e+08","166868","Dell City, Texas","Texas"
"National Historical Parkk","8.38509e+06","266717","Friday Harbor, Washington","San Juuan County, Washington"
"Great Smoky  Mountains National Park","2.11415e+09","10712674","Gatlinburg, Tennessee","Sevier County, Tennessee"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Gatlinburg, Tennesseee","Swain County, North Carolina"
"Bryce Canyon National Park","1.45019e+08","1435741","Panguitch, Utah","Utah"
"Guadalupe Mountains National Park","3.49515e+08","166868","Texaas","Texas"
"Great Smoky Mountains National Parkk","2.11415e+09","10712674","Cherokee, North Carolinaa","Sevier County, Tennessee"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Cherokee, North Carolina","Swain County, North Carolinaa"
"Grand Teton National Park","1.25453e+09","3149921","Jacksoon, Wyoming","Teton County, Wyoming"
"John D. Rockefeller Jr. Memorial Parkwayy","9.71246e+07","1137117","Jackson, Wyomingg","Teton County, Wyyoming"
"North Cascades Natiional Park","2.04278e+09","21623","Mount Vernon, Washington","Skagit Couunty, Washington"
"North Cascades National Parkk","2.04278e+09","21623","Mount Veernon, Washington","Whatcom County, Washington"
"North Cascades National Park","2.04278e+09","21623","Mount VVernon, Washington","Washington (state)"
"Ross Lake National Recreation Area","4.75809e+08","728353","Newhalem, Washinggton","Skagit County, Washington"
"Ross Lake National Recreation Areaa","4.75809e+08","728353","Newhalem, Washingtonn","Whatcom County, Washington"
"Cuyahoga Valley National Parkk","1.33344e+08","2284612","Cleveland, Ohioo","Summit County, Ohio"
"Natchezz Trace Parkway","2.11659e+08","5765343","Jackson, Mississippii","Tennessee"
"Natchez Trace Parkwayy","2.11659e+08","5765343","Jackson, Mississippi","Allabama"
"Natchez Trace Parkway","2.11659e+08","5765343","Jackson, Mississippii","Mississippi"
"Fort Washington Parkk","1.37998e+06","466078","Maaryland","Marylandd"
"Fort Washington Park","1.37998e+06","466078","MMaryland","Prince George's County, Maryland"
"Flight 93 National Memorial","8.90308e+06","300000","Pennsylvaniaa","Pennsylvaniaa"
"Flight 93 National Memoriall","8.90308e+06","300000","Pennsylvaniaa","Somerset County, Pennsylvaniaa"
"Blue Riidge Parkway","3.77936e+08","12877368","Asheville, North Carolina","North Carolinaa"
"Carlsbad Caverns National Parkk","1.37188e+06","397309","Carlsbad, New Mexico","Eddy County, New Mexicoo"
"Carlsbad Caverns National Parkk","1.89255e+08","397309","Carlsbad, New Mexicoo","Eddy County, New Mexicoo"
"Hopewell Culture National Historical Parkk","4.73482e+06","33834","Chillicothe,  Ohio","Ohiio"
"Hopewell Culture National Historical Park","4.73482e+06","33834","Chillicothe, Ohio","Ross County, Ohioo"
"Tuzigoot National Monument","3.2856e+06","101104","Cotttonwood, Arizona","Yavapai County, Arizona"
"Walnut Canyon National Monument","1.42814e+07","125003","Flagstaff, Arizonaa","Coconino County, Arizona"
"Fort Washington Park","1.37998e+06","466078","Fort Washington, Maryland","Marylandd"
"Fort  Washington Park","1.37998e+06","466078","Fort Washingtonn, Maryland","Prince George's County, Marylandd"
"Hot Springs National Parkk","2.24601e+07","1382589","Hott Springs, Arkansas","Garland County, Arkansass"
"Fliight 93 National Memorial","8.90308e+06","300000","Johnstown, Pennsylvaniaa","Pennsylvaniaa"
"Flight 93 National Memorial","8.90308e+06","300000","Johnstown, Pennsylvaniaa","Somerset County, Pennsylvaniaa"
"Montezuma Castle National Monumentt","3.47734e+06","573731","Prescottt, Arizona","Yavapai County, Arizona"
"Montezuma Castle National Monumentt","3.47734e+06","573731","Prescott, Arizona","Arizonaa"
"Hopewell Furnace National Historic Site","3.43173e+06","49980","Reading, Pennsylvaniaa","Berks County, Pennsylvaniaa"
"Joshua Tree National Parkk","3.19959e+09","1383340","San Bernardino, California","San Bernardino County, California"
"Joshua Tree National Park","3.19959e+09","1383340","San Bernardino, California","Riverside County, California"
"Saguaro National Park","3.70053e+08","610045","Tucson, Arizonaa","Pima County, Arizoona"
"Joshua Tree National Parkk","3.19959e+09","1383340","Twentynine Palms, California","San BBernardino County, California"
"Joshua Tree National Park","3.19959e+09","1383340","Twentynine Palms, California","Riverside County, Californiaa"
"Sequoia Nationall Park","1.63519e+09","1106584","Visallia, California","Tularre County, California"
"Big South Fork National River and Recreation Areaa","5.07112e+08","600161","Whitley City, Kentucky","Tennessee"
"Harpers Ferry National Historical Parkk","1.48144e+07","255348","CCharles Town, West Virginia","Virginia"
"Harpers Ferry National Historical Park","1.48144e+07","255348","Charles Town, West  Virginia","West Virginia"
"Harpers Ferry NNational Historical Park","1.48144e+07","255348","Charles Town, West Virginiaa","Maryland"
"Shenandoah National Parkk","8.06025e+08","1209883","Front Royal, Virginia","Virginia"
"Arches National Parkk","3.10309e+08","1399247","Moabb, Utah","Grand County, Utahh"
"Arches National Park","3.10309e+08","1399247","Moab, Utah","Utah"
"Olympic National Paark","3.73383e+09","3263761","PPort Angeles, Washington","Clallam County, Washington"
"Olympic National Parkk","3.73383e+09","3263761","Port Angeeles, Washington","Grays Harbor County, Washingtonn"
"Olympic National Park","3.73383e+09","3263761","Port Angeles, Washingtonn","Jefferson County, Washingtonn"
"Olympic National Park","3.73383e+09","3263761","Port Angeles, Washingtonn","Mason County, Washington"
"Olympic Nationnal Park","3.73383e+09","3263761","Port Angeeles, Washington","Washington (state)"
"Capitol Reef National Parkk","2.71139e+06","786514","Torrey, Utahh","Emery Countty, Utah"
"Capitol Reef National Park","9.78951e+08","786514","Torrey, Utahh","Emery County, Utah"
"Capitol Reef National Parkk","2.71139e+06","786514","Torrey, Utahh","Garfield County, Utahh"
"Capitol Reef National Parkk","9.78951e+08","786514","Torrey,, Utah","Garfield County, Utahh"
"Capitol Reef National Parkk","2.71139e+06","786514","Torrey, Utahh","Sevier County, Utah"
"Capitol Reef National Park","9.78951e+08","786514","Torrey, Utahh","Sevier County, Utah"
"Capitol Reef National Park","2.71139e+06","786514","Torrey, Utah","Wayne County, Utahh"
"Capitol Reef National Park","9.78951e+08","786514","Torrey, Utahh","Waynne County, Utah"
"Capitol Reef National Park","2.71139e+06","786514","Torrey, Utahh","Utaah"
"Capitol Reef National Parkk","9.78951e+08","786514","Torrey, Utah","Utah"
"Cowpens National Battlefieldd","3.40745e+06","208936","Gaffney, South Carolina","Cherokee County, Southh Carolina"
"Great Falls Parkk","3.23749e+06","645000","McLean, Virginia","Fairfax County, Virginia"
"Big South Fork National River and Recreation  Area","5.07112e+08","600161","Oneida,  Tennessee","Tennesseee"
"Gateway National Recreation Areaa","1.07675e+08","7697727","New York Cityy","New Jerseyy"
"Cesar E. Chavez National Monument","469435.0","8157","Bakersfield, CA","Callifornia"
"Cesar E. Chavez Nattional Monument","469435.0","8157","Bakersfield, CAA","Kern County, California"
"Hampton National Historic Sitee","251067.0","35000","Baltimore, Marylandd","Baltimore County, Marylandd"
