"city","city_misspelled","state"
"Myrtle Beach","Mertle Beach","South Carolina, SC"
"Naperville","Napervile","Illinois, IL"
"Nashua","Nashuwa","New Hampshire, NH"
"Nashville","Nashvile","Arkansas, AR"
"Nashville","Nashvile","Georgia, GA"
"Nashville","Nashvile","Tennessee, TN"
"Naugatuck","Nagatuck","Connecticut, CT"
"Naugatuck","Naguatuck","Connecticut, CT"
"Naugatuck","Nagutuck","Connecticut, CT"
"Naugatuck","Naugatack","Connecticut, CT"
"Naugatuck","Naugatauk","Connecticut, CT"
"Nederland","Nedarland","Colorado, CO"
"Neosho","Noesho","Missouri, MO"
"New Britain","New Britin","Connecticut, CT"
"New Brunswick","Brenswick","New Jersey, NJ"
"New Brunswick","Brunswik","New Jersey, NJ"
"New Castle","New Castel","Pennsylvania, PA"
"New Haven","New Havan","Connecticut, CT"
"New Haven","New Heaven","Connecticut, CT"
"New Orleans","New Orlaens","Louisiana, LA"
"New Rochelle","New Rochele","New York, NY"
"New Rochelle","New Roshele","New York, NY"
"New Rochelle","New Roshelle","New York, NY"
"New Ulm","New Elm","Minnesota, MN"
"New York","New York City","New York, NY"
"New York","New Yurk City","New York, NY"
"New York","nyc","New York, NY"
"Newark","Neuark","New Jersey, NJ"
"Newberry","Newbury","Michigan, MI"
"Newberry","Nuberry","Michigan, MI"
"Newburyport","Newberyport","Massachusetts, MA"
"Newnan","Newman","Georgia, GA"
"Newnan","Nuuman","Georgia, GA"
"Newport","Nuuport","Rhode Island, RI"
"Niagara Falls","Niagra Falls","New York, NY"
"Norco","Norko","California, CA"
"Norman","Normann","Oklahoma, OK"
"North Adams","North Adums","Massachusetts, MA"
"North Loup","North Loop","Nebraska, NE"
"North Platte","North Plate","Nebraska, NE"
"North Tonawanda","North Tonwanda","New York, NY"
"Northampton","Northhampton","Massachusetts, MA"
"Northampton","Northhamptown","Massachusetts, MA"
"Northfield","Northfeild","Minnesota, MN"
"Norwich","Norwhich","Connecticut, CT"
"Norwich","Norwitch","Connecticut, CT"
"O'Fallon","O'Fallen","Missouri, MO"
"O'Fallon","Ofallen","Missouri, MO"
"O'Neill","O'Neil","Nebraska, NE"
"O'Neill","Oneil","Nebraska, NE"
"Oak Ridge","Oak Rigde","Tennessee, TN"
"Oakland","Okeland","Nebraska, NE"
"Ocean City","Ocaen City","New Jersey, NJ"
"Ocoee","Ocoei","Florida, FL"
"Ocoee","Ocooe","Florida, FL"
"Ocoee","Okooe","Florida, FL"
"Ogdensburg","Odgensburg","New York, NY"
"Ogdensburg","Ogdensberg","New York, NY"
"Okeechobee","Oceechobe","Florida, FL"
"Okeechobee","Oceechobee","Florida, FL"
"Okeechobee","Okechobee","Florida, FL"
"Oklahoma City","Oaklohoma City","Oklahoma, OK"
"Oklahoma City","Oklaoma City","Oklahoma, OK"
"Olathe","Olath","Kansas, KS"
"Olney","Alnee","Illinois, IL"
"Olney","Olnee","Illinois, IL"
"Omaha","Omeha","Nebraska, NE"
"Onaway","Onrway","Michigan, MI"
"Onaway","Unaway","Michigan, MI"
"Orem","Orim","Utah, UT"
"Orem","Urem","Utah, UT"
"Ormond Beach","Ormend Beach","Florida, FL"
"Oroville","Orovile","California, CA"
"Ouray","Owray","Colorado, CO"
"Ouray","Uray","Colorado, CO"
"Owensboro","Owensborough","Kentucky, KY"
"Oxnard","Oxnerd","California, CA"
"Ozark","Osark","Alabama, AL"
"Pacifica","Pacifika","California, CA"
"Pacifica","Paecifica","California, CA"
"Paducah","Padukah","Kentucky, KY"
"Palisade","Palicade","Colorado, CO"
"Palm Springs","Plam Springs","California, CA"
"Panama City Beach","Pamama Beach","Florida, FL"
"Panama City Beach","Pananma Beach","Florida, FL"
"Parsons","Parsins","Kansas, KS"
"Pasadena","Paesadena","California, CA"
"Pasadena","Pasedena","California, CA"
"Paterson","Patarson","New Jersey, NJ"
"Pawtucket","Pautucket","Rhode Island, RI"
"Peabody","Peebody","Massachusetts, MA"
"Pearsonville","Pearsonvile","California, CA"
"Pearsonville","Personville","California, CA"
"Pensacola","Pensecola","Florida, FL"
"Pensacola","Pensicola","Florida, FL"
"Peoria","Peeoria","Illinois, IL"
"Peoria","Peorhia","Illinois, IL"
"Perth Amboy","Pert Amboy","New Jersey, NJ"
"Perth Amboy","Perth Amboi","New Jersey, NJ"
"Peru","Peruu","Indiana, IN"
"Petersburg","Petersberg","West Virginia, WV"
"Phelps","Felps","New York, NY"
"Philadelphia","Philedelphia","Pennsylvania, PA"
"Philadelphia","Philidelphia","Pennsylvania, PA"
"Philadelphia","Piladelphia","Pennsylvania, PA"
"Phoenix","Fenix","Arizona, AZ"
"Phoenix","Phenix","Arizona, AZ"
"Phoenix","Pheonix","Arizona, AZ"
"Pikeville","Pikevile","Kentucky, KY"
"Pinehurst","Pinhurt","North Carolina, NC"
"Pittsburg","Pitsburg","Kansas, KS"
"Pittsburg","Pittburg","Kansas, KS"
"Pittsburg","Pittsburgh","Kansas, KS"
"Pittsburgh","Pitsberg","Pennsylvania, PA"
"Pittsburgh","Pitsburg","Pennsylvania, PA"
"Pittsburgh","Pitsburgh","Pennsylvania, PA"
"Pittsburgh","Pittsberg","Pennsylvania, PA"
"Pittsburgh","Pittsburg","Pennsylvania, PA"
"Placerville","Placervile","California, CA"
"Placerville","Plaserville","California, CA"
"Plainfield","Planfeild","New Jersey, NJ"
"Plano","Planno","Texas, TX"
"Plymouth","Plemouth","Massachusetts, MA"
"Plymouth","Plymoth","Massachusetts, MA"
"Plymouth","Plymuth","Massachusetts, MA"
"Pocatello","Pocatelo","Idaho, ID"
"Ponchatoula","Poncatoula","Louisiana, LA"
"Ponchatoula","Ponchatola","Louisiana, LA"
"Ponchatoula","Ponchatula","Louisiana, LA"
"Portland","Port Land","Oregon, OR"
"Prattville","Pratvile","Alabama, AL"
"Prattville","Pratville","Alabama, AL"
"Prescott","Prescot","Arizona, AZ"
"Presque Isle","Preskie Isle","Maine, ME"
"Presque Isle","Presqu Isle","Maine, ME"
"Preston","Prestin","Minnesota, MN"
"Provincetown","Provinceton","Massachusetts, MA"
"Provo","Provvo","Utah, UT"
"Pueblo","Peublo","Colorado, CO"
"Punxsutawney","Punsutawney","Pennsylvania, PA"
"Punxsutawney","Punsutawny","Pennsylvania, PA"
"Punxsutawney","Punxutawney","Pennsylvania, PA"
"Punxsutawney","Puxsutawny","Pennsylvania, PA"
"Purcell","Percel","Oklahoma, OK"
"Purcell","Percell","Oklahoma, OK"
"Purcell","Persel","Oklahoma, OK"
"Purcell","Persell","Oklahoma, OK"
"Purcell","Purcel","Oklahoma, OK"
"Purcell","Pursel","Oklahoma, OK"
"Quincy","Kwincy","Illinois, IL"
"Quinter","Kwinter","Kansas, KS"
"Quitman","Quietman","Texas, TX"
"Quitman","Quiteman","Texas, TX"
"Radford","Radferd","Virginia, VA"
"Radford","Redford","Virginia, VA"
"Raleigh","Raliegh","North Carolina, NC"
"Raleigh","Ralley","North Carolina, NC"
"Randolph","Randolf","Nebraska, NE"
"Ray","Rae","North Dakota, ND"
"Rayne","Rain","Louisiana, LA"
"Rayne","Raine","Louisiana, LA"
"Rayne","Rayn","Louisiana, LA"
"Reading","Reeding","Pennsylvania, PA"
"Redmond","Redmund","Washington, WA"
"Redwood City","Redwod","California, CA"
"Redwood City","Redwould","California, CA"
"Reedley","Readley","California, CA"
"Reedley","Reedly","California, CA"
"Rehoboth Beach","Reehaboth Beach","Delaware, DE"
"Rehoboth Beach","Reehoboth Beach","Delaware, DE"
"Rehoboth Beach","Rihoboth Beach","Delaware, DE"
"Renfro Valley","Rinfro","Kentucky, KY"
"Reno","Rino","Nevada, NV"
"Rhinebeck","Rhineback","New York, NY"
"Rhinebeck","Rineback","New York, NY"
"Richmond","Richmend","Virginia, VA"
"Rio Rancho","Ria Ranco","New Mexico, NM"
"Roanoke","Roanoak","Virginia, VA"
"Roanoke","Ronoke","Virginia, VA"
"Rochester","Rocester","New York, NY"
"Rochester","Rochesster","New Hampshire, NH"
"Rockland","Rokland","Maine, ME"
"Roscoe","Rosco","New York, NY"
"Roscoe","Rossco","New York, NY"
"Roswell","Roswel","New Mexico, NM"
"Rumney","Rumknee","New Hampshire, NH"
"Rumney","Rumnee","New Hampshire, NH"
"Rumney","Rumny","New Hampshire, NH"
"Russell Springs","Russel Springs","Kansas, KS"
"Rutland","Rutlend","Vermont, VT"
"Sacramento","Sackramento","California, CA"
"Sacramento","Sackremento","California, CA"
"Sacramento","Sacremento","California, CA"
"Saint Paul","Siant Paul","Minnesota, MN"
"Salem","Salam","Massachusetts, MA"
"Salem","Salam","Missouri, MO"
"Salem","Salam","New Hampshire, NH"
"Salem","Salam","Oregon, OR"
"Salem","Selem","Massachusetts, MA"
"Salina","Salena","Kansas, KS"
"San Angelo","San Agilo","Texas, TX"
"San Angelo","San Angilo","Texas, TX"
"San Diego","San Deago","California, CA"
"San Diego","San Deigo","California, CA"
"San Diego","San Diago","California, CA"
"San Francisco","San Francesco","California, CA"
"San Francisco","San Fransico","California, CA"
"San Jose","San Hose","California, CA"
"San Jose","San Hosey","California, CA"
"San Jose","San Josay","California, CA"
"Sandersville","Sandersvile","Georgia, GA"
"Sanger","Sangar","California, CA"
"Sansom Park","Sansem Park","Texas, TX"
"Sansom Park","Sansum Park","Texas, TX"
"Santa Cruz","Santa Cruise","California, CA"
"Santa Fe","Santa Fae","New Mexico, NM"
"Santa Fe","Santa Fay","New Mexico, NM"
"Santa Monica","Santa Monika","California, CA"
"Santa Rosa","Santa Rosea","New Mexico, NM"
"Sarasota","Saraota","Florida, FL"
"Sarasota","Sarastoa","Florida, FL"
"Saratoga","Saratuga","Wyoming, WY"
"Saratoga Springs","Sarahtoga Springs","New York, NY"
"Savannah","Savanah","Georgia, GA"
"Schenectady","Schenactdy","New York, NY"
"Schenectady","Schenctady","New York, NY"
"Schenectady","Schnectady","New York, NY"
"Scottsdale","Scotdale","Arizona, AZ"
"Scottsdale","Scotsdale","Arizona, AZ"
"Scranton","Scrannton","Pennsylvania, PA"
"Seaford","Seeford","Delaware, DE"
"Seaside Heights","Seaside Hieghts","New Jersey, NJ"
"Sedalia","Sadalia","Missouri, MO"
"Sedona","Cedona","Arizona, AZ"
"Sedona","Sedonna","Arizona, AZ"
"Selma","Sellma","California, CA"
"Senatobia","Sentaobia","Mississippi, MS"
"Senatobia","Sentobia","Mississippi, MS"
"Severance","Saverance","Colorado, CO"
"Severance","Sevarance","Colorado, CO"
"Shelbyville","Shelbyvile","Tennessee, TN"
"Shelbyville","Shellbyvile","Tennessee, TN"
"Shelbyville","Shellbyville","Tennessee, TN"
"Sierra Vista","Seerra Vista","Arizona, AZ"
"Sierra Vista","Siera Vista","Arizona, AZ"
"Siloam Springs","Seloam Springs","Arkansas, AR"
"Siloam Springs","Silaom Springs","Arkansas, AR"
"Sioux City","Siou City","Iowa, IA"
"Sioux City","Sious City","Iowa, IA"
"Sioux City","Soux City","Iowa, IA"
"Sioux Falls","Soux Falls","South Dakota, SD"
"Sitka","Sitca","Alaska, AK"
"Slocomb","Slokomb","Alabama, AL"
"Slocomb","Slowcomb","Alabama, AL"
"Soldiers Grove","Soilders Grave","Wisconsin, WI"
"Soldiers Grove","Soildiers Grove","Wisconsin, WI"
"Solvang","Sulvang","California, CA"
"Somerville","Somervile","Massachusetts, MA"
"South Haven","South Heven","Michigan, MI"
"Spartanburg","Spartanberg","South Carolina, SC"
"Spencer","Spenser","Idaho, ID"
"Spokane","Spokan","Washington, WA"
"Springfield","Springfeild","Illinois, IL"
"Springfield","Springfeild","Massachusetts, MA"
"Springfield","Springfeild","Missouri, MO"
"Springville","Spingvile","Utah, UT"
"St. Albans","Saint Albans","Vermont, VT"
"St. Albans","St Albans","Vermont, VT"
"St. Cloud","St. Cluod","Minnesota, MN"
"St. Louis","St Louis","Missouri, MO"
"St. Martinville","St. Martinvile","Louisiana, LA"
"St. Petersburg","St Petersburg","Florida, FL"
"St. Petersburg","St. Petersberg","Florida, FL"
"Stamford","Stamferd","Connecticut, CT"
"Staten Island","Statan Island","New York, NY"
"Staten Island","Statin Island","New York, NY"
"Stilwell","Stillwell","Oklahoma, OK"
"Stilwell","Stilwel","Oklahoma, OK"
"Stockton","Stocton","California, CA"
"Stockton","Stokton","California, CA"
"Strongsville","Strongsvile","Ohio, OH"
"Stuttgart","Stutgart","Arkansas, AR"
"Stuttgart","Stutgartt","Arkansas, AR"
"Sugar Land","Seger Land","Texas, TX"
"Sugar Land","Shuger Land","Texas, TX"
"Sugar Land","Suger Land","Texas, TX"
"Sugarcreek","Sugercreek","Ohio, OH"
"Sumner","Sumer","Missouri, MO"
"Sumner","Summer","Missouri, MO"
"Sumner","Sumneer","Washington, WA"
"Sun Prairie","Sun Prarie","Wisconsin, WI"
"Sunnyvale","Sunyvale","California, CA"
"Sylacauga","Sylacaga","Alabama, AL"
"Sylacauga","Sylacuga","Alabama, AL"
"Tacoma","Tacomah","Washington, WA"
"Tacoma","Takoma","Washington, WA"
"Takoma Park","Takomma Park","Maryland, MD"
"Takoma Park","Takuma Park","Maryland, MD"
"Talent","Talint","Oregon, OR"
"Talent","Telant","Oregon, OR"
"Tallahassee","Talahase","Florida, FL"
"Tallahassee","Talahasse","Florida, FL"
"Tallahassee","Talahassee","Florida, FL"
"Tallahassee","Tallahasee","Florida, FL"
"Tallahassee","Tallahasse","Florida, FL"
"Taos","Toas","New Mexico, NM"
"Tarpon Springs","Tarpun Springs","Florida, FL"
"Tarpon Springs","Terpon Springs","Florida, FL"
"Tarpon Springs","Terpun Springs","Florida, FL"
"Tarryall","Taryall","Colorado, CO"
"Taunton","Taton","Massachusetts, MA"
"Taunton","Tauton","Massachusetts, MA"
"Taunton","Tuton","Massachusetts, MA"
"Telluride","Telleride","Colorado, CO"
"Telluride","Toelleride","Colorado, CO"
"Terlingua","Terengua","Texas, TX"
"Terlingua","Teringau","Texas, TX"
"Terlingua","Teringua","Texas, TX"
"Terlingua","Tiringua","Texas, TX"
"Terre Haute","Tere Haute","Indiana, IN"
"Terre Haute","Terre Hate","Indiana, IN"
"Texarkana","Texakana","Arkansas, AR"
"Texarkana","Texerkana","Arkansas, AR"
"Texas City","Texaz City","Texas, TX"
"Texas City","Texsas City","Texas, TX"
"The Colony","The Colonny","Texas, TX"
"Thomasville","Thomasvile","North Carolina, NC"
"Toledo","Tolado","Ohio, OH"
"Toledo","Tolido","Ohio, OH"
"Tombstone","Toambstone","Arizona, AZ"
"Tombstone","Toamstone","Arizona, AZ"
"Towner","Toner","North Dakota, ND"
"Traverse City","Taverse City","Michigan, MI"
"Traverse City","Travese City","Michigan, MI"
"Troy","Troie","New York, NY"
"Tucson","Tuscon","Arizona, AZ"
"Tulelake","Tuellake","California, CA"
"Tulsa","Telsa","Oklahoma, OK"
"Tulsa","Toolsah","Oklahoma, OK"
"Tuscaloosa","Tucsaloosa","Alabama, AL"
"Tuscaloosa","Tuscalosa","Alabama, AL"
"Tuskegee","Tucksegee","Alabama, AL"
"Tuskegee","Tuskagee","Alabama, AL"
"Tyler","Tieler","Texas, TX"
"Tyler","Tiler","Texas, TX"
"Unadilla","Unadila","Nebraska, NE"
"Valdosta","Faldosta","Georgia, GA"
"Valdosta","Valdusta","Georgia, GA"
"Valley City","Valey City","Ohio, OH"
"Valparaiso","Valapariso","Indiana, IN"
"Valparaiso","Valpariso","Indiana, IN"
"Vicksburg","Vicksberg","Mississippi, MS"
"Victoria","Vicoria","Texas, TX"
"Victoria","Victorhia","Texas, TX"
"Vidalia","Vidallia","Georgia, GA"
"Waco","Wacco","Texas, TX"
"Waco","Wako","Texas, TX"
"Walla Walla","Wala Wala","Washington, WA"
"Walla Walla","Walawala","Washington, WA"
"Walla Walla","Walla","Washington, WA"
"Walla Walla","Wallawalla","Washington, WA"
"Wallace","Walace","Idaho, ID"
"Wallace","Wallis","Idaho, ID"
"Waltham","Walthum","Massachusetts, MA"
"Warrensburg","Warensberg","Missouri, MO"
"Warrensburg","Warensburg","Missouri, MO"
"Warrensburg","Warrensberg","Missouri, MO"
"Warroad","Waroad","Minnesota, MN"
"Wartrace","War Trace","Tennessee, TN"
"Wartrace","Wartrase","Tennessee, TN"
"Warwick","Warwic","Georgia, GA"
"Warwick","Warwik","Georgia, GA"
"Warwick","Warwik","Rhode Island, RI"
"Wasco","Wasko","California, CA"
"Wasco","Wosco","California, CA"
"Wasco","Wosko","California, CA"
"Washington","Washingtown","Missouri, MO"
"Waterbury","Waterbery","Connecticut, CT"
"Waterville","Watervile","Maine, ME"
"Watsonville","Watsonvile","California, CA"
"Waynesboro","Wainesboro","Georgia, GA"
"Waynesboro","Wayneboro","Georgia, GA"
"Waynesboro","Waynesborough","Georgia, GA"
"Waynesboro","Waynesboru","Georgia, GA"
"Waynesville","Waynesvile","Ohio, OH"
"Waynesville","Wayneville","Ohio, OH"
"Weatherford","Weatherferd","Texas, TX"
"Weatherford","Wetherford","Texas, TX"
"Weirton","Weirten","West Virginia, WV"
"Weirton","Werton","West Virginia, WV"
"West Haven","West Havan","Connecticut, CT"
"Westfield","Westfeild","Massachusetts, MA"
"Westfield","Westfeild","New York, NY"
"Wetumpka","Wetempka","Alabama, AL"
"Wichita","Wichta","Kansas, KS"
"Wickenburg","Wikenburg","Arizona, AZ"
"Willard","Wilard","Ohio, OH"
"Williamsburg","Williamsberg","Virginia, VA"
"Willimantic","Wilimantic","Connecticut, CT"
"Willimantic","Willamantic","Connecticut, CT"
"Willits","Wilits","California, CA"
"Willits","Willets","California, CA"
"Wills Point","Wils Point","Texas, TX"
"Wilmington","Willmingten","Delaware, DE"
"Wilmington","Willmington","Delaware, DE"
"Wilmington","Willmington","Illinois, IL"
"Wilmington","Willminton","Illinois, IL"
"Wilmington","Wilmingten","Delaware, DE"
"Wilmington","Wilmingtown","North Carolina, NC"
"Wilmington","Wilmingtown","Ohio, OH"
"Wilmington","Wilminton","Illinois, IL"
"Winfield","Winfeild","Alabama, AL"
"Winnemucca","Winemuca","Nevada, NV"
"Winnemucca","Winemucca","Nevada, NV"
"Winnemucca","Winnemuca","Nevada, NV"
"Winooski","Winokski","Vermont, VT"
"Winooski","Winoski","Vermont, VT"
"Winston-Salem","Winston Salam","North Carolina, NC"
"Wisconsin Dells","Winstconstin Dells","Wisconsin, WI"
"Worcester","Wochester","Massachusetts, MA"
"Worcester","Worchester","Massachusetts, MA"
"Worthington","Worthingtown","Minnesota, MN"
"Xenia","Senia","Ohio, OH"
"Xenia","Xenea","Ohio, OH"
"Yakima","Yackima","Washington, WA"
"Yonkers","Yonkars","New York, NY"
"Yonkers","Yunkers","New York, NY"
"Yorba Linda","Yurba Linda","California, CA"
"Yuba City","Uba City","California, CA"
"Yuma","Uma","Arizona, AZ"
"Zanesville","Zanesvile","Ohio, OH"
