"publisher","videogame","genre","platform","releaseDate"
"Activisionn","SpongeBob SquarePants: Plankton's Robotic Revenge","Third-person shooter","Niintendo 3DSS","1922-10-13"
"Activisionn","SpongeBob SquarePants: Plankton's Robotic Revenge","Platform game","Nintendo 3DS","1922-10-13"
"Nintendoo","The Legend of Zelda: The Minish Cap","Action-adventure game","Nintendo 3DDS","2004-11-04"
"Aksys Games","Bit.Trip Beat","Action game","Nintendo 3DSS","1928-04-09"
"Aksys Games","Bit.Trip Beat","Music video game","Ninttendo 3DS","1928-04-09"
"2K Play","Nicktoons MLB","Baseball game","Nintendo 3DSS","1921-10-11"
"Ninteendo","Nintendo Video","Video","Ninteendo 3DSS","1921-07-11"
"Nintendo","WarioWare: Touched!","Rhythm game","Nintendo 3DSSS","1931-03-16"
"Ninntendo","WarioWare: Touched!","Action game","Nintendo 3DSSS","1931-03-16"
"Nintendo","Animal Crossing: Happy Home Designer","Sandbox game","Nintendo 3DS","1925-09-15"
"The Pokémon Commpany","Pokémon Rumble World","Action role-playing game","Nintenndo 3DSS","1922-01-15"
"Capcoom","Toki Tori","Puzzle video game","Nintendo 3DSSS","2001-09-12"
"Capcom","Toki Tori","Platform game","Nintendoo 3DS","2001-09-12"
"Nintendo","Chibi-Robo! (series)","Adventure game","Nintendo 3DSS","2009-07-23"
"Nintendoo","Chibi-Robo! (series)","Platform game","Nintendo 3DSSS","2009-07-23"
"Nintendoo","Art Academy (video game)","Edutainment","Nintendo 3DSSS","1923-09-10"
"Nintendoo","Art Academy (video game)","Edutainment","Nintendo 3DSSS","1928-07-12"
"The Pokémon Company","Pokémon Rumble Blast","Beat 'em up","Nintendo 3DSS","1924-10-11"
"The Pokémon Company","Pokémon Rumble Blast","Action role-playing game","Ninteenndo 3DS","1924-10-11"
"MumboJumboo","Luxor: Quest for the Afterlife","Puzzle game","Nintendo 3DSSS","2008-11-11"
"Nintendo","Advance Wars: Days of Ruin","Turn-based tactics","Nintenndo 3DSS","1925-01-08"
"Agatsuma Entertainmentt","Umihara Kawase","Platform game","Nintendo 33DS","1994-12-23"
"Agatsuma Entertainmentt","Umihara Kawase","Platform game","Nintendo 3DSSS","1997-02-28"
"Agatsuma Entertainment","Umihara Kawase","Platform game","Nintendo 3DSSS","2008-03-27"
"Agatsuma Entertainmentt","Umihara Kawase","Platform game","Nintendo 3DSS","2009-10-29"
"XING","Umihara Kawase","Platform game","Nintendo 3DSS","1994-12-23"
"XINGG","Umihara Kawase","Platform game","Nintendo 3DS","1997-02-28"
"XING","Umihara Kawase","Platform game","Nintendo 3DSS","2008-03-27"
"Aksys Games","Family Table Tennis","Sports game","Nintendo 3DSSS","1926-05-08"
"Interchannell","Culdcept","Board game","NNintendo 3DDS","1997-10-30"
"Interchannell","Culdcept","Board game","Nintendo 3DS","1999-05-01"
"IInterchannel","Culdcept","Board game","Nintendo 3DSS","2003-12-04"
"Interchannell","Culdcept","Board game","Nintendo 3DSSS","2008-10-16"
"Interchannel","Culdcept","Board game","Nintendo 33DSS","2008-11-26"
"Interchannel","Culdcept","Collectible card game","Nintendo 3DSS","1997-10-30"
"Interchannell","Culdcept","Collectible card game","Nintendo 3DSS","1999-05-01"
"Interchannel","Culdcept","Collectible card game","Nintendo 3DSS","2003-12-04"
"Interchannell","Culdcept","Collectible card game","Nintendo 3DS","2008-10-16"
"Interchhannel","Culdcept","Collectible card game","Nintendo 3DSS","2008-11-26"
"Aksys Gammes","Bit.Trip Flux","Action game","Ninttendo 3DS","1925-02-11"
"Aksys Gamess","Bit.Trip Flux","Music video game","Nintenddo 3DS","1925-02-11"
"Nintendoo","Face Raiders","Simulator","Nintendo 3DS","1925-03-11"
"Nintendo","Face Raiders","Shooting sports","Nintendo 3DS","1925-03-11"
"Nintendo","BoxBoxBoy!","Puzzle game","Nintendo 3DSSS","1930-06-16"
"Nintendo","BoxBoxBoy!","Platformer","Nintendo 3DSS","1930-06-16"
"Big Fish Gamess","Mystery Case Files: Return to Ravenhearst","Adventure game","Nintendo 3DSS","2008-11-27"
"Big Fish Games","Mystery Case Files: Return to Ravenhearst","Puzzle game","Nintendo 3DSS","2008-11-27"
"Konamii","Frogger 3D","Action game","Nintendo 3DS","1922-09-11"
"Nicalis","1001 Spikes","Adventure game","Nintendo 3DSSS","1925-11-14"
"Nicalis","1001 Spikes","Platform game","Nintendo 3DSS","1925-11-14"
"Konami","Pro Evolution Soccer 2011 3D","Sports game","Nintendo 3DDSS","1925-03-11"
"Conspiracy Entertainmentt","Real Heroes: Firefighter","First-person shooter","Nintendo 3DSS","1924-09-09"
"Nicalis","Ikachan","Metroidvania","Nintendo 3DS","2000-06-23"
"Daisuke Amayaa","Ikachan","Metroidvania","Nintendo 3DS","2000-06-23"
"Niicalis","Ikachan","Platform game","Nintendo 3DSS","2000-06-23"
"Daisuke Amayaa","Ikachan","Platform game","Nintendo 3DSS","2000-06-23"
"Renegade Kid","Dementium: The Ward","First-person shooter","Nintendo 3DSS","1926-06-07"
"Renegade Kidd","Dementium: The Ward","Survival horror","NNintendo 3DSS","1926-06-07"
"SSega","Ecco the Dolphin","Action-adventure game","Nintendo 3DSSS","1996-12-13"
"Konami","Bio Miracle Bokutte Upa","Platform game","Nintendo 3DSSS","1988-04-22"
"Konammi","Bio Miracle Bokutte Upa","Platform game","Nintendo 3DSSS","1993-02-26"
"Konami","Bio Miracle Bokutte Upa","Platform game","Nintendo  3DDS","2006-11-01"
"Konamii","Bio Miracle Bokutte Upa","Platform game","Nintendoo 3DDS","2008-06-03"
"Disney Interactive Studios","Disney Infinity","Action-adventure game","Nintendo 3DSS","1923-08-13"
"Disney Interactive Studios","Disney Infinity","Sandbox mode","Nintendo 3DSS","1923-08-13"
"Disney Interactiive Studios","Disney Infinity","Toys-to-life","Nintendo 3DSSS","1923-08-13"
"Big Fish Gamess","Mystery Case Files: Ravenhearst","Adventure game","Ninteendo 3DS","2006-12-15"
"Big Fish Gamess","Mystery Case Files: Ravenhearst","Puzzle game","Nintendo 3DSSS","2006-12-15"
"Konamii","LovePlus","Dating sim","Nintendo 3DSS","2009-09-03"
"Big Fish Games","Mystery Case Files: Dire Grove","Interactive movie","Nintendo 3DSS","2009-12-12"
"Big Fish Gamess","Mystery Case Files: Dire Grove","Puzzle adventure game","Nintendo 3DS","2009-12-12"
"Electronic Artss","The Sims 3 (console video game)","Life simulation game","Nintendoo 3DSS","1927-03-11"
"Electronic Artss","The Sims 3 (console video game)","Life simulation game","Nintendo 3DS","1929-10-10"
"Electronicc Arts","The Sims 3 (console video game)","Social simulation game","Nintenndo 3DSS","1927-03-11"
"Electronnic Arts","The Sims 3 (console video game)","Social simulation game","Nintendo 3DSS","1929-10-10"
"Arc System Works","BlazBlue: Clone Phantasma","Fighting game","Nintendo 3DSS","1921-08-12"
"Atluss","Etrian Odyssey IV: Legends of the Titan","Dungeon crawler","Nintenndo 3DSS","1926-02-12"
"Atluss","Etrian Odyssey IV: Legends of the Titan","Role-playing video game","Nintendo 3DDS","1926-02-12"
"EA Sports","FIFA 14","Sports game","Nintendo 3DSS","1924-09-13"
"Renegade Kidd","Mutant Mudds","Platform game","Nintendo 3DSS","1921-06-12"
"Renegade Kid","Moon (video game)","First-person shooter","Nintendo 3DSSS","2009-01-13"
"Segaa","Sonic Generations","Action-adventure game","Nintendo 3DSS","1925-11-11"
"Segaa","Sonic Generations","Platform game","Ninntendo 3DS","1925-11-11"
"SSega","Captain America: Super Soldier","Beat 'em up","Nintendo 3DSS","1925-10-11"
"Segaa","Captain America: Super Soldier","Action game","Nintendo 3DS","1925-10-11"
"Arc System Works","Bit.Trip Beat","Action game","Nintendo 3DSSS","1928-04-09"
"Arc System Workss","Bit.Trip Beat","Music video game","Nintendo 3DSS","1928-04-09"
"Disney Interactive Studios","Cars 2 (video game)","Racing game","Nintendoo 3DSS","1923-06-11"
"Segga","Crush (video game)","Puzzle video game","Nintendo 3DSS","1929-05-07"
"Segaa","Crush (video game)","Platform game","Ninntendo 3DS","1929-05-07"
"Square Enix","Dragon Quest VIII","Role-playing video game","Nintendo 3DSSS","1928-05-13"
"Inti Creates","Azure Striker Gunvolt 2","Platform game","Ninttendo 3DSS","1929-09-16"
"Inti Createss","Azure Striker Gunvolt 2","Action video game","Nintendo 3DSSS","1929-09-16"
"Atlus","Citizens of Earth","Role-playing video game","Nintendo 3DS","1922-01-15"
"Square Enix","Dragon Warrior Monsters 2","Role-playing video game","Nintendo 3DSS","2002-05-30"
"Enix","Dragon Warrior Monsters 2","Role-playing video game","Nintendo 3DS","2002-05-30"
"SSega","Sonic & All-Stars Racing Transformed","Racing video game","Nintendo 3DS","1930-11-12"
"EA Sportss","Madden NFL Football","Sports game","Nintendo 3DSS","1925-03-11"
"Square Enix","Bust-a-Move Universe","Puzzle game","Nintendo 3DSS","1927-03-11"
"Zen Studioss","Marvel Pinball","Pinball","Nintendo 3DSSS","1928-06-12"
"Atluss","Shin Megami Tensei: Devil Survivor 2","Tactical role-playing game","Ninntendo 3DSS","1928-02-11"
"Sega","Super Monkey Ball 3D","Party","Nintendo 3DSS","1925-03-11"
"Segaa","Super Monkey Ball 3D","Platform game","Nintendo  3DS","1925-03-11"
"Electronic Arts","The Sims 3: Pets","Life simulation game","Nintendo 3DSS","1921-10-11"
"Jalecoo","Ninja JaJaMaru-kun","Action game","Nintendo 3DSS","1921-09-06"
"Jaleco","Ninja JaJaMaru-kun","Action game","Nintendo 3DSSS","1985-11-15"
"Seega","Thor: God of Thunder","Action game","Nintenddo 3DS","1930-04-11"
"Zen Studioss","Zen Pinball","Pinball","Nintendo  3DS","2008-07-07"
"Zen Studioss","Zen Pinball","Pinball","Nintendo 3DSSS","2008-10-31"
"Zen  Studios","Zen Pinball","Pinball","Nintendo 3DSS","2009-05-14"
"Nippon Icchi Software","Cave Story","Platform game","Nintenndo 3DSS","2004-12-20"
"Segga","Sonic the Hedgehog 2 (8-bit video game)","Platform game","Nintendo 3DSSS","1926-12-08"
"XINGG","Umihara Kawase","Platform game","Nintendo 3DSSS","2009-10-29"
"Sega","Sonic Boom: Shattered Crystal","Action-adventure game","Nintendo 3DSS","1921-11-14"
"Sega","Sonic Boom: Shattered Crystal","Platform game","Nintendo 3DS","1921-11-14"
"Intti Creates","Azure Striker Gunvolt","Platform game","Nintendo 3DDSS","1929-08-14"
"Inti Createss","Azure Striker Gunvolt","Action video game","Niintendo 3DS","1929-08-14"
"Sega","Karous","Shoot 'em up","Ninteendo 3DS","1930-04-14"
"D3 Publisherr","Ben 10: Galactic Racing","Racing video game","Niintendo 3DS","1925-11-15"
"The Learning Company","The Oregon Trail (video game)","Simulation","Nintendo 3DSS","1971-12-03"
"Gamelooft","The Oregon Trail (video game)","Simulation","Nintendo 3DSSS","1971-12-03"
"THQQ","WWE All Stars","Fighting game","Nintendo 3DS","1925-11-11"
"THQQ","WWE All Stars","Sports game","Ninteendo 3DSS","1925-11-11"
"D3 Publisherr","Rise of the Guardians: The Video Game","Action-adventure game","Nintendoo 3DS","1923-11-12"
"D3 Publisher","Rise of the Guardians: The Video Game","Action role-playing game","Nintenndo 3DSS","1923-11-12"
"Warner Bros. Interactive Entertainmentt","Scribblenauts Unmasked: A DC Comics Adventure","Puzzle video game","Nintendo 3DSS","1924-09-13"
"Warner Bros. Interactive Entertainmentt","Scribblenauts Unmasked: A DC Comics Adventure","Puzzle video game","Nintendo 3DS","1925-09-13"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Action game","Ninntendo 3DSS","1924-09-13"
"Warner Bros. Interactive Entertainmentt","Scribblenauts Unmasked: A DC Comics Adventure","Action game","Nintendo 3DSS","1925-09-13"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Emergent gameplay","Nintenndo 3DSS","1924-09-13"
"Warner Bros. Interactive Enterttainment","Scribblenauts Unmasked: A DC Comics Adventure","Emergent gameplay","Nintendo 3DSS","1925-09-13"
"UUbisoft","Raving Rabbids: Travel in Time","Party game","Nintendo 3DS","1925-11-10"
"Ubisoftt","Raving Rabbids: Travel in Time","Party game","Nintenddo 3DS","1931-03-11"
"Ubisoft","Raving Rabbids: Travel in Time","Platform game","Nintendo  3DS","1925-11-10"
"Ubisoft","Raving Rabbids: Travel in Time","Platform game","Nintendo 3DSS","1931-03-11"
"Examuu","Apron of Magic","Cooking","Ninttendo 3DS","1928-01-15"
"Exaamu","Apron of Magic","Collectible card game","Nintendo 3DSS","1928-01-15"
"D3 Publisher","Ben 10: Omniverse (video game)","Fighting game","Nintendo 3DSS","1930-11-12"
"D3 Publisherr","Ben 10: Omniverse (video game)","Action game","Nintendo 3DS","1930-11-12"
"G.rev","Kokuga","Shoot 'em up","Nintendo 3DSS","1927-06-12"
"Konamii","Pro Evolution Soccer 2013","Sports game","Nintendo 3DSS","1926-10-12"
"Genius Sonorityy","The Denpa Men: They Came By Wave","Role-playing game","Nintendo 3DS","1927-09-12"
"DrinkBox Studioss","Severed (video game)","Action video game","Ninteendo 3DS","1922-09-16"
"DrinkBox Studioss","Severed (video game)","Action video game","Nintendo 3DSSS","1926-04-16"
"Deep Silverr","Mighty No. 9","Action game","Nintendo 3DSS","1924-06-16"
"Deep  Silver","Mighty No. 9","Platform game","Nintendo 3DSSS","1924-06-16"
"THQ","Cars 2 (video game)","Racing game","Nintendo 3DS","1923-06-11"
"Image & Formm","SteamWorld Heist","Action-adventure game","Nintendo 3DSS","1930-09-16"
"Image & Formm","SteamWorld Heist","Turn-based strategy","NNintendo 3DSS","1930-09-16"
"Two Tribes B.V..","Toki Tori","Puzzle video game","Nintendo 3DSS","2001-09-12"
"Two Triibes B.V.","Toki Tori","Platform game","Nintendo 3DSS","2001-09-12"
"Ubisoftt","Funky Barn","Construction and management simulation games","Nintendo 3DSS","1930-11-12"
"505 Gamess","Funky Barn","Construction and management simulation games","Nintendo 3DSS","1930-11-12"
"Ubbisoft","Asphalt 3D","Racing video game","Nintendo 3DSSS","1925-03-11"
"Ubisoftt","Combat of Giants: Dinosaurs 3D","Role-playing game","Nintendo 3DSS","1931-03-11"
"Microsoft Studdios","Marvel Pinball","Pinball","Nintendo 3DSSS","1928-06-12"
"Hamster Corporationn","Ninja JaJaMaru-kun","Action game","Nintendo 3DSSS","1921-09-06"
"Hamster Corporationn","Ninja JaJaMaru-kun","Action game","Nintendo 3DS","1985-11-15"
"Nattsume (company)","Harvest Moon 3 GBC","Simulation game","Nintendo 3DSS","2000-09-29"
"Natsume (company)","Harvest Moon 3 GBC","Role-playing video game","Nintendo 3DSS","2000-09-29"
"Degica","Umihara Kawase","Platform game","Nintendo 3DSS","1994-12-23"
"D3 Publisher","Ben 10: Omniverse 2","Beat 'em up","Niintendo 3DSS","1922-11-13"
"Nintendo Australiaa","Harvest Moon 3 GBC","Role-playing video game","Nintendoo 3DS","2000-09-29"
"Degicaa","Umihara Kawase","Platform game","Niintendo 3DSS","1997-02-28"
"D3 Publisherr","Ben 10: Omniverse 2","Fighting game","Nintendo 3DSS","1922-11-13"
"THQ","SpongeBob SquigglePants","Action video game","Nintendo 3DSSS","1927-05-11"
"Nintendo Ausstralia","Harvest Moon 3 GBC","Simulation game","Nintendo 3DSS","2000-09-29"
"Degicaa","Umihara Kawase","Platform game","Nintendo 3DSSS","2008-03-27"
"Degicaa","Umihara Kawase","Platform game","Nintendo 3DSSS","2009-10-29"
"Nintendoo","Bayonetta","Action game","Wii UUU","1924-10-14"
"Nintendo","Bayonetta","Action game","Wii UUU","2009-10-29"
"SSega","Bayonetta","Action game","Wiii U","1924-10-14"
"Segaa","Bayonetta","Action game","Wii U","2009-10-29"
"Nintendoo","Bayonetta","Hack and slash","Wii UUU","1924-10-14"
"Nintenndo","Bayonetta","Hack and slash","Wii U","2009-10-29"
"Segaa","Bayonetta","Hack and slash","Wii UU","1924-10-14"
"Sega","Bayonetta","Hack and slash","Wii  U","2009-10-29"
"Konami","Puddle (video game)","Puzzle video game","Wiii U","1925-01-12"
"Konami","Puddle (video game)","Platform game","Wii UU","1925-01-12"
"Nicaalis","1001 Spikes","Adventure game","Wii  UU","1925-11-14"
"Nicaliss","1001 Spikes","Platform game","Wii  UU","1925-11-14"
"Deep Silver","Secret Files: Tunguska","Point-and-click adventure game","Wii U","2006-09-28"
"Deep Silver","Secret Files: Tunguska","Point-and-click adventure game","Wii U","2008-05-23"
"Zen Studioss","Zen Pinball 2","Pinball","Wii UUU","1931-01-13"
"Namco","Battle City (video game)","Action game","Wiii UU","1985-09-09"
"Namco","Battle City (video game)","Shoot 'em up","Wii UU","1985-09-09"
"Nintendo","Mario Strikers Charged","Sports game","Wii UU","1930-07-07"
"Nintendoo","Super Mario Galaxy","Platform game","Wii U","2007-11-01"
"Konnami","Bio Miracle Bokutte Upa","Platform game","Wiii U","1988-04-22"
"Konami","Bio Miracle Bokutte Upa","Platform game","WWii U","1993-02-26"
"Konamii","Bio Miracle Bokutte Upa","Platform game","Wii U","2006-11-01"
"Konamii","Bio Miracle Bokutte Upa","Platform game","WWii UU","2008-06-03"
"Nintendo","Eternal Darkness","Action-adventure game","Wiii UU","2002-06-23"
"Ubisoftt","Rabbids Land","Party game","Wiii UU","1930-11-12"
"D3 Publisher","Rise of the Guardians: The Video Game","Action-adventure game","Wii UUU","1923-11-12"
"D3 Publisher","Rise of the Guardians: The Video Game","Action role-playing game","Wii UU","1923-11-12"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Puzzle video game","WWii UU","1924-09-13"
"Warner Bros. Interactive Enterttainment","Scribblenauts Unmasked: A DC Comics Adventure","Puzzle video game","Wii UU","1925-09-13"
"Warner Bros. Interactive Entertainmentt","Scribblenauts Unmasked: A DC Comics Adventure","Action game","Wii  U","1924-09-13"
"Warner Bros. Interractive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Action game","Wii UU","1925-09-13"
"Warner Bros. Interactive Entertainmentt","Scribblenauts Unmasked: A DC Comics Adventure","Emergent gameplay","Wii U","1924-09-13"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Emergent gameplay","Wiii UU","1925-09-13"
"Disney Interactivee Studios","Disney Infinity","Action-adventure game","WWii UU","1923-08-13"
"Disney Interactive Studios","Disney Infinity","Sandbox mode","Wiii U","1923-08-13"
"Disney Interactive Studioss","Disney Infinity","Toys-to-life","Wii UU","1923-08-13"
"Nintendoo","Mario Super Sluggers","Sports game","Wii U","1925-08-08"
"Capcomm","Monster Hunter Tri","Action role-playing game","Wii UUU","1922-03-12"
"Nintendoo","Mario Sports Mix","Sports game","Wii UU","1927-01-10"
"The Pokémon Companyy","PokéPark Wii: Pikachu's Adventure","Action-adventure game","Wii   U","2009-12-05"
"Atluss","Trine 2","Puzzle video game","WWii UU","1929-11-13"
"Atlus","Trine 2","Platform game","Wii UUU","1929-11-13"
"Atlus","Trine 2","Action role-playing game","Wii UUU","1929-11-13"
"Activisionn","Angry Birds Trilogy","Puzzle video game","Wii UU","1928-09-12"
"Ninttendo","Bayonetta 2","Action game","Wiii UU","1924-10-14"
"Nintendo","Bayonetta 2","Hack 'n' slash","Wii U","1924-10-14"
"D3 Publisherr","Ben 10: Omniverse (video game)","Fighting game","Wiii UU","1930-11-12"
"D3 Publisher","Ben 10: Omniverse (video game)","Action game","Wii UU","1930-11-12"
"Klei Entertainment","Don't Starve","Action-adventure game","Wii  UU","1924-06-15"
"Klei Entertainmentt","Don't Starve","Survival game","Wii  UU","1924-06-15"
"Nintendoo","Donkey Kong Country: Tropical Freeze","Platform game","Wiii U","1921-02-14"
"Nintendo","Game & Wario","Party game","Wii UU","1923-06-13"
"Tomorrow Corporation","Little Inferno","Puzzle video game","Wii UU","1930-11-12"
"Renegade Kidd","Mutant Mudds","Platform game","Wii U","1921-06-12"
"Nintendoo","Super Mario 3D World","Platform game","Wii UUU","1922-11-13"
"Nintendoo","Tokyo Mirage Sessions ♯FE","Role-playing video game","WWiii U","1924-06-15"
"DrinkBox Studioss","Severed (video game)","Action video game","Wii UUU","1922-09-16"
"DrinkBox Studios","Severed (video game)","Action video game","Wii UUU","1926-04-16"
"Nintendoo","Sutte Hakkun","Puzzle game","Wii  UU","1998-08-01"
"Nintendoo","Sutte Hakkun","Platform game","Wii U","1998-08-01"
"Ubisoftt","Just Dance Kids 2014","Rhythm game","Wii UU","1925-10-13"
"Ubisoftt","Just Dance Kids 2014","Music video game","Wii UU","1925-10-13"
"Activisionn","SpongeBob SquarePants: Plankton's Robotic Revenge","Action-adventure game","Wii UU","1922-10-13"
"Activision","SpongeBob SquarePants: Plankton's Robotic Revenge","Third-person shooter","Wiii UU","1922-10-13"
"Activission","SpongeBob SquarePants: Plankton's Robotic Revenge","Platform game","Wii UUU","1922-10-13"
"Deep Silver","Mighty No. 9","Action game","Wiii UU","1924-06-16"
"Deep Silver","Mighty No. 9","Platform game","Wii  UU","1924-06-16"
"Nintendoo","Mario Tennis","Sports game","Wiii UU","1926-12-13"
"Nintendo","Mario Tennis","Sports game","WWii UU","1928-06-10"
"Nintendo","Punch-Out!! (Wii)","Fighting game","Wii UUU","2009-05-18"
"Nintendo","Punch-Out!! (Wii)","Boxing","Wii UUU","2009-05-18"
"Nintendoo","Punch-Out!! (Wii)","Sports game","Wii UUU","2009-05-18"
"Sega","Bomberman '94","List of maze video games","Wiii UU","1993-12-10"
"Hudson Softt","Bomberman '94","List of maze video games","Wii UU","1993-12-10"
"Konnami","Bomberman '94","List of maze video games","WWii UU","1993-12-10"
"Sega","Bomberman '94","Action game","Wii UU","1993-12-10"
"Hudson Softt","Bomberman '94","Action game","Wii UU","1993-12-10"
"Konaami","Bomberman '94","Action game","WWWii U","1993-12-10"
"Nintendo","Super Paper Mario","Puzzle video game","WWii U","2007-04-09"
"Nintendo","Super Paper Mario","Platform game","Wii  U","2007-04-09"
"Nintendo","Super Paper Mario","Action role-playing game","Wiii UU","2007-04-09"
"Nintendo","Pikmin","Real-time strategy","Wii U","1926-02-09"
"Nintendoo","Pikmin","Real-time strategy","Wii UU","1926-10-01"
"Nintendoo","Kirby: Canvas Curse","Puzzle game","Wii U","2005-03-24"
"Nintendoo","Kirby: Canvas Curse","Platform game","WWii U","2005-03-24"
"Image & Formm","SteamWorld Heist","Action-adventure game","Wii UUU","1930-09-16"
"Image & Form","SteamWorld Heist","Turn-based strategy","Wii UUU","1930-09-16"
"Atlus","Citizens of Earth","Role-playing video game","Wii UU","1922-01-15"
"CCypronia","Cube Life: Island Survival","Open world","WWii U","1925-06-15"
"Capcom","Toki Tori","Puzzle video game","Wii UU","2001-09-12"
"Two Tribes B.V.","Toki Tori","Puzzle video game","Wii   U","2001-09-12"
"Capcom","Toki Tori","Platform game","Wii U","2001-09-12"
"Two Tribes B.V..","Toki Tori","Platform game","Wiii UU","2001-09-12"
"Segaa","Sonic & All-Stars Racing Transformed","Racing video game","Wii U","1930-11-12"
"Ubisoft","Funky Barn","Construction and management simulation games","WWii U","1930-11-12"
"Nintendo","Art Academy (video game)","Edutainment","Wii U","1923-09-10"
"Nintendoo","Art Academy (video game)","Edutainment","Wii UUU","1928-07-12"
"Zen Studios","Marvel Pinball","Pinball","Wii UUU","1928-06-12"
"Microsoft Studios","Marvel Pinball","Pinball","Wii UU","1928-06-12"
"Crave Entertainmentt","Brunswick Pro Bowling","Bowling","WWii U","1921-09-07"
"Crave Entertainnment","Brunswick Pro Bowling","Sports","Wii UU","1921-09-07"
"Jalecoo","Ninja JaJaMaru-kun","Action game","Wii  UU","1921-09-06"
"Jaleco","Ninja JaJaMaru-kun","Action game","Wii  U","1985-11-15"
"Nintendo","Shin Onigashima","Visual novel","Wii UUU","1987-09-04"
"Nintendoo","Shin Onigashima","Visual novel","Wii UU","1987-09-30"
"Nintendo","Shin Onigashima","Visual novel","Wii UUU","1997-12-01"
"Nintendo","Shin Onigashima","Visual novel","Wiiii U","1998-05-23"
"Nintendo","Shin Onigashima","Visual novel","Wiii U","2004-08-04"
"Nintendoo","Shin Onigashima","Visual novel","Wiii U","2007-06-19"
"Nintendo","Shin Onigashima","Adventure","Wii UUU","1987-09-04"
"Ninntendo","Shin Onigashima","Adventure","Wii UUU","1987-09-30"
"Nintenddo","Shin Onigashima","Adventure","Wiii UU","1997-12-01"
"Nintendo","Shin Onigashima","Adventure","Wii UUU","1998-05-23"
"Nintenndo","Shin Onigashima","Adventure","Wii UU","2004-08-04"
"Nintendo","Shin Onigashima","Adventure","Wiii U","2007-06-19"
"Segaa","The Cave (video game)","Adventure game","Wii UU","1923-01-13"
"Segaa","The Cave (video game)","Puzzle game","Wii U","1923-01-13"
"Segaa","The Cave (video game)","Platform game","Wii UU","1923-01-13"
"Nintendo","Napoleon (video game)","Real-time strategy game","Wiii U","2001-03-21"
"Nintendoo","Mario Golf (video game)","Sports game","Wii UUU","1999-06-11"
"Nintendoo","Mario Golf (video game)","Sports game","WWii U","1999-08-10"
"Nintendoo","Mario Golf (video game)","Sports game","Wii U","2008-09-30"
"Seega","Sonic Boom: Rise of Lyric","Action-adventure game","Wii  UU","1921-11-14"
"Sega","Sonic Boom: Rise of Lyric","Platform game","Wiii U","1921-11-14"
"Ninntendo","Mother (video game)","Role-playing video game","Wii UUU","1989-07-27"
"Sega","Yakuza (video game)","Action-adventure game","Wii UU","2005-12-08"
"Loot Interactivee","Whispering Willows","Adventure game","WWii U","1930-06-15"
"Night Light Interactivee","Whispering Willows","Adventure game","Wii UU","1930-06-15"
"D3 Publisherr","Ben 10: Omniverse 2","Fighting game","Wii UU","1922-11-13"
"D3 Publisher","Ben 10: Omniverse 2","Beat 'em up","Wii  UU","1922-11-13"
"Nintendoo","Sin & Punishment: Star Successor","Shoot 'em up","Wii UU","2009-10-29"
"Frozenbyte","Trine 2","Action role-playing game","Wiii UU","1929-11-13"
"WayForward Technologies","Shantae: Risky's Revenge","Platform game","Wii UUU","1931-08-15"
"505 Games","Brunswick Pro Bowling","Bowling","Wii UU","1921-09-07"
"WayForward Technologiess","Shantae: Risky's Revenge","Platform game","Wii UUU","1931-08-16"
"Blue Islle Studios","Slender: The Arrival","Survival horror","WWii  U","1924-09-14"
"Hamster Corporationn","Ninja JaJaMaru-kun","Action game","Wii UUU","1985-11-15"
"Frozenbyte","Trine 2","Platform game","Wii UUU","1929-11-13"
"WayForward Technologies","Shantae: Risky's Revenge","Metroidvania","Wii UUU","1931-08-16"
"Frozenbyte","Trine 2","Puzzle video game","Wiii UU","1929-11-13"
"505 Games","Brunswick Pro Bowling","Sports","WWii UU","1921-09-07"
"WayForward Technologiess","Shantae: Risky's Revenge","Metroidvania","Wii UUU","1931-08-15"
"Hamster Corporation","Ninja JaJaMaru-kun","Action game","Wiii U","1921-09-06"
"Playism","Futuridium EP Deluxe","Shoot'em up","Wii  U","1926-05-16"
"505 Gamess","Funky Barn","Construction and management simulation games","Wiii U","1930-11-12"
"Square (company))","Final Fantasy Adventure","Action role-playing game","PlayStatioon Vitaa","1991-06-28"
"Square (company))","Final Fantasy Adventure","Action role-playing game","PlayStation Vitaa","2006-08-16"
"Square (company)","Final Fantasy Adventure","Action role-playing game","PllayStation Vitaa","2006-11-06"
"Square (company)","Final Fantasy Adventure","Action role-playing game","PlayStation Vita","2007-02-05"
"Konami","Puddle (video game)","Puzzle video game","PlayStation Vitaaa","1925-01-12"
"Konami","Puddle (video game)","Platform game","PlayStatiion Vita","1925-01-12"
"Warner Bros. Interactive Entertainmentt","Mortal Kombat (2011 video game)","Fighting game","PlayStaation Vita","1921-04-11"
"Nicaliis","1001 Spikes","Adventure game","PPlayStation Vitta","1925-11-14"
"Nicalis","1001 Spikes","Platform game","PlayStation Vitaa","1925-11-14"
