"musician","genre","instrument"
"DJ Sorryyouwastedyourmoneytobehere","Experimental pop","Final Cut Pro"
"DJ Sorryyouwastedyourmoneytobehere","Soul music","Final Cut Pro"
"DJ Sorryyouwastedyourmoneytobehere","Trap music","Final Cut Pro"
"DJ Sorryyouwastedyourmoneytobehere","Experimental music","Final Cut Pro"
"DJ Sorryyouwastedyourmoneytobehere","Hip hop music","Final Cut Pro"
"DJ Sorryyouwastedyourmoneytobehere","Pop music","Guitar"
"DJ Sorryyouwastedyourmoneytobehere","Pop music","Piano"
"DJ Sorryyouwastedyourmoneytobehere","Pop music","Pro Tools"
"DJ Sorryyouwastedyourmoneytobehere","Pop music","Logic Pro"
"DJ Sorryyouwastedyourmoneytobehere","Pop music","Turntablism"
"DJ Sorryyouwastedyourmoneytobehere","Rhythm and blues","Guitar"
"DJ Sorryyouwastedyourmoneytobehere","Rhythm and blues","Piano"
"DJ Sorryyouwastedyourmoneytobehere","Rhythm and blues","Pro Tools"
"DJ Sorryyouwastedyourmoneytobehere","Rhythm and blues","Logic Pro"
"DJ Sorryyouwastedyourmoneytobehere","Rhythm and blues","Turntablism"
"DJ Sorryyouwastedyourmoneytobehere","Experimental pop","Guitar"
"DJ Sorryyouwastedyourmoneytobehere","Experimental pop","Piano"
"DJ Sorryyouwastedyourmoneytobehere","Experimental pop","Pro Tools"
"DJ Sorryyouwastedyourmoneytobehere","Experimental pop","Logic Pro"
"DJ Sorryyouwastedyourmoneytobehere","Experimental pop","Turntablism"
"DJ Sorryyouwastedyourmoneytobehere","Soul music","Guitar"
"DJ Sorryyouwastedyourmoneytobehere","Soul music","Piano"
"DJ Sorryyouwastedyourmoneytobehere","Soul music","Pro Tools"
"DJ Sorryyouwastedyourmoneytobehere","Soul music","Logic Pro"
"DJ Sorryyouwastedyourmoneytobehere","Soul music","Turntablism"
"DJ Sorryyouwastedyourmoneytobehere","Trap music","Guitar"
"DJ Sorryyouwastedyourmoneytobehere","Trap music","Piano"
"DJ Sorryyouwastedyourmoneytobehere","Trap music","Pro Tools"
"DJ Sorryyouwastedyourmoneytobehere","Trap music","Logic Pro"
"DJ Sorryyouwastedyourmoneytobehere","Trap music","Turntablism"
"DJ Sorryyouwastedyourmoneytobehere","Experimental music","Guitar"
"DJ Sorryyouwastedyourmoneytobehere","Experimental music","Piano"
"DJ Sorryyouwastedyourmoneytobehere","Experimental music","Pro Tools"
"DJ Sorryyouwastedyourmoneytobehere","Experimental music","Logic Pro"
"DJ Sorryyouwastedyourmoneytobehere","Experimental music","Turntablism"
"DJ Sorryyouwastedyourmoneytobehere","Hip hop music","Guitar"
"DJ Sorryyouwastedyourmoneytobehere","Hip hop music","Piano"
"DJ Sorryyouwastedyourmoneytobehere","Hip hop music","Pro Tools"
"DJ Sorryyouwastedyourmoneytobehere","Hip hop music","Logic Pro"
"DJ Sorryyouwastedyourmoneytobehere","Hip hop music","Turntablism"
"DJ Spinz","Rhythm and blues","Bass (guitar)"
"DJ Spinz","Rhythm and blues","FL Studio"
"DJ Spinz","Rhythm and blues","Music Production Center"
"DJ Spinz","Rhythm and blues","Logic Pro"
"DJ Spinz","Rhythm and blues","Turntablism"
"DJ Spinz","Trap music","Bass (guitar)"
"DJ Spinz","Trap music","FL Studio"
"DJ Spinz","Trap music","Music Production Center"
"DJ Spinz","Trap music","Logic Pro"
"DJ Spinz","Trap music","Turntablism"
"DJ Spinz","Hip hop music","Bass (guitar)"
"DJ Spinz","Hip hop music","FL Studio"
"DJ Spinz","Hip hop music","Music Production Center"
"DJ Spinz","Hip hop music","Logic Pro"
"DJ Spinz","Hip hop music","Turntablism"
"DJ Sven (Psytrance alias)","Trance music","Digital audio workstation"
"DJ Sven (Psytrance alias)","Trance music","Drums"
"DJ Sven (Psytrance alias)","Trance music","Synthesizer"
"DJ Sven (Psytrance alias)","Trance music","FL Studio"
"DJ Sven (Psytrance alias)","Trance music","Turntable"
"DJ Sven (Psytrance alias)","Progressive house","Digital audio workstation"
"DJ Sven (Psytrance alias)","Progressive house","Drums"
"DJ Sven (Psytrance alias)","Progressive house","Synthesizer"
"DJ Sven (Psytrance alias)","Progressive house","FL Studio"
"DJ Sven (Psytrance alias)","Progressive house","Turntable"
"DJ Sven (Psytrance alias)","Electro house","Digital audio workstation"
"DJ Sven (Psytrance alias)","Electro house","Drums"
"DJ Sven (Psytrance alias)","Electro house","Synthesizer"
"DJ Sven (Psytrance alias)","Electro house","FL Studio"
"DJ Sven (Psytrance alias)","Electro house","Turntable"
"DJ Sven (Psytrance alias)","Dubstep","Digital audio workstation"
"DJ Sven (Psytrance alias)","Dubstep","Drums"
"DJ Sven (Psytrance alias)","Dubstep","Synthesizer"
"DJ Sven (Psytrance alias)","Dubstep","FL Studio"
"DJ Sven (Psytrance alias)","Dubstep","Turntable"
"DM Ashura","Trance music","Korg Kaoss Pad 3"
"DM Ashura","Trance music","Keyboard instrument"
"DM Ashura","Drum and bass","Keyboard instrument"
"DM Ashura","Drum and bass","Korg Kaoss Pad 3"
"DM Ashura","Goa trance","Keyboard instrument"
"DM Ashura","Goa trance","Korg Kaoss Pad 3"
"DM Ashura","Ambient music","Korg Kaoss Pad 3"
"DM Ashura","Ambient music","Keyboard instrument"
"DM Ashura","Psychedelic trance","Korg Kaoss Pad 3"
"DM Ashura","Psychedelic trance","Keyboard instrument"
"Da Honorable C.N.O.T.E.","R&B","FL Studio"
"Da Honorable C.N.O.T.E.","Hip hop music","FL Studio"
"Dallas St. Bernard","Comedy Rock","Drum"
"Damon ""Grease"" Blackman, Grease","Hip hop music","Sampler (musical instrument)"
"Damon ""Grease"" Blackman, Grease","Hip hop music","Korg"
"Dan Sain","Country blues","Guitar"
"Dan Sain","Memphis blues","Guitar"
"Daniel Smith, D.smith, d.smith","Power pop","Bass guitar"
"Daniel Smith, D.smith, d.smith","Power pop","Guitar"
"Daniel Smith, D.smith, d.smith","Power pop","Piano"
"Daniel Smith, D.smith, d.smith","Power pop","Vocals"
"Daniel Smith, D.smith, d.smith","Punk rock","Bass guitar"
"Daniel Smith, D.smith, d.smith","Punk rock","Guitar"
"Daniel Smith, D.smith, d.smith","Punk rock","Piano"
"Daniel Smith, D.smith, d.smith","Punk rock","Vocals"
"Daniel Smith, D.smith, d.smith","Alternative rock","Bass guitar"
"Daniel Smith, D.smith, d.smith","Alternative rock","Guitar"
"Daniel Smith, D.smith, d.smith","Alternative rock","Piano"
"Daniel Smith, D.smith, d.smith","Alternative rock","Vocals"
"Daniel Smith, D.smith, d.smith","Indie rock","Bass guitar"
"Daniel Smith, D.smith, d.smith","Indie rock","Guitar"
"Daniel Smith, D.smith, d.smith","Indie rock","Piano"
"Daniel Smith, D.smith, d.smith","Indie rock","Vocals"
"David Cooke (overseas)","Gospel music","Piano"
"David Cooke (overseas)","Gospel music","Keyboard instrument"
"David Cooke (overseas)","Contemporary Christian music","Piano"
"David Cooke (overseas)","Contemporary Christian music","Keyboard instrument"
"David Lee Ralph","Hard rock","Bass (guitar)"
"David Lee Ralph","Hard rock","Guitar"
"David Lee Ralph","Hard rock","Piano"
"David Lee Ralph","Glam metal","Bass (guitar)"
"David Lee Ralph","Glam metal","Guitar"
"David Lee Ralph","Glam metal","Piano"
"David Lee Ralph","Hard rock","Singing"
"David Lee Ralph","Hard rock","Keyboard instrument"
"David Lee Ralph","Glam metal","Singing"
"David Lee Ralph","Glam metal","Keyboard instrument"
"DeLa","Folk music","Bass guitar"
"DeLa","Blues music","Bass guitar"
"DeLa","Alternative rock","Bass guitar"
"DeLa","Experimental music","Bass guitar"
"Dean Esposito, Dino Esposito","Dance music","Vocals"
"Dean Esposito, Dino Esposito","Dance music","Keyboard Instrument"
"Dean Esposito, Dino Esposito","Freestyle music","Keyboard Instrument"
"Dean Esposito, Dino Esposito","Freestyle music","Vocals"
"Dee Edwards","Soul music","Human voice"
"Devyn Rose","Pop music","Drums"
"Devyn Rose","Pop music","Piano"
"Devyn Rose","Pop music","Singing"
"Devyn Rose","Hip Hop music","Drums"
"Devyn Rose","Hip Hop music","Piano"
"Devyn Rose","Hip Hop music","Singing"
"Devyn Rose","Reggae music","Drums"
"Devyn Rose","Reggae music","Piano"
"Devyn Rose","Reggae music","Singing"
"Devyn Rose","R&B music","Drums"
"Devyn Rose","R&B music","Piano"
"Devyn Rose","R&B music","Singing"
"Dick Valentine","Folk music","Drums"
"Dick Valentine","Folk music","Guitar"
"Dick Valentine","Folk music","Vocals"
"Dick Valentine","Freak folk","Drums"
"Dick Valentine","Freak folk","Guitar"
"Dick Valentine","Freak folk","Vocals"
"Dick Valentine","Alternative rock","Drums"
"Dick Valentine","Alternative rock","Guitar"
"Dick Valentine","Alternative rock","Vocals"
"Dick Valentine","Dance-rock","Drums"
"Dick Valentine","Dance-rock","Guitar"
"Dick Valentine","Dance-rock","Vocals"
"Dick Valentine","Dance-punk","Drums"
"Dick Valentine","Dance-punk","Guitar"
"Dick Valentine","Dance-punk","Vocals"
"Diddy Nac","Pop music","Guitar"
"Diddy Nac","Pop music","Piano"
"Diddy Nac","Pop music","FL Studio"
"Diddy Nac","Pop music","Vocals"
"Diddy Nac","Rhythm and blues","Guitar"
"Diddy Nac","Rhythm and blues","Piano"
"Diddy Nac","Rhythm and blues","FL Studio"
"Diddy Nac","Rhythm and blues","Vocals"
"Diddy Nac","Hip hop music","Guitar"
"Diddy Nac","Hip hop music","Piano"
"Diddy Nac","Hip hop music","FL Studio"
"Diddy Nac","Hip hop music","Vocals"
"Dirk Fischer, Dirty Dirk Fischer","Big band","Trumpet"
"Dirk Fischer, Dirty Dirk Fischer","Big band","Valve trombone"
"Dixie Nolan","Country blues","Human voice"
"Dixie Nolan","Piedmont blues","Human voice"
"Douglas, Doug","Country music","Theremin"
"Douglas, Doug","Country music","Vox AC30"
"Douglas, Doug","Country music","Drum kit"
"Douglas, Doug","Country music","Guitar"
"Douglas, Doug","Country music","Piano"
"Douglas, Doug","Country music","Epiphone Casino"
"Douglas, Doug","Country music","Fender Telecaster Deluxe"
"Douglas, Doug","Country music","Singing"
"Douglas, Doug","Pop music","Theremin"
"Douglas, Doug","Pop music","Vox AC30"
"Douglas, Doug","Pop music","Drum kit"
"Douglas, Doug","Pop music","Guitar"
"Douglas, Doug","Pop music","Piano"
"Douglas, Doug","Pop music","Epiphone Casino"
"Douglas, Doug","Pop music","Fender Telecaster Deluxe"
"Douglas, Doug","Pop music","Singing"
"Douglas, Doug","Rock music","Theremin"
"Douglas, Doug","Rock music","Vox AC30"
"Douglas, Doug","Rock music","Drum kit"
"Douglas, Doug","Rock music","Guitar"
"Douglas, Doug","Rock music","Piano"
"Douglas, Doug","Rock music","Epiphone Casino"
"Douglas, Doug","Rock music","Fender Telecaster Deluxe"
"Douglas, Doug","Rock music","Singing"
"Dr. Madd Vibe","Funk metal","Theremin"
"Dr. Madd Vibe","Funk metal","Saxophone"
"Dr. Madd Vibe","Funk metal","Singing"
"Dr. Madd Vibe","Spoken word","Theremin"
"Dr. Madd Vibe","Spoken word","Saxophone"
"Dr. Madd Vibe","Spoken word","Singing"
"Dr. Madd Vibe","Alternative rock","Theremin"
"Dr. Madd Vibe","Alternative rock","Saxophone"
"Dr. Madd Vibe","Alternative rock","Singing"
"Dr. Madd Vibe","Ska punk","Theremin"
"Dr. Madd Vibe","Ska punk","Saxophone"
"Dr. Madd Vibe","Ska punk","Singing"
"Duck","Rhythm and blues","Bass guitar"
"Duck","Rhythm and blues","Fender Precision Bass"
"Duck","Rock music","Bass guitar"
"Duck","Rock music","Fender Precision Bass"
"Duck","Soul music","Bass guitar"
"Duck","Soul music","Fender Precision Bass"
"Duke Bayou","Country blues","Human voice"
"Duke Bayou","Country blues","Guitar"
"Duke Bayou","Piedmont blues","Human voice"
"Duke Bayou","Piedmont blues","Guitar"
"E, Enock, Lil Colby Jack, Joey 900, Joey XX, Joey Cypher, @thebeachedboy","Experimental hip hop","Vocals"
"E, Enock, Lil Colby Jack, Joey 900, Joey XX, Joey Cypher, @thebeachedboy","Hip hop music","Vocals"
"Early Man","Hip hop music","Drums"
"Early Man","Hip hop music","Keyboards"
"Early Man","Hip hop music","Modulator"
"Early Man","Hip hop music","Vocals"
"El Bebop Kid","Country music","Human voice"
"El Bebop Kid","Country music","Guitar"
"El Bebop Kid","Country music","Fender Musical Instruments Corporation"
"El Bebop Kid","Rock music","Guitar"
"El Bebop Kid","Rock music","Human voice"
"El Bebop Kid","Rock music","Fender Musical Instruments Corporation"
"El Bebop Kid","Swamp pop","Human voice"
"El Bebop Kid","Swamp pop","Fender Musical Instruments Corporation"
"El Bebop Kid","Swamp pop","Guitar"
"El Bebop Kid","Tejano music","Fender Musical Instruments Corporation"
"El Bebop Kid","Tejano music","Human voice"
"El Bebop Kid","Tejano music","Guitar"
"Envy","Hip hop music","Sampler (musical instrument)"
"Envy","Hip hop music","Turntablism"
"Envy","Rhythm & Blues","Sampler (musical instrument)"
"Envy","Rhythm & Blues","Turntablism"
"Erik Braunn","Acid rock","Guitar"
"Erik Braunn","Acid rock","Singing"
"Erik Braunn","Hard rock","Guitar"
"Erik Braunn","Hard rock","Singing"
"Erik Braunn","Instrumental","Guitar"
"Erik Braunn","Instrumental","Singing"
"Erik Braunn","Psychedelic rock","Guitar"
"Erik Braunn","Psychedelic rock","Singing"
"Eugene ""Gene"" Smith","Gospel music","Human voice"
"Fae Barnes","Blues","Human voice"
"Fae Barnes","Blues","Piano"
"Fly Guy Kool Kim (UMCera)","Political hip hop","Rapping"
"Fly Guy Kool Kim (UMCera)","Alternative hip hop","Rapping"
"Freaky Dean","Pop music","Bass guitar"
"Freaky Dean","Pop music","Bassoon"
"Freaky Dean","Pop music","Cello"
"Freaky Dean","Pop music","Guitar"
"Freaky Dean","Pop music","Keyboards"
"Freaky Dean","Rhythm and blues","Bass guitar"
"Freaky Dean","Rhythm and blues","Bassoon"
"Freaky Dean","Rhythm and blues","Cello"
"Freaky Dean","Rhythm and blues","Guitar"
"Freaky Dean","Rhythm and blues","Keyboards"
"Freaky Dean","Trap music","Bass guitar"
"Freaky Dean","Trap music","Bassoon"
"Freaky Dean","Trap music","Cello"
"Freaky Dean","Trap music","Guitar"
"Freaky Dean","Trap music","Keyboards"
"Freaky Dean","Hip hop music","Bass guitar"
"Freaky Dean","Hip hop music","Bassoon"
"Freaky Dean","Hip hop music","Cello"
"Freaky Dean","Hip hop music","Guitar"
"Freaky Dean","Hip hop music","Keyboards"
"G. Davy Crockett","Rhythm and blues","Human voice"
"Georgia Slim","Country blues","Human voice"
"Georgia Slim","Country blues","Guitar"
"Georgia Slim","Piedmont blues","Human voice"
"Georgia Slim","Piedmont blues","Guitar"
"Gerald ""Fingers"" Jemmott","Blues rock","Bass guitar"
"Gerald ""Fingers"" Jemmott","Blues rock","Upright bass"
"Gerald ""Fingers"" Jemmott","Funk music","Bass guitar"
"Gerald ""Fingers"" Jemmott","Funk music","Upright bass"
"Gerald ""Fingers"" Jemmott","Blues","Bass guitar"
"Gerald ""Fingers"" Jemmott","Blues","Upright bass"
"Gerald ""Fingers"" Jemmott","Jazz","Bass guitar"
"Gerald ""Fingers"" Jemmott","Jazz","Upright bass"
"Gerald ""Fingers"" Jemmott","Soul music","Bass guitar"
"Gerald ""Fingers"" Jemmott","Soul music","Upright bass"
"Ginger Sling","Pop-punk","Bass guitar"
"Ginger Sling","Pop-punk","Guitar"
"Ginger Sling","Pop-punk","Vocals"
"Ginger Sling","Alternative rock","Bass guitar"
"Ginger Sling","Alternative rock","Guitar"
"Ginger Sling","Alternative rock","Vocals"
"Ginger Sling","Indie pop","Bass guitar"
"Ginger Sling","Indie pop","Guitar"
"Ginger Sling","Indie pop","Vocals"
"Go Grizzly","R&B","Native Instruments"
"Go Grizzly","R&B","FL Studio"
"Go Grizzly","Pop music","Native Instruments"
"Go Grizzly","Pop music","FL Studio"
"Go Grizzly","Electronic dance music","Native Instruments"
"Go Grizzly","Electronic dance music","FL Studio"
"Go Grizzly","Hip hop music","Native Instruments"
"Go Grizzly","Hip hop music","FL Studio"
"Godfather of Austin Blues","Blues","Guitar"
"Godfather of Austin Blues","Blues","Human voice"
"Godfather of Austin Blues","Rhythm and blues","Guitar"
"Godfather of Austin Blues","Rhythm and blues","Human voice"
"Gory Carter","Electric blues","Human voice"
"Gory Carter","Electric blues","Drum kit"
"Gory Carter","Electric blues","Electric guitar"
"Gory Carter","Electric blues","Guitar"
"Gory Carter","Blues","Human voice"
"Gory Carter","Blues","Drum kit"
"Gory Carter","Blues","Electric guitar"
"Gory Carter","Rhythm and blues","Human voice"
"Gory Carter","Rhythm and blues","Drum kit"
"Gory Carter","Rhythm and blues","Electric guitar"
"Gory Carter","Rock and roll","Human voice"
"Gory Carter","Rock and roll","Drum kit"
"Gory Carter","Rock and roll","Electric guitar"
"Gory Carter","Jump blues","Human voice"
"Gory Carter","Jump blues","Drum kit"
"Gory Carter","Jump blues","Electric guitar"
"Gory Carter","Boogie-woogie","Human voice"
"Gory Carter","Boogie-woogie","Drum kit"
"Gory Carter","Boogie-woogie","Electric guitar"
"Gory Carter","Texas blues","Human voice"
"Gory Carter","Texas blues","Drum kit"
"Gory Carter","Texas blues","Electric guitar"
"Gory Carter","Blues","Guitar"
"Gory Carter","Rhythm and blues","Guitar"
"Gory Carter","Rock and roll","Guitar"
"Gory Carter","Jump blues","Guitar"
"Gory Carter","Boogie-woogie","Guitar"
"Gory Carter","Texas blues","Guitar"
"Greg Oblivian","Punk rock","Drum kit"
"Greg Oblivian","Punk rock","Guitar"
"Greg Oblivian","Punk rock","Singing"
"Greg Oblivian","Rhythm and blues","Drum kit"
"Greg Oblivian","Rhythm and blues","Guitar"
"Greg Oblivian","Rhythm and blues","Singing"
"Greg Oblivian","Garage rock","Drum kit"
"Greg Oblivian","Garage rock","Guitar"
"Greg Oblivian","Garage rock","Singing"
"Guitar Eddy, Clear Waters, The Chief","Chicago blues","Human voice"
"Guitar Eddy, Clear Waters, The Chief","Chicago blues","Electric guitar"
"Guitar Eddy, Clear Waters, The Chief","Electric blues","Human voice"
"Guitar Eddy, Clear Waters, The Chief","Electric blues","Electric guitar"
"Guitar Slim","Country blues","Human voice"
"Guitar Slim","Country blues","Guitar"
"Guitar Slim","Piedmont blues","Human voice"
"Guitar Slim","Piedmont blues","Guitar"
"Haas G (UMCera)","Reggae","Ensoniq ASR-10"
"Haas G (UMCera)","Reggae","MPC2000"
"Haas G (UMCera)","Hip hop music","Ensoniq ASR-10"
"Haas G (UMCera)","Hip hop music","MPC2000"
"Haas G (UMCera)","R & B","Ensoniq ASR-10"
"Haas G (UMCera)","R & B","MPC2000"
"Happy Knappy (Fungus Amongus)","Funk metal","Bass guitar"
"Happy Knappy (Fungus Amongus)","Funk metal","Guitar"
"Happy Knappy (Fungus Amongus)","Funk metal","Percussion"
"Happy Knappy (Fungus Amongus)","Funk metal","Singing"
"Happy Knappy (Fungus Amongus)","Alternative rock","Bass guitar"
"Happy Knappy (Fungus Amongus)","Alternative rock","Guitar"
"Happy Knappy (Fungus Amongus)","Alternative rock","Percussion"
"Happy Knappy (Fungus Amongus)","Alternative rock","Singing"
"Hart A. Wand.","String band","Fiddle"
"Hattie North, Maybelle Allen","Classic female blues","Piano"
"Hattie North, Maybelle Allen","Classic female blues","Human voice"
"Herbie Phillips, Herb Phillips","Big band","Trumpet"
"Hoochie Man","Chicago blues","Guitar"
"Hoochie Man","Chicago blues","Gibson Guitar Corporation"
"Hoochie Man","Chicago blues","Fender Musical Instruments Corporation"
"Hoochie Man","Electric blues","Guitar"
"Hoochie Man","Electric blues","Gibson Guitar Corporation"
"Hoochie Man","Electric blues","Fender Musical Instruments Corporation"
"Hop Wilson, Poppa Hop","Texas blues","Harmonica"
"Hop Wilson, Poppa Hop","Texas blues","Steel guitar"
"Hudson Whittaker","Chicago blues","Piano"
"Hudson Whittaker","Chicago blues","Slide guitar"
"Hudson Whittaker","Chicago blues","Kazoo"
"Humpty Hump, Piano Man, Rackadelic, MC Blowfish, Gregory Racker, Icey Mike, Michael Boston, E7L, Peanut Hakeem Anafu Washington, Shakeem Bocaj V, Dat Jit Got a Dolphin Nose","Funk","Drum machine"
"Humpty Hump, Piano Man, Rackadelic, MC Blowfish, Gregory Racker, Icey Mike, Michael Boston, E7L, Peanut Hakeem Anafu Washington, Shakeem Bocaj V, Dat Jit Got a Dolphin Nose","Jazz","Drum machine"
"Humpty Hump, Piano Man, Rackadelic, MC Blowfish, Gregory Racker, Icey Mike, Michael Boston, E7L, Peanut Hakeem Anafu Washington, Shakeem Bocaj V, Dat Jit Got a Dolphin Nose","Electronic dance music","Drum machine"
"Humpty Hump, Piano Man, Rackadelic, MC Blowfish, Gregory Racker, Icey Mike, Michael Boston, E7L, Peanut Hakeem Anafu Washington, Shakeem Bocaj V, Dat Jit Got a Dolphin Nose","Hip hop music","Drum machine"
"Immenslope","Hip hop music","Bass guitar"
"Immenslope","Hip hop music","Keyboards"
"Immenslope","Hip hop music","Sampler (musical instrument)"
"Immenslope","Contemporary R&B","Bass guitar"
"Immenslope","Contemporary R&B","Keyboards"
"Immenslope","Contemporary R&B","Sampler (musical instrument)"
"Ira Tucker.sr","Gospel music","Singing"
"Iron Man","Blues rock","Human voice"
"Iron Man","Blues rock","Guitar"
"Iron Man","Electric blues","Human voice"
"Iron Man","Electric blues","Guitar"
"Iron Man","Soul blues","Human voice"
"Iron Man","Soul blues","Guitar"
"Ishmael Adams","Country blues","Guitar"
"Ishmael Adams","Delta blues","Guitar"
"Ishman Bracey","Country blues","Guitar"
"Ishman Bracey","Delta blues","Guitar"
"J-Mann","Industrial metal","Vocals"
"J-Mann","Nu metal","Vocals"
"J-Mann","Alternative metal","Vocals"
"J-Mann","Experimental metal","Vocals"
"JK","Blues rock","Singing"
"JK","Hard rock","Singing"
"JK","Heavy metal music","Singing"
"JP, Preacher","Gospel music","Drums"
"JP, Preacher","Gospel music","Bass guitar"
"JP, Preacher","Gospel music","Piano"
"JP, Preacher","Gospel music","Synthesizer"
"JP, Preacher","Gospel music","Acoustic guitar"
"JP, Preacher","Gospel music","Keyboard instrument"
"JP, Preacher","Rhythm and blues","Drums"
"JP, Preacher","Rhythm and blues","Bass guitar"
"JP, Preacher","Rhythm and blues","Piano"
"JP, Preacher","Rhythm and blues","Synthesizer"
"JP, Preacher","Rhythm and blues","Acoustic guitar"
"JP, Preacher","Rhythm and blues","Keyboard instrument"
"JP, Preacher","Rock music","Drums"
"JP, Preacher","Rock music","Bass guitar"
"JP, Preacher","Rock music","Piano"
"JP, Preacher","Rock music","Synthesizer"
"JP, Preacher","Rock music","Acoustic guitar"
"JP, Preacher","Rock music","Keyboard instrument"
"JP, Preacher","Soul music","Drums"
"JP, Preacher","Soul music","Bass guitar"
"JP, Preacher","Soul music","Piano"
"JP, Preacher","Soul music","Synthesizer"
"JP, Preacher","Soul music","Acoustic guitar"
"JP, Preacher","Soul music","Keyboard instrument"
"Jam Master DJ Scratch","Hip hop music","Turntablism"
"Jam Master DJ Scratch","Hip hop music","Sampling (music)"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Funktronica","Drum machine"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Funktronica","Guitar"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Funktronica","Rapping"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Funktronica","Programming (music)"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Funktronica","Sampler (musical instrument)"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Electronic music","Drum machine"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Electronic music","Guitar"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Electronic music","Rapping"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Electronic music","Programming (music)"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Electronic music","Sampler (musical instrument)"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Hip hop music","Drum machine"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Hip hop music","Guitar"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Hip hop music","Rapping"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Hip hop music","Programming (music)"
"Jams DaBoombox, King Boom, Ervin Jams, Fat Boi","Hip hop music","Sampler (musical instrument)"
"Jay","Alternative rock","Vocals"
"Jay","Pop rock","Vocals"
"JayFo","Thrash metal","Drum kit"
"JayFo","Metalcore","Drum kit"
"Jelly Jaw Short, Jaydee Short, and possibly others, including Spider Carter","Country blues","Human voice"
"Jelly Jaw Short, Jaydee Short, and possibly others, including Spider Carter","Country blues","Harmonica"
"Jelly Jaw Short, Jaydee Short, and possibly others, including Spider Carter","Country blues","Guitar"
"Jelly Jaw Short, Jaydee Short, and possibly others, including Spider Carter","Delta blues","Guitar"
"Jelly Jaw Short, Jaydee Short, and possibly others, including Spider Carter","Delta blues","Harmonica"
"Jelly Jaw Short, Jaydee Short, and possibly others, including Spider Carter","Delta blues","Human voice"
"Jelly Jaw Short, Jaydee Short, and possibly others, including Spider Carter","Acoustic blues","Guitar"
"Jelly Jaw Short, Jaydee Short, and possibly others, including Spider Carter","Acoustic blues","Harmonica"
"Jelly Jaw Short, Jaydee Short, and possibly others, including Spider Carter","Acoustic blues","Human voice"
"Jemina Pearl Abegg","Punk rock","Drum kit"
"Jemina Pearl Abegg","Punk rock","Guitar"
"Jemina Pearl Abegg","Punk rock","Singing"
"Jemina Pearl Abegg","Alternative rock","Drum kit"
"Jemina Pearl Abegg","Alternative rock","Guitar"
"Jemina Pearl Abegg","Alternative rock","Singing"
"Jemina Pearl Abegg","Garage rock","Drum kit"
"Jemina Pearl Abegg","Garage rock","Guitar"
"Jemina Pearl Abegg","Garage rock","Singing"
"Jerry ""Boogie"" McCain","Blues","Harmonica"
"Jerry ""Boogie"" McCain","Blues","Vocals"
"Jerry ""Boogie"" McCain","Blues","Guitar"
"Jewtown Jimmy","Country blues","Human voice"
"Jewtown Jimmy","Country blues","Guitar"
"Jewtown Jimmy","Electric blues","Human voice"
"Jewtown Jimmy","Electric blues","Guitar"
"Jim Luis Angryfoot","Alternative hip hop","Guitar"
"Jim Luis Angryfoot","Alternative hip hop","Electronic keyboard"
"Jim Luis Angryfoot","Alternative hip hop","Vocals"
"Jim Luis Angryfoot","Hip hop music","Guitar"
"Jim Luis Angryfoot","Hip hop music","Electronic keyboard"
"Jim Luis Angryfoot","Hip hop music","Vocals"
"Jim Luis Angryfoot","Electro music","Guitar"
"Jim Luis Angryfoot","Electro music","Electronic keyboard"
"Jim Luis Angryfoot","Electro music","Vocals"
"Jimmy V","R&B","Guitar"
"Jimmy V","R&B","Keyboard instrument"
"Jimmy V","R&B","Trumpet"
"Jimmy V","R&B","Singing"
"Jimmy V","Jazz","Guitar"
"Jimmy V","Jazz","Keyboard instrument"
"Jimmy V","Jazz","Trumpet"
"Jimmy V","Jazz","Singing"
"Jimmy V","Rock and roll","Keyboard instrument"
"Jimmy V","Rock and roll","Trumpet"
"Jimmy V","Rock and roll","Singing"
"Jimmy V","Rock and roll","Guitar"
"Jimmy Watson, Sunny Jim, Rev. Alfred Pitts","Cajun music","Human voice"
"Jimmy Watson, Sunny Jim, Rev. Alfred Pitts","Cajun music","Guitar"
"Jimmy Watson, Sunny Jim, Rev. Alfred Pitts","Cajun music","Harmonica"
"Jimmy Watson, Sunny Jim, Rev. Alfred Pitts","Country blues","Human voice"
"Jimmy Watson, Sunny Jim, Rev. Alfred Pitts","Country blues","Guitar"
"Jimmy Watson, Sunny Jim, Rev. Alfred Pitts","Country blues","Harmonica"
