"protectedArea","area","visitors","nearestCity","admRegion"
"Isle Royale National Park","2.31395e+09","14560","Thunder Bay","Keweenaw County, Michigan"
"Bryce Canyon National Park","1.45019e+08","1435741","Tropic, Utah","Kane County, Utah"
"Prince William Forest Park","6.50896e+07","379535","Dumfries, VA","Prince William County, Virginia"
"Sand Creek Massacre National Historic Site","5.09216e+07","1229590","Eads, CO","Kiowa County, Colorado"
"Curecanti National Recreation Area","1.74399e+08","924468","Gunnison, CO","Montrose County, Colorado"
"Guadalupe Mountains National Park","3.49515e+08","166868","Dell City, Texas","Hudspeth County, Texas"
"Congaree National Park","1.05303e+08","120122","Eastover, South Carolina","Richland County, South Carolina"
"Congaree National Park","1.07428e+08","120122","Eastover, South Carolina","Richland County, South Carolina"
"Manassas National Battlefield Park","2.05297e+07","715622","Gainesville, Virginia","Prince William County, Virginia"
"Puuhonua o Hōnaunau National Historical Park","1.69968e+06","442353","Holualoa, Hawaii","Hawaii County, Hawaii"
"Mount Rushmore National Memorial","5.1737e+06","2185447","Keystone, South Dakota","Pennington County, South Dakota"
"Bryce Canyon National Park","1.45019e+08","1435741","Panguitch, Utah","Kane County, Utah"
"Mount Rainier National Park","9.566e+08","1038229","Tacoma, Washington","Lewis County, Washington"
"Mount Rainier National Park","9.566e+08","1038229","Tacoma, Washington","Pierce County, Washington"
"Guadalupe Mountains National Park","3.49515e+08","166868","Texas","Hudspeth County, Texas"
"Minuteman Missile National Historic Site","60702.8","59389","Wall, South Dakota","Jackson County, South Dakota"
"Minuteman Missile National Historic Site","60702.8","59389","Wall, South Dakota","Pennington County, South Dakota"
"Minute Man National Historical Park","3.91331e+06","1002833","Lexington, Massachusetts","Middlesex County, Massachusetts"
"Lake Mead National Recreation Area","6.05331e+09","6344714","Las Vegas, Nevada","Mohave County, Arizona"
"Lake Clark National Park and Preserve","1.63089e+10","11639","Anchorage, Alaska","Kenai Peninsula Borough, Alaska"
"Lake Clark National Park and Preserve","1.63089e+10","11639","Anchorage, Alaska","Lake and Peninsula Borough, Alaska"
"Lake Clark National Park and Preserve","1.63089e+10","11639","Anchorage, Alaska","Matanuska-Susitna Borough, Alaska"
"Great Basin National Park","3.12336e+08","116123","Border, Utah","White Pine County, Nevada"
"Glen Canyon National Recreation Area","5.07523e+09","2270817","Bullfrog, Utah","San Juan County, Utah"
"Glen Canyon National Recreation Area","5.07523e+09","2270817","Bullfrog, Utah","Wayne County, Utah"
"Glen Canyon National Recreation Area","5.07523e+09","2270817","Bullfrog, Utah","Utah"
"Florissant Fossil Beds National Monument","2.4273e+07","61289","Florissant, Colorado","Teller County, Colorado"
"Great Basin National Park","3.12336e+08","116123","Baker, Nevada","White Pine County, Nevada"
"Cuyahoga Valley National Park","1.33344e+08","2284612","Akron, Ohio","Summit County, Ohio"
"Horseshoe Bend National Military Park","8.25559e+06","58564","Alexander City, Alabama","Tallapoosa County, Alabama"
"Aztec Ruins National Monument","1.2869e+06","41106","Aztec, New Mexico","San Juan County, New Mexico"
"Chickamauga and Chattanooga National Military Park","3.63124e+07","901384","Chattanooga, Tennessee","Walker County, Georgia"
"Chickamauga and Chattanooga National Military Park","3.65674e+07","901384","Chattanooga, Tennessee","Walker County, Georgia"
"Indiana Dunes National Lakeshore","6.0974e+07","2127336","Chesterton, Indiana","Indiana"
"Casa Grande Ruins National Monument","1.91214e+06","65106","Coolidge, Arizona","Arizona"
"Effigy Mounds National Monument","1.02224e+07","82581","Dubuque, Iowa","Iowa"
"Great Basin National Park","3.12336e+08","116123","Ely, Nevada","White Pine County, Nevada"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Eminence, Missouri","Shannon County, Missouri"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Eminence, Missouri","Texas County, Missouri"
"Big Cypress National Preserve","2.91603e+09","941393","Everglades City, Florida","Florida"
"Big Cypress National Preserve","2.91603e+09","941393","Everglades City, Florida","Miami-Dade County, Florida"
"Everglades National Park","6.09447e+09","1110901","Everglades City, Florida","Florida"
"Everglades National Park","6.10484e+09","1110901","Everglades City, Florida","Florida"
"Everglades National Park","6.09447e+09","1110901","Everglades City, Florida","Miami-Dade County, Florida"
"Everglades National Park","6.10484e+09","1110901","Everglades City, Florida","Miami-Dade County, Florida"
"Everglades National Park","6.09447e+09","1110901","Florida City, Florida","Florida"
"Everglades National Park","6.10484e+09","1110901","Florida City, Florida","Florida"
"Everglades National Park","6.09447e+09","1110901","Florida City, Florida","Miami-Dade County, Florida"
"Everglades National Park","6.10484e+09","1110901","Florida City, Florida","Miami-Dade County, Florida"
"Fort Smith National Historic Site","303514.0","86122","Fort Smith, Arkansas","Sebastian County, Arkansas"
"Fredericksburg and Spotsylvania National Military Park","3.38884e+07","534636","Fredericksburg, Virginia","Spotsylvania County, Virginia"
"Grand Canyon National Park","4.92608e+09","4756771","Fredonia, Arizona","Arizona"
"Scotts Bluff National Monument","1.21608e+07","128811","Gering, Nebraska","Scotts Bluff County, Nebraska"
"Hagerman Fossil Beds National Monument","1.76079e+07","21100","Hagerman, Idaho","Twin Falls County, Idaho"
"Biscayne National Park","6.99989e+08","525745","Homestead, Florida","Miami-Dade County, Florida"
"Voyageurs National Park","8.83024e+08","177184","International Falls, Minnesota","St. Louis County, Minnesota"
"Navajo National Monument","1.45687e+06","87388","Kayenta, Arizona","Arizona"
"Nez Perce National Historical Park","1.84577e+07","286259","Lewiston, Idaho","Oregon"
"Yosemite National Park","3.02719e+09","4150217","Mariposa, California","Tuolumne County, California"
"Effigy Mounds National Monument","1.02224e+07","82581","Marquette, Iowa","Iowa"
"Canaveral National Seashore","2.3335e+08","1005001","New Smyrna Beach, Florida","Florida"
"Tumacácori National Historical Park","1.45687e+06","33740","Nogales, Arizona","Santa Cruz County, Arizona"
"Tumacácori National Historical Park","1.45687e+06","33740","Nogales, Arizona","Arizona"
"Assateague Island National Seashore","1.67216e+08","2105419","Ocean City, Maryland","Worcester County, Maryland"
"Glen Canyon National Recreation Area","5.07523e+09","2270817","Page, Arizona","San Juan County, Utah"
"Glen Canyon National Recreation Area","5.07523e+09","2270817","Page, Arizona","Wayne County, Utah"
"Glen Canyon National Recreation Area","5.07523e+09","2270817","Page, Arizona","Utah"
"Rainbow Bridge National Monument","647497.0","92311","Page, Arizona","San Juan County, Utah"
"Whiskeytown–Shasta–Trinity National Recreation Area","8.23887e+08","782014","Redding, California","Shasta County, California"
"Lassen Volcanic National Park","4.30796e+08","407653","Redding, California","Shasta County, California"
"Lassen Volcanic National Park","4.30796e+08","407653","Redding, California","Tehama County, California"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Salem, Missouri","Shannon County, Missouri"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Salem, Missouri","Texas County, Missouri"
"San Antonio Missions","1.87369e+06","614810","San Antonio","Texas"
"San Antonio Missions","3.83642e+06","614810","San Antonio","Texas"
"National Historical Park","1.87369e+06","614810","San Antonio","Texas"
"National Historical Park","3.83642e+06","614810","San Antonio","Texas"
"Channel Islands National Park","1.00994e+09","342161","Santa Barbara, California","Santa Barbara County, California"
"Saratoga National Historical Park","1.37269e+07","65043","Saratoga Springs, New York","Saratoga County, New York"
"Antietam National Battlefield","1.10965e+07","384987","Sharpsburg, Maryland","Washington County, Maryland"
"Antietam National Battlefield","1.30713e+07","384987","Sharpsburg, Maryland","Washington County, Maryland"
"Klondike Gold Rush National Historical Park","5.25929e+07","860048","Skagway, Alaska","Washington (state)"
"Lassen Volcanic National Park","4.30796e+08","407653","Susanville, California","Shasta County, California"
"Lassen Volcanic National Park","4.30796e+08","407653","Susanville, California","Tehama County, California"
"Canaveral National Seashore","2.3335e+08","1005001","Titusville, Florida","Florida"
"Grand Canyon National Park","4.92608e+09","4756771","Tusayan, Arizona","Arizona"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Van Buren, Missouri","Shannon County, Missouri"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Van Buren, Missouri","Texas County, Missouri"
"Lake Meredith National Recreation Area","1.8202e+08","502457","Amarillo, Texas","Texas"
"Lake Meredith National Recreation Area","1.8202e+08","502457","Amarillo, Texas","Moore County, Texas"
"Alibates Flint Quarries National Monument","5.54824e+06","3282","Amarillo, Texas","Texas"
"Apostle Islands National Lakeshore","2.80739e+08","176040","Bayfield, Wisconsin","Wisconsin"
"New River Gorge National River","2.94644e+08","1128195","Beckley, West Virginia","Summers County, West Virginia"
"Zion National Park","5.93257e+08","3662220","Cedar City, Utah","Washington County, Utah"
"Zion National Park","5.93257e+08","3662220","Cedar City, Utah","Utah"
"George Washington Birthplace National Monument","2.6778e+06","130647","Colonial Beach, Virginia","Westmoreland County, Virginia"
"Padre Island National Seashore","5.27848e+08","666580","Corpus Christi, Texas","Texas"
"Big Thicket National Preserve","4.41453e+08","137722","Kountze, Texas","Texas"
"Canyonlands National Park","1.36621e+09","634607","Moab, Utah","San Juan County, Utah"
"Canyonlands National Park","1.36621e+09","634607","Moab, Utah","Wayne County, Utah"
"Canyonlands National Park","1.36621e+09","634607","Moab, Utah","Utah"
"Zion National Park","5.93257e+08","3662220","Orderville, Utah","Washington County, Utah"
"Zion National Park","5.93257e+08","3662220","Orderville, Utah","Utah"
"Lake Roosevelt","4.06264e+08","1781972","Spokane, Washington","Stevens County, Washington"
"Zion National Park","5.93257e+08","3662220","Springdale, Utah","Washington County, Utah"
"Zion National Park","5.93257e+08","3662220","Springdale, Utah","Utah"
"Saint Croix National Scenic Riverway","3.75297e+08","521695","St. Croix Falls, Wisconsin","Wisconsin"
"Bryce Canyon National Park","1.45019e+08","1435741","Tropic, Utah","Utah"
"Marsh-Billings-Rockefeller National Historical Park","2.60213e+06","29049","Woodstock, Vermont","Windsor County, Vermont"
"Mojave National Preserve","6.22413e+09","542527","Baker, California","San Bernardino County, California"
"Klondike Gold Rush National Historical Park","5.25929e+07","860048","Seattle","Washington (state)"
"Agate Fossil Beds National Monument","4.70123e+07","11824","Harrison, NE","Sioux County, Nebraska"
"Amistad National Recreation Area","2.36741e+08","1367502","Del Rio, Texas","Val Verde County, Texas"
"Guadalupe Mountains National Park","3.49515e+08","166868","Dell City, Texas","Texas"
"National Historical Park","8.38509e+06","266717","Friday Harbor, Washington","San Juan County, Washington"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Gatlinburg, Tennessee","Sevier County, Tennessee"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Gatlinburg, Tennessee","Swain County, North Carolina"
"Bryce Canyon National Park","1.45019e+08","1435741","Panguitch, Utah","Utah"
"Guadalupe Mountains National Park","3.49515e+08","166868","Texas","Texas"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Cherokee, North Carolina","Sevier County, Tennessee"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Cherokee, North Carolina","Swain County, North Carolina"
"Grand Teton National Park","1.25453e+09","3149921","Jackson, Wyoming","Teton County, Wyoming"
"John D. Rockefeller Jr. Memorial Parkway","9.71246e+07","1137117","Jackson, Wyoming","Teton County, Wyoming"
"North Cascades National Park","2.04278e+09","21623","Mount Vernon, Washington","Skagit County, Washington"
"North Cascades National Park","2.04278e+09","21623","Mount Vernon, Washington","Whatcom County, Washington"
"North Cascades National Park","2.04278e+09","21623","Mount Vernon, Washington","Washington (state)"
"Ross Lake National Recreation Area","4.75809e+08","728353","Newhalem, Washington","Skagit County, Washington"
"Ross Lake National Recreation Area","4.75809e+08","728353","Newhalem, Washington","Whatcom County, Washington"
"Cuyahoga Valley National Park","1.33344e+08","2284612","Cleveland, Ohio","Summit County, Ohio"
"Natchez Trace Parkway","2.11659e+08","5765343","Jackson, Mississippi","Tennessee"
"Natchez Trace Parkway","2.11659e+08","5765343","Jackson, Mississippi","Alabama"
"Natchez Trace Parkway","2.11659e+08","5765343","Jackson, Mississippi","Mississippi"
"Fort Washington Park","1.37998e+06","466078","Maryland","Maryland"
"Fort Washington Park","1.37998e+06","466078","Maryland","Prince George's County, Maryland"
"Flight 93 National Memorial","8.90308e+06","300000","Pennsylvania","Pennsylvania"
"Flight 93 National Memorial","8.90308e+06","300000","Pennsylvania","Somerset County, Pennsylvania"
"Blue Ridge Parkway","3.77936e+08","12877368","Asheville, North Carolina","North Carolina"
"Carlsbad Caverns National Park","1.37188e+06","397309","Carlsbad, New Mexico","Eddy County, New Mexico"
"Carlsbad Caverns National Park","1.89255e+08","397309","Carlsbad, New Mexico","Eddy County, New Mexico"
"Hopewell Culture National Historical Park","4.73482e+06","33834","Chillicothe, Ohio","Ohio"
"Hopewell Culture National Historical Park","4.73482e+06","33834","Chillicothe, Ohio","Ross County, Ohio"
"Tuzigoot National Monument","3.2856e+06","101104","Cottonwood, Arizona","Yavapai County, Arizona"
"Walnut Canyon National Monument","1.42814e+07","125003","Flagstaff, Arizona","Coconino County, Arizona"
"Fort Washington Park","1.37998e+06","466078","Fort Washington, Maryland","Maryland"
"Fort Washington Park","1.37998e+06","466078","Fort Washington, Maryland","Prince George's County, Maryland"
"Hot Springs National Park","2.24601e+07","1382589","Hot Springs, Arkansas","Garland County, Arkansas"
"Flight 93 National Memorial","8.90308e+06","300000","Johnstown, Pennsylvania","Pennsylvania"
"Flight 93 National Memorial","8.90308e+06","300000","Johnstown, Pennsylvania","Somerset County, Pennsylvania"
"Montezuma Castle National Monument","3.47734e+06","573731","Prescott, Arizona","Yavapai County, Arizona"
"Montezuma Castle National Monument","3.47734e+06","573731","Prescott, Arizona","Arizona"
"Hopewell Furnace National Historic Site","3.43173e+06","49980","Reading, Pennsylvania","Berks County, Pennsylvania"
"Joshua Tree National Park","3.19959e+09","1383340","San Bernardino, California","San Bernardino County, California"
"Joshua Tree National Park","3.19959e+09","1383340","San Bernardino, California","Riverside County, California"
"Saguaro National Park","3.70053e+08","610045","Tucson, Arizona","Pima County, Arizona"
"Joshua Tree National Park","3.19959e+09","1383340","Twentynine Palms, California","San Bernardino County, California"
"Joshua Tree National Park","3.19959e+09","1383340","Twentynine Palms, California","Riverside County, California"
"Sequoia National Park","1.63519e+09","1106584","Visalia, California","Tulare County, California"
"Big South Fork National River and Recreation Area","5.07112e+08","600161","Whitley City, Kentucky","Tennessee"
"Harpers Ferry National Historical Park","1.48144e+07","255348","Charles Town, West Virginia","Virginia"
"Harpers Ferry National Historical Park","1.48144e+07","255348","Charles Town, West Virginia","West Virginia"
"Harpers Ferry National Historical Park","1.48144e+07","255348","Charles Town, West Virginia","Maryland"
"Shenandoah National Park","8.06025e+08","1209883","Front Royal, Virginia","Virginia"
"Arches National Park","3.10309e+08","1399247","Moab, Utah","Grand County, Utah"
"Arches National Park","3.10309e+08","1399247","Moab, Utah","Utah"
"Olympic National Park","3.73383e+09","3263761","Port Angeles, Washington","Clallam County, Washington"
"Olympic National Park","3.73383e+09","3263761","Port Angeles, Washington","Grays Harbor County, Washington"
"Olympic National Park","3.73383e+09","3263761","Port Angeles, Washington","Jefferson County, Washington"
"Olympic National Park","3.73383e+09","3263761","Port Angeles, Washington","Mason County, Washington"
"Olympic National Park","3.73383e+09","3263761","Port Angeles, Washington","Washington (state)"
"Capitol Reef National Park","2.71139e+06","786514","Torrey, Utah","Emery County, Utah"
"Capitol Reef National Park","9.78951e+08","786514","Torrey, Utah","Emery County, Utah"
"Capitol Reef National Park","2.71139e+06","786514","Torrey, Utah","Garfield County, Utah"
"Capitol Reef National Park","9.78951e+08","786514","Torrey, Utah","Garfield County, Utah"
"Capitol Reef National Park","2.71139e+06","786514","Torrey, Utah","Sevier County, Utah"
"Capitol Reef National Park","9.78951e+08","786514","Torrey, Utah","Sevier County, Utah"
"Capitol Reef National Park","2.71139e+06","786514","Torrey, Utah","Wayne County, Utah"
"Capitol Reef National Park","9.78951e+08","786514","Torrey, Utah","Wayne County, Utah"
"Capitol Reef National Park","2.71139e+06","786514","Torrey, Utah","Utah"
"Capitol Reef National Park","9.78951e+08","786514","Torrey, Utah","Utah"
"Cowpens National Battlefield","3.40745e+06","208936","Gaffney, South Carolina","Cherokee County, South Carolina"
"Great Falls Park","3.23749e+06","645000","McLean, Virginia","Fairfax County, Virginia"
"Big South Fork National River and Recreation Area","5.07112e+08","600161","Oneida, Tennessee","Tennessee"
"Gateway National Recreation Area","1.07675e+08","7697727","New York City","New Jersey"
"Cesar E. Chavez National Monument","469435.0","8157","Bakersfield, CA","California"
"Cesar E. Chavez National Monument","469435.0","8157","Bakersfield, CA","Kern County, California"
"Hampton National Historic Site","251067.0","35000","Baltimore, Maryland","Baltimore County, Maryland"
