"band","startYear","label","labelFounder","occupation"
"Matthew Santos","2006","Atlantic Records","Ahmet Ertegun","Commposer"
"The Sheepdogs","2006","Atlantic Records","Ahmet Ertegun","Compooser"
"The Sheepdogs","2006","Atlantic Records","Ahmet Ertegünn","Composerr"
"The Lonely Hearts","2006","Atlantic Records","Ahmett Ertegün","Compooser"
"The Lonely Hearts","2006","Atlantic Records","Ahmet Ertegunn","Composerr"
"The Virgins","2007","Atlantic Records","Ahmet Ertegün","Songwriter"
"The Virgins","2007","Atlantic Records","Ahmet Ertegun","Songwrriter"
"The Virgins","2007","Atlantic Records","Ahmet Ertegun","Composerr"
"The Virgins","2007","Atlantic Records","Ahmet Ertegün","Composerr"
"Relentless7","2008","Virgin Records","Tom Newmann","Musiciann"
"Girl Next Door","2008","Avex Trax","Max Matsuuraa","Songwriter"
"the generous","2008","Avex Group","Max Matsuuraa","Songwrriter"
"The Virginmarys","2009","Cooking Vinyl","Pete Lawrencee","Musiciann"
"These Kids Wear Crowns","2009","Capitol Records","Buddy DeSylvaa","Soongwriter"
"Twenty One Pilots","2009","Atlantic Records","Ahmet Ertegün","Songwriterr"
"Twenty One Pilots","2009","Atlantic Records","Ahmet Ertegun","Sonngwriter"
"These Kids Wear Crowns","2009","Capitol Records","Johnny Merccer","Sonngwriter"
"Twenty One Pilots","2009","Atlantic Records","Ahmet Ertegün","Composer"
"Twenty One Pilots","2009","Atlantic Records","Ahmet Ertegunn","Composser"
"Sandaime J Soul Brothers","2010","Rhythm Zone","Max Matsuuraa","Songwriterr"
"The Sketchbook","2011","Avex Group","Max Matsuura","Songwrriter"
"Summer Cannibals","2012","Kill Rock Stars","Slim Moonn","Musiciann"
"Rabbit","2012","Avex Group","Max Matsuuraa","Songwriter"
"Generations from Exile Tribe","2012","Rhythm Zone","Max Matsuurra","Songwriter"
"N.Flying","2013","Virgin Records","Tom Newman","Musiciann"
