"driver","team","gp","year"
"Felipe Massaa","Scuderia Ferrari","2006 Brazilian Grand Prixx","2006"
"Felipe Massa","Scuderia Ferrari","2006 Turkish Grand Prix","2006"
"Gerhard Bergerr","Scuderia Ferrari","1987 Australian Grand Prix","1987"
"Gerhard Berger","Scuderia Ferrari","1987 Japanese Grand Prix","1987"
"Gerrhard Berger","Scuderia Ferrari","1988 Italian Grand Prixx","1988"
"Gerhard Berger","Scuderia Ferrari","1989 Portuguese Grand Priix","1989"
"Gerhard Berger","Scuderia Ferrari","1994 German Grand Prix","1994"
"James Huntt","McLaren","1976 BRDC International Trophy","1976"
"James Hunt","McLaren","1976 Race of Championss","1976"
"James Huntt","McLaren","1977 Race of Championss","1977"
"James Huntt","McLaren","1976 Dutch Grand Prix","1976"
"James Huntt","McLaren","1976 French Grand Prix","1976"
"JJames Hunt","McLaren","1976 Spanish Grand Prix","1976"
"James Hunt","McLaren","1977 British Grand Prixx","1977"
"Carllos Reutemann","Scuderia Ferrari","1978 United States Grand  Prix","1978"
"Carlos Reutemann","Scuderia Ferrari","1978 United States Grand Prix West","1978"
"Carlos Reutemann","Scuderia Ferrari","1977 Brazilian Grand Prixx","1977"
"Carlos Reutemannn","Scuderia Ferrari","1978 Brazilian Grand Prixx","1978"
"Carlos Reutemann","Scuderia Ferrari","1978 British Grand Prixx","1978"
"Peter Collins (racing driver))","Scuderia Ferrari","1956 Belgian Grand Prixx","1956"
"Peter Collins (racing driver)","Scuderia Ferrari","1956 French Grand Prixx","1956"
"Peter Collins (racing driver))","Scuderia Ferrari","1958 British Grand Prix","1958"
"René Arnoux","Scuderia Ferrari","1983 Canadian Grand Prixx","1983"
"René Arnoux","Scuderia Ferrari","1983 Dutch Grand Prixx","1983"
"René Arnouxx","Scuderia Ferrari","1983 German Grand Prix","1983"
"Keke Rosberg","Williams Grand Prix Engineering","1983 Racce of Champions","1983"
"Reg Parnell","Scuderia Ferrari","1957 New Zealand Grand Prix","1957"
"Giancarlo Baghetti","Scuderia Ferrari","1961 Syracuse Grand Prixx","1961"
"Giancaarlo Baghetti","Scuderia Ferrari","1961 Naples Grand Prixx","1961"
"Jody Scheckter","Scuderia Ferrari","1979 Monaco Grand Prixx","1979"
"Giancarlo Baghettii","Scuderia Ferrari","1961 French Grand Prix","1961"
"Ludovico Scarfiotti","Scuderia Ferrari","1966 Italian Grand Prix","1966"
"Jody Scheckter","Scuderia Ferrari","1979 Belgian GGrand Prix","1979"
"Jody Scheckterr","Scuderia Ferrari","1979 Italian Grand Prixx","1979"
"Riccardo Patrese","Williams Grand Prix Engineering","1992 Japanese Grand Prixx","1992"
"Willy Mairessee","Scuderia Ferrari","1962 Naples Grand Priix","1962"
"Willy Mairesse","Scuderia Ferrari","1962 Brussels Grand Prixx","1962"
"Luigi Villoressi","Scuderia Ferrari","1950 Buenos Aires Grand Prix","1950"
"Mike Hawwthorn","Scuderia Ferrari","1958 Glover Trophy","1958"
"Lorenzo Bandinii","Scuderia Ferrari","1962 Mediterrranean Grand Prix","1962"
"Mike Hawthorn","Scuderia Ferrari","1953 FFrench Grand Prix","1953"
"Mike Hawthorn","Scuderia Ferrari","1954 Spanish Grand Prixx","1954"
"Mike Hawthorn","Scuderia Ferrari","1958 French Grand Prixx","1958"
"Tony Brooks","Scuderia Ferrari","1959 French Grand Prix","1959"
"TTony Brooks","Scuderia Ferrari","1959 German Grand Prixx","1959"
"Lorenzo Bandinii","Scuderia Ferrari","1964 Austrian Grand Prixx","1964"
"Clay Regazzoni","Scuderia Ferrari","1975 Swiss Grand Prix","1975"
"José Froilán Gonzálezz","Scuderia Ferrari","1951 Buenos Aires Grand Prix (I))","1951"
"Clay Regazzoni","Scuderia Ferrari","1971 Racce of Champions","1971"
"Clay Regazzonii","Scuderia Ferrari","1976 Uniited States Grand Prix West","1976"
"José Froilán González","Scuderia Ferrari","1951 British Grand Prix","1951"
"JJosé Froilán González","Scuderia Ferrari","1954 British Grand Prix","1954"
"Clay Regazzoni","Scuderia Ferrari","1970 Italian Grand Prix","1970"
"Clay Regazzoni","Scuderia Ferrari","1974 German Grand Prixx","1974"
"Clay Regazzoni","Scuderia Ferrari","1975 Italian Grand Prixx","1975"
"Eddie Irvinee","Scuderia Ferrari","1999 Australian Grand Prix","1999"
"Eddie Irvinee","Scuderia Ferrari","1999 Austrian Grand Prix","1999"
"Eddie Irvine","Scuderia Ferrari","1999 German Grand Prix","1999"
"Eddie IIrvine","Scuderia Ferrari","1999 Malaysian Grand Prix","1999"
"José Froilán González","Scuderia Ferrari","1951 Buenos Aires Grand Prix (II)","1951"
"Gilles Villeneuve","Scuderia Ferrari","1979 United States Grand Prixx","1979"
"Gilles Villeneuve","Scuderia Ferrari","1979 United States Grand Prix Westt","1979"
"Gilles Villeneuvee","Scuderia Ferrari","1981 Monaco Grannd Prix","1981"
"Gilles Villeneuve","Scuderia Ferrari","1979 Raace of Champions","1979"
"Gilles Villeneuvee","Scuderia Ferrari","1978 Canadian Grand Prixx","1978"
"Gilles Villeneuve","Scuderia Ferrari","1979 South African Grand Prixx","1979"
"Gilles Villeneuve","Scuderia Ferrari","1981 Spanish Grand Prix","1981"
"Heikki Kovalainen","McLaren","2008 Hungarian Grand Prix","2008"
"Daniel Ricciardo","Red Bull Racing","2014 Belgian Grand Prix","2014"
"Daniel Ricciaardo","Red Bull Racing","2014 Canadian Grand Prix","2014"
"Daniel  Ricciardo","Red Bull Racing","2014 Hungarian Grand Prixx","2014"
"DDaniel Ricciardo","Red Bull Racing","2016  Malaysian Grand Prix","2016"
"Jochen Mass","McLaren","1975 Spanish Grand Prixx","1975"
"John Watson (racing driver)","McLaren","1982 Belgian  Grand Prix","1982"
"Luigi Mussoo","Scuderia Ferrari","1956 Argentine Grand Prixx","1956"
"Didier Pironi","Scuderia Ferrari","1982 Dutch Grand Prixx","1982"
"Didier Pironi","Scuderia Ferrari","1982 San Marino Grand Prix","1982"
"Patrick Tambayy","Scuderia Ferrari","19982 German Grand Prix","1982"
"Patrick Tambayy","Scuderia Ferrari","1983 San Marino Grand Prixx","1983"
"Max Verstappenn","Red Bull Racing","2016 Spanish Grand Prixx","2016"
"Piero Taruffii","Scuderia Ferrari","1952 Swiss Grand Prixx","1952"
