"lake","area","location","state"
"Little South Pond","250905.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Little South Pond","250905.0","Plymouth, Massachusetts","Massachusetts"
"Little West Pond","101171.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Little West Pond","101171.0","Plymouth, Massachusetts","Massachusetts"
"Loch Lomond (California)","708200.0","Santa Cruz County, California","California"
"Long Duck Pond","93077.7","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Long Duck Pond","93077.7","Plymouth, Massachusetts","Massachusetts"
"Long Island Pond (Plymouth, Massachusetts)","121406.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Long Island Pond (Plymouth, Massachusetts)","121406.0","Plymouth, Massachusetts","Massachusetts"
"Long Pond (Lakeville, Massachusetts)","6.96464e+06","Lakeville, Massachusetts","Plymouth County, Massachusetts"
"Long Pond (Lakeville, Massachusetts)","6.96464e+06","Freetown, Massachusetts","Massachusetts"
"Long Pond (Lakeville, Massachusetts)","6.96464e+06","Lakeville, Massachusetts","Massachusetts"
"Long Pond (Plymouth, Massachusetts)","853887.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Long Pond (Plymouth, Massachusetts)","853887.0","Plymouth, Massachusetts","Massachusetts"
"Long Pond (Rochester, Massachusetts)","133546.0","Rochester, Massachusetts","Plymouth County, Massachusetts"
"Long Pond (Rochester, Massachusetts)","133546.0","Rochester, Massachusetts","Massachusetts"
"Lost Lake (California)","7000.0","El Dorado County, California","California"
"Lost Lake (Groton)","825559.0","Groton, Massachusetts","Massachusetts"
"Lout Pond","72843.4","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Lout Pond","72843.4","Plymouth, Massachusetts","Massachusetts"
"Lower Chandler Pond","121406.0","Pembroke, Massachusetts","Plymouth County, Massachusetts"
"Lower Chandler Pond","121406.0","Duxbury, Massachusetts","Plymouth County, Massachusetts"
"Lower Chandler Pond","121406.0","Pembroke, Massachusetts","Massachusetts"
"Lower Chandler Pond","121406.0","Duxbury, Massachusetts","Massachusetts"
"Lower Otay Reservoir","4.45154e+06","San Diego County, California","California"
"Malibou Lake, California","1.4164e+06","Los Angeles","California"
"Mammoth Pool Reservoir","4.45154e+06","Fresno County, California","California"
"Mammoth Pool Reservoir","4.45154e+06","Madera County, California","California"
"Maquan Pond","194249.0","Hanson, Massachusetts","Plymouth County, Massachusetts"
"Maquan Pond","194249.0","Hanson, Massachusetts","Massachusetts"
"Mary's Pond","327795.0","Rochester, Massachusetts","Plymouth County, Massachusetts"
"Mary's Pond","327795.0","Rochester, Massachusetts","Massachusetts"
"Meiss Lake","1.21406e+07","Siskiyou County, California","California"
"Micajah Pond (Massachusetts)","80937.1","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Micajah Pond (Massachusetts)","80937.1","Plymouth, Massachusetts","Massachusetts"
"Middle Lake Hamilton","416826.0","Winter Haven, Florida","Florida"
"Mill Pond (Duxbury, Massachusetts)","52609.1","Duxbury, Massachusetts","Plymouth County, Massachusetts"
"Mill Pond (Duxbury, Massachusetts)","52609.1","Duxbury, Massachusetts","Massachusetts"
"Mill Pond (Wareham, Massachusetts)","607028.0","Wareham, Massachusetts","Plymouth County, Massachusetts"
"Mill Pond (Wareham, Massachusetts)","607028.0","Wareham, Massachusetts","Massachusetts"
"Millerton Lake","1.98296e+07","Fresno County, California","California"
"Millerton Lake","1.98296e+07","Madera County, California","California"
"Mirror Lake (Lake Placid)","376965.0","Lake Placid, Florida","Florida"
"Mono Lake","1.82647e+08","Mono County, California","California"
"Monponsett Pond","995527.0","Halifax, Massachusetts","Plymouth County, Massachusetts"
"Monponsett Pond","1.14121e+06","Halifax, Massachusetts","Plymouth County, Massachusetts"
"Monponsett Pond","995527.0","Halifax, Massachusetts","Massachusetts"
"Monponsett Pond","1.14121e+06","Halifax, Massachusetts","Massachusetts"
"Morey Hole","89030.8","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Morey Hole","89030.8","Plymouth, Massachusetts","Massachusetts"
"Mountain Meadows Reservoir","2.34718e+07","Lassen County, California","California"
"Muddy Pond (Kingston, Massachusetts)","149734.0","Kingston, Massachusetts","Plymouth County, Massachusetts"
"Muddy Pond (Kingston, Massachusetts)","149734.0","Kingston, Massachusetts","Massachusetts"
"New Hogan Lake","1.78466e+07","Calaveras County, California","California"
"New Long Pond","93077.7","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"New Long Pond","93077.7","Plymouth, Massachusetts","Massachusetts"
"New Melones Lake","5.1e+07","Calaveras County, California","California"
"New Melones Lake","5.1e+07","Tuolumne County, California","California"
"Newnans Lake","3.042e+07","Gainesville, Florida","Florida"
"Nicasio Reservoir","3.41959e+06","Marin County, California","California"
"North Hill Marsh Pond","153781.0","Duxbury, Massachusetts","Plymouth County, Massachusetts"
"North Hill Marsh Pond","153781.0","Duxbury, Massachusetts","Massachusetts"
"North Triangle Pond","80937.1","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"North Triangle Pond","80937.1","Plymouth, Massachusetts","Massachusetts"
"Oldham Pond (Massachusetts)","938871.0","Pembroke, Massachusetts","Plymouth County, Massachusetts"
"Oldham Pond (Massachusetts)","938871.0","Hanson, Massachusetts","Plymouth County, Massachusetts"
"Oldham Pond (Massachusetts)","938871.0","Pembroke, Massachusetts","Massachusetts"
"Oldham Pond (Massachusetts)","938871.0","Hanson, Massachusetts","Massachusetts"
"Otis Reservoir","4.39084e+06","Blandford, Massachusetts","Massachusetts"
"Otis Reservoir","4.39084e+06","Otis, Massachusetts","Massachusetts"
"Otis Reservoir","4.39084e+06","Tolland, Massachusetts","Massachusetts"
"Pacheco Reservoir","797231.0","Santa Clara County, California","California"
"Padgett Lake","64506.9","Lake Wales, Florida","Florida"
"Park Lake (Orlando, Florida)","35612.3","Orlando, Florida","Florida"
"Parker Mills Pond","424920.0","Wareham, Massachusetts","Plymouth County, Massachusetts"
"Parker Mills Pond","424920.0","Wareham, Massachusetts","Massachusetts"
"Pembroke Street South Pond","64749.7","Kingston, Massachusetts","Plymouth County, Massachusetts"
"Pembroke Street South Pond","64749.7","Kingston, Massachusetts","Massachusetts"
"Petaluma Reservoir","40468.6","Sonoma County, California","California"
"Pine Flat Lake","2.41597e+07","Fresno County, California","California"
"Pine Lake (Duxbury, Massachusetts)","93077.7","Duxbury, Massachusetts","Plymouth County, Massachusetts"
"Pine Lake (Duxbury, Massachusetts)","93077.7","Duxbury, Massachusetts","Massachusetts"
"Pine Street Pond","68796.6","Duxbury, Massachusetts","Plymouth County, Massachusetts"
"Pine Street Pond","68796.6","Duxbury, Massachusetts","Massachusetts"
"Pocksha Pond","930777.0","Lakeville, Massachusetts","Plymouth County, Massachusetts"
"Pocksha Pond","930777.0","Middleborough, Massachusetts","Plymouth County, Massachusetts"
"Pocksha Pond","930777.0","Middleborough, Massachusetts","Massachusetts"
"Pocksha Pond","930777.0","Lakeville, Massachusetts","Massachusetts"
"Puddingstone Reservoir","1.01171e+06","Los Angeles County, California","California"
"Quaboag Pond","2.17316e+06","Brookfield, Massachusetts","Massachusetts"
"Quaboag Pond","2.17316e+06","East Brookfield, Massachusetts","Massachusetts"
"Quail Lake","1e+06","Los Angeles County, California","California"
"Racetrack Playa","7e+06","Inyo County, California","California"
"Rancho Seco Recreational Park","647497.0","Sacramento County, California","California"
"Rector Reservoir","331842.0","Napa County, California","California"
"Red Lake (Orlando)","497763.0","Orlando, Florida","Florida"
"Reeds Millpond","40468.6","Kingston, Massachusetts","Plymouth County, Massachusetts"
"Reeds Millpond","40468.6","Kingston, Massachusetts","Massachusetts"
"Reeves Lake","109872.0","Winter Haven, Florida","Florida"
"River Lake (Winter Haven, Florida)","109184.0","Winter Haven, Florida","Florida"
"Robbins Pond (Massachusetts)","501810.0","East Bridgewater, Massachusetts","Plymouth County, Massachusetts"
"Robbins Pond (Massachusetts)","501810.0","Halifax, Massachusetts","Plymouth County, Massachusetts"
"Robbins Pond (Massachusetts)","501810.0","East Bridgewater, Massachusetts","Massachusetts"
"Robbins Pond (Massachusetts)","501810.0","Halifax, Massachusetts","Massachusetts"
"Roberts Lake","20234.3","Rohnert Park, California","California"
"Rocky Pond (Plymouth, Massachusetts)","72843.4","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Rocky Pond (Plymouth, Massachusetts)","72843.4","Plymouth, Massachusetts","Massachusetts"
"Rogers Dry Lake","1.12e+08","Kern County, California","California"
"Rogers Dry Lake","1.12e+08","Los Angeles County, California","California"
"Rosamond Lake","3.5e+07","Kern County, California","California"
"Rosamond Lake","3.5e+07","Los Angeles County, California","California"
"Round Lake (Florida lake)","108213.0","Winter Haven, Florida","Florida"
"Round Pond (Duxbury, Massachusetts)","44515.4","Duxbury, Massachusetts","Plymouth County, Massachusetts"
"Round Pond (Duxbury, Massachusetts)","44515.4","Duxbury, Massachusetts","Massachusetts"
"Round Pond (Plymouth, Massachusetts)","40468.6","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Round Pond (Plymouth, Massachusetts)","40468.6","Plymouth, Massachusetts","Massachusetts"
"Russell Millpond","169968.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Russell Millpond","169968.0","Plymouth, Massachusetts","Massachusetts"
"Russell Pond (Massachusetts)","56656.0","Kingston, Massachusetts","Plymouth County, Massachusetts"
"Russell Pond (Massachusetts)","56656.0","Kingston, Massachusetts","Massachusetts"
"Salt Spring Valley Reservoir","3.94569e+06","Calaveras County, California","California"
"Salton Sea","8.89e+08","Imperial County, California","California"
"Salton Sea","8.89e+08","Riverside County, California","California"
"Sampsons Pond","1.25453e+06","Carver, Massachusetts","Plymouth County, Massachusetts"
"Sampsons Pond","1.25453e+06","Carver, Massachusetts","Massachusetts"
"San Andreas Lake","2.22577e+06","San Mateo County, California","California"
"San Luis Reservoir","5.13951e+07","Merced County, California","California"
"San Vicente Reservoir","4.45154e+06","San Diego County, California","California"
"Sandy Pond (Wareham, Massachusetts)","72843.4","Wareham, Massachusetts","Plymouth County, Massachusetts"
"Sandy Pond (Wareham, Massachusetts)","72843.4","Wareham, Massachusetts","Massachusetts"
"Santa Rosa Creek Reservoir","623216.0","Sonoma County, California","California"
"Savery Pond (Plymouth, Massachusetts)","133546.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Savery Pond (Plymouth, Massachusetts)","133546.0","Plymouth, Massachusetts","Massachusetts"
"Scotts Flat Reservoir","3.43983e+06","Nevada County, California","California"
"Shallow Pond (Plymouth, Massachusetts)","72843.4","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Shallow Pond (Plymouth, Massachusetts)","72843.4","Plymouth, Massachusetts","Massachusetts"
"Shasta Lake","1.21406e+08","Shasta County, California","California"
"Shaver Lake","8.81001e+06","Fresno County, California","California"
"Ship Pond","44515.4","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Ship Pond","44515.4","Plymouth, Massachusetts","Massachusetts"
"Silver Lake (Plymouth County, Massachusetts)","2.58999e+06","Pembroke, Massachusetts","Plymouth County, Massachusetts"
"Silver Lake (Plymouth County, Massachusetts)","2.58999e+06","Plympton, Massachusetts","Plymouth County, Massachusetts"
"Silver Lake (Plymouth County, Massachusetts)","2.58999e+06","Kingston, Massachusetts","Plymouth County, Massachusetts"
"Silver Lake (Plymouth County, Massachusetts)","2.58999e+06","Plympton, Massachusetts","Massachusetts"
"Silver Lake (Plymouth County, Massachusetts)","2.58999e+06","Pembroke, Massachusetts","Massachusetts"
"Silver Lake (Plymouth County, Massachusetts)","2.58999e+06","Kingston, Massachusetts","Massachusetts"
"Smelt Pond","178062.0","Kingston, Massachusetts","Plymouth County, Massachusetts"
"Smelt Pond","178062.0","Kingston, Massachusetts","Massachusetts"
"Snipatuit Pond","2.87327e+06","Rochester, Massachusetts","Plymouth County, Massachusetts"
"Snipatuit Pond","2.87327e+06","Rochester, Massachusetts","Massachusetts"
"Soda Lake (San Luis Obispo County)","1.2e+07","San Luis Obispo County, California","California"
"South Meadow Brook Reservoir","101171.0","Carver, Massachusetts","Plymouth County, Massachusetts"
"South Meadow Brook Reservoir","101171.0","Carver, Massachusetts","Massachusetts"
"South Meadow Pond (Carver, Massachusetts)","68796.6","Carver, Massachusetts","Plymouth County, Massachusetts"
"South Meadow Pond (Carver, Massachusetts)","68796.6","Carver, Massachusetts","Massachusetts"
"South Triangle Pond","60702.8","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"South Triangle Pond","60702.8","Plymouth, Massachusetts","Massachusetts"
"Spectacle Pond (Wareham, Massachusetts)","169968.0","Wareham, Massachusetts","Plymouth County, Massachusetts"
"Spectacle Pond (Wareham, Massachusetts)","169968.0","Wareham, Massachusetts","Massachusetts"
"Spring Lake (Winter Haven)","97893.5","Winter Haven, Florida","Florida"
"Spy Pond","416826.0","Arlington, Massachusetts","Massachusetts"
"Stetson Pond (Pembroke, Massachusetts)","376358.0","Pembroke, Massachusetts","Plymouth County, Massachusetts"
"Stetson Pond (Pembroke, Massachusetts)","376358.0","Pembroke, Massachusetts","Massachusetts"
"Stevens Creek Reservoir","372311.0","Santa Clara County, California","California"
"Stockbridge Bowl","1.50543e+06","Stockbridge, Massachusetts","Massachusetts"
"Studleys Pond","117359.0","Rockland, Massachusetts","Plymouth County, Massachusetts"
"Studleys Pond","117359.0","Rockland, Massachusetts","Massachusetts"
"Stump Pond (Pembroke, Massachusetts)","404686.0","Pembroke, Massachusetts","Plymouth County, Massachusetts"
"Stump Pond (Pembroke, Massachusetts)","404686.0","Pembroke, Massachusetts","Massachusetts"
"Sugar Pine Reservoir","667731.0","Northern California","California"
"Sugden Reservoir","345197.0","Spencer, Massachusetts","Massachusetts"
"Sunset Lake (Orlando, Florida)","116388.0","Orlando, Florida","Florida"
"Sweetwater Reservoir","3.78786e+06","San Diego County, California","California"
"Thompson Pond (Massachusetts)","469435.0","Spencer, Massachusetts","Massachusetts"
"Tihonet Pond","360170.0","Wareham, Massachusetts","Plymouth County, Massachusetts"
"Tihonet Pond","360170.0","Wareham, Massachusetts","Massachusetts"
"Tispaquin Pond","785090.0","Middleborough, Massachusetts","Plymouth County, Massachusetts"
"Tispaquin Pond","785090.0","Middleborough, Massachusetts","Massachusetts"
"Tolay Lake","809371.0","Sonoma County, California","California"
"Topaz Lake","9.75292e+06","Mono County, California","California"
"Tremont Mill Pond","202343.0","Wareham, Massachusetts","Plymouth County, Massachusetts"
"Tremont Mill Pond","202343.0","Wareham, Massachusetts","Massachusetts"
"Triangle Pond (Massachusetts)","40468.6","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Triangle Pond (Massachusetts)","40468.6","Plymouth, Massachusetts","Massachusetts"
"Tulare Lake","1.78e+09","Kings County, California","California"
"Tulare Lake","1.78e+09","San Joaquin Valley","California"
"Tule Lake","5.26091e+07","Siskiyou County, California","California"
"Tule Lake","5.26091e+07","Modoc County, California","California"
"Ukonom Lake","271139.0","Siskiyou County, California","California"
"Union Pond (Massachusetts)","101171.0","Wareham, Massachusetts","Plymouth County, Massachusetts"
"Union Pond (Massachusetts)","101171.0","Wareham, Massachusetts","Massachusetts"
"Upper Chandler Pond","40468.6","Pembroke, Massachusetts","Plymouth County, Massachusetts"
"Upper Chandler Pond","40468.6","Duxbury, Massachusetts","Plymouth County, Massachusetts"
"Upper Chandler Pond","40468.6","Pembroke, Massachusetts","Massachusetts"
"Upper Chandler Pond","40468.6","Duxbury, Massachusetts","Massachusetts"
"Uvas Reservoir","1.16549e+06","Santa Clara County, California","California"
"Vaughn Pond (Massachusetts)","89030.8","Carver, Massachusetts","Plymouth County, Massachusetts"
"Vaughn Pond (Massachusetts)","89030.8","Carver, Massachusetts","Massachusetts"
"Walden Pond","246858.0","Concord, Massachusetts","Massachusetts"
"Wampatuck Pond","258999.0","Hanson, Massachusetts","Plymouth County, Massachusetts"
"Wampatuck Pond","258999.0","Hanson, Massachusetts","Massachusetts"
"Watuppa Ponds","7.30458e+06","Fall River, Massachusetts","Massachusetts"
"Watuppa Ponds","6.27667e+06","Fall River, Massachusetts","Massachusetts"
"Watuppa Ponds","6.27667e+06","Westport, Massachusetts","Massachusetts"
"Watuppa Ponds","7.30458e+06","Westport, Massachusetts","Massachusetts"
"West Chandler Pond","48562.3","Pembroke, Massachusetts","Plymouth County, Massachusetts"
"West Chandler Pond","48562.3","Pembroke, Massachusetts","Massachusetts"
"Weston Reservoir","9.06496e+06","Weston, Massachusetts","Massachusetts"
"Whale Rock Reservoir","2.06e+07","San Luis Obispo County, California","California"
"Whiskeytown Lake","1.3994e+07","Shasta County, California","California"
"White Island Pond","493716.0","Wareham, Massachusetts","Plymouth County, Massachusetts"
"White Island Pond","643450.0","Wareham, Massachusetts","Plymouth County, Massachusetts"
"White Island Pond","493716.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"White Island Pond","643450.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"White Island Pond","643450.0","Wareham, Massachusetts","Massachusetts"
"White Island Pond","493716.0","Wareham, Massachusetts","Massachusetts"
"White Island Pond","493716.0","Plymouth, Massachusetts","Massachusetts"
"White Island Pond","643450.0","Plymouth, Massachusetts","Massachusetts"
"Whites Pond (Massachusetts)","133546.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Whites Pond (Massachusetts)","133546.0","Plymouth, Massachusetts","Massachusetts"
"Winnecunnet Pond","598935.0","Norton, Massachusetts","Massachusetts"
