"driver","team","gp","year"
"James Hunt","McLaren","1976 Spanish Grand Prix","1976"
"James Hunt","McLaren","1977 British Grand Prix","1977"
"Carlos Reutemann","Scuderia Ferrari","1978 United States Grand Prix","1978"
"Carlos Reutemann","Scuderia Ferrari","1978 United States Grand Prix West","1978"
"Carlos Reutemann","Scuderia Ferrari","1977 Brazilian Grand Prix","1977"
"Carlos Reutemann","Scuderia Ferrari","1978 Brazilian Grand Prix","1978"
"Carlos Reutemann","Scuderia Ferrari","1978 British Grand Prix","1978"
"Peter Collins (racing driver)","Scuderia Ferrari","1956 Belgian Grand Prix","1956"
"Peter Collins (racing driver)","Scuderia Ferrari","1956 French Grand Prix","1956"
"Peter Collins (racing driver)","Scuderia Ferrari","1958 British Grand Prix","1958"
"René Arnoux","Scuderia Ferrari","1983 Canadian Grand Prix","1983"
"René Arnoux","Scuderia Ferrari","1983 Dutch Grand Prix","1983"
"René Arnoux","Scuderia Ferrari","1983 German Grand Prix","1983"
"Keke Rosberg","Williams Grand Prix Engineering","1983 Race of Champions","1983"
"Reg Parnell","Scuderia Ferrari","1957 New Zealand Grand Prix","1957"
"Giancarlo Baghetti","Scuderia Ferrari","1961 Syracuse Grand Prix","1961"
"Giancarlo Baghetti","Scuderia Ferrari","1961 Naples Grand Prix","1961"
"Jody Scheckter","Scuderia Ferrari","1979 Monaco Grand Prix","1979"
"Giancarlo Baghetti","Scuderia Ferrari","1961 French Grand Prix","1961"
"Ludovico Scarfiotti","Scuderia Ferrari","1966 Italian Grand Prix","1966"
"Jody Scheckter","Scuderia Ferrari","1979 Belgian Grand Prix","1979"
"Jody Scheckter","Scuderia Ferrari","1979 Italian Grand Prix","1979"
"Riccardo Patrese","Williams Grand Prix Engineering","1992 Japanese Grand Prix","1992"
"Willy Mairesse","Scuderia Ferrari","1962 Naples Grand Prix","1962"
"Willy Mairesse","Scuderia Ferrari","1962 Brussels Grand Prix","1962"
"Luigi Villoresi","Scuderia Ferrari","1950 Buenos Aires Grand Prix","1950"
"Mike Hawthorn","Scuderia Ferrari","1958 Glover Trophy","1958"
"Lorenzo Bandini","Scuderia Ferrari","1962 Mediterranean Grand Prix","1962"
"Mike Hawthorn","Scuderia Ferrari","1953 French Grand Prix","1953"
"Mike Hawthorn","Scuderia Ferrari","1954 Spanish Grand Prix","1954"
"Mike Hawthorn","Scuderia Ferrari","1958 French Grand Prix","1958"
"Tony Brooks","Scuderia Ferrari","1959 French Grand Prix","1959"
"Tony Brooks","Scuderia Ferrari","1959 German Grand Prix","1959"
"Lorenzo Bandini","Scuderia Ferrari","1964 Austrian Grand Prix","1964"
"Clay Regazzoni","Scuderia Ferrari","1975 Swiss Grand Prix","1975"
"José Froilán González","Scuderia Ferrari","1951 Buenos Aires Grand Prix (I)","1951"
"Clay Regazzoni","Scuderia Ferrari","1971 Race of Champions","1971"
"Clay Regazzoni","Scuderia Ferrari","1976 United States Grand Prix West","1976"
"José Froilán González","Scuderia Ferrari","1951 British Grand Prix","1951"
"José Froilán González","Scuderia Ferrari","1954 British Grand Prix","1954"
"Clay Regazzoni","Scuderia Ferrari","1970 Italian Grand Prix","1970"
"Clay Regazzoni","Scuderia Ferrari","1974 German Grand Prix","1974"
"Clay Regazzoni","Scuderia Ferrari","1975 Italian Grand Prix","1975"
"Eddie Irvine","Scuderia Ferrari","1999 Australian Grand Prix","1999"
"Eddie Irvine","Scuderia Ferrari","1999 Austrian Grand Prix","1999"
"Eddie Irvine","Scuderia Ferrari","1999 German Grand Prix","1999"
"Eddie Irvine","Scuderia Ferrari","1999 Malaysian Grand Prix","1999"
"José Froilán González","Scuderia Ferrari","1951 Buenos Aires Grand Prix (II)","1951"
"Gilles Villeneuve","Scuderia Ferrari","1979 United States Grand Prix","1979"
"Gilles Villeneuve","Scuderia Ferrari","1979 United States Grand Prix West","1979"
"Gilles Villeneuve","Scuderia Ferrari","1981 Monaco Grand Prix","1981"
"Gilles Villeneuve","Scuderia Ferrari","1979 Race of Champions","1979"
"Gilles Villeneuve","Scuderia Ferrari","1978 Canadian Grand Prix","1978"
"Gilles Villeneuve","Scuderia Ferrari","1979 South African Grand Prix","1979"
"Gilles Villeneuve","Scuderia Ferrari","1981 Spanish Grand Prix","1981"
"Heikki Kovalainen","McLaren","2008 Hungarian Grand Prix","2008"
"Daniel Ricciardo","Red Bull Racing","2014 Belgian Grand Prix","2014"
"Daniel Ricciardo","Red Bull Racing","2014 Canadian Grand Prix","2014"
"Daniel Ricciardo","Red Bull Racing","2014 Hungarian Grand Prix","2014"
"Daniel Ricciardo","Red Bull Racing","2016 Malaysian Grand Prix","2016"
"Jochen Mass","McLaren","1975 Spanish Grand Prix","1975"
"John Watson (racing driver)","McLaren","1982 Belgian Grand Prix","1982"
"Luigi Musso","Scuderia Ferrari","1956 Argentine Grand Prix","1956"
"Didier Pironi","Scuderia Ferrari","1982 Dutch Grand Prix","1982"
"Didier Pironi","Scuderia Ferrari","1982 San Marino Grand Prix","1982"
"Patrick Tambay","Scuderia Ferrari","1982 German Grand Prix","1982"
"Patrick Tambay","Scuderia Ferrari","1983 San Marino Grand Prix","1983"
"Max Verstappen","Red Bull Racing","2016 Spanish Grand Prix","2016"
"Piero Taruffi","Scuderia Ferrari","1952 Swiss Grand Prix","1952"
