"publisher","videogame","genre","platform","releaseDate"
"Nintendo","Chibi-Robo! (series)","Adventure game","Nintendo 3DS","2009-07-23"
"Nintendo","Chibi-Robo! (series)","Platform game","Nintendo 3DS","2009-07-23"
"Nintendo","Art Academy (video game)","Edutainment","Nintendo 3DS","1923-09-10"
"Nintendo","Art Academy (video game)","Edutainment","Nintendo 3DS","1928-07-12"
"The Pokémon Company","Pokémon Rumble Blast","Beat 'em up","Nintendo 3DS","1924-10-11"
"The Pokémon Company","Pokémon Rumble Blast","Action role-playing game","Nintendo 3DS","1924-10-11"
"MumboJumbo","Luxor: Quest for the Afterlife","Puzzle game","Nintendo 3DS","2008-11-11"
"Nintendo","Advance Wars: Days of Ruin","Turn-based tactics","Nintendo 3DS","1925-01-08"
"Agatsuma Entertainment","Umihara Kawase","Platform game","Nintendo 3DS","1994-12-23"
"Agatsuma Entertainment","Umihara Kawase","Platform game","Nintendo 3DS","1997-02-28"
"Agatsuma Entertainment","Umihara Kawase","Platform game","Nintendo 3DS","2008-03-27"
"Agatsuma Entertainment","Umihara Kawase","Platform game","Nintendo 3DS","2009-10-29"
"XING","Umihara Kawase","Platform game","Nintendo 3DS","1994-12-23"
"XING","Umihara Kawase","Platform game","Nintendo 3DS","1997-02-28"
"XING","Umihara Kawase","Platform game","Nintendo 3DS","2008-03-27"
"Aksys Games","Family Table Tennis","Sports game","Nintendo 3DS","1926-05-08"
"Interchannel","Culdcept","Board game","Nintendo 3DS","1997-10-30"
"Interchannel","Culdcept","Board game","Nintendo 3DS","1999-05-01"
"Interchannel","Culdcept","Board game","Nintendo 3DS","2003-12-04"
"Interchannel","Culdcept","Board game","Nintendo 3DS","2008-10-16"
"Interchannel","Culdcept","Board game","Nintendo 3DS","2008-11-26"
"Interchannel","Culdcept","Collectible card game","Nintendo 3DS","1997-10-30"
"Interchannel","Culdcept","Collectible card game","Nintendo 3DS","1999-05-01"
"Interchannel","Culdcept","Collectible card game","Nintendo 3DS","2003-12-04"
"Interchannel","Culdcept","Collectible card game","Nintendo 3DS","2008-10-16"
"Interchannel","Culdcept","Collectible card game","Nintendo 3DS","2008-11-26"
"Aksys Games","Bit.Trip Flux","Action game","Nintendo 3DS","1925-02-11"
"Aksys Games","Bit.Trip Flux","Music video game","Nintendo 3DS","1925-02-11"
"Nintendo","Face Raiders","Simulator","Nintendo 3DS","1925-03-11"
"Nintendo","Face Raiders","Shooting sports","Nintendo 3DS","1925-03-11"
"Nintendo","BoxBoxBoy!","Puzzle game","Nintendo 3DS","1930-06-16"
"Nintendo","BoxBoxBoy!","Platformer","Nintendo 3DS","1930-06-16"
"Big Fish Games","Mystery Case Files: Return to Ravenhearst","Adventure game","Nintendo 3DS","2008-11-27"
"Big Fish Games","Mystery Case Files: Return to Ravenhearst","Puzzle game","Nintendo 3DS","2008-11-27"
"Konami","Frogger 3D","Action game","Nintendo 3DS","1922-09-11"
"Nicalis","1001 Spikes","Adventure game","Nintendo 3DS","1925-11-14"
"Nicalis","1001 Spikes","Platform game","Nintendo 3DS","1925-11-14"
"Konami","Pro Evolution Soccer 2011 3D","Sports game","Nintendo 3DS","1925-03-11"
"Conspiracy Entertainment","Real Heroes: Firefighter","First-person shooter","Nintendo 3DS","1924-09-09"
"Nicalis","Ikachan","Metroidvania","Nintendo 3DS","2000-06-23"
"Daisuke Amaya","Ikachan","Metroidvania","Nintendo 3DS","2000-06-23"
"Nicalis","Ikachan","Platform game","Nintendo 3DS","2000-06-23"
"Daisuke Amaya","Ikachan","Platform game","Nintendo 3DS","2000-06-23"
"Renegade Kid","Dementium: The Ward","First-person shooter","Nintendo 3DS","1926-06-07"
"Renegade Kid","Dementium: The Ward","Survival horror","Nintendo 3DS","1926-06-07"
"Sega","Ecco the Dolphin","Action-adventure game","Nintendo 3DS","1996-12-13"
"Konami","Bio Miracle Bokutte Upa","Platform game","Nintendo 3DS","1988-04-22"
"Konami","Bio Miracle Bokutte Upa","Platform game","Nintendo 3DS","1993-02-26"
"Konami","Bio Miracle Bokutte Upa","Platform game","Nintendo 3DS","2006-11-01"
"Konami","Bio Miracle Bokutte Upa","Platform game","Nintendo 3DS","2008-06-03"
"Disney Interactive Studios","Disney Infinity","Action-adventure game","Nintendo 3DS","1923-08-13"
"Disney Interactive Studios","Disney Infinity","Sandbox mode","Nintendo 3DS","1923-08-13"
"Disney Interactive Studios","Disney Infinity","Toys-to-life","Nintendo 3DS","1923-08-13"
"Big Fish Games","Mystery Case Files: Ravenhearst","Adventure game","Nintendo 3DS","2006-12-15"
"Big Fish Games","Mystery Case Files: Ravenhearst","Puzzle game","Nintendo 3DS","2006-12-15"
"Konami","LovePlus","Dating sim","Nintendo 3DS","2009-09-03"
"Big Fish Games","Mystery Case Files: Dire Grove","Interactive movie","Nintendo 3DS","2009-12-12"
"Big Fish Games","Mystery Case Files: Dire Grove","Puzzle adventure game","Nintendo 3DS","2009-12-12"
"Electronic Arts","The Sims 3 (console video game)","Life simulation game","Nintendo 3DS","1927-03-11"
"Electronic Arts","The Sims 3 (console video game)","Life simulation game","Nintendo 3DS","1929-10-10"
"Electronic Arts","The Sims 3 (console video game)","Social simulation game","Nintendo 3DS","1927-03-11"
"Electronic Arts","The Sims 3 (console video game)","Social simulation game","Nintendo 3DS","1929-10-10"
"Arc System Works","BlazBlue: Clone Phantasma","Fighting game","Nintendo 3DS","1921-08-12"
"Atlus","Etrian Odyssey IV: Legends of the Titan","Dungeon crawler","Nintendo 3DS","1926-02-12"
"Atlus","Etrian Odyssey IV: Legends of the Titan","Role-playing video game","Nintendo 3DS","1926-02-12"
"EA Sports","FIFA 14","Sports game","Nintendo 3DS","1924-09-13"
"Renegade Kid","Mutant Mudds","Platform game","Nintendo 3DS","1921-06-12"
"Renegade Kid","Moon (video game)","First-person shooter","Nintendo 3DS","2009-01-13"
"Sega","Sonic Generations","Action-adventure game","Nintendo 3DS","1925-11-11"
"Sega","Sonic Generations","Platform game","Nintendo 3DS","1925-11-11"
"Sega","Captain America: Super Soldier","Beat 'em up","Nintendo 3DS","1925-10-11"
"Sega","Captain America: Super Soldier","Action game","Nintendo 3DS","1925-10-11"
"Arc System Works","Bit.Trip Beat","Action game","Nintendo 3DS","1928-04-09"
"Arc System Works","Bit.Trip Beat","Music video game","Nintendo 3DS","1928-04-09"
"Disney Interactive Studios","Cars 2 (video game)","Racing game","Nintendo 3DS","1923-06-11"
"Sega","Crush (video game)","Puzzle video game","Nintendo 3DS","1929-05-07"
"Sega","Crush (video game)","Platform game","Nintendo 3DS","1929-05-07"
"Square Enix","Dragon Quest VIII","Role-playing video game","Nintendo 3DS","1928-05-13"
"Inti Creates","Azure Striker Gunvolt 2","Platform game","Nintendo 3DS","1929-09-16"
"Inti Creates","Azure Striker Gunvolt 2","Action video game","Nintendo 3DS","1929-09-16"
"Atlus","Citizens of Earth","Role-playing video game","Nintendo 3DS","1922-01-15"
"Square Enix","Dragon Warrior Monsters 2","Role-playing video game","Nintendo 3DS","2002-05-30"
"Enix","Dragon Warrior Monsters 2","Role-playing video game","Nintendo 3DS","2002-05-30"
"Sega","Sonic & All-Stars Racing Transformed","Racing video game","Nintendo 3DS","1930-11-12"
"EA Sports","Madden NFL Football","Sports game","Nintendo 3DS","1925-03-11"
"Square Enix","Bust-a-Move Universe","Puzzle game","Nintendo 3DS","1927-03-11"
"Zen Studios","Marvel Pinball","Pinball","Nintendo 3DS","1928-06-12"
"Atlus","Shin Megami Tensei: Devil Survivor 2","Tactical role-playing game","Nintendo 3DS","1928-02-11"
"Sega","Super Monkey Ball 3D","Party","Nintendo 3DS","1925-03-11"
"Sega","Super Monkey Ball 3D","Platform game","Nintendo 3DS","1925-03-11"
"Electronic Arts","The Sims 3: Pets","Life simulation game","Nintendo 3DS","1921-10-11"
"Jaleco","Ninja JaJaMaru-kun","Action game","Nintendo 3DS","1921-09-06"
"Jaleco","Ninja JaJaMaru-kun","Action game","Nintendo 3DS","1985-11-15"
"Sega","Thor: God of Thunder","Action game","Nintendo 3DS","1930-04-11"
"Zen Studios","Zen Pinball","Pinball","Nintendo 3DS","2008-07-07"
"Zen Studios","Zen Pinball","Pinball","Nintendo 3DS","2008-10-31"
"Zen Studios","Zen Pinball","Pinball","Nintendo 3DS","2009-05-14"
"Nippon Ichi Software","Cave Story","Platform game","Nintendo 3DS","2004-12-20"
"Sega","Sonic the Hedgehog 2 (8-bit video game)","Platform game","Nintendo 3DS","1926-12-08"
"XING","Umihara Kawase","Platform game","Nintendo 3DS","2009-10-29"
"Sega","Sonic Boom: Shattered Crystal","Action-adventure game","Nintendo 3DS","1921-11-14"
"Sega","Sonic Boom: Shattered Crystal","Platform game","Nintendo 3DS","1921-11-14"
"Inti Creates","Azure Striker Gunvolt","Platform game","Nintendo 3DS","1929-08-14"
"Inti Creates","Azure Striker Gunvolt","Action video game","Nintendo 3DS","1929-08-14"
"Sega","Karous","Shoot 'em up","Nintendo 3DS","1930-04-14"
"D3 Publisher","Ben 10: Galactic Racing","Racing video game","Nintendo 3DS","1925-11-15"
"The Learning Company","The Oregon Trail (video game)","Simulation","Nintendo 3DS","1971-12-03"
"Gameloft","The Oregon Trail (video game)","Simulation","Nintendo 3DS","1971-12-03"
"THQ","WWE All Stars","Fighting game","Nintendo 3DS","1925-11-11"
"THQ","WWE All Stars","Sports game","Nintendo 3DS","1925-11-11"
"D3 Publisher","Rise of the Guardians: The Video Game","Action-adventure game","Nintendo 3DS","1923-11-12"
"D3 Publisher","Rise of the Guardians: The Video Game","Action role-playing game","Nintendo 3DS","1923-11-12"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Puzzle video game","Nintendo 3DS","1924-09-13"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Puzzle video game","Nintendo 3DS","1925-09-13"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Action game","Nintendo 3DS","1924-09-13"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Action game","Nintendo 3DS","1925-09-13"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Emergent gameplay","Nintendo 3DS","1924-09-13"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Emergent gameplay","Nintendo 3DS","1925-09-13"
"Ubisoft","Raving Rabbids: Travel in Time","Party game","Nintendo 3DS","1925-11-10"
"Ubisoft","Raving Rabbids: Travel in Time","Party game","Nintendo 3DS","1931-03-11"
"Ubisoft","Raving Rabbids: Travel in Time","Platform game","Nintendo 3DS","1925-11-10"
"Ubisoft","Raving Rabbids: Travel in Time","Platform game","Nintendo 3DS","1931-03-11"
"Examu","Apron of Magic","Cooking","Nintendo 3DS","1928-01-15"
"Examu","Apron of Magic","Collectible card game","Nintendo 3DS","1928-01-15"
"D3 Publisher","Ben 10: Omniverse (video game)","Fighting game","Nintendo 3DS","1930-11-12"
"D3 Publisher","Ben 10: Omniverse (video game)","Action game","Nintendo 3DS","1930-11-12"
"G.rev","Kokuga","Shoot 'em up","Nintendo 3DS","1927-06-12"
"Konami","Pro Evolution Soccer 2013","Sports game","Nintendo 3DS","1926-10-12"
"Genius Sonority","The Denpa Men: They Came By Wave","Role-playing game","Nintendo 3DS","1927-09-12"
"DrinkBox Studios","Severed (video game)","Action video game","Nintendo 3DS","1922-09-16"
"DrinkBox Studios","Severed (video game)","Action video game","Nintendo 3DS","1926-04-16"
"Deep Silver","Mighty No. 9","Action game","Nintendo 3DS","1924-06-16"
"Deep Silver","Mighty No. 9","Platform game","Nintendo 3DS","1924-06-16"
"THQ","Cars 2 (video game)","Racing game","Nintendo 3DS","1923-06-11"
"Image & Form","SteamWorld Heist","Action-adventure game","Nintendo 3DS","1930-09-16"
"Image & Form","SteamWorld Heist","Turn-based strategy","Nintendo 3DS","1930-09-16"
"Two Tribes B.V.","Toki Tori","Puzzle video game","Nintendo 3DS","2001-09-12"
"Two Tribes B.V.","Toki Tori","Platform game","Nintendo 3DS","2001-09-12"
"Ubisoft","Funky Barn","Construction and management simulation games","Nintendo 3DS","1930-11-12"
"505 Games","Funky Barn","Construction and management simulation games","Nintendo 3DS","1930-11-12"
"Ubisoft","Asphalt 3D","Racing video game","Nintendo 3DS","1925-03-11"
"Ubisoft","Combat of Giants: Dinosaurs 3D","Role-playing game","Nintendo 3DS","1931-03-11"
"Microsoft Studios","Marvel Pinball","Pinball","Nintendo 3DS","1928-06-12"
"Hamster Corporation","Ninja JaJaMaru-kun","Action game","Nintendo 3DS","1921-09-06"
"Hamster Corporation","Ninja JaJaMaru-kun","Action game","Nintendo 3DS","1985-11-15"
"Natsume (company)","Harvest Moon 3 GBC","Simulation game","Nintendo 3DS","2000-09-29"
"Natsume (company)","Harvest Moon 3 GBC","Role-playing video game","Nintendo 3DS","2000-09-29"
"Degica","Umihara Kawase","Platform game","Nintendo 3DS","1994-12-23"
"D3 Publisher","Ben 10: Omniverse 2","Beat 'em up","Nintendo 3DS","1922-11-13"
"Nintendo Australia","Harvest Moon 3 GBC","Role-playing video game","Nintendo 3DS","2000-09-29"
"Degica","Umihara Kawase","Platform game","Nintendo 3DS","1997-02-28"
"D3 Publisher","Ben 10: Omniverse 2","Fighting game","Nintendo 3DS","1922-11-13"
"THQ","SpongeBob SquigglePants","Action video game","Nintendo 3DS","1927-05-11"
"Nintendo Australia","Harvest Moon 3 GBC","Simulation game","Nintendo 3DS","2000-09-29"
"Degica","Umihara Kawase","Platform game","Nintendo 3DS","2008-03-27"
"Degica","Umihara Kawase","Platform game","Nintendo 3DS","2009-10-29"
"Nintendo","Bayonetta","Action game","Wii U","1924-10-14"
"Nintendo","Bayonetta","Action game","Wii U","2009-10-29"
"Sega","Bayonetta","Action game","Wii U","1924-10-14"
"Sega","Bayonetta","Action game","Wii U","2009-10-29"
"Nintendo","Bayonetta","Hack and slash","Wii U","1924-10-14"
"Nintendo","Bayonetta","Hack and slash","Wii U","2009-10-29"
"Sega","Bayonetta","Hack and slash","Wii U","1924-10-14"
"Sega","Bayonetta","Hack and slash","Wii U","2009-10-29"
"Konami","Puddle (video game)","Puzzle video game","Wii U","1925-01-12"
"Konami","Puddle (video game)","Platform game","Wii U","1925-01-12"
"Nicalis","1001 Spikes","Adventure game","Wii U","1925-11-14"
"Nicalis","1001 Spikes","Platform game","Wii U","1925-11-14"
"Deep Silver","Secret Files: Tunguska","Point-and-click adventure game","Wii U","2006-09-28"
"Deep Silver","Secret Files: Tunguska","Point-and-click adventure game","Wii U","2008-05-23"
"Zen Studios","Zen Pinball 2","Pinball","Wii U","1931-01-13"
"Namco","Battle City (video game)","Action game","Wii U","1985-09-09"
"Namco","Battle City (video game)","Shoot 'em up","Wii U","1985-09-09"
"Nintendo","Mario Strikers Charged","Sports game","Wii U","1930-07-07"
"Nintendo","Super Mario Galaxy","Platform game","Wii U","2007-11-01"
"Konami","Bio Miracle Bokutte Upa","Platform game","Wii U","1988-04-22"
"Konami","Bio Miracle Bokutte Upa","Platform game","Wii U","1993-02-26"
"Konami","Bio Miracle Bokutte Upa","Platform game","Wii U","2006-11-01"
"Konami","Bio Miracle Bokutte Upa","Platform game","Wii U","2008-06-03"
"Nintendo","Eternal Darkness","Action-adventure game","Wii U","2002-06-23"
"Ubisoft","Rabbids Land","Party game","Wii U","1930-11-12"
"D3 Publisher","Rise of the Guardians: The Video Game","Action-adventure game","Wii U","1923-11-12"
"D3 Publisher","Rise of the Guardians: The Video Game","Action role-playing game","Wii U","1923-11-12"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Puzzle video game","Wii U","1924-09-13"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Puzzle video game","Wii U","1925-09-13"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Action game","Wii U","1924-09-13"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Action game","Wii U","1925-09-13"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Emergent gameplay","Wii U","1924-09-13"
"Warner Bros. Interactive Entertainment","Scribblenauts Unmasked: A DC Comics Adventure","Emergent gameplay","Wii U","1925-09-13"
"Disney Interactive Studios","Disney Infinity","Action-adventure game","Wii U","1923-08-13"
"Disney Interactive Studios","Disney Infinity","Sandbox mode","Wii U","1923-08-13"
"Disney Interactive Studios","Disney Infinity","Toys-to-life","Wii U","1923-08-13"
"Nintendo","Mario Super Sluggers","Sports game","Wii U","1925-08-08"
"Capcom","Monster Hunter Tri","Action role-playing game","Wii U","1922-03-12"
"Nintendo","Mario Sports Mix","Sports game","Wii U","1927-01-10"
"The Pokémon Company","PokéPark Wii: Pikachu's Adventure","Action-adventure game","Wii U","2009-12-05"
"Atlus","Trine 2","Puzzle video game","Wii U","1929-11-13"
"Atlus","Trine 2","Platform game","Wii U","1929-11-13"
"Atlus","Trine 2","Action role-playing game","Wii U","1929-11-13"
"Activision","Angry Birds Trilogy","Puzzle video game","Wii U","1928-09-12"
"Nintendo","Bayonetta 2","Action game","Wii U","1924-10-14"
"Nintendo","Bayonetta 2","Hack 'n' slash","Wii U","1924-10-14"
"D3 Publisher","Ben 10: Omniverse (video game)","Fighting game","Wii U","1930-11-12"
"D3 Publisher","Ben 10: Omniverse (video game)","Action game","Wii U","1930-11-12"
"Klei Entertainment","Don't Starve","Action-adventure game","Wii U","1924-06-15"
"Klei Entertainment","Don't Starve","Survival game","Wii U","1924-06-15"
"Nintendo","Donkey Kong Country: Tropical Freeze","Platform game","Wii U","1921-02-14"
"Nintendo","Game & Wario","Party game","Wii U","1923-06-13"
"Tomorrow Corporation","Little Inferno","Puzzle video game","Wii U","1930-11-12"
"Renegade Kid","Mutant Mudds","Platform game","Wii U","1921-06-12"
"Nintendo","Super Mario 3D World","Platform game","Wii U","1922-11-13"
"Nintendo","Tokyo Mirage Sessions ♯FE","Role-playing video game","Wii U","1924-06-15"
"DrinkBox Studios","Severed (video game)","Action video game","Wii U","1922-09-16"
"DrinkBox Studios","Severed (video game)","Action video game","Wii U","1926-04-16"
"Nintendo","Sutte Hakkun","Puzzle game","Wii U","1998-08-01"
"Nintendo","Sutte Hakkun","Platform game","Wii U","1998-08-01"
"Ubisoft","Just Dance Kids 2014","Rhythm game","Wii U","1925-10-13"
"Ubisoft","Just Dance Kids 2014","Music video game","Wii U","1925-10-13"
"Activision","SpongeBob SquarePants: Plankton's Robotic Revenge","Action-adventure game","Wii U","1922-10-13"
"Activision","SpongeBob SquarePants: Plankton's Robotic Revenge","Third-person shooter","Wii U","1922-10-13"
"Activision","SpongeBob SquarePants: Plankton's Robotic Revenge","Platform game","Wii U","1922-10-13"
"Deep Silver","Mighty No. 9","Action game","Wii U","1924-06-16"
"Deep Silver","Mighty No. 9","Platform game","Wii U","1924-06-16"
"Nintendo","Mario Tennis","Sports game","Wii U","1926-12-13"
"Nintendo","Mario Tennis","Sports game","Wii U","1928-06-10"
"Nintendo","Punch-Out!! (Wii)","Fighting game","Wii U","2009-05-18"
"Nintendo","Punch-Out!! (Wii)","Boxing","Wii U","2009-05-18"
"Nintendo","Punch-Out!! (Wii)","Sports game","Wii U","2009-05-18"
"Sega","Bomberman '94","List of maze video games","Wii U","1993-12-10"
"Hudson Soft","Bomberman '94","List of maze video games","Wii U","1993-12-10"
"Konami","Bomberman '94","List of maze video games","Wii U","1993-12-10"
"Sega","Bomberman '94","Action game","Wii U","1993-12-10"
"Hudson Soft","Bomberman '94","Action game","Wii U","1993-12-10"
"Konami","Bomberman '94","Action game","Wii U","1993-12-10"
"Nintendo","Super Paper Mario","Puzzle video game","Wii U","2007-04-09"
"Nintendo","Super Paper Mario","Platform game","Wii U","2007-04-09"
"Nintendo","Super Paper Mario","Action role-playing game","Wii U","2007-04-09"
"Nintendo","Pikmin","Real-time strategy","Wii U","1926-02-09"
"Nintendo","Pikmin","Real-time strategy","Wii U","1926-10-01"
"Nintendo","Kirby: Canvas Curse","Puzzle game","Wii U","2005-03-24"
"Nintendo","Kirby: Canvas Curse","Platform game","Wii U","2005-03-24"
"Image & Form","SteamWorld Heist","Action-adventure game","Wii U","1930-09-16"
"Image & Form","SteamWorld Heist","Turn-based strategy","Wii U","1930-09-16"
"Atlus","Citizens of Earth","Role-playing video game","Wii U","1922-01-15"
"Cypronia","Cube Life: Island Survival","Open world","Wii U","1925-06-15"
"Capcom","Toki Tori","Puzzle video game","Wii U","2001-09-12"
"Two Tribes B.V.","Toki Tori","Puzzle video game","Wii U","2001-09-12"
"Capcom","Toki Tori","Platform game","Wii U","2001-09-12"
"Two Tribes B.V.","Toki Tori","Platform game","Wii U","2001-09-12"
"Sega","Sonic & All-Stars Racing Transformed","Racing video game","Wii U","1930-11-12"
"Ubisoft","Funky Barn","Construction and management simulation games","Wii U","1930-11-12"
"Nintendo","Art Academy (video game)","Edutainment","Wii U","1923-09-10"
"Nintendo","Art Academy (video game)","Edutainment","Wii U","1928-07-12"
"Zen Studios","Marvel Pinball","Pinball","Wii U","1928-06-12"
"Microsoft Studios","Marvel Pinball","Pinball","Wii U","1928-06-12"
"Crave Entertainment","Brunswick Pro Bowling","Bowling","Wii U","1921-09-07"
"Crave Entertainment","Brunswick Pro Bowling","Sports","Wii U","1921-09-07"
"Jaleco","Ninja JaJaMaru-kun","Action game","Wii U","1921-09-06"
"Jaleco","Ninja JaJaMaru-kun","Action game","Wii U","1985-11-15"
"Nintendo","Shin Onigashima","Visual novel","Wii U","1987-09-04"
"Nintendo","Shin Onigashima","Visual novel","Wii U","1987-09-30"
"Nintendo","Shin Onigashima","Visual novel","Wii U","1997-12-01"
"Nintendo","Shin Onigashima","Visual novel","Wii U","1998-05-23"
"Nintendo","Shin Onigashima","Visual novel","Wii U","2004-08-04"
"Nintendo","Shin Onigashima","Visual novel","Wii U","2007-06-19"
"Nintendo","Shin Onigashima","Adventure","Wii U","1987-09-04"
"Nintendo","Shin Onigashima","Adventure","Wii U","1987-09-30"
"Nintendo","Shin Onigashima","Adventure","Wii U","1997-12-01"
"Nintendo","Shin Onigashima","Adventure","Wii U","1998-05-23"
"Nintendo","Shin Onigashima","Adventure","Wii U","2004-08-04"
"Nintendo","Shin Onigashima","Adventure","Wii U","2007-06-19"
"Sega","The Cave (video game)","Adventure game","Wii U","1923-01-13"
"Sega","The Cave (video game)","Puzzle game","Wii U","1923-01-13"
"Sega","The Cave (video game)","Platform game","Wii U","1923-01-13"
"Nintendo","Napoleon (video game)","Real-time strategy game","Wii U","2001-03-21"
"Nintendo","Mario Golf (video game)","Sports game","Wii U","1999-06-11"
"Nintendo","Mario Golf (video game)","Sports game","Wii U","1999-08-10"
"Nintendo","Mario Golf (video game)","Sports game","Wii U","2008-09-30"
"Sega","Sonic Boom: Rise of Lyric","Action-adventure game","Wii U","1921-11-14"
"Sega","Sonic Boom: Rise of Lyric","Platform game","Wii U","1921-11-14"
"Nintendo","Mother (video game)","Role-playing video game","Wii U","1989-07-27"
"Sega","Yakuza (video game)","Action-adventure game","Wii U","2005-12-08"
"Loot Interactive","Whispering Willows","Adventure game","Wii U","1930-06-15"
"Night Light Interactive","Whispering Willows","Adventure game","Wii U","1930-06-15"
"D3 Publisher","Ben 10: Omniverse 2","Fighting game","Wii U","1922-11-13"
"D3 Publisher","Ben 10: Omniverse 2","Beat 'em up","Wii U","1922-11-13"
"Nintendo","Sin & Punishment: Star Successor","Shoot 'em up","Wii U","2009-10-29"
"Frozenbyte","Trine 2","Action role-playing game","Wii U","1929-11-13"
"WayForward Technologies","Shantae: Risky's Revenge","Platform game","Wii U","1931-08-15"
"505 Games","Brunswick Pro Bowling","Bowling","Wii U","1921-09-07"
"WayForward Technologies","Shantae: Risky's Revenge","Platform game","Wii U","1931-08-16"
"Blue Isle Studios","Slender: The Arrival","Survival horror","Wii U","1924-09-14"
"Hamster Corporation","Ninja JaJaMaru-kun","Action game","Wii U","1985-11-15"
"Frozenbyte","Trine 2","Platform game","Wii U","1929-11-13"
"WayForward Technologies","Shantae: Risky's Revenge","Metroidvania","Wii U","1931-08-16"
"Frozenbyte","Trine 2","Puzzle video game","Wii U","1929-11-13"
"505 Games","Brunswick Pro Bowling","Sports","Wii U","1921-09-07"
"WayForward Technologies","Shantae: Risky's Revenge","Metroidvania","Wii U","1931-08-15"
"Hamster Corporation","Ninja JaJaMaru-kun","Action game","Wii U","1921-09-06"
"Playism","Futuridium EP Deluxe","Shoot'em up","Wii U","1926-05-16"
"505 Games","Funky Barn","Construction and management simulation games","Wii U","1930-11-12"
"Square (company)","Final Fantasy Adventure","Action role-playing game","PlayStation Vita","1991-06-28"
"Square (company)","Final Fantasy Adventure","Action role-playing game","PlayStation Vita","2006-08-16"
"Square (company)","Final Fantasy Adventure","Action role-playing game","PlayStation Vita","2006-11-06"
"Square (company)","Final Fantasy Adventure","Action role-playing game","PlayStation Vita","2007-02-05"
"Konami","Puddle (video game)","Puzzle video game","PlayStation Vita","1925-01-12"
"Konami","Puddle (video game)","Platform game","PlayStation Vita","1925-01-12"
"Warner Bros. Interactive Entertainment","Mortal Kombat (2011 video game)","Fighting game","PlayStation Vita","1921-04-11"
"Nicalis","1001 Spikes","Adventure game","PlayStation Vita","1925-11-14"
"Nicalis","1001 Spikes","Platform game","PlayStation Vita","1925-11-14"
"D3 Publisher","Ben 10: Galactic Racing","Racing video game","PlayStation Vita","1925-11-15"
"Koei Tecmo","Berserk and the Band of the Hawk","Action role-playing video game","PlayStation Vita","1921-02-16"
"Koei Tecmo","Berserk and the Band of the Hawk","Hack and slash","PlayStation Vita","1921-02-16"
"Ubisoft","Assassin's Creed Chronicles","Action-adventure game","PlayStation Vita","1922-04-15"
"Ubisoft","Assassin's Creed Chronicles","Stealth game","PlayStation Vita","1922-04-15"
"Ubisoft","Assassin's Creed Chronicles","Platform game","PlayStation Vita","1922-04-15"
"Zen Studios","Zen Pinball 2","Pinball","PlayStation Vita","1931-01-13"
"505 Games","Supremacy MMA","Fighting game","PlayStation Vita","1923-09-11"
"505 Games","Supremacy MMA","Sports game","PlayStation Vita","1923-09-11"
"Sega","Jet Set Radio","Sports game","PlayStation Vita","1921-11-12"
"Sega","Jet Set Radio","Sports game","PlayStation Vita","2001-01-01"
"Sega","Jet Set Radio","Sports game","PlayStation Vita","2001-06-22"
"Sega","Jet Set Radio","Action game","PlayStation Vita","1921-11-12"
"Sega","Jet Set Radio","Action game","PlayStation Vita","2001-01-01"
"Sega","Jet Set Radio","Action game","PlayStation Vita","2001-06-22"
"Sega","Jet Set Radio","Platform game","PlayStation Vita","1921-11-12"
"Sega","Jet Set Radio","Platform game","PlayStation Vita","2001-01-01"
"Sega","Jet Set Radio","Platform game","PlayStation Vita","2001-06-22"
"Tecmo","Ninja Gaiden Sigma","Action-adventure game","PlayStation Vita","1922-02-12"
"Tecmo","Ninja Gaiden Sigma","Hack and slash","PlayStation Vita","1922-02-12"
"Activision","Call of Duty: Roads to Victory","First-person shooter","PlayStation Vita","1930-03-07"
"LucasArts","Day of the Tentacle","Point-and-click adventure game","PlayStation Vita","1993-06-25"
"Double Fine Productions","Day of the Tentacle","Point-and-click adventure game","PlayStation Vita","1993-06-25"
"Ubisoft","Assassin's Creed III: Liberation","Action-adventure game","PlayStation Vita","1931-10-12"
"Ubisoft","Assassin's Creed III: Liberation","Stealth game","PlayStation Vita","1931-10-12"
"Capcom","Street Fighter X Tekken","Fighting game","PlayStation Vita","1923-10-12"
"Playstos Entertainment","Pallurikio","Action platformer","PlayStation Vita","2009-12-11"
"Media Rings","Zero4 Champ DooZy-J Type-R","Racing","PlayStation Vita","1997-06-20"
