"primeMinister","party","country"
"Recep Tayyip Erdoğan","Virtue Party","Turkey"
"Abdullah Gül","Welfare Party","Turkey"
"Abdullah Gül","Justice and Development Party (Turkey)","Turkey"
"Abdullah Gül","Virtue Party","Turkey"
"Necmettin Erbakan","Welfare Party","Turkey"
"Fevzi Çakmak","Republican People's Party (Turkey)","Turkey"
"Necmettin Erbakan","National Order Party","Turkey"
"Necmettin Erbakan","National Salvation Party","Turkey"
"Necmettin Erbakan","Virtue Party","Turkey"
"Ahmet Davutoğlu","Justice and Development Party (Turkey)","Turkey"
"Şemsettin Günaltay","Republican People's Party (Turkey)","Turkey"
"Mehmet Şemsettin Günaltay","Republican People's Party (Turkey)","Turkey"
"Adnan Menderes","Republican People's Party (Turkey)","Turkey"
"Binali Yıldırım","Justice and Development Party (Turkey)","Turkey"
"Celâl Bayar","Republican People's Party (Turkey)","Turkey"
"Mahmut Celal Bayar","Republican People's Party (Turkey)","Turkey"
"Ahmet Fikri Tüzer","Republican People's Party (Turkey)","Turkey"
"Recep Peker","Republican People's Party (Turkey)","Turkey"
"Rauf Orbay","Progressive Republican Party (Turkey)","Turkey"
"Hüseyin Rauf Orbay","Progressive Republican Party (Turkey)","Turkey"
"Turgut Özal","Motherland Party (Turkey)","Turkey"
"Mesut Yılmaz","Motherland Party (Turkey)","Turkey"
"Ahmet Mesut Yılmaz","Motherland Party (Turkey)","Turkey"
"Şükrü Saracoğlu","Republican People's Party (Turkey)","Turkey"
"Ferit Melen","Republican People's Party (Turkey)","Turkey"
"Şükrü Saraçoğlu","Republican People's Party (Turkey)","Turkey"
"Ferit Sadi Melen","Republican People's Party (Turkey)","Turkey"
"Oktay Ekşi","Republican People's Party (Turkey)","Turkey"
"Osman Oktay Ekşi","Republican People's Party (Turkey)","Turkey"
"Mykola Azarov","Party of Labor (Ukraine)","Ukraine"
"Mykola Azarov","Party of Regions","Ukraine"
"Volodymyr Groysman","Our Ukraine (political party)","Ukraine"
"Volodymyr Groysman","Petro Poroshenko Bloc ""Solidarity""","Ukraine"
"Vitaliy Masol","Communist Party of Ukraine","Ukraine"
"(Віталій Масол)","Communist Party of Ukraine","Ukraine"
"Arseniy Yatsenyuk","Front for Change (Ukraine)","Ukraine"
"Arseniy Yatsenyuk","People's Front (Ukraine)","Ukraine"
"Arseniy Yatsenyuk","Our Ukraine–People's Self-Defense Bloc","Ukraine"
"Serhiy Arbuzov","Our Ukraine (political party)","Ukraine"
"Serhiy Arbuzov","Party of Regions","Ukraine"
"Oleksandr Turchynov","People's Front (Ukraine)","Ukraine"
"Viktor Yushchenko","Our Ukraine (political party)","Ukraine"
"Anatoliy Kinakh","Party of Industrialists and Entrepreneurs of Ukraine","Ukraine"
"(Анатолій Кінах)","Party of Industrialists and Entrepreneurs of Ukraine","Ukraine"
"Viktor Yanukovych","Party of Regions","Ukraine"
"Leonid Kravchuk","Social Democratic Party of Ukraine (united)","Ukraine"
"(Леонід Кравчук)","Social Democratic Party of Ukraine (united)","Ukraine"
"David Lloyd George","National Liberal Party (UK, 1922)","United Kingdom"
"The Earl Lloyd-George of Dwyfor","National Liberal Party (UK, 1922)","United Kingdom"
