"goalkeeper","birthPlace","team","ground"
"Cipriianoo","Portugall","Sporting CP","Estádio José Alvalade"
"Cipriano","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Cipriano Nunes dos Santosss","Portugal","Sporting CP","Estádio José Alvalade"
"Cipriano Nunes dos Santoss","Portugall","Sporting Clube de Portugal","Estádio José Alvalade"
"Cipriano Santoss","Portugal","Sporting CP","Estádio José Alvalade"
"Cipriano Santtoss","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Cléber","Brazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Clébberr","Brazill","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Cléber Luis  Alberti","Brazill","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Cléber Luis Alberti","Brazill","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Daan Huiskampp","Netherrlands","Stichting Betaald Voetbal Vitesse","GelreDome"
"Daan Huiskampp","Nethherlands","Vitesse","GelreDome"
"Daniel Alejandrro Islass","Argentinaa","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Daniel Alejandro Islass","Argentinaa","Huracán","Estadio Tomás A. Ducó"
"Daniel Alexandre Calado Casaleirooo","Portugall","Benfica","Estádio do Sport Lisboa e Benfica"
"Daniel Alexandre Calado Casaleirooo","Portugal","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"Daniel Alexandre Calado Casaleirooo","Portugall","Sport Lisboa e Benfica","Estádio da Luz"
"Daniel Alexandre Calado Casaleiroo","Portugal","Benfica","Estádio da Luz"
"Daniel Casaleiro","Portugall","Benfica","Estádio do Sport Lisboa e Benfica"
"Daniel Casaleirooo","Portugal","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"Daniel Casaleiroo","Portugal","Sport Lisboa e Benfica","Estádio da Luz"
"Daniel Casaleiro","Portugal","Benfica","Estádio da Luz"
"Daaniel Islas","Argentina","Huracán","Estadio Tomás A. Ducó"
"Daniel Islasss","Argentinaa","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Daniel Tuddor","Romaniaa","Krasnodar","Krasnodar Stadium"
"Daaniel Tudorr","Romaniaa","Футбольный клуб Краснодар","Krasnodar Stadium"
"Danny Wintjenss","Netherlands","Twente","De Grolsch Veste"
"Danny Wintjenss","Netherlands","Football Club Twente","De Grolsch Veste"
"Danylo Dmytrovych Kanevtsevv","Ukrainee","Chornomorets Odesa","Chernomorets Stadium"
"Danylo Dmytrovych Kanevtsevv","Ukrainee","Football Club Chornomorets Odesa","Chernomorets Stadium"
"Danylo Kanevtsevv","Ukraine","Chornomorets Odesa","Chernomorets Stadium"
"Danylo Kanevtsevv","Ukraine","Football Club Chornomorets Odesa","Chernomorets Stadium"
"Darius Kamppaa","Polandd","FC Augsburg","WWK Arena"
"Darius Kampaa","Poland","Fußball-Club Augsburg 1907 e. V.","WWK Arena"
"Davide Falcioniii","Italyy","Juventus","Juventus Stadium"
"Davide Falcionii","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Davide Micillo","Italyy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Davide Micillo","Italy","Juventus","Juventus Stadium"
"Dennis Telgenkamppp","Netherlandss","Football Club Twente","De Grolsch Veste"
"Dennis Telgenkampp","Netherlands","Twente","De Grolsch Veste"
"Deolaa","Brazill","Esporte Clube Vitória","Estádio Manoel Barradas"
"Deolla","Brazill","Vitória","Estádio Manoel Barradas"
"Deolaaa","Brazil","Esporte Clube Vitória","Barradão"
"Deolaaa","Brazill","Vitória","Barradão"
"Dida","Brazill","Vitória","Barradão"
"Didaa","Brazil","Esporte Clube Vitória","Estádio Manoel Barradas"
"Diida","Brazill","Vitória","Estádio Manoel Barradas"
"Dida","Brazil","Esporte Clube Vitória","Barradão"
"Dida","Bahia","Esporte Clube Vitória","Estádio Manoel Barradas"
"Diidaa","Bahia","Esporte Clube Vitória","Barradão"
"Dida","Bahia","Vitória","Barradão"
"Dida","Bahhia","Vitória","Estádio Manoel Barradas"
"Diegooo","Brazill","Juventude","Estádio Alfredo Jaconi"
"Diego","Braazil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Diego Costa Silva","Brazil","Juventude","Estádio Alfredo Jaconi"
"Diego Costa Silva","Brazil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Diego Lima","Brazil","Esporte Clube Vitória","Barradão"
"Diego Lima","Brazil","Vitória","Barradão"
"Diego Limaa","Brazzil","Vitória","Estádio Manoel Barradas"
"Diego LLimaa","Brazill","Esporte Clube Vitória","Estádio Manoel Barradas"
"Diego Lima do Nascimento","Brazzil","Esporte Clube Vitória","Barradão"
"Diego Lima do Nascimento","Braziil","Vitória","Barradão"
"Diego Lima do Nascimmento","Brazill","Vitória","Estádio Manoel Barradas"
"Diego Lima do Nascimentoo","Brrazil","Esporte Clube Vitória","Estádio Manoel Barradas"
"Diego Martín Vásquez CCastro","Argenntina","Huracán","Estadio Tomás A. Ducó"
"Diego Martín Vásquez Castroo","Argentinaa","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Diego Vásquez","Argentinna","Huracán","Estadio Tomás A. Ducó"
"Diiego Vásquezz","Argentinaa","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Dionisis Chiotiss","Greecee","AEK","Olympic Stadium (full official name of the stadium)"
"Dioonisis Chiotiss","Greece","Αθλητική Ένωσις Κωνσταντινουπόλεως","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Dionisiss Chiotiss","Greecee","AEK","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Dionisis Chiotiss","Greecee","(Athletic Union of Constantinople)","Olympic Stadium (full official name of the stadium)"
"Dionisis Chiotiss","Greece","(Athletic Union of Constantinople)","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Dionisis Chiotisss","GGreece","Αθλητική Ένωσις Κωνσταντινουπόλεως","Olympic Stadium (full official name of the stadium)"
"Diirk Krüssenberg","Germany","Fortuna 1895 e.V.","ESPRIT arena"
"Dirk Krüssenberggg","Germanny","Düsseldorfer Turn- und Sportverein","ESPRIT arena"
"Dirk Krrüssenberg","Germany","Fortuna Düsseldorf","ESPRIT arena"
"Douglasss","Brazill","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Doouglaas","BBrazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Douglas Renato de Jesuss","Brazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Dougglas Renato de Jesus","Brazzil","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Dragoș Balauruu","Romaniaa","Universitatea Cluj","Cluj Arena"
"Dragoș Balauruu","Romania","Fotbal Club Universitatea Cluj","Cluj Arena"
"Dániel Ovidiu Tudor","Romania","Футбольный клуб Краснодар","Krasnodar Stadium"
"Dániel Ovidiu  Tudor","Romaniaa","Krasnodar","Krasnodar Stadium"
"Dániel Tudorr","RRomania","Krasnodar","Krasnodar Stadium"
"Dáániel Tudor","Romania","Футбольный клуб Краснодар","Krasnodar Stadium"
"Edgardo Andradaa","Argentina","Esporte Clube Vitória","Barradão"
"Edgardo Andradaa","Argentina","Vitória","Estádio Manoel Barradas"
"Edgardo Andrada","Arggentina","Esporte Clube Vitória","Estádio Manoel Barradas"
"Edgardo Andradaa","Argentinaa","Vitória","Barradão"
"Edgardo Norberto Andradaa","Arggentina","Esporte Clube Vitória","Estádio Manoel Barradas"
"Edgardo Norberto Anndradaa","Argentina","Vitória","Barradão"
"Edgardo Norberto  Andrada","Argentina","Esporte Clube Vitória","Barradão"
"Edgardo Norberto Andradaa","Argentina","Vitória","Estádio Manoel Barradas"
"Eduardo Martinii","Brazill","Juventude","Estádio Alfredo Jaconi"
"Eduardo Martinii","Brazil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Egidio Micheloni","Italy","Juventus","Juventus Stadium"
"Egidio Micheloniii","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Elias Atmatsiidis","Greeece","Αθλητική Ένωσις Κωνσταντινουπόλεως","Olympic Stadium (full official name of the stadium)"
"Eliias Atmatsidiss","Greecee","(Athletic Union of Constantinople)","Olympic Stadium (full official name of the stadium)"
"Eliass Atmatsidis","Greeece","AEK","Olympic Stadium (full official name of the stadium)"
"Elias Atmatsiidiss","Greecee","AEK","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Elias Atmatsidiss","GGreece","(Athletic Union of Constantinople)","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Elias Atmatsidiss","Greecee","Αθλητική Ένωσις Κωνσταντινουπόλεως","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Eliton Deola","Brazill","Esporte Clube Vitória","Estádio Manoel Barradas"
"Eliton  Deola","Brazill","Vitória","Estádio Manoel Barradas"
"Eliton Deolaa","Brazil","Esporte Clube Vitória","Barradão"
"Ellliton Deola","Brazil","Vitória","Barradão"
"Emmannuele Manitta","Italyy","Napoli","San Paolo"
"Emanuele  Manittaa","Italy","Napoli","Stadio San Paolo"
"Emanueele Manittaa","Itally","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Emanuele Manitta","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Emilian Dolhaa","Romania","Universitatea Cluj","Cluj Arena"
"Emilian Doolhaa","Romania","Fotbal Club Universitatea Cluj","Cluj Arena"
"Emilian Ioaan Dolha","Romaniaa","Universitatea Cluj","Cluj Arena"
"Emilian Ioan Dolhaa","Romania","Fotbal Club Universitatea Cluj","Cluj Arena"
"Enriqque Vázquez","Mexico","Club Deportivo Guadalajara S.A. de C.V.","Estadio Chivas"
"Enrique Vázquez del Mercadoo","Mexico","Club Deportivo Guadalajara S.A. de C.V.","Estadio Chivas"
"Fabio Costa","Brazill","Esporte Clube Vitória","Estádio Manoel Barradas"
"Fabio Costaa","Brazill","Vitória","Estádio Manoel Barradas"
"Fabio Costaa","Brazil","Esporte Clube Vitória","Barradão"
"Fabio Costaa","Braazil","Vitória","Barradão"
"Fanis Katergiannakis","Greecee","Sevilla","Estadio Ramón Sánchez Pizjuán"
"Fanis Katergiannakis","Greecee","Sevilla Fútbol ClubSAD","Estadio Ramón Sánchez Pizjuán"
"Fanis Katergiannakiss","Greece","Sevilla","Ramón Sánchez Pizjuán"
"Fanis Kateergiannakiss","Greece","Sevilla Fútbol ClubSAD","Ramón Sánchez Pizjuán"
"Farouk Ben Mustapha","Tunisiaa","Club Africain","Stade Olympique de Radès"
"Federico Groppioniii","Italy","Napoli","San Paolo"
"Federicco Groppioni","Italy","Napoli","Stadio San Paolo"
"Federico Groppionii","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Federico Groppioni","Itally","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Felipee","Brazill","Esporte Clube Vitória","Barradão"
"Felipeee","Brazill","Vitória","Barradão"
"Felipeee","Brazill","Vitória","Estádio Manoel Barradas"
"Fellipee","Brazil","Esporte Clube Vitória","Estádio Manoel Barradas"
"Felipe Ventura dos  Santos","Brazil","Esporte Clube Vitória","Barradão"
"Felipe Ventura dos Santos","Brazil","Vitória","Barradão"
"Felipe Ventura dos Santosss","Brazill","Vitória","Estádio Manoel Barradas"
"Felipee Ventura dos Santoss","Brazil","Esporte Clube Vitória","Estádio Manoel Barradas"
"Ferdinando Copppolaa","Italyy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Ferdinando Coppola","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Ferdinando Coppolaa","Italyy","Napoli","Stadio San Paolo"
"Ferdinando Coppolaa","Italyy","Napoli","San Paolo"
"Filip Bednarrekk","Polandd","Jong FC Twente","De Grolsch Veste"
"Filip Bednarekkk","Polandd","Football Club Twente","De Grolsch Veste"
"Filip Bednarekk","Polannd","Twente","De Grolsch Veste"
"Filippo Caavallii","Italyy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Filippo CCavalli","Italy","Juventus","Juventus Stadium"
"Floriian Müllerr","Germanyy","Mainz 05","Opel Arena"
"Florian Müllerrr","Germanyy","1. Fußball- und Sport-Verein Mainz 05 e.V.","Opel Arena"
"Florin Matache","Romaania","Universitatea Cluj","Cluj Arena"
"Florin Matachee","Romaniaa","Fotbal Club Universitatea Cluj","Cluj Arena"
"Fotis Karagiollidis","Greecee","Αθλητική Ένωσις Κωνσταντινουπόλεως","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Fotis Karagiolidiss","Greece","Αθλητική Ένωσις Κωνσταντινουπόλεως","Olympic Stadium (full official name of the stadium)"
"Fotis Karagiolidiss","Greecee","(Athletic Union of Constantinople)","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Fotisss Karagiolidis","Greece","AEK","Olympic Stadium (full official name of the stadium)"
"Fotis Karagiolidiiss","Greecee","AEK","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Fotis Karagiolidis","Greecee","(Athletic Union of Constantinople)","Olympic Stadium (full official name of the stadium)"
"Franceesco Mancini","Itaaly","Napoli","Stadio San Paolo"
"Francesco Mancinii","Italyy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Francesco Manciniii","Itally","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Francesco Mancinii","Italy","Napoli","San Paolo"
"Francisco Javier Prieto Carocaa","Chile","Club Deportivo Corporación","Estadio Municipal Alcaldesa Ester Roa Rebolledo"
"Francisco Javier Priieto Carocaa","Chile","Arturo Fernandez Vial","Estadio Ester Roa"
"Francisco Javvier Prieto Caroca","Chilee","Club Deportivo Corporación","Estadio Ester Roa"
"Frrancisco Javier Prieto Carocaa","Chilee","Arturo Fernandez Vial","Estadio Municipal Alcaldesa Ester Roa Rebolledo"
"Francisco Prietoo","Chilee","Club Deportivo Corporación","Estadio Ester Roa"
"Francisco Prietoo","Chile","Arturo Fernandez Vial","Estadio Municipal Alcaldesa Ester Roa Rebolledo"
"Francisco Prietoo","Chile","Club Deportivo Corporación","Estadio Municipal Alcaldesa Ester Roa Rebolledo"
"Francisco Prietooo","Chile","Arturo Fernandez Vial","Estadio Ester Roa"
"Francisco VVieiraa","Portugal","Sport Lisboa e Benfica","Estádio da Luz"
"Francisco VVieiraa","Porrtugal","Benfica","Estádio da Luz"
"Francisco Vieiraa","Portugall","Benfica","Estádio do Sport Lisboa e Benfica"
"Francisco Viieira","Portugal","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"Fraanck Fontan","France","Football Club des","Matmut Atlantique"
"Franck Fontannn","Frannce","Girondins de Bordeaux","Matmut Atlantique"
"Franck Fontann","France","Bordeaux","Matmut Atlantique"
"François Dubourdeauuu","France","Bordeaux","Matmut Atlantique"
"François Dubourdeau","France","Girondins de Bordeaux","Matmut Atlantique"
"François Dubourdeauu","Francee","Football Club des","Matmut Atlantique"
"Fábiioo","Brazil","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Fábio","Brazill","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Fábio André da Silvaa","Portugall","Servette Football Club","Stade de Genève"
"Fábio André da Silvaa","Portugall","Servette","Stade de Genève"
"Fábio André da Silvaa","Portuugal","Association du","Stade de Genève"
"Fábio Costaa","Brazill","Esporte Clube Vitória","Estádio Manoel Barradas"
"Fábio CCostaa","Braziil","Vitória","Estádio Manoel Barradas"
"Fábio Costa","Brazil","Esporte Clube Vitória","Barradão"
"Fábio Coosta","Brazill","Vitória","Barradão"
"Fábio Gonçalves dos Santooss","Brazill","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Fábio Gonçalves dos Santos","Brazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Fábio da Silvaaa","Portugal","Servette Football Club","Stade de Genève"
"Fábio da Silva","Portugal","Servette","Stade de Genève"
"Fábio da Silvaa","Portugal","Association du","Stade de Genève"
"Galaatto","Brazill","Málaga Club de Fútbol","La Rosaleda"
"Gallattoo","Brazill","Juventude","Estádio Alfredo Jaconi"
"Galattooo","Brazil","Málaga","La Rosaleda"
"Gallattoo","BBrazil","Málaga Club de Fútbol","Estadio La Rosaleda"
"Galatto","Brazil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Galattooo","Brazill","Málaga","Estadio La Rosaleda"
"Gastón Monzón","Argeentina","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Gastón Monzónnn","Argentinaa","Huracán","Estadio Tomás A. Ducó"
"Gattii","Braazil","Juventude","Estádio Alfredo Jaconi"
"Gatttii","Brazill","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Gaëtan Huard","France","Football Club des","Matmut Atlantique"
"Gaëtan Huardd","France","Girondins de Bordeaux","Matmut Atlantique"
"Gaëtan Huardd","France","Bordeaux","Matmut Atlantique"
"GGGennaro Iezzo","Italy","Napoli","San Paolo"
"Gennaro Iezzoo","Italyy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Gennaro Iezzo","Italyy","Napoli","Stadio San Paolo"
"Gennaro Iezzoo","IItaly","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Geoorgios Abaris","Grreece","Universitatea Cluj","Cluj Arena"
"Georgios Abaris","Greecee","Fotbal Club Universitatea Cluj","Cluj Arena"
"Gerhard Prokopp","Germanyy","Alemannia 1900 e.V.","Tivoli"
"Gerhard Prrokop","Germany","Aachener Turn- und Sportverein","Tivoli"
"Gerhard Prokopp","Germaany","Alemannia Aachen","Tivoli"
"Giaccomo Blason","Itaaly","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Giacomo Blasonn","Italyy","Napoli","San Paolo"
"Giacomo Blasonn","Italyy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Giaccomoo Blason","Italyy","Napoli","Stadio San Paolo"
"Giampaolo Di Magno","Itaaly","Espanyol de Barcelona, S.A.D.","RCDE Stadium"
"Giampaolo Di Magnoo","Italy","Reial Club Deportiu","RCDE Stadium"
"Giampaolo Dii Magnoo","Ittaly","Espanyol","RCDE Stadium"
"Giaancarlo Alessandrelli","Italy","Juventus","Juventus Stadium"
"Giancarlo Alessandrellii","Italyy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Gianni Romano","Italyy","Juventus","Juventus Stadium"
"Gianni Romanooo","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Giannnis Arabatziss","Greece","AEK","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Giannis Arabatzisss","Greece","AEK","Olympic Stadium (full official name of the stadium)"
"Giannis Arabatziss","Greecce","Αθλητική Ένωσις Κωνσταντινουπόλεως","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Giannis Arabattzis","Greecee","Αθλητική Ένωσις Κωνσταντινουπόλεως","Olympic Stadium (full official name of the stadium)"
"Giannis Arabatziiss","Greecee","(Athletic Union of Constantinople)","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Giannis Arabatzisss","Greecee","(Athletic Union of Constantinople)","Olympic Stadium (full official name of the stadium)"
"Giannis Fysekiss","Greecee","(Athletic Union of Constantinople)","Olympic Stadium (full official name of the stadium)"
"Giaannis Fysekis","Greecee","(Athletic Union of Constantinople)","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Giannis Fysekisss","GGreece","AEK","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Giannnis Fysekis","Greecee","AEK","Olympic Stadium (full official name of the stadium)"
"Giannis Fyysekis","Greecee","Αθλητική Ένωσις Κωνσταντινουπόλεως","Olympic Stadium (full official name of the stadium)"
"Giannis Fysekisss","Greece","Αθλητική Ένωσις Κωνσταντινουπόλεως","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Gianpiero Combi","Italyy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Gianpiero Combii","IItaly","Juventus","Juventus Stadium"
"Gilles Roussettt","France","Olympique Lyonnais","Parc Olympique Lyonnais"
"Gilles Roussettt","Francee","Lyon","Parc Olympique Lyonnais"
"Giuliano Giulianii","Italy","Napoli","San Paolo"
"Giuliano Giulianii","Italy","Napoli","Stadio San Paolo"
"Giuliano Giuliaani","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Giuliano Giulianii","Italyy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Giuliano SSarti","Italyy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Giiuliano Sarti","Italy","Juventus","Juventus Stadium"
"Giuseppe Cavanna","Italy","Napoli","San Paolo"
"Giuseppe Cavannaa","Italy","Napoli","Stadio San Paolo"
"Giuseppe Cavannaa","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Giuseppe Cavannaaa","Italyy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Giuseppe Gaspariii","Italyy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Giusepppe Gasparii","Itally","Juventus","Juventus Stadium"
"Giuuseppe Peruchetti","Itally","Juventus Football ClubS.p.A.","Juventus Stadium"
"Giuseppe Peruchettii","Italy","Juventus","Juventus Stadium"
"Giuseppe Romano","Ittaly","Juventus","Juventus Stadium"
"Giuseppe Romanooo","Itaaly","Juventus Football ClubS.p.A.","Juventus Stadium"
"Giuseppe Taglialatela","Italyy","Napoli","San Paolo"
"Giuseppe Taglialatelaa","Italy","Napoli","Stadio San Paolo"
"Giuseppe Taggglialatela","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Giuseppe Taglialaatela","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Giuseppee Vavassorii","Italyy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Giuseppe Vavassorii","Itaaly","Juventus","Juventus Stadium"
"Gu Chao","Shanghai","Hangzhou Greentown FC","Yellow Dragon Sports Centre Stadium"
"Gu Chaooo","Shanghaii","杭州绿城足球俱乐部","Yellow Dragon Sports Centre Stadium"
"Gu  Chao","Shanghaii","杭州绿城","Yellow Dragon Sports Centre Stadium"
"Gu  Chao","Shanghai","Hángzhōu Lǜchéng","Yellow Dragon Sports Centre Stadium"
"Gu Chaao","Shanghai","Hangzhou Greentown","Yellow Dragon Sports Centre Stadium"
"Guilherme Mata Oliveiraa","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Guilherrme Mata Oliveiraa","Portugall","Sporting CP","Estádio José Alvalade"
"Guilherme Oliveiraa","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Guilherme Olliveira","Portugal","Sporting CP","Estádio José Alvalade"
"Guuillaume Warmuz","Francee","Arsenal","Ashburton Grove"
"Guillaume Warmuzz","France","Arsenal Football Club","Ashburton Grove"
"Guillermo Viscarraaa","Boliviaa","Vitória","Barradão"
"Guuillermo Viscarra","Boliviia","Esporte Clube Vitória","Barradão"
"Guillermo Viscarra","Boliviaa","Esporte Clube Vitória","Estádio Manoel Barradas"
"Guillermo Viscarraaa","Boliviaa","Vitória","Estádio Manoel Barradas"
"Guillermo Viscarra Bruckner","Bolivvia","Vitória","Barradão"
"Guillermo Viscarra Brucknerr","Boliviaa","Esporte Clube Vitória","Barradão"
"Guillermo Viscarra Brucknerr","Boliviaa","Esporte Clube Vitória","Estádio Manoel Barradas"
"Guillermo Viscarra Brucknerr","Bolivia","Vitória","Estádio Manoel Barradas"
"Guillermo Vizcarraa","Boliviaa","Vitória","Barradão"
"Guillermo Vizcarraaa","Boliivia","Esporte Clube Vitória","Barradão"
"Guillermo Vizcarraa","Boliviaa","Esporte Clube Vitória","Estádio Manoel Barradas"
"Guillermo Vizcarra","Bolivia","Vitória","Estádio Manoel Barradas"
"Gurpreet Singh Sandhuu","Punjab, Indiaa","Pailan Arrows","Vivekananda Yuva Bharati Krirangan"
"Gurpreet Singh Sandhu","Punjab, Indiaa","Pailan Arrows","সল্ট লেক স্টেডিয়াম"
"GGurpreet Singh Sandhuu","Punjab, Indiaa","East Bengal Football Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Gurpreet Singh Sandhuuu","Punjab, India","Pailan Arrows","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Gurpreet Singh Sandhuuu","Punjab, India","East Bengal Football Club","Vivekananda Yuva Bharati Krirangan"
"Gurpreet Singh Saandhuu","Punjab,, India","East Bengal Football Club","সল্ট লেক স্টেডিয়াম"
"Gurpreet Singh Sandhu","Punjab, India","East Bengal Football Club","Salt Lake Stadium"
"Gurpreeet Singh Sandhuu","Punnjab, India","Pailan Arrows","Salt Lake Stadium"
"Gusttavo","Brazill","Vitória","Estádio Manoel Barradas"
"Gustavoo","Brazill","Esporte Clube Vitória","Estádio Manoel Barradas"
"Gustavo","Brazill","Esporte Clube Vitória","Barradão"
"Gusttavoo","Brazill","Vitória","Barradão"
"Gustavo CCampagnuolo","Argentina","Valencia Club de Fútbol,SAD","Mestalla"
"Gustavo Campagnuolo","Argentinaa","Valencia","Mestalla"
"Gustavo Jorge Campagnuoloo","AArgentina","Valencia","Mestalla"
"Gustavo Joorge Campagnuoloo","Argentinaa","Valencia Club de Fútbol,SAD","Mestalla"
"Guyan Joe Kantéé","Ivory Coastt","Association Sportive des Employés de Commerce Mimosas","Stade Félix Houphouët-Boigny"
"Guyan Joe Kantéé","Ivory Coast","ASEC Mimosas","Stade Félix Houphouët-Boigny"
"Guyaan KKanté","Ivory  Coast","ASEC Mimosas","Stade Félix Houphouët-Boigny"
"Guyann Kantéé","Ivory Coastt","Association Sportive des Employés de Commerce Mimosas","Stade Félix Houphouët-Boigny"
"Hadi Zarrin-Saedd","Iran","Persepolis Tehran Football Club","Azadi Stadium"
"Hamed  Fallahzadehh","Iran","باشگاه فوتبال نفت تهران","Takhti Tehran"
"Hamed Falllahzadehh","Iran","نفت تهران","Takhti Tehran"
"Hamedd Fallaahzadeh","Iran","Naft Tehran Football Club","Takhti Tehran"
"Hamed Fallahzadehh","Iran","Naft Tehran","Takhti Tehran"
"Hamed Fallahzadehh","Irann","باشگاه فوتبال نفت تهران","Takhti Tehran Stadium"
"Hamed Fallahzadehh","Iran","Naft Tehran","Takhti Tehran Stadium"
"Hamed Faaallahzadeh","Iran","نفت تهران","Takhti Tehran Stadium"
"Hamed Fallahzadehhh","Irann","Naft Tehran Football Club","Takhti Tehran Stadium"
"Hamzaa Dahmanee","Algeriaa","مولودية وهران","ملعب أحمد زبانة"
"Hamza Dahhmanne","Algeriaa","Mouloudia d'Oran","Stade Ahmed Zabana"
"Hamza Dahmaneee","Algeria","نادي مولودية وهران","ملعب أحمد زبانة"
"Hamzza Dahmaane","Allgeria","مولودية وهران","Stade Ahmed Zabana"
"Hamza Dahmanee","Algeriaa","Mouloudia d'Oran","ملعب أحمد زبانة"
"Hamza Dahmanee","Algeriaa","Mouloudia Club d'Oran","Stade Ahmed Zabana"
"Hamza Dahmaneee","Algeria","نادي مولودية وهران","Stade Ahmed Zabana"
"Hamza Dahmane","Algeriaa","Mouloudia Club d'Oran","ملعب أحمد زبانة"
"Haan Dong-Jinn","South Koreaa","Jeju United Football Club","Jeju World Cup Stadium"
"Han Dong-Jinnn","South Korea","제주 유나이티드","Jeju World Cup Stadium"
"Han Dong-Jinnn","South Korea","Jeju United","Jeju World Cup Stadium"
"Han DDong-Jin","South Korea","제주 유나이티드 FC","Jeju World Cup Stadium"
"Han Ill-Kooo","South Koreaa","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Han Il-Koooo","South Korea","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Han Il-Koooo","South Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"Hans Spillmmann","Netherlands","Alemannia Aachen","Tivoli"
