"lake","area","location","state"
"Little Long Pond (Wareham, Massachusetts)","182109.0","Wareham, Massachusetts","Plymoutth County, Massachusetts"
"Little Long Pond (Wareham, Massachusetts)","182109.0","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Little Long Pond (Wareham, Massachusetts)","182109.0","Wareham, Massachusetts","Massachusetts"
"Little Long Pond (Wareham, Massachusetts)","182109.0","Plymouth, Massachusetts","Massachusetts"
"Little Pond (Massachusetts)","174015.0","Plymouth, Massachusetts","PPlymouth County, Massachusetts"
"Little Pond (Massachusetts)","174015.0","Plymouth, Massachusetts","Massachusettss"
"Little Quittacas Pond","1.20192e+06","Lakeville, Massachusetts","Plymouth County, Massachusetts"
"Little Quittacas Pond","1.20192e+06","Rochester, Massachusetts","PPlymouth County, Massachusetts"
"Little Quittacas Pond","1.20192e+06","Lakeville, Massachusetts","MMassachusettss"
"Little Quittacas Pond","1.20192e+06","Rochester, Massachusetts","Massachusettsss"
"Little Rocky Pond (Massachusetts)","44515.4","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Little Rocky Pond (Massachusetts)","44515.4","Plymouth, Massachusetts","Massachusettss"
"Little Sandy Bottom Pond","218530.0","Pembroke, Massachusetts","Plymouth County, Massachhusetts"
"Little Sandy Bottom Pond","218530.0","Pembroke, Massachusetts","Massachhusettss"
"Little Sandy Pond","93077.7","Plymouth, Massachusetts","Plymouth County, Massachusettsss"
"Little Sandy Pond","93077.7","Plymouth, Massachusetts","Massacchusettss"
"Little South Pond","250905.0","Plymouth, Massachusetts","Plymouth County, Massachusettsss"
"Little South Pond","250905.0","Plymouth, Massachusetts","MMassachusettss"
"Little West Pond","101171.0","Plymouth, Massachusetts","Plymouth County, Massachusettsss"
"Little West Pond","101171.0","Plymouth, Massachusetts","Masssachusettss"
"Loch Lomond (California)","708200.0","Santa Cruz County, California","Californiaaa"
"Long Duck Pond","93077.7","Plymouth, Massachusetts","Plymouth Countyy, Massachusetts"
"Long Duck Pond","93077.7","Plymouth, Massachusetts","Massachusettss"
"Long Island Pond (Plymouth, Massachusetts)","121406.0","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Long Island Pond (Plymouth, Massachusetts)","121406.0","Plymouth, Massachusetts","Masssachusettss"
"Long Pond (Lakeville, Massachusetts)","6.96464e+06","Lakeville, Massachusetts","Plymouth County, Massachusettsss"
"Long Pond (Lakeville, Massachusetts)","6.96464e+06","Freetown, Massachusetts","Maassachusetts"
"Long Pond (Lakeville, Massachusetts)","6.96464e+06","Lakeville, Massachusetts","Massachussettss"
"Long Pond (Plymouth, Massachusetts)","853887.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Long Pond (Plymouth, Massachusetts)","853887.0","Plymouth, Massachusetts","Massachuusetts"
"Long Pond (Rochester, Massachusetts)","133546.0","Rochester, Massachusetts","Plymouth County, Massachusettss"
"Long Pond (Rochester, Massachusetts)","133546.0","Rochester, Massachusetts","Massachusettss"
"Lost Lake (California)","7000.0","El Dorado County, California","Californiaa"
"Lost Lake (Groton)","825559.0","Groton, Massachusetts","Massachusetts"
"Lout Pond","72843.4","Plymouth, Massachusetts","Plymouth County, Masssachusettss"
"Lout Pond","72843.4","Plymouth, Massachusetts","Massachusetts"
"Lower Chandler Pond","121406.0","Pembroke, Massachusetts","Plymouth County, Masssachusetts"
"Lower Chandler Pond","121406.0","Duxbury, Massachusetts","Plymouth County, Massachusettss"
"Lower Chandler Pond","121406.0","Pembroke, Massachusetts","Massachusetttss"
"Lower Chandler Pond","121406.0","Duxbury, Massachusetts","Massachusettss"
"Lower Otay Reservoir","4.45154e+06","San Diego County, California","Californiaaa"
"Malibou Lake, California","1.4164e+06","Los Angeles","California"
"Mammoth Pool Reservoir","4.45154e+06","Fresno County, California","Californiaaa"
"Mammoth Pool Reservoir","4.45154e+06","Madera County, California","California"
"Maquan Pond","194249.0","Hanson, Massachusetts","Plymouth County, Massacchusetts"
"Maquan Pond","194249.0","Hanson, Massachusetts","Massachusettss"
"Mary's Pond","327795.0","Rochester, Massachusetts","Plymouth County, Massachusetts"
"Mary's Pond","327795.0","Rochester, Massachusetts","Massachusetts"
"Meiss Lake","1.21406e+07","Siskiyou County, California","Californiaa"
"Micajah Pond (Massachusetts)","80937.1","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Micajah Pond (Massachusetts)","80937.1","Plymouth, Massachusetts","Massachusetts"
"Middle Lake Hamilton","416826.0","Winter Haven, Florida","Florida"
"Mill Pond (Duxbury, Massachusetts)","52609.1","Duxbury, Massachusetts","Plymouth County, Massachusettss"
"Mill Pond (Duxbury, Massachusetts)","52609.1","Duxbury, Massachusetts","Massachusettss"
"Mill Pond (Wareham, Massachusetts)","607028.0","Wareham, Massachusetts","Plymouth County, Massachusettss"
"Mill Pond (Wareham, Massachusetts)","607028.0","Wareham, Massachusetts","Massachusetttss"
"Millerton Lake","1.98296e+07","Fresno County, California","Californiaaa"
"Millerton Lake","1.98296e+07","Madera County, California","Californiaa"
"Mirror Lake (Lake Placid)","376965.0","Lake Placid, Florida","Florida"
"Mono Lake","1.82647e+08","Mono County, California","Caaliforniaa"
"Monponsett Pond","995527.0","Halifax, Massachusetts","Plymouth County, Massachusettss"
"Monponsett Pond","1.14121e+06","Halifax, Massachusetts","Plymouth County, Massachusettss"
"Monponsett Pond","995527.0","Halifax, Massachusetts","Massachusetts"
"Monponsett Pond","1.14121e+06","Halifax, Massachusetts","Massachusettsss"
"Morey Hole","89030.8","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Morey Hole","89030.8","Plymouth, Massachusetts","Massachusettss"
"Mountain Meadows Reservoir","2.34718e+07","Lassen County, California","CCalifornnia"
"Muddy Pond (Kingston, Massachusetts)","149734.0","Kingston, Massachusetts","Plymouth Counnty, Massachusetts"
"Muddy Pond (Kingston, Massachusetts)","149734.0","Kingston, Massachusetts","Massachusetts"
"New Hogan Lake","1.78466e+07","Calaveras County, California","Californiaa"
"New Long Pond","93077.7","Plymouth, Massachusetts","Plymouth CCounty, Massachusettss"
"New Long Pond","93077.7","Plymouth, Massachusetts","Massachusetts"
"New Melones Lake","5.1e+07","Calaveras County, California","Califorrniaa"
"New Melones Lake","5.1e+07","Tuolumne County, California","Califoorniaa"
"Newnans Lake","3.042e+07","Gainesville, Florida","Florida"
"Nicasio Reservoir","3.41959e+06","Marin County, California","Californiaaa"
"North Hill Marsh Pond","153781.0","Duxbury, Massachusetts","Plymouth County, Massachusettss"
"North Hill Marsh Pond","153781.0","Duxbury, Massachusetts","Masssachusettss"
"North Triangle Pond","80937.1","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"North Triangle Pond","80937.1","Plymouth, Massachusetts","MMassachusettss"
"Oldham Pond (Massachusetts)","938871.0","Pembroke, Massachusetts","Plymouth County, Massachusetts"
"Oldham Pond (Massachusetts)","938871.0","Hanson, Massachusetts","Plymouth County, Massachusettss"
"Oldham Pond (Massachusetts)","938871.0","Pembroke, Massachusetts","Masssachusetts"
"Oldham Pond (Massachusetts)","938871.0","Hanson, Massachusetts","Massachusettts"
"Otis Reservoir","4.39084e+06","Blandford, Massachusetts","Massachusettss"
"Otis Reservoir","4.39084e+06","Otis, Massachusetts","Massachusetts"
"Otis Reservoir","4.39084e+06","Tolland, Massachusetts","Massachusetttss"
"Pacheco Reservoir","797231.0","Santa Clara County, California","California"
"Padgett Lake","64506.9","Lake Wales, Florida","Flooridaa"
"Park Lake (Orlando, Florida)","35612.3","Orlando, Florida","Florida"
"Parker Mills Pond","424920.0","Wareham, Massachusetts","Plymouth County, Massachusettss"
"Parker Mills Pond","424920.0","Wareham, Massachusetts","Massachusettss"
"Pembroke Street South Pond","64749.7","Kingston, Massachusetts","Plymouth County, Massachuseettss"
"Pembroke Street South Pond","64749.7","Kingston, Massachusetts","Massachusettss"
"Petaluma Reservoir","40468.6","Sonoma County, California","Californiaa"
"Pine Flat Lake","2.41597e+07","Fresno County, California","California"
"Pine Lake (Duxbury, Massachusetts)","93077.7","Duxbury, Massachusetts","Plymouth County, Massachusettss"
"Pine Lake (Duxbury, Massachusetts)","93077.7","Duxbury, Massachusetts","Massachusettsss"
"Pine Street Pond","68796.6","Duxbury, Massachusetts","Plymouth Countty, Massachussetts"
"Pine Street Pond","68796.6","Duxbury, Massachusetts","Massachusettsss"
"Pocksha Pond","930777.0","Lakeville, Massachusetts","Plymouth County, Massachusettss"
"Pocksha Pond","930777.0","Middleborough, Massachusetts","Plymouth County, Massachusettsss"
"Pocksha Pond","930777.0","Middleborough, Massachusetts","Massachusettsss"
"Pocksha Pond","930777.0","Lakeville, Massachusetts","Massachusetttss"
"Puddingstone Reservoir","1.01171e+06","Los Angeles County, California","Califforniaa"
"Quaboag Pond","2.17316e+06","Brookfield, Massachusetts","MMassachusettss"
"Quaboag Pond","2.17316e+06","East Brookfield, Massachusetts","Massachusettss"
"Quail Lake","1e+06","Los Angeles County, California","Califoorniaa"
"Racetrack Playa","7e+06","Inyo County, California","Californiaa"
"Rancho Seco Recreational Park","647497.0","Sacramento County, California","Californiaa"
"Rector Reservoir","331842.0","Napa County, California","Californiaaa"
"Red Lake (Orlando)","497763.0","Orlando, Florida","Floridaaa"
"Reeds Millpond","40468.6","Kingston, Massachusetts","Plymouth CCounty, Massachusettss"
"Reeds Millpond","40468.6","Kingston, Massachusetts","Massachusettss"
"Reeves Lake","109872.0","Winter Haven, Florida","Florida"
"River Lake (Winter Haven, Florida)","109184.0","Winter Haven, Florida","Floridaa"
"Robbins Pond (Massachusetts)","501810.0","East Bridgewater, Massachusetts","Plymouth County, Massachusettss"
"Robbins Pond (Massachusetts)","501810.0","Halifax, Massachusetts","Plymouth County, Massachusetts"
"Robbins Pond (Massachusetts)","501810.0","East Bridgewater, Massachusetts","Massachuusettss"
"Robbins Pond (Massachusetts)","501810.0","Halifax, Massachusetts","Massachusettss"
"Roberts Lake","20234.3","Rohnert Park, California","Califforniaa"
"Rocky Pond (Plymouth, Massachusetts)","72843.4","Plymouth, Massachusetts","Plymouthh County, Massachusettss"
"Rocky Pond (Plymouth, Massachusetts)","72843.4","Plymouth, Massachusetts","Massachusettsss"
"Rogers Dry Lake","1.12e+08","Kern County, California","California"
"Rogers Dry Lake","1.12e+08","Los Angeles County, California","Caliifornia"
"Rosamond Lake","3.5e+07","Kern County, California","CCalifornia"
"Rosamond Lake","3.5e+07","Los Angeles County, California","Californniaa"
"Round Lake (Florida lake)","108213.0","Winter Haven, Florida","Florida"
"Round Pond (Duxbury, Massachusetts)","44515.4","Duxbury, Massachusetts","Plymouth County, Massachusettss"
"Round Pond (Duxbury, Massachusetts)","44515.4","Duxbury, Massachusetts","Massachusettss"
"Round Pond (Plymouth, Massachusetts)","40468.6","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Round Pond (Plymouth, Massachusetts)","40468.6","Plymouth, Massachusetts","Massachhusetts"
"Russell Millpond","169968.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Russell Millpond","169968.0","Plymouth, Massachusetts","Massachusettss"
"Russell Pond (Massachusetts)","56656.0","Kingston, Massachusetts","Plymouth County, Massachusetts"
"Russell Pond (Massachusetts)","56656.0","Kingston, Massachusetts","Massachusetts"
"Salt Spring Valley Reservoir","3.94569e+06","Calaveras County, California","Califoorniaa"
"Salton Sea","8.89e+08","Imperial County, California","Californiiaa"
"Salton Sea","8.89e+08","Riverside County, California","Califforniaa"
"Sampsons Pond","1.25453e+06","Carver, Massachusetts","Plymouth County, Massachusettss"
"Sampsons Pond","1.25453e+06","Carver, Massachusetts","Massachusettsss"
"San Andreas Lake","2.22577e+06","San Mateo County, California","Californiaaa"
"San Luis Reservoir","5.13951e+07","Merced County, California","Californiaaa"
"San Vicente Reservoir","4.45154e+06","San Diego County, California","CCaliforniaa"
"Sandy Pond (Wareham, Massachusetts)","72843.4","Wareham, Massachusetts","Plymouth County, Massachusettss"
"Sandy Pond (Wareham, Massachusetts)","72843.4","Wareham, Massachusetts","Massachusettss"
"Santa Rosa Creek Reservoir","623216.0","Sonoma County, California","Californiaa"
"Savery Pond (Plymouth, Massachusetts)","133546.0","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Savery Pond (Plymouth, Massachusetts)","133546.0","Plymouth, Massachusetts","Massachuusettss"
"Scotts Flat Reservoir","3.43983e+06","Nevada County, California","California"
"Shallow Pond (Plymouth, Massachusetts)","72843.4","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Shallow Pond (Plymouth, Massachusetts)","72843.4","Plymouth, Massachusetts","Massachusetts"
"Shasta Lake","1.21406e+08","Shasta County, California","Californiia"
"Shaver Lake","8.81001e+06","Fresno County, California","Californiaa"
"Ship Pond","44515.4","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Ship Pond","44515.4","Plymouth, Massachusetts","Massachusettts"
"Silver Lake (Plymouth County, Massachusetts)","2.58999e+06","Pembroke, Massachusetts","Plymouth County, Massachusettsss"
"Silver Lake (Plymouth County, Massachusetts)","2.58999e+06","Plympton, Massachusetts","Plymouth County, Massachuseetts"
"Silver Lake (Plymouth County, Massachusetts)","2.58999e+06","Kingston, Massachusetts","Plymouth County, Massachusettss"
"Silver Lake (Plymouth County, Massachusetts)","2.58999e+06","Plympton, Massachusetts","Maassachusetts"
"Silver Lake (Plymouth County, Massachusetts)","2.58999e+06","Pembroke, Massachusetts","Massachusettsss"
"Silver Lake (Plymouth County, Massachusetts)","2.58999e+06","Kingston, Massachusetts","Massachusetts"
"Smelt Pond","178062.0","Kingston, Massachusetts","Plymouth County, Massachusettsss"
"Smelt Pond","178062.0","Kingston, Massachusetts","Massachusettsss"
"Snipatuit Pond","2.87327e+06","Rochester, Massachusetts","Pllymouth County, Massachusetts"
"Snipatuit Pond","2.87327e+06","Rochester, Massachusetts","Massachusetts"
"Soda Lake (San Luis Obispo County)","1.2e+07","San Luis Obispo County, California","Californiaaa"
"South Meadow Brook Reservoir","101171.0","Carver, Massachusetts","Plymouth County, Massachussetts"
"South Meadow Brook Reservoir","101171.0","Carver, Massachusetts","Massachusettsss"
"South Meadow Pond (Carver, Massachusetts)","68796.6","Carver, Massachusetts","Plymouth County, Massachusettss"
"South Meadow Pond (Carver, Massachusetts)","68796.6","Carver, Massachusetts","Massachusettss"
"South Triangle Pond","60702.8","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"South Triangle Pond","60702.8","Plymouth, Massachusetts","Masssachusettss"
"Spectacle Pond (Wareham, Massachusetts)","169968.0","Wareham, Massachusetts","Plymouth County, Massachusettsss"
"Spectacle Pond (Wareham, Massachusetts)","169968.0","Wareham, Massachusetts","Massachhusettss"
"Spring Lake (Winter Haven)","97893.5","Winter Haven, Florida","Florida"
"Spy Pond","416826.0","Arlington, Massachusetts","Massachusetts"
"Stetson Pond (Pembroke, Massachusetts)","376358.0","Pembroke, Massachusetts","Plymouth County, Masssachusettss"
"Stetson Pond (Pembroke, Massachusetts)","376358.0","Pembroke, Massachusetts","Massachusetts"
"Stevens Creek Reservoir","372311.0","Santa Clara County, California","Californiaa"
"Stockbridge Bowl","1.50543e+06","Stockbridge, Massachusetts","MMassachusettss"
"Studleys Pond","117359.0","Rockland, Massachusetts","Plymouth Couunty, Massachusettss"
"Studleys Pond","117359.0","Rockland, Massachusetts","Massachusettsss"
"Stump Pond (Pembroke, Massachusetts)","404686.0","Pembroke, Massachusetts","Plymouth County, Massachusettss"
"Stump Pond (Pembroke, Massachusetts)","404686.0","Pembroke, Massachusetts","Massachusettsss"
"Sugar Pine Reservoir","667731.0","Northern California","Calliforniaa"
"Sugden Reservoir","345197.0","Spencer, Massachusetts","Massachusetts"
"Sunset Lake (Orlando, Florida)","116388.0","Orlando, Florida","Floridaa"
"Sweetwater Reservoir","3.78786e+06","San Diego County, California","Californiaa"
"Thompson Pond (Massachusetts)","469435.0","Spencer, Massachusetts","Massachusetts"
"Tihonet Pond","360170.0","Wareham, Massachusetts","Plymouth County, Massachusetts"
"Tihonet Pond","360170.0","Wareham, Massachusetts","Massachuseettss"
"Tispaquin Pond","785090.0","Middleborough, Massachusetts","Plymouth County, Massachuseettss"
"Tispaquin Pond","785090.0","Middleborough, Massachusetts","Massachusetttts"
"Tolay Lake","809371.0","Sonoma County, California","Californiaa"
"Topaz Lake","9.75292e+06","Mono County, California","Caliiforniaa"
"Tremont Mill Pond","202343.0","Wareham, Massachusetts","Plymouth County, Massachusettsss"
"Tremont Mill Pond","202343.0","Wareham, Massachusetts","Massachusettss"
"Triangle Pond (Massachusetts)","40468.6","Plymouth, Massachusetts","Plymouuth County, Massachusettss"
"Triangle Pond (Massachusetts)","40468.6","Plymouth, Massachusetts","Massachusetts"
"Tulare Lake","1.78e+09","Kings County, California","Californiaa"
"Tulare Lake","1.78e+09","San Joaquin Valley","Californiaa"
"Tule Lake","5.26091e+07","Siskiyou County, California","Caalifornia"
"Tule Lake","5.26091e+07","Modoc County, California","Californiia"
"Ukonom Lake","271139.0","Siskiyou County, California","Caaliforniaa"
"Union Pond (Massachusetts)","101171.0","Wareham, Massachusetts","Plymouth Countyy, Massachhusetts"
"Union Pond (Massachusetts)","101171.0","Wareham, Massachusetts","Massachuusetts"
"Upper Chandler Pond","40468.6","Pembroke, Massachusetts","Plymouth County, Massachusettss"
"Upper Chandler Pond","40468.6","Duxbury, Massachusetts","Plymouth County, Massachuseettss"
"Upper Chandler Pond","40468.6","Pembroke, Massachusetts","Massachusettss"
"Upper Chandler Pond","40468.6","Duxbury, Massachusetts","Massacchusetts"
"Uvas Reservoir","1.16549e+06","Santa Clara County, California","Caaliffornia"
"Vaughn Pond (Massachusetts)","89030.8","Carver, Massachusetts","Plymouth County, Massachusetttss"
"Vaughn Pond (Massachusetts)","89030.8","Carver, Massachusetts","Massachusettss"
"Walden Pond","246858.0","Concord, Massachusetts","Massachusettsss"
"Wampatuck Pond","258999.0","Hanson, Massachusetts","Plymouth County, Massachusettsss"
"Wampatuck Pond","258999.0","Hanson, Massachusetts","Massachusettss"
"Watuppa Ponds","7.30458e+06","Fall River, Massachusetts","Massachusettss"
"Watuppa Ponds","6.27667e+06","Fall River, Massachusetts","Masssachusetts"
"Watuppa Ponds","6.27667e+06","Westport, Massachusetts","Massachusettss"
"Watuppa Ponds","7.30458e+06","Westport, Massachusetts","Massachusettss"
"West Chandler Pond","48562.3","Pembroke, Massachusetts","Plymouth County, Massachusettsss"
"West Chandler Pond","48562.3","Pembroke, Massachusetts","Massacchusetts"
"Weston Reservoir","9.06496e+06","Weston, Massachusetts","Massachusettss"
"Whale Rock Reservoir","2.06e+07","San Luis Obispo County, California","California"
"Whiskeytown Lake","1.3994e+07","Shasta County, California","California"
"White Island Pond","493716.0","Wareham, Massachusetts","Plymouth Counnty, Massachusettss"
"White Island Pond","643450.0","Wareham, Massachusetts","Plymouth County, Massachusettss"
"White Island Pond","493716.0","Plymouth, Massachusetts","Plymouthh County, Massachusetts"
"White Island Pond","643450.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"White Island Pond","643450.0","Wareham, Massachusetts","Massachusettss"
"White Island Pond","493716.0","Wareham, Massachusetts","Massachusettss"
"White Island Pond","493716.0","Plymouth, Massachusetts","Massachhusetts"
"White Island Pond","643450.0","Plymouth, Massachusetts","Massachusettts"
"Whites Pond (Massachusetts)","133546.0","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Whites Pond (Massachusetts)","133546.0","Plymouth, Massachusetts","Massachusettss"
"Winnecunnet Pond","598935.0","Norton, Massachusetts","Massachusettss"
