Date,Comments,Name,,Vote
"Jul 15, 2012","Truly awesome, thank you to all involved...downloaded it and jacked off to it. Nuff said.",necromancing777,,Great! (5)
"Jul 15, 2012","Such stuff as perfect wet dreams are made of. My dick stayed hard for a week just thinking of this Gone with the Wind epic porn. For a darkside rookie I am amazed and awed. And an instant devotee of this site. The cum in the open eye did make me wince, but I've learned to fast forward quickly to keep my dick still throbbing. Princess Donna? Fuck no. She should be the Queen of Queens Donna.",ironnick,,Great! (5)
"Jul 16, 2012",Fucking amazing! Donna you are the Queen of erotica. This was brutally artistic and despite the content deserves to be viewed as such.,rdstrkr,,Great! (5)
"Jul 19, 2012",That's the HOTTEST scene... I have ever seen..Congrats ..Donna..,sbutler,,Great! (5)
"Jul 29, 2012","Iona is the best model ever. Uncool she hasn't been the main attraction on BG so far... fucked in the ass, bare soles facing the camera...",cfdocr,,Fair (3)
"Jul 31, 2012","This is a great update! Princess Donna plays the perfect girl in a bad situation. When she realizes she's ""alone"" at the party, her facial expression is priceless. You can see the fear she's feeling! Great work!! I wish you had more like this.",illk95588,,Great! (5)
"Aug 1, 2012",That is the best video... I have ever seen period...,sbutler,,Great! (5)
"Aug 24, 2012",Fantastic!,Wautschi,,Great! (5)
"Aug 27, 2012","Mind-blowing! Donna, you are the Dark-Princess of hardcore. Never before have I seen a porn-shoot that exceeded my wildest fantasies, you are a Sex-Goddess. You should get paid and worshipped everytime we stream or d-load this movie...you're a magnificent ""CUNT"".",AnalHolic01,,Great! (5)
"Sep 9, 2012","Donna's gotten her just praise for being a wonderful piece of fuckmeat, but let's hear it for the fellas, shall we? Now, that is how MEN take down a bitch. Just top notch work, like watching a team of male athletes make play after glorious play and just dominate the field. Every feminist should have to watch this so as to properly adjust their perspective. This is place where the curtain is forcefully drawn back and they get to witness the naked truth of what it means to be a split-tail.",Cervixbuster,,Great! (5)
"Sep 17, 2012",The only thing missing was double anal still a great scene though!,knicks30,,Great! (5)
"Oct 5, 2012",like the sadistic way of James Deen and would like to serve Him myself,jhvdv,,Great! (5)
"Oct 5, 2012","although i'm gay, i get a stiff one, seeing the sadistic way of James Deen. would like to submit to him, if not physically, than financially",jhvdv,,Great! (5)
"Oct 11, 2012",Great Shoot..... mmmmmm You know how to please Princess Donna...... love what i have seen so far...,brina100,,Great! (5)
"Oct 14, 2012",awesome!!!,pieterkarel,,Great! (5)
"Oct 19, 2012","PD sets the bar too high,not even Rain can approach her on this site.I cannot imagine any other shoot equaling the intensity/stimulation value of this shoot thanks to PD.",flowerto,,Great! (5)
"Oct 24, 2012",hot how the slut in 31th minute is forced to her climax...,jhvdv,,Great! (5)
"Oct 27, 2012",After seeing the previews i was excited.... now after seeing the full shoot it was more than what i was expecting...... it was awesome..... how Princess Donna cumz like that is a real turn on.......loved the scene setting and background action too....can only say EXCELLENT SHOOT ...,brina100,,Great! (5)
"Nov 23, 2012","Donna great that you take it,decent..Your a slut..Next take more cum up your tail..thanx..",sinacastic,,Great! (5)
"Nov 30, 2012",HOLY FUCKING SHIT!!!!! NO ONE IS BETTER THAN DONNA!!!!!!!!!!!!!,lickmeclean,,Great! (5)
"Jan 7, 2013","Princess Donna, I love all the liquids dumped on you during the beginning blowjob. A woman soaking wet while giving a blowjob or getting fucked is so hot. The slapping and spitting was a major turn on as well; and the final bukkake finish was to die for. Great job!!!",Talos84,,Great! (5)
"Mar 6, 2013",This was the soul reason I joined this site and I couldn't be anymore pleased. Just... art I could watch it over and over. Now all i need is to get Donna on Public Disgrace and I will be able to die happy.,mike25box,,Great! (5)
"Apr 5, 2013",princess Donna .. you are the absolute best .. you are the hottest ..this is the best scenario ... I LOVED CHOCKING .. SLAPPING ... OH HELL YEAH ...,themasterpiece,,Great! (5)
"Apr 27, 2013",james dean is the shit,naturally,,Great! (5)
"Sep 8, 2013","My tribute eo James Deen , Mr. Pete , John Strong , Christian Wilde , Tee Reel , Jon Jon , Karlo Karrera and Ramon Nomar! They really knows how to use this fantadtic whore.",lenjan,,Great! (5)
"Sep 23, 2013",The unofficial first entry into the Princess Donna gangbang trilogy. Some of the most hardcore fucking on the internet. Extremely satisfying hopefully a fourth entry is planned..,Mutantmo,,Great! (5)
"Oct 18, 2013","no offense to princess donna...i love porn more than ever because of her...she just doesnt do it for me. plus shes the effin boss talking to and taking care of all the girls....so you hear her in almost every production, so there is no mystery on the woman acting the role here. the scenes are a lot less believable when Donna Dolore participates. she hot but like i said no mystery. you guys recruit amazing girls too...all shapes and sizes from all over...Remy Lacroix is my fave girl since i saw my first porno at 6 years old.",rockish,,Fair (3)
"Nov 16, 2013","THIS IS WHAT I WANT OUT OF THIS SITE. Awesome. I am so jealous! Didn't like all the slapping but that's just personal preference. Loved the fisting though a little short. This performance sets the bar - very high. Thankyou so much - I cum twice watching this. Nearly three but started giggling out of jealousy in the best possible way. Plus donna you are gorgeous, just how I like my ladies. Tall, slim brunette with real boobs and a beautiful face. You looked fucked at end, like you just had the best sex ever. Congratulations and well done. Xx",Analslut123,,Great! (5)
"Nov 21, 2013",Fantastic best ever!,jinifre,,Great! (5)
"Apr 10, 2014",Greatest shoot in porn history! You are the best Donna.,threesome9736,,Great! (5)
"May 10, 2014",the best,grandmastertop,,Great! (5)
"Jun 2, 2014","Nice, great, fantastic, confratulations",Poezwoef,,-
"Jul 5, 2014","Even years later I keep returning to this shoot. It is simply the most compelling I have ever seen. Nothing, absolutely nothing is as compelling as Donna's Face when she is fucked and tortured to exhaustion and her face is destroyed, dazed and covered with Cum.",silktiedancer,,Great! (5)
"Nov 3, 2014",Donna you have no equal on this site!,flowerto,,Great! (5)
