,Title,Commenter,Date,Thread
1,Illiteracy and Neglect [78 words],Young MC,"May 12, 2009 15:55",153847
,amicable words please [28 words],berk akk,"May 13, 2009 03:34",153847
,Dimmi the only fact teller [513 words],berk akk,"May 13, 2009 07:25",153847
1,Our dear BERK is not man enough to admit that he does not seem to know that Q109:6 was abrogated by Q9:5 [1313 words],dhimmi no more,"May 13, 2009 21:54",153847
2,Our dear BERK and the religion of the Arabs [623 words],dhimmi no more,"May 14, 2009 07:54",153847
3,Genocide Denier and Amicability [110 words],Young MC,"May 14, 2009 12:10",153847
,collapsed [54 words],berk akk,"May 15, 2009 01:59",153847
2,Those that deny the Armenian Genocide and their poor logic [480 words],dhimmi no more,"May 15, 2009 07:38",153847
,possibility of another perspective [313 words],the Grand Infidel of Kaffiristan,"May 16, 2009 01:22",153847
,never happen again [72 words],BERK AKK,"May 22, 2009 07:44",153847
,friendship [208 words],berk akk,"May 23, 2009 16:47",153847
1,The Armenian Genocide is a shameful act [140 words],dhimmi no more,"May 23, 2009 16:56",153847
1,To Janus Warlike & Peremptory [1462 words],Glafira,"Jun 17, 2009 18:41",153847
4,The doctored history of the Turks or 'Epistulae virorum obscurorum' [4226 words],Ianus,"Jun 18, 2009 16:24",153847
2,"Rude Awakening, Peremptory & Warlike [217 words]",Young MC,"Jun 18, 2009 19:47",153847
1,To Ianus comment of 18 June [899 words],Glafira,"Jun 28, 2009 09:37",153847
,"The 'Turkishness' of ""pharaoh"", ""Peru"", ""spaghetti"" ... [2783 words]",Ianus,"Jun 29, 2009 08:03",153847
,we will defend ourselves [54 words],Proud Muslim Turk,"Nov 1, 2009 19:00",153847
2,"""Islam - this decaying corpse of an immoral Arab Beduin"" [355 words]",Ianus,"Nov 2, 2009 06:34",153847
,Two swords [55 words],Lynn,"Nov 2, 2009 10:14",153847
1,TURKISH HISTORY FOR THE 21st Century. [400 words],Tamer,"Dec 22, 2009 00:58",153847
10,Turkish anti-history at its best! [2254 words],Ianus,"Dec 23, 2009 10:23",153847
,Why so much hate from Greeks? [482 words],Tamer,"Dec 25, 2009 17:40",153847
1,What! [102 words],....,"Dec 19, 2010 14:59",153847
2,Ignorance is strength ...at least in dar-al Islam . [395 words],Ianus,"Dec 20, 2010 07:10",153847
,too many grey areas and biased unfounded empty worded arguments! [762 words],Rzepa,"Jun 24, 2011 14:22",153847
,Lack of historical knowledge [7 words],Etruschi,"Jun 27, 2013 08:02",153847
,We DO want more democratically ruled muslims [492 words],Demsci,"Apr 13, 2009 04:46",153800
,I DO NOT WANT TURKS AND TURKEY TO BE A PART OF EUROPE THEY ARE MUSLIMS WHO DO NOT BELONG TO EUROPE [169 words],TIRDAD GHARIB,"Apr 11, 2009 18:44",153749
2,Turkey does not belong to NATO and should not join the EU and Obama and the Armenian Genocide [161 words],dhimmi no more,"Apr 11, 2009 15:52",153744
,why are they in NATO anyway [20 words],UK,"Apr 11, 2009 12:56",153735
1,Nato has not developed security philosophy against Islamic threat [108 words],B.N.Gururaj,"Apr 10, 2009 02:13",153673
,The mistakes which grew up!!! [290 words],Mansoor,"Apr 11, 2009 09:09",153673
,"Is it agression on Islam, or agression by Islam? [77 words]",B.N.Gururaj,"Apr 12, 2009 09:31",153673
,Europe will not last and China has imperial ambitions [105 words],Straight_Talk_Luigi,"Apr 16, 2009 21:15",153673
,Does Turkey still Belong to Nato? They have been a valuable Ally. [95 words],Anne- USA,"Apr 9, 2009 11:02",153638
,NATO's jihadist darlings [71 words],Ianus,"Apr 10, 2009 08:10",153638
,"Nato is under greater threat, because of Islam and Russia's opposition [127 words]",Anne-USA,"Apr 11, 2009 20:44",153638
,NATO and Islam - friends in deed [205 words],Ianus,"Apr 14, 2009 08:11",153638
,Not all are terrorists- Reach out to the ones that aren't [414 words],Anne,"Apr 15, 2009 09:03",153638
,"""Not all are terrorists"" ... All terrorists say they are no terrorists. [702 words]",Ianus,"Apr 16, 2009 08:44",153638
,Judgements are coming to the Nations. [874 words],Anne,"Apr 18, 2009 08:14",153638
,Judgements [67 words],Ianus,"Apr 20, 2009 16:25",153638
,"I agree, common goal unites us. [62 words]",Anne,"Apr 21, 2009 20:23",153638
,the newest world order.. [93 words],Yuksel,"Apr 9, 2009 07:06",153632
,A Moslem asks why we kafirs don't like his sweet Islam. [301 words],Ianus,"Apr 10, 2009 08:50",153632
,you CANNOT make generalise these as islam.. [27 words],pdm,"Apr 10, 2009 14:37",153632
,you have to be honest.. [77 words],Yuksel,"Apr 11, 2009 01:30",153632
,"Moslem ""honesty"" [273 words]",Ianus,"Apr 12, 2009 06:08",153632
,prejudices [130 words],Yuksel,"Apr 14, 2009 16:13",153632
1,A moslem obscurantist gets angry at 'Jewish media' and promises earthly paradise to kafirs under Islam [995 words],Ianus,"Apr 15, 2009 06:47",153632
,easy to believe because they always have. [632 words],the Grand Infidel of Kaffiristan,"Apr 15, 2009 07:56",153632
,The ultimate victim [308 words],dhimmi no more,"Apr 15, 2009 08:13",153632
1,Ianus [431 words],yasemin,"Apr 15, 2009 23:34",153632
,"We kafirs are ""the worst of beasts in the sight of Allah"" but ""Do you hear any Muslim here insulting any other religion"" ? [1729 words]",Ianus,"Apr 17, 2009 08:50",153632
,Islam is an obstacle to EU membership ! [148 words],Anne-Marie Delcambre,"Apr 8, 2009 13:30",153591
,Obama sending wrong signals [105 words],Vijay,"Apr 8, 2009 04:44",153568
,"""If Turkey ever turns fully Islamist ... "" ""If? ... Turkey is already fully Islamist."" [171 words]",Ianus,"Apr 9, 2009 16:33",153568
,There goes Avigdor Lieberman's idea [78 words],Yuval Brandstetter MD,"Apr 10, 2009 11:46",153568
,Vijay you're right [70 words],yasemin,"Apr 10, 2009 14:29",153568
,Reply to Ianus (Poland) [180 words],Vijay,"Apr 10, 2009 18:10",153568
1,The dogma of Turkish secularism or Western amnesia [1530 words],Ianus,"Apr 11, 2009 08:40",153568
,A NATO-Israeli war 21... ? [360 words],Ianus,"Apr 18, 2009 14:30",153568
,Israel is not Serbia [107 words],yuval Brandstetter MD,"Apr 21, 2009 00:55",153568
1,Israel is not Serbia - agreed [363 words],Ianus,"Apr 22, 2009 04:10",153568
,What do Turks think about Nato and the European Union? [190 words],Isaac Haskiya,"Apr 8, 2009 03:30",153566
,With friends like Turkey who needs opponents! [727 words],Chet Limbright,"Apr 7, 2009 19:59",153533
,The magician [105 words],Doug Corrigan,"Apr 7, 2009 18:21",153528
,Stupid Democracies. [6 words],Kevin Synnott,"Apr 7, 2009 20:55",153528
,We have learned nothing [233 words] w/response from Daniel Pipes,Stephen E. Connor,"Apr 7, 2009 14:09",153515
,Even muslims reconize their failures to control their populations [143 words],pdm,"Apr 7, 2009 14:09",153514
,Clash of Civilizations [257 words],Rafi,"Apr 7, 2009 13:10",153504
,Only One will do the Job [24 words],Kevin Synnott,"Apr 7, 2009 23:49",153504
1,Should Turkey be in NATO? [1579 words],Tugba,"Apr 7, 2009 08:35",153491
,losing the vision [608 words],yasemin,"Apr 8, 2009 06:47",153491
2,"For the Turk a 'pro-Turkish' absurdity is welcome, an 'anti-Turkish' fact is unacceptable . [2151 words]",Ianus,"Apr 19, 2009 18:03",153491
,I keep waiting. [138 words],Lynn,"Apr 7, 2009 08:21",153490
,Outstanding! [5 words],Kevin Synnott,"Apr 7, 2009 20:52",153490
,What a SUCCESS [33 words],yasemin,"Apr 8, 2009 07:32",153490
,You should know. [87 words],Lynn,"Apr 9, 2009 12:32",153490
,Turks awakening [120 words],abbatai,"Nov 26, 2009 13:11",153490
,Is there a need for NATO anyway? [88 words],Guzel Ankara,"Apr 7, 2009 08:14",153488
5,Turkey's thwarted invasion of Armenia in 1992/3 [1619 words],Ianus,"Apr 8, 2009 18:00",153488
,if communism threat continued? [119 words],murat,"Apr 10, 2009 17:16",153488
1,The rage of Moslem narcissists against freedom of speech [690 words],Ianus,"Apr 11, 2009 09:37",153488
,Can NATO survive without Turkey ? [73 words] w/response from Daniel Pipes,Debanjan Banerjee,"Apr 11, 2009 12:14",153488
,we wish the same [116 words],yasemin,"Apr 13, 2009 05:19",153488
1,Lenin badly needed [35 words],Ianus,"Apr 14, 2009 10:30",153488
,Islam needs to limit freedom [471 words],Chet Limbright,"Apr 14, 2009 13:12",153488
,Racism may kill all. [101 words],Morpheus,"Apr 17, 2009 01:57",153488
,"Criticizing Islam is ""racist"" [200 words]",Ianus,"Apr 18, 2009 08:08",153488
,Not racism [38 words],Anon,"Apr 19, 2009 02:25",153488
,The abhorrent world [64 words],Ianus,"Apr 20, 2009 14:48",153488
,Fish is slipping out of the hands!!! [550 words],Mansoor,"Apr 7, 2009 06:35",153484
,Mansoor let go of your dead fish [320 words],Chet Limbright,"Apr 8, 2009 22:17",153484
,This political diagnosis is a very complex and difficult one. [147 words],Isaac Haskiya,"Apr 7, 2009 03:58",153481
,"Try to be happy, try to laugh and love someone nesr you and plese stay where you are.... [347 words]",yasemin,"Apr 9, 2009 01:49",153481
2,Oh our dear yasemin is leaving [514 words],dhimmi no more,"Apr 11, 2009 08:08",153481
,Kemalist janissaries [864 words],Ianus,"Apr 11, 2009 11:59",153481
3,Be happy ! Become a Turk ! - a fairy tale [461 words],Ianus,"Apr 12, 2009 16:20",153481
,let's talk about your problems while you were living in Turkey [33 words],yasemin,"Apr 13, 2009 07:21",153481
,Talking of problems [145 words],Ianus,"Apr 14, 2009 05:56",153481
,Ianus seems to know about everything (negative) on Turkey [260 words],Isaac Haskiya,"Apr 20, 2009 04:06",153481
1,Yasemin and on being a victim [159 words],dhimmi no more,"Apr 21, 2009 08:15",153481
,in the need of the extraterrestrials [399 words],yasemin,"Apr 21, 2009 08:27",153481
1,Ianus seems to know about everything negative on Turkey ... I wish I knew !!! ... The case of Constantinople 6-7.09. 1955 [1604 words],Ianus,"Apr 21, 2009 10:58",153481
3,"A Turk preaches on ""democracy"" - AnatГјrk [818 words]",Ianus,"Apr 23, 2009 11:11",153481
3,exercising democratic rights [471 words],the Grand Infidel of Kaffiristan,"Apr 23, 2009 22:29",153481
,Method to Obama's madness [172 words],Robert Solto,"Apr 6, 2009 20:11",153463
,No Turkey in EU or NATO [168 words],Rebecca Moulds,"Apr 6, 2009 19:31",153459
,Well thought out rationale [24 words],Kevin Synnott,"Apr 7, 2009 13:55",153459
,"Don't just dump Turkey, dump NATO [126 words]",Paul,"Apr 6, 2009 19:04",153458
,Nato and Turkey [184 words],Ernie Lofthouse,"Apr 6, 2009 18:24",153455
,Good Post #918 [134 words],RRSmith,"Apr 6, 2009 17:25",153444
,YES and NO [75 words],yasemin,"Apr 6, 2009 17:58",153444
,Kemal and cartoons [328 words],Ianus,"Apr 6, 2009 18:39",153444
,I am aware of the roll of Turks & Jews. [80 words],Kevin Synnott,"Apr 7, 2009 20:38",153444
,Yasemin [53 words],Kevin Synnott,"Apr 8, 2009 15:47",153444
,Kevin [198 words],yasemin,"Apr 9, 2009 02:33",153444
1,"Korkak yahudi and best selling ""Mein Kampf"" in Turkey [653 words]",Ianus,"Apr 9, 2009 09:36",153444
1,'Happy' Ottoman and Kemalist Jews [718 words],Ianus,"Apr 10, 2009 15:11",153444
,ANGEL USA ! [560 words],yasemin,"Apr 11, 2009 15:01",153444
,"""Mustafa Kemal [...] Mussolini is his first disciple and I am his second disciple"" - Adolf Hitler [212 words]",Ianus,"Apr 12, 2009 10:51",153444
6,Who Can Show Me The Safest Country In The Wold? [565 words],Bezmi Kaya,"Dec 26, 2011 06:24",153444
,Turkey failed to be a true NATO member in 2003. [90 words],M.D'Souza,"Apr 6, 2009 17:20",153438
,Soviet Turkey [74 words],Licinia,"Apr 6, 2009 17:04",153430
,US belongs to Indians [15 words],yasemin,"Apr 6, 2009 18:06",153430
,Soviet Turkey [387 words],Ianus,"Apr 6, 2009 18:07",153430
,US and Anatolia [217 words],Ianus,"Apr 7, 2009 06:05",153430
2,Another victim of the Turks and their imperialism [157 words],dhimmi no more,"Apr 7, 2009 08:00",153430
,"Turks move back east, they are not native to Turkey. [145 words]",Kevin Synnott,"Apr 7, 2009 13:44",153430
,Israel [9 words],Anon,"Apr 7, 2009 17:19",153430
,To Licinia... [25 words],umut,"Apr 7, 2009 17:46",153430
,"Answer It, Please [13 words]",Kevin Synnott,"Apr 7, 2009 23:51",153430
,"""Holocaust ? What holocaust ... ? ! "" [588 words]",Ianus,"Apr 8, 2009 10:04",153430
,"Get with the program, show some knowledge. [51 words]",Kevin Synnott,"Apr 8, 2009 15:40",153430
,I love Indians [44 words],yasemin,"Apr 8, 2009 20:37",153430
,yes HOLOCAUST [62 words],MINA,"Apr 9, 2009 05:13",153430
,Forlorn hope! [100 words],Ianus,"Apr 9, 2009 06:52",153430
3,Turkish delusions [500 words],dhimmi no more,"Apr 10, 2009 07:20",153430
,"Turkish ""altruists"" [587 words]",Ianus,"Apr 10, 2009 07:47",153430
5,Hunnic DNA of modern Turks [317 words],Ianus,"Apr 10, 2009 09:27",153430
,"West and East should stand on their own feet, and the leaders sould stop useing religion as agent provocator [315 words]",yasemin,"Apr 10, 2009 10:50",153430
3,Ionia was a great centre of ancient Turkic civilization ... - a history lesson in Turkish school [923 words],Ianus,"Apr 11, 2009 16:20",153430
1,More Turkish delusions [513 words],dhimmi no more,"Apr 12, 2009 09:10",153430
1,Turkish logic and how many Iraqis were killed during the Turkish occuaption of the Middle East? [268 words],dhimmi no more,"Apr 13, 2009 07:25",153430
20,"""All civilization is Turkic in origin"" or world history Turkified [743 words]",Ianus,"Apr 14, 2009 10:25",153430
,history of wars [2543 words],yasemin,"Apr 14, 2009 20:35",153430
1,War on plagiarism [107 words],Ianus,"Apr 15, 2009 17:37",153430
,Our dear yasemin is back [76 words],dhimmi no more,"Apr 15, 2009 18:36",153430
,read more true historry malaka [187 words],bozkurt,"May 20, 2009 10:17",153430
1,"""true"" history by a toothless grey wolfie ! [695 words]",Ianus,"May 21, 2009 06:33",153430
2,Selahi Diker's ideas are not original ideas [117 words],mutlu,"May 29, 2009 06:52",153430
1,A happy Turk on happy Turks and unhappy kafirs [1124 words],Ianus,"May 30, 2009 07:14",153430
,for all other people [151 words],mutlu,"Jun 4, 2009 09:06",153430
1,Loving the evil is correct. Hating the evil is wrong... The Turkish mind at work [711 words],Ianus,"Jun 7, 2009 07:21",153430
1,Happy Ignorant on Being Clueless [257 words],Young MC,"Jun 7, 2009 20:17",153430
,so go back to ireland and england [358 words],a Turkish patriot,"Jun 12, 2009 07:54",153430
1,Turks Slaughter the Armenians [51 words],Tom Dundee,"Jun 14, 2009 14:04",153430
,Greeks and hate filled christian fanatic EU members. [41 words],Tomas,"Sep 6, 2009 01:51",153430
,Thieves on stealing [557 words],Ianus,"Sep 7, 2009 04:42",153430
,IANUS- DHIMMI- Are they the one and the same... [42 words],Jose,"Dec 22, 2009 01:12",153430
1,"""IANUS- DHIMMI- Are they the one and the same..."" ... Don't the Moslems say the same about ""Allah"" and ""Jehova"" (to deceive the Jews and Christians)? [268 words]",Ianus,"Dec 22, 2009 17:10",153430
,Answer to ... comment of Ianus. [23 words],Tsa,"Nov 18, 2011 11:46",153430
3,Tsa on Poles [386 words],Ianus,"Nov 19, 2011 17:54",153430
,... Anti-Turk bias... [180 words],arda,"May 2, 2012 01:26",153430
5,-Anti-liar bias - [770 words],Ianus,"May 3, 2012 17:18",153430
,Elamite and Turkish [90 words],Sm Sullivan,"Nov 25, 2013 04:20",153430
,fundemantalism and illiteracy [53 words],Ferf,"Jul 8, 2014 09:46",153430
2,America's mad alliance and NATO as a weapon of jihad [1365 words],Ianus,"Apr 6, 2009 16:48",153427
,Gratitude for Poland [173 words],Kevin Synnott,"Apr 6, 2009 17:35",153427
,And how did the European powers show their gratitude to Poland ? [14 words],Guzel Ankara,"Apr 7, 2009 08:21",153427
2,Europe - 'the sick man of the world' [259 words],Ianus,"Apr 7, 2009 15:52",153427
1,Poland's partitions or the difference between the Turkish and Russian rule [494 words],Ianus,"Apr 8, 2009 05:35",153427
2,TURKEY'S FUTURE IN NATO- OR ANY OTHER SECULAR ORGANIZATION? NOT A CHANCE! [415 words],JKF,"Apr 6, 2009 16:18",153423
,secular and islamic - the big lie [97 words],Licinia,"Apr 6, 2009 17:13",153423
,Secular and islamic - the big lie [297 words],Ianus,"Apr 8, 2009 10:30",153423
,You are the servants and Turks are the rulers [229 words],Melisa,"Jul 17, 2010 19:28",153423
,Gulf War II.... [67 words],Wm Sturm,"Apr 6, 2009 14:28",153421
,Gulf War II.... [92 words],Ianus,"Apr 6, 2009 17:24",153421
,Gulf wars [36 words],Anon,"Apr 7, 2009 16:54",153421
,Too Much Koolaid [18 words],Kevin Synnott,"Apr 8, 2009 15:54",153421
,"BOTH WEST and EAST are our neighbours, cannot belong completely to one side. [640 words]",yasemin,"Apr 6, 2009 14:18",153420
,East & West [430 words],Kevin Synnott,"Apr 6, 2009 17:03",153420
,Religion and politics together is a total and dishonest lie. [574 words],yasemin,"Apr 6, 2009 19:51",153420
,"As the western world continues its disintegration, Islam's puzzle pieces keep falling into place. [34 words]",kman,"Apr 6, 2009 14:14",153419
,It's their choice. [51 words],Kevin Synnott,"Apr 6, 2009 14:06",153417
,'A mission and a charter' [67 words],Ianus,"Apr 6, 2009 16:57",153417
,Mission & Charter [145 words],Kevin Synnott,"Apr 6, 2009 17:50",153417
1,Mission & Charter [379 words],Ianus,"Apr 9, 2009 15:43",153417
,INVITING TURKEY TO NATO [69 words],JACQUES HADIDA,"Apr 6, 2009 13:24",153413
,Ankara remains an important ally [220 words],GWK,"Apr 6, 2009 13:11",153411
,Bungled by whom? [263 words],Kevin Synnott,"Apr 6, 2009 17:16",153411
,Not Bungled -- if empowering Iran was the intention [260 words],GWK,"Apr 7, 2009 10:30",153411
,I disagree with the Bush Cheney assessment by you. [447 words],Kevin Synnott,"Apr 8, 2009 16:18",153411
,"Moderate Islam, especially Attaturk's version, needs to be encouraged, [551 words]",GWK,"Apr 8, 2009 20:57",153411
,"Kevin Synnott, Muhammad's death [5 words]",Infidel,"Apr 8, 2009 21:42",153411
1,Turkey as a threat to democracy [332 words],Daniella Csizmadia,"Apr 6, 2009 12:51",153409
,Very Good points. [90 words],Kevin Synnott,"Apr 6, 2009 17:23",153409
3,Turkey in Eurabia [1214 words],Ianus,"Apr 7, 2009 07:51",153409
,Agree - Turkey should not be in NATO or in the Council of Europe [93 words],Craig Read,"Apr 12, 2009 07:12",153409
,"EUROPE & U.S. TAKING THEIR FREE REPUBLICS, DEMOCRACY AND LIBERTY FOR GRANTED [482 words]",Sofa Sogood,"Apr 30, 2009 17:35",153409
,Turkey [28 words],Iftikhar Ahmad,"Apr 6, 2009 11:09",153400
1,Turkey 'looking after the interest of all Muslim countries' [194 words],Ianus,"Apr 6, 2009 17:13",153400
,Salaam [84 words],Kevin Synnott,"Apr 6, 2009 17:42",153400
,WORDS and ACTIONS [42 words],yasemin,"Apr 6, 2009 17:46",153400
,"Ianus, Obama looking after the interest of Muslims [177 words]",Infidel,"Apr 6, 2009 19:37",153400
,Anyone Remember Lawrence of Arabia [46 words],Kevin Synnott,"Apr 6, 2009 20:13",153400
,You are out of the closet [88 words],Kevin Synnott,"Apr 6, 2009 20:19",153400
1,The Turks and Turkey is not a democracy [305 words],dhimmi no more,"Apr 7, 2009 07:50",153400
,Death Cults do not have gods. [67 words],Kevin Synnott,"Apr 7, 2009 13:52",153400
,Citizenship [41 words],Kevin Synnott,"Apr 7, 2009 14:04",153400
3,Allah's America [670 words],Ianus,"Apr 7, 2009 15:15",153400
1,"accuse...accuse very easy parrot talking. Let's discuss today, now, here. [410 words]",yasemin,"Apr 8, 2009 05:13",153400
,US Citizenship [227 words],Kevin Synnott,"Apr 8, 2009 15:28",153400
,"Right on, Ianus!! [141 words]",Jaladhi,"Apr 8, 2009 16:14",153400
,"yasemin, the new Historian [45 words]",Infidel,"Apr 8, 2009 21:54",153400
2,Our dear yasemin seems to have nothing more to say [331 words],dhimmi no more,"Apr 9, 2009 07:24",153400
