Title(s) [10][11][12][13],Year first released [10][11][14][15],Developer [14][16],Publisher [10][11][14][17][18],Regions released [10][11][12][13][19],Number of players [10][12][13][20],ESRB/ ELSPA rating [10][17][21],Genre [10][11][15][18][22][23]
NFL Blitz Special Edition,2001,Point of View,Midway,NA,4 !1?4,E/?,Sports/American Football
NFL Quarterback Club '98,1997,Iguana Entertainment,Acclaim,"NA, PAL",4 !1?4,K-A/3+,Sports/American Football
NFL Quarterback Club '99,1998,Iguana Entertainment,Acclaim,"NA, PAL",4 !1?4,E/3+,Sports/American Football
NFL Quarterback Club 2000,1999,Iguana Entertainment,Acclaim,"NA, PAL",4 !1?4,E/3+,Sports/American Football
NFL Quarterback Club 2001,2000,High Voltage Software,Acclaim,NA,4 !1?4,E/?,Sports/American Football
NHL 99,1998,MBL Research,Electronic Arts,"NA, PAL",4 !1?4,E/3+,Sports/Ice Hockey
NHL Blades of Steel '99 ?NHL Pro '99PAL,1999,Konami,Konami,"JP, NA, PAL",4 !1?4,E/3+,Sports/Ice Hockey
NHL Breakaway '98,1998,Iguana Entertainment,Acclaim,"NA, PAL",4 !1?4,K-A/3+,Sports/Ice Hockey
NHL Breakaway '99,1998,Iguana Entertainment,Acclaim,"NA, PAL",4 !1?4,E/3+,Sports/Ice Hockey
Nightmare Creatures,1998,Kallisto Technologies,Activision,NA,1,M/?,Action/Adventure
Nintama Rantaro 64 Game Gallery,2000,Culture Brain,Culture Brain,JP,4 !1?4,?,Arcade/Action/Puzzle
Nuclear Strike 64,1999,Pacific Coast Power & Light,THQ,"NA, PAL",1,E/11+,Simulation/Flight/3-D Shooter
Nushi Tsuri 64,1998,Pack-In-Video,Pack-In-Video,JP,1,?,Sports/Fishing
Nushi Tsuri 64: Shiokaze ni Notte,2000,VIS Interactive,VIS Interactive,JP,1,?,Sports/Fishing
Off Road Challenge,1998,Avalanche Software,Midway,"NA, PAL",4 !1?4,E/3+,Racing/Automotive/Off Road
Ogre Battle 64: Person of Lordly Caliber,1999,Quest,Atlus,"JP, NA",1,T/?,Role Playing/Strategy
Olympic Hockey Nagano '98,1998,Treyarch,Midway,"JP, NA, PAL",4 !1?4,K-A/3+,Sports/Ice Hockey
Onegai Monster,1999,Bottom Up,Bottom Up,JP,4 !1?4,?,Battle/Strategy/Training
Pachinko 365 Nichi,1998,SETA,SETA,JP,1,?,Gambling/Pachinko
Paper Mario ?Mario StoryJP,2000,Intelligent Systems,Nintendo,"JP, NA, PAL",1,E/3+,Role Playing/Adventure
Paperboy 64,1999,High Voltage Software,Midway,"NA, PAL",1,E/3+,Arcade/Action
Parlor! Pro 64: Pachinko Jikki Simulation,1999,Nihon Telenet,Nihon Telenet,JP,1,?,Gambling/Pachinko
PD Ultraman Battle Collection 64,1999,Bandai,Bandai,JP,1,?,Battle/Strategy/Role Playing
Penny Racers ?Choro Q 64JP,1999,Takara,THQ,"JP, NA, PAL",4 !1?4,E/3+,Automotive Racing
Perfect Dark,2000,Rare,Rare,"JP, NA, PAL",4 !1?4,M/18+,Action/Adventure/3D Shooter
PGA European Tour ?PGA European Tour Golf PAL,2000,Infogrames,Infogrames,"NA, PAL",4 !1?4,E/3+,Sports/Golf
Pilotwings 64,1996,Paradigm Entertainment,Nintendo,"JP, NA, PAL",1,K-A/3+,Simulation/Flight
Pok?mon Puzzle League,2000,Nintendo,Nintendo,"NA, PAL",2 !1?2,E/3+,Arcade/Action/Puzzle
Pok?mon Snap ?Pocket Monsters SnapJP,1999,HAL Laboratory,Nintendo,"JP, NA, PAL",1,E/3+,Shooter/Rail/Photography
"Pok?mon Stadium ?Pocket MonstersJP and, ?Pocket Monsters Stadium 2JP",1999,Nintendo,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Battle/Strategy/Training
Pok?mon Stadium 2 ?Pocket Monsters Stadium: Kin GinJP,2000,Nintendo,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Battle/Strategy/Training
Polaris SnoCross,2000,Vicarious Visions,Vatical Entertainment,NA,4 !1?4,E/?,Simulation/Snowmobile Racing
Power League 64,1997,Hudson Soft,Hudson Soft,JP,4 !1?4,?,Sports/Baseball
Power Rangers Lightspeed Rescue,2000,Mass Media,THQ,"NA, PAL",4 !1?4,E/3+,Action/Adventure/Fighting
PowerpThe Powerpuff Girls: Chemical X-traction,2001,VIS Interactive,BAM! Entertainment,NA,1,E/?,Arcade/Fighting
Premier Manager 64,1999,Gremlin Interactive,Gremlin Interactive,PAL,1,?/3+,Sports/Soccer
Pro Mahjong Kiwame 64,1997,Athena,Athena,JP,1,?,Gambling/Mahjong
Pro Shinan Mahjong Tsuwamono 64: Jans? Battle ni Ch?sen,1999,Culture Brain,Culture Brain,JP,1,?,Gambling/Mahjong
Puyo Puyo Sun 64,1997,Compile,Compile,JP,4 !1?4,?,Arcade/Action/Puzzle
Puyo Puyo~n Party,1999,Compile,Compile,JP,4 !1?4,?,Arcade/Action/Puzzle
Quake 64,1998,Midway,Midway,"NA, PAL",2 !1?2,M/15+,Action/3D Shooter
Quake II,1999,Raster Productions,Activision,"NA, PAL",4 !1?4,M/15+,Action/3D Shooter
Quest 64 ?Holy Magic CenturyPAL ?Eltale MonstersJP,1999,Imagineer,Imagineer THQ Konami,"JP, NA, PAL",1,E/3+,Adventure/Role Playing
Rainbow Six,1999,Saffire,Red Storm Entertainment,"NA, PAL",1,T/15+,Action/3D Shooter
Rakugakids,1998,Konami,Konami,"JP, PAL",2 !1?2,?/3+,Arcade/2D Fighting
Rally Challenge 2000 ?Rally '99JP,1999,Genki,Imagineer SouthPeak Interactive,"JP, NA",4 !1?4,E/?,Racing/Off Road
Rampage 2: Universal Tour,1999,Avalanche Software,Midway,"NA, PAL",3 !1?3,T/3+,Arcade/Action/Side scrolling
Rampage World Tour,1998,Saffire,Midway,"NA, PAL",3 !1?3,T/3+,Arcade/Action/Side scrolling
Rat Attack!,2000,Pure Entertainment,Mindscape,"NA, PAL",4 !1?4,E/3+,Arcade/Action/Puzzle
Rayman 2: The Great Escape,1999,Ubisoft,Ubisoft,"NA, PAL",1,E/3+,Adventure/3D Platformer
Razor Freestyle Scooter,2001,Titanium Studios,Crave Entertainment,NA,4 !1?4,E/?,Sports/Stunts/Scooter
Re-Volt,1999,Acclaim,Acclaim,"NA, PAL",4 !1?4,E/3+,Remote Control Racing
Ready 2 Rumble Boxing,1999,Point of View,Midway,"NA, PAL",4 !1?4,T/11+,Sports/Boxing
Ready 2 Rumble Boxing: Round 2,2000,Point of View,Midway,NA,4 !1?4,T/?,Sports/Boxing
Resident Evil 2 ?Biohazard 2JP,1999,Angel Studios,Capcom,"JP, NA, PAL",1,M/15+,Action/Adventure/3D shooter
Ridge Racer 64,2000,Namco,Nintendo,"NA, PAL",4 !1?4,E/3+,Racing/Automotive
Road Rash 64,1999,Pacific Coast Power & Light,THQ,"NA, PAL",2 !1?2,T/11+,Racing/Battle
Roadsters,1999,Titus Software,Titus Software,"NA, PAL",4 !1?4,E/3+,Automotive Racing
Robot Ponkottsu 64: Nanatsu no Umi no Caramel,1999,Red Company,Hudson Soft,JP,4 !1?4,?,Strategy/Role Playing
Robotron 64,1998,Player 1,Crave Entertainment,"NA, PAL",1,T/11+,Arcade/Action/ 3D Shooter
Rocket: Robot on Wheels,1999,Sucker Punch,Ubisoft,"NA, PAL",1,E/3+,Adventure/3D Platformer
Rugrats in Paris: The Movie,2000,Avalanche Software,THQ,"NA, PAL",4 !1?4,E/3+,Adventure/3D Platformer
Rugrats: Scavenger Hunt ?Rugrats: Treasure HuntPAL,1999,Realtime Associates,THQ,"NA, PAL",4 !1?4,E/3+,Board Game
Rush 2: Extreme Racing USA,1998,Atari Games,Midway,"NA, PAL",2 !1?2,E/3+,Racing/Automotive
S.C.A.R.S.,1999,Vivid Image,Ubisoft,"NA, PAL",4 !1?4,E/3+,Racing/Battle
Saiky? Habu Sh?gi,1996,SETA,SETA,JP,1,?,Board Game/Strategy
San Francisco Rush,1997,Atari Games,Midway,"NA, PAL",2 !1?2,K-A/3+,Racing/Automotive
San Francisco Rush 2049,2000,Atari Games,Midway,"NA, PAL",4 !1?4,E/3+,Automotive Racing
Scooby Doo! Classic Creep Capers,2000,Terra Glyph Interactive Studios,THQ,"NA, PAL",1,E/3+,Adventure
SD Hiryu no Ken Densetsu,1999,Culture Brain,Culture Brain,JP,4 !1?4,?,Arcade/Fighting
Shadow Man,1999,Acclaim,Acclaim,"NA, PAL",1,M/15+,Action/Adventure/3D Shooter
Shadowgate 64: Trials of the Four Towers,1999,Infinite Ventures,Kemco,"JP, NA, PAL",1,E/3+,Role Playing/Puzzle
SimCity 2000,1998,Genki,Imagineer,JP,1,?,Simulation/City/Horse Racing
Sin and Punishment: Hoshi no Keish?sha,2000,Treasure,Nintendo,JP,4 !1?4,?,Action/3D Rail Shooter
Snowboard Kids,1997,Racdym,Atlus,"JP, NA, PAL",4 !1?4,K-A/3+,Sports/Snowboarding
Snowboard Kids 2 ?Ch? Snowboard KidsJP,1999,Racdym,Atlus,"JP, NA, PAL",4 !1?4,E/?,Sports/Snowboarding
South Park,1998,Iguana Entertainment,Acclaim,"NA, PAL",4 !1?4,M/15+,Adventure/3D Shooter
South Park Rally,2000,Tantalus Interactive,Acclaim,"NA, PAL",4 !1?4,M/15+,Racing/Battle
South Park: Chef's Luv Shack,1999,Iguana Entertainment,Acclaim,"NA, PAL",4 !1?4,M/15+,Game Show
Space Invaders,1999,Z-Axis,Activision,NA,1,E/?,Arcade/Action/2D Shooter
Space Station Silicon Valley,1998,DMA Design,Take-Two Interactive,"NA, PAL",1,E/3+,Adventure/Puzzle/3D Platformer
Spider-Man,2000,Edge of Reality,Activision,NA,1,E/?,Adventure/Action/3D Platformer
Star Fox 64 ?Lylat Wars PAL,1997,Nintendo,Nintendo,"JP, NA, PAL",4 !1?4,K-A/3+,Action/Flight/3D Rail Shooter
Star Soldier: Vanishing Earth,1998,Hudson Soft,Hudson Soft,"JP, NA",1,E/?,Action/2D Shooter
Star Wars: Episode I: Battle for Naboo,2000,Factor 5,LucasArts,"NA, PAL",1,T/11+,Action/3D Shooter
Star Wars Episode I: Racer,1999,LucasArts,Nintendo,"JP, NA, PAL",2 !1?2,E/3+,Racing/Hovercraft
Star Wars: Rogue Squadron ?Star Wars: Shutsugeki! Rogue ChutaiJP,1998,Factor 5,LucasArts,"JP, NA, PAL",1,T/11+,Action/3D Shooting
Star Wars: Shadows of the Empire,1996,LucasArts,Nintendo,"JP, NA, PAL",1,T/15+,Action/Adventure/3D Platformer
StarCraft 64,2000,Mass Media,Nintendo,"NA, PAL",1,T/?,Simulation/War/Strategy
Starshot: Space Circus Fever,1999,Infogrames,Infogrames,"NA, PAL",1,E/3+,Action/Adventure/3D Platformer
Stunt Racer 64,2000,Boss Game Studios,Midway,NA,4 !1?4,E/?,Racing/Automobile/Stunt
Super B-Daman: Battle Phoenix 64,1998,Hudson Soft,Hudson Soft,JP,4 !1?4,?,Fighting/Mini Games
Super Bowling,2000,Athena,UFO Interactive,"JP, NA",4 !1?4,E/?,Sports/Bowling
Super Mario 64,1996,Nintendo,Nintendo,"JP, NA, PAL",1,K-A/3+,Action/Adventure/3D Platformer
Super Robot Spirits,1998,Banpresto,Banpresto,JP,1,?,Arcade/Fighting/Robots
Super Robot Wars 64,1999,Banpresto,Banpresto,JP,1,?,Strategy/War/Role Playing
Super Smash Bros. ?Dairant? Smash BrothersJP,1999,HAL Laboratory,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Arcade/2D Fighting
Supercross 2000,1999,MBL Research,Electronic Arts,"NA, PAL",4 !1?4,E/3+,Racing/Motorcycle
Superman,1999,Titus Software,Titus Software,"NA, PAL",4 !1?4,E/3+,Action/Adventure/3D Platformer
Susume! Taisen Puzzle Dama: T?kon! Marutama Ch?,1998,Konami,Konami,JP,4 !1?4,?,Arcade/Action/Puzzle
Tamagotchi 64: Minna de Tamagotchi World,1997,Bandai,Bandai,JP,4 !1?4,?,Board Game/Growing/Training
Taz Express,2000,Zed Two,Infogrames,PAL,1,?/3+,Adventure/Puzzle/3D Platformer
Tetris 64,1998,Amtex,SETA,JP,4 !1?4,?,Arcade/Action/Puzzle
Tetrisphere,1997,H2O Entertainment,Nintendo,"NA, PAL",4 !1?4,K-A/3+,Arcade/Action/Puzzle
Tigger's Honey Hunt,2000,Doki Denki Studio,NewKidCo,"NA, PAL",4 !1?4,E/3+,Adventure/2D Platformer
Tom & Jerry in Fists of Furry,2000,VIS Interactive,NewKidCo,"NA, PAL",4 !1?4,E/3+,Arcade/3D Fighting
Tonic Trouble,1999,Ubisoft,Ubisoft,"NA, PAL",1,E/3+,Action/Adventure/3D Platformer
Tony Hawk's Pro Skater ?Tony Hawk's SkateboardingPAL,2000,Edge of Reality,Activision,"NA, PAL",2 !1?2,E/11+,Sports/Skateboarding
Tony Hawk's Pro Skater 2,2001,Edge of Reality,Activision,"NA, PAL",4 !1?4,E/11+,Sports/Skateboarding
Tony Hawk's Pro Skater 3,2002,Edge of Reality,Activision,NA,2 !1?2,E/?,Sports/Skateboarding
Top Gear Hyper Bike,2000,Snowblind Studios,Kemco,"JP, NA, PAL",4 !1?4,E/3+,Racing/Motorcycle
Top Gear Overdrive,1998,Snowblind Studios,Kemco,"JP, NA, PAL",4 !1?4,E/3+,Racing/Automobile
Top Gear Rally,1997,Boss Game Studios,Midway,"JP, NA, PAL",4 !1?4,K-A/3+,Racing/Automobile/Rally
Top Gear Rally 2,1999,Saffire,Kemco,"JP, NA, PAL",4 !1?4,E/3+,Racing/Automobile/Rally
Toy Story 2: Buzz Lightyear to the Rescue,1999,Traveller's Tales,Activision,"NA, PAL",1,E/3+,Action/Adventure/3D Platformer
Transformers: Beast Wars Transmetals ?Transformers: Beast Wars Metals 64JP,2000,Pacific Coast Power & Light,BAM! Entertainment Takara,"JP, NA",4 !1?4,T/?,Arcade/Action/3D Fighting
Triple Play 2000,1999,Treyarch,Electronic Arts,NA,4 !1?4,E/?,Sports/Baseball
Turok: Dinosaur Hunter ?Turok: Jiku SenshiJP,1997,Iguana Entertainment,Acclaim Entertainment,"JP, NA, PAL",1,M/15+,Action/Adventure/3D Shooter
Turok 2: Seeds of Evil ?Violence Killer: Turok New GenerationJP,1998,Iguana Entertainment,Acclaim Entertainment,"JP, NA, PAL",4 !1?4,M/15+,Action/Adventure/3D Shooter
Turok 3: Shadow of Oblivion,2000,Iguana Entertainment,Acclaim Entertainment,"NA, PAL",4 !1?4,M/15+,Action/Adventure/3D Shooter
Turok: Rage Wars,1999,Iguana Entertainment,Acclaim Entertainment,"NA, PAL",4 !1?4,M/15+,Action/Adventure/3D Shooter
Twisted Edge Extreme Snowboarding ?King Hill 64: Extreme SnowboardingJP,1998,Boss Game Studios,Midway,"JP, NA, PAL",4 !1?4,E/3+,Sports/Snowboarding
Ucchan Nanchan no Hon? no Challenge: Denry? Ira Ira B?,1997,Yuke's,Hudson Soft,JP,4 !1?4,?,Game Show/Skill
V-Rally Edition '99,1999,Eden Games,Infogrames,"JP, NA, PAL",4 !1?4,E/3+,Racing/Automobile
Vigilante 8,1999,Luxoflux,Activision,"NA, PAL",4 !1?4,T/11+,Racing/Destruction Durby
Vigilante 8: 2nd Offense,2000,Luxoflux,Activision,"NA, PAL",4 !1?4,T/11+,Racing/Destruction Durby
Virtual Chess 64,1998,Titus Software,Titus Software,"NA, PAL",2 !1?2,E/3+,Board Game/Strategy
Virtual Pool 64,1998,Celeris,Crave Entertainment,"NA, PAL",2 !1?2,E/3+,Sports/Billiards
Virtual Pro Wrestling 2: ?d? Keish?,2000,AKI,Asmik Ace,JP,4 !1?4,?,Sports/Wrestling
Virtual Pro Wrestling 64,1997,AKI,Asmik Ace,JP,4 !1?4,?,Sports/Wrestling
Waialae Country Club: True Golf Classics,1997,T&E Soft,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Sports/Golf
War Gods,1997,Eurocom,Midway,"NA, PAL",2 !1?2,M/15+,Arcade/Action/3D Fighting
Wave Race 64,1996,Nintendo,Nintendo,"JP, NA, PAL",4 !1?4,K-A/3+,Sports/Jet Ski
Wayne Gretzky's 3D Hockey,1996,Williams Entertainment,Midway,"JP, NA, PAL",4 !1?4,K-A/3+,Sports/Ice Hockey
Wayne Gretzky's 3D Hockey '98,1997,Software Creations,Midway,"NA, PAL",4 !1?4,K-A/3+,Sports/Ice Hockey
WCW Backstage Assault,2000,Kodiak Interactive,Electronic Arts,NA,4 !1?4,T/?,Sports/Wrestling
WCW Mayhem,1999,Kodiak Interactive,Electronic Arts,"NA, PAL",4 !1?4,T/11+,Sports/Wrestling
WCW Nitro,1999,Inland Productions,THQ,NA,4 !1?4,E/?,Sports/Wrestling
WCW vs. nWo: World Tour,1997,AKI,THQ,"NA, PAL",4 !1?4,K-A/11+,Sports/Wrestling
WCW/nWo Revenge,1998,AKI,THQ,"NA, PAL",4 !1?4,E/11+,Sports/Wrestling
Wetrix,1998,Zed Two,Ocean,"JP, NA, PAL",4 !1?4,E/3+,Arcade/Action/Puzzle
Wheel of Fortune,1997,GameTek,GameTek,NA,3 !1?3,K-A/?,Game Show/Knowledge
WinBack ?Operation: WinbackPAL,1999,Omega Force,Koei,"JP, NA, PAL",4 !1?4,T/11+,Action/Adventure/3D Shooter
Wipeout 64,1998,Psygnosis,Midway,"NA, PAL",4 !1?4,E/3+,Racing/Hovercraft
Wonder Project J2: Koruro no Mori no Josette,1996,Givro,Enix,JP,1,?,Strategy/Role Playing/2D Click and Move
World Cup 98,1998,Electronic Arts,Electronic Arts,"NA, PAL",4 !1?4,E/3+,Sports/Soccer
World Driver Championship,1999,Boss Game Studios,Midway,"NA, PAL",4 !1?4,E/3+,Racing/Automobile
World IsThe World Is Not Enough,2000,Eurocom,Electronic Arts,"NA, PAL",4 !1?4,T/11+,Action/Adventure/3D Shooter
Worms Armageddon,2000,Infogrames,Infogrames,"NA, PAL",4 !1?4,E/11+,Strategy/Puzzle
WWF Attitude,1999,Iguana Entertainment,Acclaim,"NA, PAL",4 !1?4,T/15+,Sports/Wrestling
WWF No Mercy,2000,AKI,THQ,"NA, PAL",4 !1?4,T/15+,Sports/Wrestling
WWF War Zone,1998,Iguana Entertainment,Acclaim,"NA, PAL",4 !1?4,T/15+,Sports/Wrestling
WWF WrestleMania 2000,1999,AKI,THQ,"JP, NA, PAL",4 !1?4,T/15+,Sports/Wrestling
Xena: Warrior Princess: The Talisman of Fate,1999,Saffire,Titus Software,"NA, PAL",4 !1?4,T/15+,Arcade/Action/3D Fighting
Yak?ch? II: Satsujin K?ro,1999,Athena,Athena,JP,1,?,Strategy/Role Playing/Mystery
Yoshi's Story,1997,Nintendo,Nintendo,"JP, NA, PAL",1,E/3+,Action/Adventure/2D Platformer
Zool: Maj? Tsukai Densetsu,1999,Pandora Box,Imagineer,JP,1,?,Battle/Strategy/Training
