Title,Publisher,North America,Europe,Japan,Cost,Size
Need for Speed: Most Wanted (NFS Most Wanted),Electronic Arts,"2009-08-11August 11, 2009","2009-08-11August 11, 2009","2009-08-11August 11, 2009",$19.99US,6.67 GB
Need for Speed: ProStreet,Electronic Arts,"2009-08-25August 25, 2009","2009-08-25August 25, 2009","2010-02-02February 2, 2010",$19.99US,5.14 GB
Need for Speed: Shift,Electronic Arts,"2011-01-11January 11, 2011","2011-01-11January 11, 2011",,$19.99US,3.74 GB
Need for Speed: Undercover (NFS Undercover),Electronic Arts,"2010-06-08June 8, 2010",,,$19.99US,5.04 GB
NFL Tour,EA Sports BIG,"2010-07-20July 20, 2010","2010-07-20July 20, 2010",,$19.99US,3 GB
NGQ! Wild Life,Black Bean Games,,"2011-05-03May 3, 2011",,?14.99UK,6.76 GB
NHL 2K9,2K Sports,"2010-10-05October 5, 2010","2010-10-05October 5, 2010",,$19.99US,5 GB
Ninety-Nine Nights II,Konami,"2011-11-08November 8, 2011",,,$29.99US,3.79 GB
Ninja Blade,From Software,,,"2011-05-24May 24, 2011","?2,600JP",3.98 GB
No Fate! Only the Power of Will,Alchemist,,,"2011-02-08February 8, 2011","?3,990JP",1.7 GB
Onechanbara: Bikini Samurai Squad,D3 Publisher,,,"2010-11-08November 8, 2010","?2,600JP",3.71 GB
Open Season,Ubisoft,"2011-03-01March 1, 2011","2011-03-01March 1, 2011",,$19.99US,3.9 GB
Operation Darkness,Atlus (NA) Success (JP),"2010-08-17August 17, 2010",,"2010-03-23March 23, 2010",$19.99US,4.30 GB
Operation Flashpoint: Dragon Rising,Codemasters,"2011-05-10May 10, 2011","2011-05-10May 10, 2011","2011-05-10May 10, 2011",$19.99US,6.28 GB
Otomedius G,Konami,,,"2010-10-05October 5, 2010","?2,600JP",3.33 GB
"Outfit, TheThe Outfit",THQ,"2010-08-17August 17, 2010",,,$19.99US,6 GB
Overlord II,Codemasters,"2011-05-31May 31, 2011","2011-05-31May 31, 2011",,$24.99US,3.21 GB
Perfect Dark Zero,Microsoft Game Studios,"2009-08-11August 11, 2009","2010-03-02March 2, 2010","2009-08-11August 11, 2009",$19.99US,5 GB
PES 2011,Konami,"2011-06-14June 14, 2011","2011-06-14June 14, 2011","2011-06-14June 14, 2011",$29.99US,5.89 GB
Phantasy Star Universe,Sega,"2010-08-03August 3, 2010","2010-08-03August 3, 2010","2010-08-17August 17, 2010",$19.99US,6 GB
Prey,2K Games,"2009-08-11August 11, 2009","2009-08-11August 11, 2009",,$19.99US,4 GB
Prince of Persia,Ubisoft,"2010-05-04May 4, 2010","2010-05-04May 4, 2010",,$19.99US,5.24 GB
Prince of Persia: The Forgotten Sands,Ubisoft,"2010-12-21December 21, 2010","2010-12-21December 21, 2010",,$19.99US,4.59 GB
Prison Break,Deep Silver,"2011-07-26July 26, 2011","2011-07-26July 26, 2011",,$19.99US,2.64 GB
Project Sylpheed,Square Enix,,,"2010-07-13July 13, 2010","?1,900JP",5.03 GB
Prototype,Activision,"2010-12-07December 7, 2010","2010-12-07December 7, 2010",,$29.99US,6.75 GB
Pure,Disney Interactive Studios,"2010-02-23February 23, 2010","2010-02-23February 23, 2010",,$19.99US,4 GB
Pure Futbol,Ubisoft,"2011-08-02August 2, 2011","2011-08-02August 2, 2011","2011-08-02August 2, 2011",$19.99US,2.22 GB
Quantum of Solace,Activision,"2011-10-11October 11, 2011","2011-10-11October 11, 2011",,$29.99US,6.72 GB
Raiden IV,Moss,"2011-04-05April 5, 2011",,"2010-01-13January 13, 2010",$39.99US,377.96 MB
Raiden Fighters Aces,Valcon Games (NA) Success (JP),"2010-05-11May 11, 2010",,"2009-11-17November 17, 2009",$19.99US,484.34 MB
Rapala Fishing Frenzy,Activision,"2011-03-15March 15, 2011",,,$19.99US,2.92 GB
Rapala Tournament Fishing,Activision,"2011-02-15February 15, 2011",,,$19.99US,3.72 GB
Raven Squad,Evolved Games,"2011-04-12April 12, 2011","2011-04-12April 12, 2011",,$19.99US,1.89 GB
Rayman Raving Rabbids,Ubisoft,"2010-11-09November 9, 2010","2010-11-09November 9, 2010",,$19.99US,4.5 GB
Record of Agarest War,Aksys Games (NA) Compile Heart (JP),"2011-08-09August 9, 2011",,"2010-03-30March 30, 2010",$29.99US,6.64 GB
Record of Agarest War Zero,Idea Factory,"2012-01-03January 3, 2012",,"2011-07-05July 5, 2011","?3,600JP",6.38 GB
Red Dead Redemption,Rockstar Games,"2010-12-21December 21, 2010","2010-12-21December 21, 2010",,$39.99US,6.73 GB
Red Faction: Guerrilla,THQ,"2010-06-08June 8, 2010","2010-06-08June 8, 2010",,$19.99US,6 GB
Red Faction: Armageddon,THQ,"2011-12-13December 13, 2011","2011-12-13December 13, 2011",,$39.99US,5.91 GB
Resident Evil Code: Veronica X,Capcom,"2011-09-27September 27, 2011","2011-09-27September 27, 2011",,$19.99US,1.83 GB
Resident Evil 4,Capcom,"2011-09-20September 20, 2011","2011-09-20September 20, 2011",,$19.99US,3.59 GB
Resident Evil 5,Capcom,"2010-02-16February 16, 2010","2010-02-23February 23, 2010","2010-11-02November 2, 2010",$29.99US,6.75 GB
Resonance of Fate,Sega,"2011-12-27December 27, 2011","2011-12-27December 27, 2011",,$24.99US,6.69 GB
Ridge Racer 6,Namco,"2009-08-11August 11, 2009",,"2009-10-21October 21, 2009",$19.99US,6 GB
Rio,THQ,"2011-10-25October 25, 2011","2011-10-25October 25, 2011",,$59.99US,1.84 GB
Risen,Deep Silver,"2011-07-05July 5, 2011","2011-07-05July 5, 2011",,$19.99US,2.52 GB
Rock Band 3,Mad Catz,"2011-12-20December 20, 2011","2011-12-20December 20, 2011",,$19.99US,5.51 GB
Rockstar Games presents Table Tennis,Rockstar Games,"2009-08-11August 11, 2009","2010-05-03May 3, 2010","2009-08-18August 18, 2009",$19.99US,3 GB
R.U.S.E.,Ubisoft,"2011-07-19July 19, 2011","2011-07-19July 19, 2011","2011-07-19July 19, 2011",$29.99US,4.05 GB
Sacred 2: Fallen Angel,Deep Silver,"2010-09-14September 14, 2010","2011-07-05July 5, 2011",,$29.99US,6.34 GB
Saints Row,THQ,,"2009-08-18August 18, 2009",,,7 GB
Saints Row 2,THQ,"2009-11-24November 24, 2009","2009-11-24November 24, 2009",,$19.99US,6.76 GB
Samurai Shodown: Sen,SNK Playmore,"2011-09-20September 20, 2011","2012-01-10January 10, 2012","2011-09-20September 20, 2011",$19.99US,5.54 GB
Saw,Konami,"2011-09-06September 6, 2011",,,$19.99US,1.93 GB
Saw II: Flesh & Blood,Konami,"2011-10-25October 25, 2011",,,$39.99US,2.14 GB
SBK X,Leader S.P.A.,,"2011-11-15November 15, 2011",,?17.99UK,1.63 GB
Section 8,SouthPeak Interactive,"2012-01-31January 31, 2012","2012-01-31January 31, 2012",,$29.99US,2.22 GB
Sega Rally Revo,Sega,"2010-06-22June 22, 2010","2009-08-11August 11, 2009",,$19.99US,4 GB
Sega Superstars Tennis,Sega,"2010-03-23March 23, 2010",,,$19.99US,3 GB
Senko no Ronde: DUO,G.rev,,,"2011-04-26April 26, 2011","?2,940JP",2.3 GB
Shadowrun,Microsoft Game Studios,"2010-09-10September 10, 2010","2010-09-10September 10, 2010","2010-09-07September 7, 2010",$29.99US,3.10 GB
Shaun White Skateboarding,Ubisoft,"2011-07-26July 26, 2011","2011-07-26July 26, 2011",,$19.99US,6.22 GB
Shaun White Snowboarding,Ubisoft,"2009-09-22September 22, 2009","2009-09-22September 22, 2009","2009-09-22September 22, 2009",$19.99US,4.35 GB
Sherlock Holmes,Focus Home Interactive,"2011-09-06September 6, 2011",,,$19.99US,5.39 GB
Shift 2: Unleashed,Electronic Arts,"2011-10-04October 4, 2011","2011-10-04October 4, 2011",,$29.99US,5.59 GB
"Shooting Love, 200X",Triangle Service,,,"2010-02-09February 9, 2010","?2,940JP",2.96 GB
Shrek the Third,Activision,"2010-04-27April 27, 2010","2010-04-27April 27, 2010",,$29.99US,6.01 GB
Silent Hill Homecoming,Konami,"2011-12-06December 6, 2011",,,$19.99US,4.77 GB
skate.,Electronic Arts,"2010-01-19January 19, 2010","2010-01-19January 19, 2010",,$19.99US,5.00 GB
Skate 2,Electronic Arts,"2010-05-04May 4, 2010","2010-05-04May 4, 2010","2010-11-23November 23, 2010",$19.99US,6.64 GB
Ski-Doo: Snowmobile Challenge,Valcon Games,"2010-07-06July 6, 2010",,,$19.99US,3 GB
Sniper: Ghost Warrior,City Interactive,"2011-08-30August 30, 2011","2011-08-30August 30, 2011",,$29.99US,2.86 GB
Sonic & Sega All-Stars Racing,Sega,"2011-04-12April 12, 2011","2011-04-12April 12, 2011",,$19.99US,3.82 GB
Sonic Free Riders,Sega,"2011-05-24May 24, 2011","2011-05-24May 24, 2011",,$24.99US,1.71 GB
Sonic Unleashed,Sega,"2009-10-20October 20, 2009","2010-04-06April 6, 2010","2010-02-23February 23, 2010",$19.99US,5.74 GB
Soulcalibur IV,Namco Bandai Games,"2010-06-01June 1, 2010","2010-06-01June 1, 2010","2010-06-01June 1, 2010",$19.99US,4.28 GB
Split/Second,Disney Interactive Studios,"2011-03-29March 29, 2011","2011-11-29November 29, 2011",,$29.99US,6.61 GB
Star Wars: The Force Unleashed,LucasArts,"2010-05-18May 18, 2010","2010-05-18May 18, 2010",,$29.99US,6.36 GB
Star Wars: The Force Unleashed II,LucasArts,"2011-09-20September 20, 2011",,,$19.99US,5.62 GB
Street Fighter IV,Capcom,"2010-02-09February 9, 2010","2010-02-09February 9, 2010",,$19.99US,4.61 GB
Stuntman: Ignition,THQ,"2010-07-20July 20, 2010","2010-07-20July 20, 2010",,$19.99US,6 GB
Super Street Fighter IV,Capcom,"2012-01-03January 3, 2012","2012-01-03January 3, 2012",,$29.99US,6.54 GB
Supreme Commander,THQ,"2010-03-02March 2, 2010",,,$19.99US,3.61 GB
Supreme Commander 2,Square Enix,"2011-03-22March 22, 2011","2011-03-22March 22, 2011",,$29.99US,2.02 GB
Surf's Up,Ubisoft,"2011-03-08March 8, 2011","2011-03-08March 8, 2011",,$19.99US,4.89 GB
Tales of Vesperia,Namco Bandai Games,"2011-04-05April 5, 2011","2011-04-05April 5, 2011",,$29.99US,5.40 GB
Tekken 6,Namco Bandai Games,"2011-04-26April 26, 2011","2011-04-26April 26, 2011",,$19.99US,6.63 GB
Tenchu Z,From Software,,,"2009-09-22September 22, 2009","?2,600JP",3.19 GB
Tengai Makyou Ziria: Haruka naru Jipang,Hudson Soft,,,"2009-10-27October 27, 2009","?3,990JP",5.93 GB
Terminator Salvation,Evolved Games,"2010-12-14December 14, 2010","2010-12-14December 14, 2010",,$19.99US,6.2 GB
Test Drive Unlimited,Atari,"2009-12-15December 15, 2009","2009-12-15December 15, 2009","2009-12-15December 15, 2009",$19.99US,3 GB
Test Drive Unlimited 2,Atari,"2011-10-11October 11, 2011","2011-10-11October 11, 2011",,$19.99US,6.55 GB
TimeShift,Sierra Entertainment,"2010-11-23November 23, 2010","2010-11-23November 23, 2010",,$29.99US,4.4 GB
Time Leap,Prototype,,,"2011-01-25January 25, 2011","?3,990JP",2.56 GB
Tom Clancy's EndWar,Ubisoft,"2010-05-11May 11, 2010","2010-05-11May 11, 2010",,$19.99US,4.85 GB
Tom Clancy's Ghost Recon Advanced Warfighter (GRAW),Ubisoft,"2009-09-01September 1, 2009","2009-09-01September 1, 2009","2009-09-01September 1, 2009",$19.99US,4.78 GB
Tom Clancy's Ghost Recon Advanced Warfighter 2 (GRAW 2),Ubisoft,"2010-01-12January 12, 2010","2010-01-12January 12, 2010",,$19.99US,6.77 GB
Tom Clancy's H.A.W.X,Ubisoft,"2010-08-10August 10, 2010","2010-08-10August 10, 2010",,$29.99US,5.93 GB
Tom Clancy's H.A.W.X 2,Ubisoft,"2011-03-29March 29, 2011","2011-03-29March 29, 2011",,$19.99US,5.99 GB
Tom Clancy's Rainbow Six: Vegas,Ubisoft,"2009-08-11August 11, 2009","2009-08-11August 11, 2009","2009-08-11August 11, 2009",$19.99US,6.60 GB
Tom Clancy's Rainbow Six: Vegas 2,Ubisoft,"2009-10-08October 8, 2009","2009-10-06October 6, 2009","2009-10-06October 6, 2009",$19.99US,6.43 GB
Tom Clancy's Splinter Cell: Conviction,Ubisoft,"2010-10-26October 26, 2010","2010-11-09November 9, 2010",,$19.99US,5.92 GB
Tom Clancy's Splinter Cell: Double Agent,Ubisoft,,"2009-09-01September 1, 2009",,?14.99UK,6.7 GB
Tomb Raider: Anniversary,Eidos Interactive,"2010-09-21September 21, 2010","2010-09-21September 21, 2010",,$19.99US,3.01 GB
Tomb Raider: Legend,Eidos Interactive,"2010-04-13April 13, 2010","2010-08-11August 11, 2010",,$29.99US,6.55 GB
Tomb Raider: Underworld,Eidos Interactive,"2010-06-29June 29, 2010","2010-06-29June 29, 2010",,$19.99US,6.62 GB
Tomoyo After: It's a Wonderful Life,Prototype,,,"2011-10-11October 11, 2011","?3,600JP",2.32 GB
Too Human,Microsoft Game Studios,"2010-08-03August 3, 2010","2010-08-03August 3, 2010","2010-05-18May 18, 2010",$19.99US,6 GB
Top Spin 3,2K Sports,"2010-05-18May 18, 2010","2010-05-18May 18, 2010",,$19.99US,4 GB
Top Spin 4,2K Sports,"2011-10-18October 18, 2011","2011-10-18October 18, 2011",,$39.99US,5.38 GB
Tornado Outbreak,Konami,"2011-12-06December 6, 2011",,,$19.99US,4.06 GB
Tour de France,Focus Home Interactive,,"2012-01-10January 10, 2012",,?19.99UK,4.1 GB
Toy Story 3: The Video Game,Disney Interactive Studios,"2011-04-12April 12, 2011","2011-12-13December 13, 2011",,$29.99US,4.83 GB
Transformers: Dark of the Moon,Activision,"2011-12-27December 27, 2011","2011-12-27December 27, 2011",,$59.99US,5.82 GB
Transformers: Revenge of the Fallen,Activision,"2011-01-18January 18, 2011","2011-01-18January 18, 2011",,$29.99US,6.55 GB
Transformers: The Game,Activision,"2011-01-18January 18, 2011","2011-01-18January 18, 2011",,$29.99US,4.55 GB
Transformers: War for Cybertron,Activision,"2010-12-28December 28, 2010","2010-12-28December 28, 2010",,$39.99US,6.57 GB
Trivial Pursuit,Electronic Arts,"2009-12-08December 8, 2009",,,$19.99US,1.5 GB
Tron: Evolution,Disney Interactive Studios,"2011-06-21June 21, 2011","2011-06-21June 21, 2011",,$39.99US,5.86 GB
Tropico 3,Kalypso Media,"2011-06-21June 21, 2011","2011-06-21June 21, 2011","2011-11-08November 8, 2011",$19.99US,2.3 GB
Two Worlds,SouthPeak Interactive,"2011-07-05July 5, 2011",,,$19.99US,2.86 GB
UFC Personal Trainer,THQ,"2011-12-20December 20, 2011","2011-12-20December 20, 2011",,$59.99US,6.12 GB
UFC 2009 Undisputed,THQ,"2010-03-30March 30, 2010","2010-03-30March 30, 2010",,$29.99US,6.64 GB
UFC Undisputed 2010,THQ,,"2010-11-30November 30, 2010",,,6.1 GB
Vanquish,Sega,"2011-05-10May 10, 2011","2011-05-10May 10, 2011",,$19.99US,6.54 GB
Velvet Assassin,SouthPeak Games,"2011-05-10May 10, 2011",,,$19.99US,4.67 GB
Venetica,Evolved Games,"2012-01-10January 10, 2012","2012-01-10January 10, 2012",,$19.99US,4.71 GB
Virtua Fighter 5,Sega,"2010-10-26October 26, 2010","2010-10-26October 26, 2010","2009-09-15September 15, 2009",$19.99US,3.4 GB
Virtua Tennis 2009,Sega,"2010-10-08October 8, 2010","2010-10-08October 8, 2010",,$19.99US,4 GB
Viva Pi?ata,Microsoft Game Studios,"2009-08-06August 6, 2009","2010-03-02March 2, 2010","2009-08-06August 6, 2009",$19.99US,4.89 GB
Viva Pi?ata: Party Animals,Microsoft Game Studios,"2009-12-15December 15, 2009","2010-03-02March 2, 2010","2010-02-16February 16, 2010",$19.99US,4.27 GB
Viva Pi?ata: Trouble in Paradise,Microsoft Game Studios,"2009-08-11August 11, 2009","2009-08-11August 11, 2009","2010-07-27July 27, 2010",$19.99US,4.94 GB
Warriors Orochi,Koei,,,"2011-10-25October 25, 2011","?2,940JP",4.48 GB
Warriors Orochi 2,Koei,,,"2011-11-29November 29, 2011","?3,600JP",5.67 GB
WarTech: Senko no Ronde,G.rev,,,"2009-09-08September 8, 2009","?2,600JP",1.14 GB
Way of the Samurai 3,Spike,"2011-09-06September 6, 2011","2011-09-06September 6, 2011","2010-05-04May 4, 2010",$19.99US,2.79 GB
Wheelman,Midway Games Ubisoft,"2011-08-30August 30, 2011","2011-08-30August 30, 2011",,$19.99US,6.42 GB
Where the Wild Things Are,Warner Bros I.E,"2010-12-14December 14, 2010","2010-12-14December 14, 2010",,$19.99US,6.73 GB
Winter Sports 2011,dtp entertainment,,"2011-11-22November 22, 2011",,?14.99UK,2.27 GB
Wipeout: In the Zone,Activision,"2011-12-27December 27, 2011",,,$49.99US,848.37 MB
World of Outlaws: Sprint Cars,THQ,"2011-08-09August 9, 2011","2011-08-09August 9, 2011",,$19.99US,2.05 GB
WRC 2010,Black Bean Games,,"2011-09-06September 6, 2011",,?14.99UK,2.54 GB
WWE All Stars,THQ,"2011-10-11October 11, 2011","2011-10-11October 11, 2011",,$49.99US,5.91 GB
WWE Legends of WrestleMania,THQ,"2011-05-17May 17, 2011","2011-05-17May 17, 2011",,$39.99US,6.5 GB
WWE SmackDown vs. Raw 2009,THQ,"2010-07-27July 27, 2010",,,$29.99US,6.53 GB
WWE SmackDown vs. Raw 2011,THQ,,"2011-08-23August 23, 2011",,,5.3 GB
You Don't Know Jack,THQ,"2011-08-09August 9, 2011",,,$29.99US,2.02 GB
Your Shape: Fitness Evolved,Ubisoft,"2011-05-24May 24, 2011","2011-05-24May 24, 2011",,$39.99US,2.72 GB
