Northern brown-throated weaver,P. castanops,"Kaaku Swamp, LM, Fort Portal"
Compact weaver,P. superciliosus,QE
Holub's golden weaver,P. xanthops,"LM, en route to RZ, Kisoro, QE, en route to MU"
Weyn's weaver,P. weynsi,MB (small flock near jetty)
Strange weaver,P. alienus,RZ
Brown-capped weaver,P. insignis,"BH, RZ"
Yellow-mantled weaver,P. tricolor,MP
Black-billed weaver,P. melanogaster,BH
Viellot's black weaver,P. nigerrimus,widespread
Red-billed quelea,Quelea quelea,"QE, MU"
Cardinal quelea,Q. cardinalis,MU
Red-headed quelea,Q. erythrops,"B, MU area"
Red-headed weaver,Anaplectes rubriceps,single female at LM
Red-headed malimbe,Malimbus rubricollis,"MP, BH, MF"
Crested malimbe,M. malimbicus,SM
Blue-billed malimbe,M. nitens,SM - two birds on the Hot Springs trail
Red-collared widowbird,Euplectes ardens,"QE, en route to B"
Fan-tailed widowbird,E. axillaris,"MB, Kaaku Swamp, Kisoro"
Black bishop,E. geirowii,"QE, en route to B"
Yellow bishop,E. capensis,"en route to RZ, MG"
Yellow-mantled widowbird,E. macrourus,"en route to B, MU"
Red bishop,E. orix,QE
Northern red bishop,E. franscicanus,MU area
Black-winged red bishop,E. hordaceus,MU area
Grey-headed negro-finch,Nigrita canicapilla,widespread
White-breasted negrofinch,N. fusconotata,widespread
Green-winged pytilia,Pytilia melba,"QE, MU area"
Red-winged pytilia,P. phoenicoptera,MU area (2 birds in total)
Grey-headed oliveback,Nesocharis capistrata,B (3)
Brown twinspot,Clytospiza monteiri,B
Dusky crimsonwing,Cryptospiza jacksoni,RZ
Red-headed bluebill,Spermophaga ruficapilla,MF
Black-bellied seedcracker,Pyrenestes ostrinus,"SM, B"
Red-cheeked cordonbleu,Uraeginthus bengalus,"MB, LM, B"
Red-billed firefinch,Lagonosticta senegala,widespread
African firefinch,L. rubricata,"QE, B, MU area"
Bar-breasted firefinch,L. rufopicta,MU - pair at regular spot down by Paraa ferry crossing (south side)
Yellow-bellied waxbill,Estrilda quartinia,RZ
Common waxbill,E. astrilid,QE
Black-rumped waxbill,E. troglodytes,MU area
Fawn-breasted waxbill,E. paludicola,"B, QE"
Black-crowned waxbill,E. nonnula,"BH, en route to RZ"
Black-headed waxbill,E. atricapilla,"RZ, MG"
Black-faced waxbill,E. erthronotos,en route to MU
Bronze mannikin,Lonchura cucullata,widespread
Black-and-white mannikin,L. bicolor,"en route to RZ, SM, B"
Magpie mannikin,L. fringilloides,BH
Pin-tailed whydah,Vidua macroura,widespread
Village indigobird,V. chalybeata,"QE, B, en route to MU"
Brimstone canary,Serinus sulphuratus,"LB, QE, MF"
Yellow-fronted canary,S. mozambicus,BH (under-recorded)
Yellow-crowned canary,S. canicollis,BH
Thick-billed seedeater,S. burtoni,"BH, RZ"
African citril,S. citrinelloides,"BH, B, LB, MF"
White-rumped seedeater,S. leucopygius,MU
Streaky seedeater,S. striolatus,RZ
Oriole finch,Linurgus olivaceus,BH (single)
Cinnamon-breasted rock bunting,Emberiza tahapisi,single en route to MU (escarpment near Butiaba)
African golden-breasted bunting,E. flaviventris,"BH (nest found), QE"
Brown-rumped bunting,E. affinis,MU - pair north of the Nile
Cabanis's bunting,E. cabanisi,B - single in cultivated area before Royal Mile.
