Scientific Name,Common Names (abridged),Family,Habit
Kunzea ericoides,"English: tree manuka, tree manuba, kanuka (New Zealand), burgan, white teatree",Myrtaceae,tree
Kyllinga melanosperma,,Cyperaceae,sedge
Kyllinga polyphylla,"English: Navua sedge; Other: tuise tele, tuise fiti (Samoa)",Cyperaceae,sedge
Lantana montevidensis,"English: creeping lantana, purple lantana, small lantana, trailing lantana weeping lantana",Verbenaceae,herb
Leersia hexandra,English: cutgrass,Poaceae,grass
Leonotis nepetifolia,"English: lion?s tail, lion?s ear, Christmas candlestick",Lamiaceae,herb
Lepidium ruderale,English: peppergrass,Brassicaceae,herb
Lepidium sativum,English: garden cress,Brassicaceae,herb
Leptospermum polygalifolium,,Myrtaceae,shrub
Leptospermum scoparium,English: New Zealand tea; manuka (New Zealand),Myrtaceae,tree
Leucas lavandulifolia,,Lamiaceae,herb
Licuala grandis,English: ruffled fan palm,Arecaceae,tree (palm)
Ligustrum spp.,English: privet,Oleaceae,shrubs/ trees
Limonia acidissima,"English: elephant-apple, Indian wood-apple, wood-apple",Rutaceae,tree
Lindernia antipoda,,Scrophulariaceae,herb
Lindernia crustacea,"Other: moomai pere, haehaa, mataura (French Polynesia)",Scrophulariaceae,herb
Lindernia nummulariifolia,,Scrophulariaceae,herb
Litsea glutinosa,English: Indian laurel,Lauraceae,tree
Lobelia zeylanica,English: white root,Campanulaceae,herb
Lolium multiflorum,English: Italian ryegrass,Poaceae,grass
Lophostemon confertus,"English: brush box, Brisbane box, vinegar tree",Myrtaceae,tree
Ludwigia hyssopifolia,,Onagraceae,herb
Ludwigia longifolia,English: longleaf primrose-willow,Onagraceae,herb
Ludwigia octovalvis,"English: willow primrose, false primrose, yellow willow herb; Other: ti?mu (Cook Islands); p?t?rea (Cook Islands (Ngaputoru and Mangaia), French Polynesia (leeward Society Islands); k?mole, alohalua, k?mole lau li?i, k?mole lau nui (Hawai?i); laavai, mautofu vao, fua samasama (Samoa)",Onagraceae,herb
Ludwigia peruviana,"English: ludwigia, Peruvian primrose, water primrose",Onagraceae,herb
Lycopersicon pimpinellifolium,English: currant tomato,Solanaceae,herb
Lygodium palmatum,"English: Hartford fern, American climbing fern, creeping fern, Windsor fern",Schizaeaceae,fern
Maesopsis eminii,"English: umbrella tree, musizi",Rhamnaceae,tree
Malachra alceifolia,English: malachra,Malvaceae,herb
Malva parviflora,"English: cheeseweed, Egyptian mallow, little mallow, small-flower mallow",Malvaceae,herb
Malvastrum americanum,English: Indian Valley false mallow,Malvaceae,herb
Marrubium vulgare,"English: common horehound, horehound, white horehound",Lamiaceae,herb
Martynia annua,"English: devil's claw, iceplant, small-fruit devil's claw, tiger's-claw",Martyniaceae,herb
Medicago lupulina,"English: black medic, hop-clover, nonesuch, yellow trefoil",Fabaceae,herb
Medicago polymorpha,"English: burr medic, California bur-clover, hairy medic, toothed bur-clover, toothed medic",Fabaceae,herb
Medinilla cummingii,English: medinilla,Melastomataceae,shrub
Medinilla magnifica,"English: chandelier tree, showy melastome, showy medinilla, Malaysian orchid",Melastomataceae,shrub
Medinilla venosa,English: holdtight,Melastomataceae,shrub
Melaleuca quinquenervia,"English: melaleuca, cajeput, paper bark tree, punk tree",Myrtaceae,tree
Melastoma candidum,"English: Asian melastome, Indian rhododendron, Malabar melastome",Melastomataceae,tree
Melastoma sanguineum,"English: fox-tongued melastoma, red melastome",Melastomataceae,shrub/tree
Melicoccus bijugatus,English: Spanish lime,Sapindaceae,tree
Melinis repens,"English: Natal redtop, Natal grass, red Natal grass, Holme's grass, blanketgrass; Other: salapona (Tonga)",Poaceae,grass
Melochia corchorifolia,,Sterculiaceae,herb
Melochia umbellata,,Sterculiaceae,shrub
Memecylon floribundum,,Melastomataceae,shrub
Merremia bracteata,Other: ambui (Solomon Islands),Convolvulaceae,vine
Merremia hirta,,Convolvulaceae,vine
Merremia pacifica,,Convolvulaceae,vine
Merremia umbellata,English: yellow wood rose,Convolvulaceae,vine
Miconia calvescens,"English: miconia, velvetleaf, purple plague, bush currant",Melastomataceae,tree
Microlaena stipoides,"English: meadow ricegrass, weeping grass",Poaceae,grass
Mikania scandens,"English: climbing hempweed, climbing hempvine",Asteraceae,vine
Mimosa pigra,"English: catclaw mimosa, thorny sensitiveplant, giant mimosa, giant sensitive plant, black mimosa, zaraz, dormilona, bashful plant, amourette violet",Fabaceae,shrub
Mitracarpus hirtus,English: tropical girdlepod,Rubiaceae,herb
Montanoa hibiscifolia,"English: montanoa, tree daisy, Anzac flower",Asteraceae,shrub
Morella cerifera,"English: bayberry, candleberry, southern bayberry, southern wax-myrtle, wax-myrtle, waxberry",Myricaceae,tree
Morella faya,"English: fayatree, firetree, firebush",Myricaceae,tree
Mucuna pruriens,"English: cow itch, velvet bean, Bengal bean, Mauritius bean",Fabaceae,vine
Muntingia calabura,"English: jam tree, strawberry tree, Jamaican cherry, Singapore cherry, Panama cherry, Panama berry, ornamental cherry, calabura, sirsen; Other: venevene (Cook Islands (Penrhyn)); capulin (French Polynesia)",Tiliaceae,tree
Neyraudia reynaudiana,"English: Burma reed, cane grass, silk reed",Poaceae,grass
Noronhia emarginata,English: Madagascar olive,Oleaceae,tree
Ochna kirkii,"English: Micky Mouse plant, bird?s-eye bush",Ochnaceae,shrub
Ochna serrulata,"English: ochna, Mickey-Mouse plant, bird?s-eye bush",Ochnaceae,shrub
Ochroma pyramidale,"English: balsa, corkwood, down tree",Bombacaceae,tree
Ocimum gratissimum,"English: wild basil, clove basil, tree basil; Other: miri t?t?, miri t?tae puaka, miri nganga?ere, miri t?p?paku (Cook Islands); miri papa??, miri taratoni (Cook Islands, French Polynesia); la?au sauga (Samoa)",Lamiaceae,herb
Oldenlandia pumila,,Rubiaceae,herb
Olea europaea,"English: olive; Other: ?oliwa, ?oliwa haole (Hawai'i)",Oleaceae,tree
Olyra latifolia,,Poaceae,grass
Oplismenus burmannii,,Poaceae,grass
Opuntia dillenii,"English: dildo, Eltham indian fig, sweet prickly-pear",Cactaceae,cactus
Opuntia ficus-indica,"English: Barbary-fig, Indian-fig, mission cactus, prickly-pear; Other: p?nini, p?pipi (Hawai?i)",Cactaceae,cactus
Opuntia monacantha,"English: drooping tree pear, prickly pear; Other: lauaufai va (Samoa)",Cactaceae,cactus
Opuntia stricta,"English: erect prickly-pear, southern spineless cactus",Cactaceae,cactus
Ossaea marginata,,Melastomataceae,shrub
Oxalis barrelieri,"Other: a'aa'a'ii, vine (Samoa)",Oxalidaceae,herb
Oxalis debilis,"English: pink wood-sorrel, lilac oxalis; Other: ?ihi pehu (Hawai?i), ?ii (Samoa)",Oxalidaceae,herb
Oxyspora paniculata,"English: oxyspora, bristletips",Melastomataceae,shrub
Paederia foetida,"English: stink vine, skunk vine; Other: maile pilau, maile ka kahiki (Hawai'i).",Rubiaceae,vine
Panicum decompositum,"English: Australian millet, umbrella grass",Poaceae,grass
Panicum polygonatum,,Poaceae,grass
Panicum repens,"English: torpedo grass, couch panicum, creeping panic; Other: wainaku grass (Hawai'i)",Poaceae,grass
Paraserianthes lophantha,"English: brush wattle, plume albizia, plume acacia, stink bean",Fabaceae,shrub/tree
Parkinsonia aculeata,"English: parkinsonia, Jerusalem thorn, horse-bean, retama",Fabaceae,tree
Parthenium hysterophorus,"English: bitterweed, carrot grass, false ragweed, feverfew, parthenium weed, whitetop, Santa Maria",Asteraceae,herb
Paspalum fimbriatum,"English: fimbriate paspalum, winged paspalum, Panama paspalum, Panama crowngrass, Columbia grass",Poaceae,grass
Paspalum notatum,English: Bahia grass,Poaceae,grass
Paspalum setaceum,,Poaceae,grass
Paspalum urvillei,English: Vasey grass; Other: tinikar?ti (Cook Islands (Mangaia)),Poaceae,grass
Passiflora alata,"English: wild passion fruit, wingstem passionflower",Passifloraceae,vine
Passiflora caerulea,English: blue passion flower,Passifloraceae,vine
Passiflora coccinea,"English: scarlet passion flower, red passion flower, red granadilla",Passifloraceae,vine
Passiflora incarnata,"English: purple passion-flower, red-flowered poka, apricot-vine, maypop, maypop passionflower",Passifloraceae,vine
Passiflora ligularis,"English: sweet granadilla, yellow passionfruit; Other: lemi wai, lani wai, lemona (Hawai?i)",Passifloraceae,vine
Passiflora pulchella,"English: two-lobed passion flower, wingleaf passionfruit",Passifloraceae,vine
Passiflora rubra,"English: red passionfruit, Dutchman's laudanum; Other: p?kutekute (Cook Islands (?Atiu))",Passifloraceae,vine
Passiflora suberosa,"English: wild passionfruit, devil's pumpkin, indigo berry, corky passionflower, corkstem passionflower; Other: huehue haole (Hawai'i)",Passifloraceae,vine
Passiflora subpeltata,English: white passionflower,Passifloraceae,vine
Passiflora tarminiana,"English: banana poka, banana passionfruit, bananadilla",Passifloraceae,vine
Paulownia tomentosa,"English: paulownia, princess-tree, Chinese empress tree, karri-tree",Scrophulariaceae,tree
Pennisetum clandestinum,"English: kikuyu grass, kikuyo",Poaceae,grass
Pennisetum glaucum,"English: bajra, bulrush millet, burr bristle grass, cat?s tail grass, cattail millet, mongoose tail grass (Fiji), pearl millet, yellow bristle grass, yellow foxtail",Poaceae,grass
Pennisetum macrourum,"English: African feathergrass, bedding grass",Poaceae,grass
Pennisetum polystachion,"English: mission grass, feathery pennisetum",Poaceae,grass
Pennisetum setaceum,English: fountain grass,Poaceae,grass
Pereskia aculeata,"English: Barbados gooseberry, leafy cactus, lemon vine, pereskia creeper",Cactaceae,shrub
Persicaria capitata,,Polygalaceae,herb
Persicaria glabra,Other: k?mole (Hawai?i),Polygonaceae,herb
Phaseolus lunatus,"English: lima bean, butter bean, Burma bean, haricot bean, Madagascar bean, sieva bean, sugar bean; Other: piini ?ae puaka (Tonga)",Fabaceae,herb
Philadelphus karwinskyanus,"English: philadelphus, evergreen mock orange, syringa",Saxifragaceae,shrub
Phormium tenax,"English: New Zealand flax, New Zealand hemp, bush flax",Agavaceae,herb
Phyla nodiflora,"English: fogfruit, lippia, phyla",Verbenaceae,herb
Phyllanthus debilis,,Euphorbiaceae,herb
Phyllanthus tenellus,"English: long-stalk phyllanthus, Mascarene Island leaf-flower",Euphorbiaceae,herb
Phyllanthus urinaria,,Euphorbiaceae,herb
Phyllostachys bissetii,,Poaceae,shrub
Phyllostachys nigra,English: black bamboo,Poaceae,shrub
Phytolacca octandra,"Engish: pokeweed, Southern pokeberry, ink weed (Australia)",Phytolaccaceae,shrub
Pimenta dioica,"English: pimento, allspice; Other: sipaisi (Tonga)",Myrtaceae,tree
Pimenta racemosa,"English: bay rum tree, bay oil tree, malagueta; Other: sinamoni (Tonga)",Myrtaceae,tree
Pinus elliottii,English: slash pine,Pinaceae,tree
Piper aduncum,English: spiked pepper,Piperaceae,shrub/tree
Piper auritum,"English: eared pepper, anise piper, Veracruz pepper; Other: ?ava Tonga (Samoa), kava Hawai?i (Tonga)",Piperaceae,shrub
Piriqueta racemosa,,Turneraceae,herb
Pithecellobium dulce,"English: Madras thorn, Manila tamarind, sweet inga; Other: 'opiuma (Hawai'i)",Fabaceae,tree
Pittosporum pentandrum,"English: pittosporum, Taiwanese cheesewood, mamalis",Pittosporaceae,shrub/tree
Pittosporum tobira,"English: tobira, Japanese pittosporum, Japanese cheesewood, mock orange, Australian laurel",Pittosporaceae,shrub/tree
Pittosporum undulatum,"English: Victorian box, Victorian laurel, Australian cheesewood, mock orange, sweet pittosporum, orange pittosporum",Pittosporaceae,tree
Pittosporum viridiflorum,English: cape pittosporum,Pittosporaceae,tree
Plantago debilis,,Plantaginaceae,herb
Platycerium bifurcatum,"English: elkhorn fern, staghorn fern",Selaginellaceae,fern
Pluchea carolinensis,English: sour bush,Asteraceae,shrub
Pluchea indica,"English: Indian fleabane, Indian pluchea, Indian camphorweed",Asteraceae,shrub
Polygonum dichotomum,,Polygonaceae,herb
Polygonum minus,English: smartweed,Polygonaceae,herb
Praxelis clematidea,English: praxelis,Asteraceae,herb
Prosopis spp.,"English: mesquite, algaroba",Fabaceae,tree
Psidium cattleianum,"English: strawberry guava, cherry guava, Cattley guava, Chinese guava; Other: t?ava papa?? (Cook Islands); tuava tinito, tuvava tinito (French Polynesia); waiawi ?ula?ula (Hawai'i); ku?ava (Samoa)",Myrtaceae,tree
Psidium guineense,"English: Brazilian guava, Guinea guava",Myrtaceae,shrub/tree
Ptychosperma macarthurii,"English: cluster palm, hurricane palm, Macarthur feather palm, Macarthur palm",Arecaceae,tree (palm)
Pyrostegia venusta,"English: flame vine, flame flower, golden shower, orange trumpet vine",Bignoniaceae,vine
Rhodomyrtus tomentosa,"English: rose myrtle, downy myrtle, Isenberg bush",Myrtaceae,shrub
Rhynchospora caduca,,Cyperaceae,herb
Rivina humilis,"English: baby pepper, bloodberry, coral berry, rouge plant; Other: polo (Tonga)",Phytolaccaceae,herb
Rosa laevigata,English: Cherokee rose,Rosaceae,shrub
Rottboellia cochinchinensis,"English: guinea-fowl grass, itchgrass, Kelly grass, kokoma grass, Raoul grass",Poaceae,grass
Rubus adenotrichos,,Rosaceae,shrub
Rubus alceifolius,English: giant bramble,Rosaceae,shrub
Rubus argutus,English: prickly Florida blackberry; Other: ?helo ?ele ?ele (Hawai?i),Rosaceae,shrub
Rubus glaucus,"English: Andean blackberry, Andean black raspberry",Rosaceae,shrub
Rubus megalococcus,,Rosaceae,shrub
Rubus moluccanus,"English: Molucca raspberry, broad leafed bramble, Molucca bramble, eelkek",Rosaceae,shrub
Rubus niveus,"English: Ceylon raspberry, hill raspberry, Mysore raspberry",Rosaceae,shrub
Rubus rosifolius,"English: roseleaf raspberry, thimbleberry, Mauritius raspberry; Other: ?la?a, ?kala, ?kalakala (Hawai?i)",Rosaceae,shrub
Rubus sieboldii,English: Molucca raspberry,Rosaceae,shrub
Rubus spp.,"English: raspberries, blackberries, brambles",Rosaceae,shrub
Rubus ulmifolius,English: elm-leaf blackberry,Rosaceae,shrub
Ruellia brevifolia,,Acanthaceae,herb
Ruellia tuberosa,English: large bell-flower (Samoa); Other: vaouliuli lautele (Samoa),Acanthaceae,herb
Rumex brownii,"English: brown dock, hooked dock, slender dock, swamp dock",Polygonaceae,herb
Rumex crispus,"English: curled dock, curly dock, sour dock, yellow dock",Polygonaceae,herb
Rumex pulcher,English: fiddle dock,Polygonaceae,herb
Saccharum spontaneum,"English: wild cane, false sugarcane; Other: to aheo (French Polynesia); vao tolo (Samoa)",Poaceae,grass
Sacciolepis indica,English: glenwood grass,Poaceae,grass
Sacciolepis interrupta,,Poaceae,grass
Sanchezia speciosa,English: sanchezia.,Acanthaceae,shrub
Schefflera actinophylla,"English: octopus tree, umbrella tree, ivy palm",Araliaceae,tree
Schefflera arboricola,"English: dwarf brassia, dwarf schefflera, Hawaiian elf schefflera",Araliaceae,shrub
Schinus molle,"English: pepper tree, California pepper tree, Peruvian peppertree, pepperina",Anacardiaceae,tree
Schinus terebinthifolius,"English: Christmas-berry, Brazilian pepper, Brazilian holly; Other: wilelaiki (Hawai?i), naniohilo (Hawai?i (Moloka?i))",Anacardiaceae,tree
Schizachyrium condensatum,"English: little bluestem, bush beardgrass",Poaceae,grass
Scoparia dulcis,"English: scoparia, sweet broom",Scrophulariaceae,herb
Senecio madagascariensis,English: fireweed,Asteraceae,herb
Senecio quadridentatus,English: cotton fireweed,Asteraceae,herb
Senna bicapsularis,"English: Christmasbush, moneybush, rambling cassia",Fabaceae,shrub
Senna hirsuta,English: stinking cassia (Fiji),Fabaceae,shrub
Senna multiglandulosa,,Fabaceae,shrub
Senna obtusifolia,"English: habucha, coffeeweed, sicklepod",Fabaceae,herb
Senna septemtrionalis,"English: buttercup bush, yellow shower, laburnum; Other: kolomona, kalamona (Hawai'i)",Fabaceae,shrub/tree
Senna sophera,Other: matui (Tonga),Fabaceae,herb
Sesbania cannabina,"English: canicha, dhaincha, dhunchi, sesbania pea",Fabaceae,shrub
Sesbania grandiflora,"English: sesbania, hummingbird tree, sesban, scarlet wisteria tree, corkwood tree; Other: oufai, ofai, ouai (French Polynesia); ohai ke?oke?o (Hawai?i); sepania (Samoa)",Fabaceae,small tree
Sesbania punicea,"English: red sesbania, coffee weed, rattle-pod, sesban, red seine bean, Brazil rattlebox, coffee of the coast, tame acacia, false poinciana, black acacia, purple sesbane",Fabaceae,shrub
Setaria barbata,English: bristly foxtail grass,Poaceae,grass
Setaria italica,"English: foxtail millet, German millet, Hungarian millet, Italian millet",Poaceae,grass
Setaria palmifolia,"English: palmgrass, short pitpit, hailans pitpit, broadleaved bristlegrass; Other: vao ?ofe?ofe (Samoa)",Poaceae,grass
Setaria parviflora,"English: knotroot bristle grass, knotroot foxtail, perennial foxtail, slender pigeon grass, yellow foxtail; Other: mau?u Kaleponi (Hawai?i)",Poaceae,grass
Setaria pumila,"English: foxtail, garden bristle grass, hairy-tail grass, yellow bristlegrass, Queensland pigeon grass (Australia), cat's tail grass (Fiji)",Poaceae,grass
Sida cordifolia,"English: flannelweed, heart-leaf sida",Malvaceae,shrub
Sida glomerata,Other: mautofu (Samoa),Malvaceae,shrub
Sida linifolia,,Malvaceae,herb
Sida paniculata,,Malvaceae,shrub
Sida spinosa,"English: prickly sida, spiny sida",Malvaceae,herb
Sida urens,,Malvaceae,shrub
Sidastrum paniculatum,,Malvaceae,shrub
Sigesbeckia orientalis,"English: Indian weed, small yellow crown-beard, yellow crown-head; Other: kamika (Cook Islands (Mangaia)), ?a?ami?a (Samoa), kakamika (Tonga, Wallis and Futuna)",Asteraceae,herb
Sisymbrium erysimoides,English: smooth mustard,Brassicaceae,herb
Sisyrinchium micranthum,English: scourweed,Iridaceae,herb
Solandra maxima,"English: golden cup, cup of gold, chalice vine",Solanaceae,vine
Solanum capsicoides,"English: cockroach berry, devil?s apple, soda apple; Other: poro?iti taratara (Cook Islands); kikania kei, akaaka, akaka (Hawai'i)",Solanaceae,herb
Solanum mammosum,English: nipple fruit,Solanaceae,shrub
Solanum mauritianum,"English: bugweed, wild tobacco, tree tobacco; Other: rau ?ava?ava (Cook Islands); pua nana honua (Hawai'i); pula (Tonga)",Solanaceae,shrub
Solanum nigrum,"English: black-berry night shade (Australia), black nightshade, poisonberry; Other: polokai (Tonga); magalo, polo (Samoa)",Solanaceae,herb
Solanum seaforthianum,"English: potato creeper, Brazilian nightshade",Solanaceae,vine
Solanum viarum,English: tropical soda apple,Solanaceae,herb
Soliva anthemifolia,English: dwarf jojo,Asteraceae,herb
Sonchus arvensis,"English: corn sow thistle, field sow thistle, perennial sow thistle",Asteraceae,herb
Sorghum halepense,"English: Johnson grass, Aleppo grass, Aleppo milletgrass; Other: kola (Tonga)",Poaceae,grass
Spermacoce confusa,English: river false buttonweed,Rubiaceae,herb
Spermacoce ernstii,,Rubiaceae,herb
Spermacoce latifolia,,Rubiaceae,herb
Spermacoce mauritiana,,Rubiaceae,herb
Spermacoce ocymoides,English: purple-leaved button weed,Rubiaceae,herb
Spermacoce prostrata,"English: false buttonweed, prostrate false buttonweed",Rubiaceae,herb
Sphenoclea zeylanica,,Sphenocleaceae.,herb
Sporobolus elongatus,"English: wiregrass, rat-tail dropseed",Poaceae,grass
Sporobolus pyramidalis,,Poaceae,grass
Stachys arvensis,English: staggerweed,Lamiaceae,herb
Stapelia gigantea,"English: carrion flower, starfish flower, zulu-giant, giant toad plant",Asclepiadaceae,succulent
Stellaria media,"English: chickweed, common chickweed, stickwort",Caryophyllaceae,herb
Stenotaphrum secundatum,"English: buffalo grass, St. Augustine grass; Other: ?aki?aki haole, m?nienie ?aki?aki, m?nienie ?aki?aki haole, m?nienie m?hikihiki (Hawai?i)",Poaceae,grass
Stictocardia tiliifolia,"English: stictocardia, crimson morning-glory; Other: pilikai (Hawai?i); tagamimi, palulu (Samoa)",Convolvulaceae,vine
Struchium sparganophorum,,Asteraceae,herb
Syncarpia glomulifera,"English: turpentine tree, lustre wood",Myrtaceae,tree
Tabebuia heterophylla,"English: pink tecoma, pink trumpet tree, white cedar",Bignoniaceae,tree
Tamarix aphylla,"English: Athel tamarisk, athel pine, salt-cedar",Tamaricaceae,shrub
Tamarix gallica,English: saltcedar,Tamaricaceae,tree
Tephrosia noctiflora,,Fabaceae,herb
Terminalia myriocarpa,"English: hollock, jhalna",Combretaceae,tree
Tetrazygia bicolor,English: Florida clover ash,Melastomataceae,shrub/tree
Teucrium vesicarium,,Lamiaceae,herb
Themeda gigantea,English: ulla,Poaceae,grass
Themeda quadrivalvis,"English: grader grass, habana grass, kangaroo grass",Poaceae,grass
Thunbergia alata,English: black-eyed susan vine,Acanthaceae,vine
Thunbergia grandiflora,"English: Bengal trumpet, blue trumpet vine, clock vine, skyvine, large-flowerd thunbergia; Other: palulu (Samoa)",Acanthaceae,vine
Thunbergia laurifolia,"English: purple allamanda, laurel-leaved thunbergia, laurel clock vine",Acanthaceae,vine
Tibouchina herbacea,"English: glorybush, cane ti, tibouchina",Melastomataceae,shrub
Tibouchina urvilleana,"English: glorybush, lasiandra, princess flower",Melastomataceae,shrub
Timonius timon,English: liberal (Palau),Rubiaceae,tree
Tradescantia fluminensis,"English: small-leaf spiderwort, spiderwort, wandering jew",Commelinaceae,herb
Trema micranthum,"English: capulin, nettle tree",Ulmaceae,tree
Trema orientalis,"English: charcoal tree, gunpowder tree; Other: aere (French Polynesia), mangele, magele (Samoa, Tonga)",Ulmaceae,tree
Triadica sebifera,"English: Chinese tallow tree, popcorn tree, vegetable tallow, white wax berry, chicken tree, Florida aspen",Euphorbiaceae,tree
Tribulus cistoides,"English: puncture vine, caltrop, burrnut, Jamaican feverplant, goat?s head; Other: nohu, nohunohu (Hawai?i)",Zygophyllaceae,herb
Tribulus terrestris,"English: puncture vine, goat head",Zygophyllaceae,herb
Trichodesma zeylanicum,English: camel bush,Boraginaceae,herb
Tridax procumbens,"English: coat buttons, tridax daisy",Asteraceae,herb
Triphasia trifolia,"English: limeberry, lemon China",Rutaceae,shrub
Triplaris weigeltiana,"English: long john, long jack",Polygonaceae,tree
Tripsacum latifolium,English: wideleaf gamagrass,Poaceae,grass
Triumfetta semitriloba,English: Sacramento bur,Tiliaceae,shrub
Turbina corymbosa,"English: turbina, Christmas vine, ololiuqui",Convolvulaceae,vine
Turnera subulata,English: white alder,Turneraceae,shrub
Turnera ulmifolia,"English: yellow alder, sage rose",Turneraceae,shrub
Ulex europaeus,"English: gorse, furze, whin",Fabaceae,shrub
Urochloa brizantha,"English: bread grass, palisade grass, palisade signalgrass, signal grass, Surinam grass",Poaceae,grass
Urochloa decumbens,"English: basilisk signal grass, signal grass, Surinam grass",Poaceae,grass
Urochloa [=Brachiaria] humidicola,"English: creeping signal grass, koronivia grass",Poaceae,grass
Urochloa [=Brachiaria] reptans,"English: creeping panic grass, running grass",Poaceae,grass
Verbena litoralis,"Other: ?w?, o? (Hawai?i); ha?u?w?, ha?u?w? (Hawai?i-Ni?ihau)",Verbenaceae,herb
Verbena rigida,English: veined verbena,Verbenaceae,herb
Vicia sativa ssp. nigra,"English: black-pod vetch, common vetch, narrow-leaf vetch, spring vetch",Fabaceae,herb
Vigna radiata,"English: green gram, golden gram, mung, mung bean",Fabaceae,herb
Vitex parviflora,"English: small-leaved vitex, smallflower chastetree; Other: molave (Hawai'i)",Verbenaceae,shrub/tree
Washingtonia filifera,"English: California fan palm, California Washingtonia, cotton palm, desert fan palm, Washington palm",Arecaceae,tree (palm)
Washingtonia robusta,"English: Mexican fan palm, Mexican Washington palm, Mexican washingtonia, thread palm",Arecaceae,tree (palm)
Waterhousea floribunda,"English: weeping lilly pilly, weeping myrtle",Myrtaceae,tree
Wikstroemia indica,English: tiebush,Thymelacaceae,shrub
Xanthium strumarium,"English: Australian burr (Cook Islands), California-bur, cocklebur, noogoora burr; Other: kikania (Hawai?i)",Asteraceae,herb
Yucca aloifolia,"English: daggerplant, Spanish-bayonet",Agavaceae,shrub
Zantedeschia aethiopica,"English: calla lily, arum lily",Araceae,herb
Zinnia peruviana,,Asteraceae,herb
Ziziphus jujuba,"English: Chinese jujube, Chinese date, Chinese plum, common jujube",Rhamnaceae,tree
Ziziphus mauritiana,"English: Indian jujube, Chinese date, Chinee apple",Rhamnaceae,tree
